Weights,EpRewMean,InitialReturnMean,MeanIW,MinD2w0t,StdD2w0t,EpisodesSoFar,MaxIW,InitialReturnMax,J_sample_variance,MaxD2w0t,Bound,StdIW,EpLenMean,InitialReturnStd,MinIW,MeanD2w0t,TimeElapsed,ReturnMeanIW,InitialBound,EpThisIter,EmpiricalD2,InitialReturnMin,Iteration,TimestepsSoFar,ReturnStepMax,ReturnStepMaxmin,MeanEntropy
[-0.822 -0.493 -0.474 -0.749  0.   ],-108.1894935537418,-79.87676,0.9943584,,0.2555196,100,1.0460165,-46.38131,122.89042,1.0011513,-1135.7812,0.023520825,35.09,10.794411,0.9270799,0.07020179,8.235580682754517,-79.46025,-1135.9949,100,1.0006318,-96.24779,1,3509,100.0,99.00009,1.4179617
[-0.822 -0.493 -0.475 -0.749 -0.001],-107.96211919260155,-78.684425,0.9973949,,0.260834,200,1.0549859,-39.27368,163.47932,1.0005718,-1179.2891,0.014399711,36.7,12.81383,0.9550311,0.0734096,20.53693985939026,-78.48077,-1179.3912,100,1.0002694,-95.660576,2,7179,100.0,99.00007,1.4189508
[-8.227e-01 -4.932e-01 -4.752e-01 -7.492e-01  4.186e-05],-108.18941306233899,-80.42757,0.9987083,,0.25325483,300,1.0226672,-38.452553,128.18916,1.0003648,-1143.378,0.010534058,34.44,11.181608,0.9696431,0.068883575,31.321118593215942,-80.34307,-1143.4218,100,1.0001341,-95.26501,3,10623,100.0,99.0,1.419375
[-8.217e-01 -4.935e-01 -4.753e-01 -7.496e-01  4.324e-04],-108.56666355674437,-80.159424,0.9966103,,0.25525835,400,1.0392525,-53.536297,122.27832,1.0010337,-1125.1644,0.015649544,35.02,11.028077,0.94156617,0.070049904,42.386603116989136,-79.897095,-1125.3357,100,1.0002965,-95.438934,4,14125,100.0,99.0,1.4198991
[-0.819 -0.493 -0.474 -0.75   0.001],-108.23383878276667,-81.35297,0.9965589,,0.24849495,500,1.0730952,-48.56959,119.65197,1.0007379,-1118.6392,0.0164591,33.05,10.976044,0.949641,0.066112205,52.79469060897827,-81.080025,-1118.7878,100,1.0003268,-94.69092,5,17430,100.0,99.0003,1.4217625
[-0.82  -0.492 -0.474 -0.749  0.003],-108.20799378440222,-78.16322,0.9911214,,0.26304168,600,1.1055845,-49.01829,135.83374,1.0026642,-1123.0135,0.032408226,37.35,11.507549,0.9143285,0.074738905,63.87656831741333,-77.49744,-1123.3395,100,1.0012649,-94.23445,6,21165,100.0,99.00043,1.4241666
[-0.822 -0.493 -0.474 -0.748  0.005],-107.67342399387643,-77.97312,0.9953675,,0.26391444,700,1.0660592,-12.7681055,178.15666,1.0013605,-1196.7556,0.017086731,37.64,13.463452,0.943733,0.075298406,74.78940796852112,-77.6087,-1196.936,100,1.000448,-95.14911,7,24929,100.0,99.00005,1.4252256
[-0.821 -0.493 -0.474 -0.748  0.006],-108.52390840148901,-78.42695,0.9960766,,0.26494128,800,1.0296437,-46.88007,135.019,1.0006478,-1203.314,0.014194015,37.97,11.481802,0.9448605,0.07595161,84.97245979309082,-78.17413,-1203.4417,100,1.0002469,-95.80803,8,28726,100.0,99.00031,1.4239142
[-0.821 -0.492 -0.474 -0.747  0.005],-108.22023346359803,-77.70128,0.99759036,,0.26649278,900,1.0371403,-39.21257,164.61983,1.0003791,-1192.3281,0.016593074,38.46,12.550389,0.93888444,0.07692705,96.09373331069946,-77.558716,-1192.4005,100,1.0002357,-94.62611,9,32572,100.0,99.00002,1.4241918
[-0.821 -0.492 -0.474 -0.747  0.005],-107.62351586116296,-79.76617,0.99786264,,0.2548124,1000,1.0570834,-39.44908,154.24712,1.0005372,-1161.4783,0.015986674,34.89,12.306289,0.9534528,0.06978822,103.66862750053406,-79.59338,-1161.5662,100,1.0002494,-95.81879,10,36061,100.0,99.000015,1.422873
