ReturnStepMax,TimestepsSoFar,MeanD2w0t,StdD2w0t,Weights,EpLenMean,MeanEntropy,InitialReturnMean,EmpiricalD2,J_sample_variance,TimeElapsed,EpThisIter,EpisodesSoFar,EpRewMean,Iteration,MeanIW,InitialReturnStd,MaxIW,MinD2w0t,ReturnStepMaxmin,MinIW,MaxD2w0t,Bound,InitialBound,InitialReturnMax,StdIW,InitialReturnMin,ReturnMeanIW
100.0,1745,0.03494003,0.18373689,[-0.689  0.919 -0.673  0.288  0.   ],17.45,1.4179702,-93.01559,1.0020432,30.273533,3.0180327892303467,100,100,-108.67197648780628,1,0.9900609,3.275067,1.1350968,,99.36191,0.8583771,1.0052967,-670.6234,-671.09534,-83.81554,0.042679667,-97.78645,-92.14317
100.0,3482,0.034769285,0.18326902,[-0.693  0.918 -0.676  0.292 -0.001],17.37,1.416014,-92.71355,1.0024704,25.93478,11.36301851272583,100,200,-108.25283702053721,2,0.9921002,3.33415,1.1280227,,99.39298,0.8706001,1.003047,-632.98004,-633.3376,-83.0991,0.047582574,-98.00152,-92.01369
100.0,5224,0.034852635,0.18344496,[-0.692  0.92  -0.677  0.292 -0.003],17.42,1.4155692,-92.59264,1.0010571,14.631271,18.988506078720093,100,300,-108.14497440618504,3,0.99699086,3.1425228,1.081228,,99.41072,0.9267377,1.0024388,-633.07367,-633.2167,-83.913284,0.030972935,-97.3073,-92.31307
100.0,6873,0.033051513,0.17897625,[-0.7    0.922 -0.676  0.291 -0.003],16.49,1.4149475,-93.47725,1.0059985,33.84943,26.150912523269653,100,400,-108.29220443037478,4,0.98007625,2.9312627,1.1775552,,99.36717,0.7688613,1.019382,-646.3638,-647.381,-85.01731,0.06374908,-97.446465,-91.70212
100.0,8572,0.03402045,0.1813972,[-0.707  0.918 -0.679  0.294 -0.004],16.99,1.4179419,-93.56792,1.0023915,23.369516,33.91038680076599,100,500,-108.84901652285095,5,0.99104345,2.8554494,1.1242168,,99.39639,0.8914687,1.0052503,-596.4403,-596.81964,-84.75981,0.040969934,-97.43025,-92.79134
100.0,10269,0.03394387,0.18110277,[-0.707  0.916 -0.679  0.297 -0.001],16.97,1.4198108,-92.87339,1.0001906,12.009748,41.449870109558105,100,600,-108.0364579466547,6,0.9979445,3.053897,1.0352958,,99.36671,0.96628267,1.0008365,-665.08954,-665.1848,-85.09016,0.013382021,-97.566895,-92.693985
100.0,12053,0.03568925,0.18553169,[-7.061e-01  9.166e-01 -6.780e-01  2.973e-01  7.658e-04],17.84,1.4174222,-93.25136,1.0007519,15.601502,50.15861201286316,100,700,-109.273674460836,7,0.99655974,3.3044946,1.0798954,,99.36163,0.93660605,1.0014403,-697.597,-697.7493,-84.35565,0.025464239,-97.65006,-92.94542
100.0,13766,0.034267813,0.18193932,[-0.706  0.918 -0.678  0.298 -0.002],17.13,1.4178839,-93.55577,1.0004208,12.080325,57.396461963653564,100,800,-108.94649135282792,8,0.9966847,2.9317143,1.053199,,99.36656,0.93604267,1.0010128,-665.6856,-665.8672,-85.120544,0.019040711,-98.65492,-93.26365
100.0,15469,0.034084335,0.18150984,[-0.703  0.917 -0.677  0.297 -0.001],17.03,1.420448,-93.16801,1.0023413,26.863583,64.89346814155579,100,900,-108.42710765092889,9,0.99056876,2.8708537,1.148985,,99.39997,0.89618284,1.0036743,-676.31445,-676.8456,-83.621826,0.04697556,-98.64595,-92.33494
100.0,17101,0.032651085,0.17775598,[-0.698  0.917 -0.679  0.298  0.001],16.32,1.4214251,-93.35515,1.00128,14.981255,73.53554821014404,100,1000,-107.98201587993671,10,0.9955629,2.9647884,1.0920758,,99.36529,0.916037,1.0033234,-626.80164,-627.00653,-82.00212,0.033020027,-97.29856,-92.95383
