MaxD2w0t,MeanEntropy,MeanD2w0t,StdD2w0t,EpRewMean,EpThisIter,Bound,MinIW,InitialReturnMin,StdIW,TimestepsSoFar,EpisodesSoFar,InitialReturnMax,Iteration,InitialReturnMean,Weights,TimeElapsed,MaxIW,MeanIW,EmpiricalD2,EpLenMean,InitialBound,J_sample_variance,ReturnStepMaxmin,InitialReturnStd,ReturnMeanIW,ReturnStepMax,MinD2w0t
1.002683,1.4173325,0.070231594,0.2556444,-108.1894935537418,100,-783.63275,0.88866,-96.24779,0.03585606,3509,100,-46.38131,1,-79.87676,[-0.822 -0.493 -0.474 -0.749  0.   ],7.970769882202148,1.0699539,0.9913029,1.0014834,35.09,-783.95557,127.830864,99.00009,10.794411,-79.23507,100.0,
1.0026654,1.4189396,0.065599844,0.2476612,-107.97772789461183,100,-775.16534,0.9032027,-95.32474,0.03360046,6787,200,-52.468403,2,-81.21661,[-0.822 -0.493 -0.476 -0.749 -0.002],19.16773533821106,1.1151903,0.9914408,1.0016083,32.78,-775.4513,137.00655,99.00056,10.946932,-80.64834,100.0,
1.0010597,1.4198143,0.07431493,0.26231277,-106.66582381070032,100,-824.478,0.92689925,-95.84697,0.022437379,10502,300,-37.43458,3,-77.239555,[-8.235e-01 -4.930e-01 -4.754e-01 -7.478e-01 -3.413e-05],31.01194190979004,1.0572063,0.9967356,1.0005816,37.15,-824.5894,185.0585,99.0,13.199483,-77.01668,100.0,
1.0009875,1.4205539,0.077637315,0.26764482,-107.46774645710784,100,-819.9704,0.9395393,-95.86254,0.020680524,14383,400,-33.44101,4,-76.95338,[-8.225e-01 -4.928e-01 -4.758e-01 -7.484e-01  7.707e-04],41.30932259559631,1.0527239,0.9967341,1.0005256,38.81,-820.08624,204.99284,99.0,14.168969,-76.72907,100.0,
1.000575,1.4214457,0.0704667,0.25594786,-107.52828815441559,100,-846.06244,0.9698306,-95.32135,0.014928471,17906,500,-28.994095,5,-79.48734,[-0.823 -0.493 -0.477 -0.749  0.002],50.04161047935486,1.0547491,0.9980428,1.0001968,35.23,-846.1365,172.33223,99.0,13.04965,-79.34479,100.0,
1.0038137,1.4248258,0.066781335,0.24976121,-107.26184066555082,100,-776.5811,0.88759184,-95.406654,0.03558354,21242,600,-46.463448,6,-80.233955,[-0.822 -0.493 -0.477 -0.749  0.003],58.5830614566803,1.1123796,0.98770237,1.0018723,33.36,-777.0181,147.85901,99.00027,11.479345,-79.37531,100.0,
1.0031679,1.4262283,0.071916595,0.25841117,-106.47943706585615,100,-823.91797,0.9077743,-96.60104,0.030722482,24836,700,-36.06807,7,-78.24219,[-0.824 -0.493 -0.476 -0.748  0.006],69.02271747589111,1.0743337,0.99207467,1.001153,35.94,-824.21747,206.40892,99.00001,14.294642,-77.649956,100.0,
1.000745,1.4243766,0.07227531,0.25896683,-107.67866903695966,100,-780.2803,0.9044202,-94.67592,0.019090181,28449,800,-47.485462,8,-78.675766,[-0.825 -0.494 -0.476 -0.748  0.007],79.44260311126709,1.0365728,0.99676555,1.0003392,36.13,-780.3804,134.35657,99.0,11.194852,-78.4818,100.0,
1.0002106,1.4242705,0.06762262,0.251108,-107.83514055276486,100,-823.8089,0.96772045,-94.93654,0.0072916746,31830,900,-47.06558,9,-80.7011,[-0.825 -0.494 -0.476 -0.748  0.005],89.96997022628784,1.0201582,0.9991489,1.0000558,33.81,-823.834,124.18594,99.000244,11.040722,-80.65107,100.0,
1.0066253,1.422846,0.07222561,0.2589908,-108.51494188426287,100,-814.24243,0.8275196,-95.08627,0.03987104,35438,1000,-39.530884,10,-79.42918,[-0.826 -0.494 -0.476 -0.748  0.005],98.81639122962952,1.0879507,0.98480624,1.0020021,36.08,-814.87683,144.10405,99.00029,11.324785,-78.35817,100.0,
