EntropyCoefficient,TimeElapsed,EmpiricalD2,StdD2w0t,MeanD2w0t,InitialReturnMax,MaxIW,ReturnMeanIW,InitialBound,MeanIW,EpLenMean,InitialReturnStd,EpisodesSoFar,ReturnStepMaxmin,EpRewMean,ReturnStepMax,InitialReturnMean,MeanEntropy,MinD2w0t,Bound,Iteration,MinIW,EpThisIter,J_sample_variance,InitialReturnMin,TimestepsSoFar,MaxD2w0t,Weights,StdIW
100.0,3.7637007236480713,1.0459579,0.1885407,0.035843972,9.20005,1.8911067,548.921,89.469284,1.0469815,17.45,3.275067,100,86.90667,-108.67197648780628,100.0,3.7384034e-06,1.4238017,,103.39232,1,0.5471892,100,11113.001,-4.7708664,1745,1.1168679,[-0.689  0.919 -0.673  0.288  0.   ],0.21584368
100.0,10.878664255142212,1.0382408,0.1864245,0.035044376,6.9233704,2.2514248,565.7183,134.93968,1.0511745,17.07,2.7139895,200,86.63484,-108.83974913019834,100.0,-5.645752e-06,1.4444401,,151.83922,2,0.6712747,100,13644.24,-4.5270386,3452,1.1220057,[-0.672  0.928 -0.659  0.269  0.005],0.23138039
100.0,17.012534618377686,1.00514,0.18252617,0.03441926,8.671539,1.3118649,539.4383,79.53862,1.0097142,17.17,2.820231,300,86.73034,-108.49278075255738,100.0,-4.653931e-06,1.4458728,,82.67792,3,0.7831089,100,1297.5586,-4.5946503,5169,1.0150669,[-0.641  0.93  -0.643  0.264  0.026],0.07395126
100.0,22.73258662223816,1.0553553,0.18200056,0.03371232,9.709984,1.9425493,577.1545,116.6463,1.0421959,16.59,2.6437938,400,86.28963,-108.42515876901152,100.0,-7.3242186e-06,1.4570519,,130.01482,4,0.6639198,100,11354.585,-3.9747772,6828,1.1055226,[-0.63   0.93  -0.641  0.259  0.027],0.21364991
100.0,28.570554971694946,1.0405675,0.18229453,0.033795834,9.4676285,1.6372993,571.91034,78.900314,1.030641,16.62,2.5585077,500,86.28877,-108.7586903315064,100.0,2.8991699e-06,1.4483303,,86.92256,5,0.57446575,100,10379.91,-3.7987137,8490,1.0856572,[-0.62   0.943 -0.641  0.262  0.038],0.19970962
100.0,35.11772084236145,1.0024228,0.18665528,0.03608157,12.06588,1.1412816,512.33606,22.228683,1.0070771,18.01,3.3911052,600,87.27072,-109.14054498664605,100.0,-8.621216e-06,1.4422718,,23.675186,6,0.8693638,100,448.5727,-4.6887894,10291,1.0097481,[-0.611  0.949 -0.641  0.252  0.029],0.043265685
100.0,40.987651348114014,1.0152357,0.18101875,0.033638988,9.939224,1.4023957,561.6033,131.18404,1.0165393,16.69,2.8059156,700,86.33319,-108.69921817114917,100.0,1.6784668e-06,1.459068,,137.58112,7,0.7896558,100,3740.6921,-4.8336563,11960,1.0315211,[-0.611  0.947 -0.645  0.254  0.023],0.117288925
100.0,47.25220561027527,1.0287372,0.188199,0.03636567,7.8728714,1.5589817,520.715,34.250885,1.0307227,18.0,3.1953866,800,87.29064,-108.6248867106932,100.0,-1.2207031e-05,1.4622645,,43.804703,8,0.6665749,100,5226.9004,-4.7594604,13760,1.0611391,[-0.624  0.952 -0.64   0.253  0.04 ],0.15963274
100.0,53.06068968772888,1.0577632,0.1871839,0.035395555,7.7392883,1.6920528,555.2256,90.43849,1.0458013,17.27,2.6763527,900,86.72941,-108.95888097841275,100.0,2.9754638e-06,1.4471616,,100.89157,9,0.52358073,100,14417.6455,-3.840065,15487,1.0995932,[-0.606  0.947 -0.651  0.261  0.043],0.24397919
100.0,59.075918674468994,1.0092733,0.18289095,0.03446704,10.620369,1.3405803,540.37634,48.711334,1.009733,17.15,2.7786555,1000,86.73187,-108.55675281271719,100.0,5.4931643e-06,1.451165,,51.48198,10,0.7718316,100,2483.1772,-4.1643677,17202,1.0207336,[-0.609  0.94  -0.648  0.269  0.028],0.09990497
100.0,65.29195189476013,1.031646,0.18539438,0.034816884,11.319977,2.098073,554.4837,118.369125,1.0295534,17.04,2.8887992,1100,86.6326,-108.55523896058605,100.0,3.8146973e-07,1.4564877,,126.32767,11,0.6563066,100,13059.987,-4.229683,18906,1.1500169,[-0.603  0.939 -0.647  0.261  0.032],0.22435832
100.0,71.65969896316528,1.0322618,0.1804332,0.033371586,8.511765,1.5626428,572.1705,51.808075,1.0305817,16.54,2.5600615,1200,86.258865,-108.35359119954364,100.0,-1.5258789e-07,1.4614812,,60.668137,12,0.66063654,100,6034.185,-4.0078735,20560,1.0529896,[-0.615  0.954 -0.634  0.248  0.038],0.15687585
100.0,77.88823056221008,1.8066423,0.22963952,0.04236231,10.63987,19.240917,658.0777,144.35661,1.2771326,17.29,3.0127082,1300,86.805504,-108.8012967298403,100.0,5.569458e-06,1.5185552,,184.36632,13,0.20267725,100,917177.4,-4.2404785,22289,3.2778487,[-0.633  0.951 -0.63   0.244  0.043],2.154218
100.0,83.99554491043091,1.0103549,0.181827,0.03394325,10.756668,1.582783,553.1783,151.78624,1.0107151,16.84,3.2159648,1400,86.49895,-108.624814905486,100.0,-7.6293946e-07,1.5228616,,155.32352,14,0.72644275,100,3412.221,-3.956215,23973,1.0347033,[-0.597  0.986 -0.632  0.279  0.1  ],0.11009231
100.0,90.38460326194763,1.0499294,0.18651907,0.03548352,13.035156,2.4941466,537.319,87.516754,1.0280694,17.47,2.9879398,1500,86.927376,-108.54428323850898,100.0,8.926391e-06,1.5215684,,94.55144,15,0.6012411,100,12657.643,-4.883156,25720,1.0783622,[-0.6    0.979 -0.645  0.287  0.104],0.24071656
100.0,97.19919085502625,1.0177275,0.18232115,0.03399412,10.784103,1.492403,558.17505,174.29857,1.0179927,16.8,3.0047085,1600,86.45608,-108.58356612588736,100.0,1.6021728e-06,1.526046,,179.78087,16,0.6868266,100,4966.1416,-5.495018,27400,1.0919683,[-0.617  0.967 -0.648  0.292  0.103],0.13614993
100.0,103.63965511322021,1.0311797,0.18698828,0.035620347,11.253021,1.4489443,541.72485,110.09929,1.0365276,17.51,3.073578,1700,86.972885,-108.73614818722697,100.0,-1.6784668e-06,1.4964145,,117.424286,17,0.4645918,100,7233.5557,-3.89151,29151,1.060187,[-0.61   0.957 -0.662  0.289  0.107],0.17432055
100.0,110.05889654159546,1.0224025,0.18649964,0.03580007,9.994774,1.3719759,523.27747,96.7681,1.0207797,17.77,3.596653,1800,87.15713,-108.40163803824575,100.0,-6.1035157e-06,1.4852451,,102.35654,18,0.647573,100,4523.5015,-5.2666855,30928,1.0318002,[-0.602  0.954 -0.664  0.292  0.077],0.14597538
100.0,116.13333106040955,1.3112372,0.19740412,0.03593783,7.98983,5.5624676,659.5347,121.75766,1.1752129,16.24,2.7133968,1900,86.08471,-108.08014761913472,100.0,7.6293945e-06,1.4735255,,161.82558,19,0.2729489,100,152218.4,-5.05011,32552,2.1073723,[-0.585  0.953 -0.669  0.292  0.066],0.7632376
100.0,122.70306324958801,1.0781235,0.18476042,0.034116887,7.7371597,2.1397324,590.49133,140.73811,1.0579175,16.5,2.4865737,2000,86.22429,-108.53680313016316,100.0,-9.155273e-07,1.4944685,,159.79083,20,0.58963096,100,22625.223,-3.6176834,34202,1.2739729,[-0.556  0.99  -0.652  0.281  0.054],0.2911644
100.0,128.74449372291565,1.0225227,0.18178312,0.033853605,13.099144,1.315238,563.2976,150.82776,1.028277,16.76,2.7534852,2100,86.4385,-108.3183596481817,100.0,7.095337e-06,1.4750415,,158.36908,21,0.6548267,100,4279.4272,-5.304451,35878,1.0590001,[-0.529  1.005 -0.638  0.27   0.076],0.13198364
100.0,134.82509112358093,1.0739902,0.18658306,0.034801263,9.821007,2.9198275,580.1299,155.27466,1.0657268,16.82,2.8107548,2200,86.47136,-108.69249390874639,100.0,1.0299683e-05,1.5087628,,175.12506,22,0.57579815,100,29916.395,-3.924057,37560,1.302963,[-0.529  0.993 -0.642  0.266  0.056],0.34304288
100.0,141.1314959526062,1.0028224,0.1781574,0.03275687,11.901726,1.1084957,566.18536,153.82263,1.0058929,16.35,2.6071374,2300,86.14747,-108.06190867441151,100.0,-9.994506e-06,1.5006552,,155.13504,23,0.8378291,100,622.041,-4.232826,39195,1.00766,[-0.484  0.993 -0.633  0.261  0.09 ],0.046871834
100.0,147.1535279750824,1.0349811,0.18259528,0.033948213,8.728256,1.9240022,566.78217,128.33286,1.0304239,16.71,2.649557,2400,86.411865,-108.31058355356494,100.0,-2.9754638e-06,1.5130128,,137.34113,24,0.63564473,100,9713.103,-3.9516296,40866,1.0886476,[-0.482  0.99  -0.636  0.26   0.082],0.19164915
100.0,152.99751257896423,4.158164,0.868935,0.064086966,10.495834,121.39844,1227.7617,178.76819,2.2755454,16.23,2.6422513,2500,86.02701,-108.09444274163143,100.0,5.340576e-07,1.4368579,,537.2109,25,0.021759674,100,37451730.0,-3.7473373,42489,90.629486,[-0.482  0.989 -0.623  0.252  0.094],11.86926
100.0,161.0402820110321,1.0238475,0.18288809,0.03415228,10.707466,1.4466304,561.94794,131.30804,1.0273384,16.85,2.5691261,2600,86.462975,-108.81032230147436,100.0,4.653931e-06,1.4253376,,138.29138,26,0.47723472,100,6087.2324,-3.7445984,44174,1.0742211,[-0.443  1.074 -0.538  0.208  0.018],0.15328978
100.0,167.4299635887146,1.039837,0.18148522,0.03340824,8.937386,1.9405648,581.9566,179.8164,1.0357419,16.39,2.5276504,2700,86.142265,-108.47212331354085,100.0,-7.6293946e-07,1.4511724,,193.39128,27,0.69862807,100,11721.324,-5.0447464,45813,1.0909059,[-0.434  1.063 -0.543  0.216  0.006],0.21029858
100.0,173.90967535972595,1.0501152,0.18260537,0.033474308,10.274017,2.369058,594.8759,151.19829,1.0530641,16.27,2.690939,2800,86.15071,-108.05702046887095,100.0,1.9073486e-06,1.4742568,,168.06947,28,0.5522672,100,16120.6455,-4.5259323,47440,1.2118695,[-0.458  1.063 -0.547  0.224  0.032],0.24019775
