MeanIW,EpThisIter,MaxIW,Iteration,InitialReturnStd,TimestepsSoFar,ReturnStepMax,ReturnMeanIW,StdD2w0t,InitialReturnMax,J_sample_variance,InitialBound,MinD2w0t,StdIW,ReturnStepMaxmin,MinIW,MaxD2w0t,Bound,EpisodesSoFar,TimeElapsed,MeanD2w0t,EpRewMean,InitialReturnMean,EntropyCoefficient,InitialReturnMin,Weights,EpLenMean,MeanEntropy,EmpiricalD2
1.2304631,100,9.590993,1,3.275067,1745,100.0,635.98566,0.44320953,9.20005,462221.12,645.1489,,1.437017,86.90667,0.02280073,11.251457,738.3104,100,3.3889992237091064,0.070156336,-108.67197648780628,3.7384034e-06,100.0,-4.7708664,[-0.689  0.919 -0.673  0.288  0.   ],17.45,1.3862022,2.6214008
2.819482,100,207.69308,2,3.070111,3430,100.0,1472.9224,25.473593,8.108772,28999660.0,661.22614,,10.799479,86.55473,0.0002114526,1547.27,1438.1364,200,11.043785095214844,1.3727427,-107.89529086273622,-3.5858154e-06,100.0,-4.909912,[-0.631  0.966 -0.588  0.207 -0.033],16.85,1.3212892,143.85239
2.047481,100,64.43549,3,2.6362345,5113,100.0,1059.6451,7.1539006,11.355095,10537987.0,661.06415,,6.906401,86.47199,4.1998883e-05,384.95444,1101.368,300,19.244177103042603,0.34855613,-108.83739823201216,3.3569336e-06,100.0,-3.768509,[-0.555  0.865 -0.624  0.313 -0.098],16.83,1.180637,24.993643
1.4396594,100,36.717888,4,3.062591,6807,100.0,762.0688,2.1855836,9.336395,3450410.0,633.8934,,3.7249224,86.601036,0.0016507121,178.64609,831.62866,400,27.905235528945923,0.12244041,-108.02344884876257,-5.340576e-07,100.0,-4.857025,[-0.532  0.843 -0.709  0.446 -0.238],16.94,1.1949565,9.583362
8.405054,100,1615.0315,5,2.6147237,8461,100.0,4477.387,1288.7518,10.009598,1689035100.0,657.61145,,77.9084,86.272545,0.0004906455,182724.02,3588.9148,500,35.12873291969299,21.133314,-108.7509895227835,-1.0528564e-05,100.0,-3.3769379,[-0.492  0.829 -0.775  0.52  -0.224],16.54,1.2807324,4384.9253
1.602944,100,47.676292,6,2.8362608,10101,100.0,872.36615,3.2968645,9.280777,4764886.5,670.4109,,4.3129745,86.16353,0.00019672142,163.27441,925.0764,600,44.02805852890015,0.25132757,-108.23876683922131,3.8146973e-06,100.0,-3.9923325,[-0.411  0.743 -0.908  0.48  -0.138],16.4,1.2159454,33.894154
1.1657411,100,8.137993,7,3.3928094,11803,100.0,619.49854,0.4040233,9.301758,295377.47,638.7972,,1.0883293,86.686676,0.031764016,13.517763,712.5652,700,51.88120698928833,0.06306626,-107.82156861098953,-4.272461e-06,100.0,-5.049736,[-0.347  0.827 -0.884  0.428 -0.203],17.02,1.249025,3.1492493
1.331554,100,27.109987,8,2.748966,13473,100.0,716.3034,0.72597593,7.976715,1510788.9,655.41675,,2.4318092,86.412315,0.010239779,51.84533,804.62244,800,58.22294855117798,0.079506025,-108.18405354303215,4.4250487e-06,100.0,-4.1339493,[-0.329  0.846 -0.9    0.505 -0.17 ],16.7,1.3564467,7.377844
8.163667,100,1245.587,9,2.961777,15077,100.0,4304.6445,142.4019,12.548027,1636401900.0,688.54895,,78.15287,85.919075,6.631842e-10,7403.4287,3656.32,900,65.85970616340637,7.6505814,-107.7802985065065,6.942749e-06,100.0,-3.884575,[-0.371  0.808 -0.888  0.446 -0.062],16.04,1.0663687,1083.6227
4.3211846,100,399.68106,10,3.0466793,16806,100.0,2111.33,54.775837,9.556732,341691460.0,613.70105,,39.298203,86.899055,8.330251e-12,5282.8237,1721.9282,1000,74.39380955696106,3.0623643,-108.11470188613853,3.4332274e-06,100.0,-4.8914337,[-0.365  0.768 -0.85   0.553 -0.353],17.29,0.8186982,764.26984
1.2850676,100,57.081024,11,3.0800261,18478,100.0,698.76483,1.2550119,8.635757,3826519.2,610.6239,,3.7653286,86.454445,0.02246105,37.14017,732.1068,1100,82.60133075714111,0.14240558,-107.98545617584688,9.231568e-06,100.0,-4.800316,[-0.407  0.692 -0.814  0.547 -0.6  ],16.72,0.864931,8.45769
2.3701715,100,141.66505,12,3.2715726,20188,100.0,1169.4017,11.954162,10.7015915,43191244.0,601.25226,,14.186872,86.702896,8.445018e-05,662.2153,1065.6969,1200,89.81571173667908,0.8898453,-108.40640711693148,8.010864e-06,100.0,-4.5299835,[-0.411  0.709 -0.789  0.484 -0.554],17.1,0.8660377,211.61852
2.1790214,100,155.8294,13,2.6148357,21774,100.0,1226.5886,39.21651,11.651512,29021280.0,644.98956,,9.837005,85.80908,0.017776895,2890.794,1121.1738,1300,97.08755087852478,1.2513186,-107.46610759406103,4.348755e-06,100.0,-3.650772,[-0.358  0.741 -0.829  0.487 -0.553],15.86,0.9554324,74.53065
1.0744594,100,7.5730057,14,2.7059197,23417,100.0,599.8641,0.29586235,10.715866,288261.38,635.4203,,1.0327611,86.1876,0.085819505,5.5926504,670.534,1400,104.90967679023743,0.04998871,-108.26304449565987,5.41687e-06,100.0,-4.1009293,[-0.421  0.816 -0.737  0.46  -0.464],16.43,0.9774983,2.0983293
1.3281791,100,17.057981,15,2.2147555,25018,100.0,752.8552,0.88256675,5.776428,1948871.8,656.60547,,2.657221,85.866516,0.00028693638,25.4115,795.5093,1500,111.7155704498291,0.11395349,-108.34879203459774,-5.264282e-06,100.0,-3.3146667,[-0.418  0.848 -0.715  0.426 -0.442],16.01,0.89533967,10.743235
1.4482121,100,81.0718,16,3.0034678,26660,100.0,792.8775,7.6596913,12.595474,8128574.5,628.6041,,5.4290104,86.23725,0.07079057,1496.5552,836.3497,1600,118.46366715431213,0.14400166,-107.87749596723452,8.010864e-06,100.0,-4.2970886,[-0.359  0.838 -0.76   0.403 -0.524],16.42,0.9158839,20.933088
1.2418933,100,16.404316,17,2.946704,28338,100.0,676.76965,0.876038,9.426834,1111277.1,618.57666,,2.0513644,86.474106,0.0012032435,23.6711,715.36163,1700,125.67945098876953,0.10395795,-108.357967251633,-1.1444092e-06,100.0,-4.4286804,[-0.354  0.897 -0.686  0.405 -0.503],16.78,0.8725953,5.833728
1.1022167,100,3.482172,18,2.4017043,29973,100.0,619.67883,0.23202287,7.8200684,108458.414,632.2581,,0.62310946,86.171326,0.15119396,2.5890744,679.6819,1800,132.71623516082764,0.041605927,-108.37635772120781,-4.8065185e-06,100.0,-3.9847412,[-0.362  0.914 -0.671  0.341 -0.546],16.35,0.82875866,1.4579948
1.5011693,100,26.496675,19,2.7532263,31651,100.0,798.9911,1.5538352,8.634117,3410123.0,609.65424,,3.7461426,86.4358,0.0012705881,61.600315,803.0701,1900,139.47503519058228,0.1756043,-108.55003233127474,-4.196167e-06,100.0,-4.206024,[-0.34   0.893 -0.701  0.367 -0.59 ],16.78,0.79442173,24.268753
1.8370787,100,95.10333,20,2.722633,33261,100.0,1020.0477,7.5296683,11.897308,13235943.0,632.68207,,6.844479,85.98499,0.00023416408,307.2312,963.0316,2000,146.88397908210754,0.5354172,-108.0990692695752,-8.850097e-06,100.0,-3.869423,[-0.306  0.913 -0.739  0.372 -0.625],16.1,0.77665985,54.86557
2.0372505,100,166.14037,21,2.4731102,34910,100.0,1072.6777,42.604618,5.2016907,46725956.0,613.9828,,14.209206,86.287,0.000115487084,5185.8794,942.33356,2100,153.74743795394897,2.070681,-107.86728510897093,7.858276e-06,100.0,-4.7028427,[-0.304  0.895 -0.718  0.417 -0.642],16.49,0.7643572,469.20618
1.531045,100,64.09027,22,3.1336737,36597,100.0,811.54083,3.376846,9.6326065,8600056.0,598.01733,,5.9204903,86.54646,0.0020005112,140.99135,816.72284,2200,161.2730371952057,0.27998704,-108.04433431088472,-1.6021728e-06,100.0,-4.5310974,[-0.29   0.993 -0.691  0.403 -0.655],16.87,0.7473552,16.712809
1.8076216,100,64.82603,23,2.674966,38244,100.0,978.5795,7.824397,7.7460175,11264362.0,612.79254,,6.553488,86.19029,0.017712064,527.8198,970.1217,2300,168.78387093544006,0.5262232,-108.39599272280022,-4.043579e-06,100.0,-3.8863754,[-0.185  0.914 -0.726  0.438 -0.672],16.47,0.8790534,70.44596
1.7934244,100,44.10167,24,2.2383797,39916,100.0,932.9435,2.2710216,6.596939,6228027.5,619.6236,,5.1444426,86.393906,0.0072517134,223.63187,929.9306,2400,176.3887050151825,0.15506566,-108.6304848794148,8.087158e-06,100.0,-3.6938248,[-0.218  0.89  -0.737  0.477 -0.54 ],16.72,0.92151695,20.078972
2.9833431,100,222.41284,25,2.9326575,41553,100.0,1535.3701,19.386639,11.7339325,113116650.0,635.28094,,21.854696,86.133286,1.1030862e-08,1572.9419,1441.5537,2500,183.67418837547302,1.149308,-108.22438700073072,-5.7983398e-06,100.0,-4.4752502,[-0.238  0.791 -0.786  0.456 -0.497],16.37,0.82714766,303.6296
1.1771072,100,17.414175,26,2.2388768,43196,100.0,651.11206,1.1044935,6.0043564,1271059.8,626.9421,,2.182098,86.16051,0.012954334,30.11398,685.9075,2600,191.93021655082703,0.1317328,-108.64764955953879,-2.7465821e-06,100.0,-3.8446503,[-0.339  0.703 -0.815  0.473 -0.592],16.43,0.8095798,7.375224
1.32899,100,13.177097,27,2.6587937,44856,100.0,728.12915,0.8791104,7.6734543,1023081.7,615.13257,,1.9132262,86.31821,0.024232587,42.077843,741.45496,2700,198.37468004226685,0.09171209,-108.70443937056947,1.2969971e-06,100.0,-4.136284,[-0.314  0.722 -0.771  0.512 -0.609],16.6,0.778848,3.601706
1.13864,100,19.905178,28,2.7988193,46550,100.0,618.6819,1.8370429,8.654236,874317.75,600.16174,,1.799771,86.596016,0.0051471414,298.363,655.4215,2800,204.66517782211304,0.086160645,-108.37865995816712,9.307862e-06,100.0,-5.0015335,[-0.281  0.776 -0.709  0.484 -0.64 ],16.94,0.7910543,6.095769
1.7278956,100,57.514454,29,2.8631568,48311,100.0,844.1251,3.4213831,11.005623,7137624.5,576.77795,,6.2048664,86.97954,0.001902706,154.086,802.5455,2900,211.56117296218872,0.28377995,-109.01814067986147,9.994506e-06,100.0,-4.4724884,[-0.268  0.809 -0.656  0.483 -0.628],17.61,0.8261333,22.58619
1.1193272,100,4.4391284,30,2.4922566,49974,100.0,618.7641,0.24313217,6.7611237,111538.99,614.3728,,0.63064635,86.39848,0.1322689,3.7721524,670.2463,3000,219.45536088943481,0.043772265,-108.37007252759504,-5.264282e-06,100.0,-3.8257904,[-0.25   0.792 -0.719  0.511 -0.593],16.63,0.82763666,1.467237
1.3906279,100,33.133965,31,2.993186,51652,100.0,738.1921,1.39019,9.420013,3584720.5,607.78296,,3.8845367,86.46658,0.0011337748,78.14755,754.35187,3100,226.2188789844513,0.1136341,-108.28587722833258,5.264282e-06,100.0,-4.375244,[-0.267  0.781 -0.748  0.504 -0.591],16.78,0.77689475,15.095711
1.3953234,100,10.337452,32,2.5299885,53285,100.0,763.8892,0.7361806,8.32785,1096164.9,622.57916,,2.1048303,86.133545,0.001330564,51.804333,795.44885,3200,233.5157437324524,0.07244612,-108.14161264178495,4.577637e-06,100.0,-4.0336685,[-0.34   0.774 -0.718  0.467 -0.642],16.33,0.74239224,8.583005
1.5952183,100,89.74579,33,2.8170671,55001,100.0,820.16046,4.8666987,10.735847,16721337.0,591.6759,,8.82757,86.67892,7.3166295e-05,636.985,750.89825,3300,241.01596903800964,0.326408,-109.1893705407467,-6.866455e-06,100.0,-3.6510773,[-0.419  0.754 -0.715  0.431 -0.677],17.16,0.73507774,60.849537
3.6989894,100,333.60828,34,2.7386405,56656,100.0,1899.7299,77.94759,10.272972,260647500.0,608.5122,,32.75692,86.260254,5.102884e-05,4174.23,1624.2207,3400,247.98283195495605,4.338973,-108.31263460397199,-7.781982e-06,100.0,-4.037796,[-0.42   0.823 -0.719  0.442 -0.684],16.55,0.75406796,1251.0449
5.008887,100,363.2622,35,3.0141532,58317,100.0,2602.07,467.6691,10.013306,319726140.0,610.2199,,35.734764,86.29933,4.96262e-05,35439.055,2119.5315,3500,256.4588534832001,16.804865,-108.5789667454763,1.1444092e-06,100.0,-5.089958,[-0.478  0.786 -0.692  0.453 -0.665],16.61,0.7400612,1943.4814
2.0166667,100,78.117035,36,2.6838756,59960,100.0,1056.5747,2.64044,7.1855774,17941364.0,613.12634,,8.674934,86.26788,7.007405e-05,83.38068,1040.3237,3600,264.8208215236664,0.27715725,-107.72493455897329,1.1444092e-06,100.0,-4.463135,[-0.481  0.745 -0.747  0.557 -0.679],16.43,0.6086434,33.63751
7.362941,100,424.60117,37,2.8743496,61626,100.0,3621.746,580.17413,10.304352,535120670.0,591.5689,,48.21515,86.376945,6.9766215e-06,63791.09,2928.708,3700,272.13804507255554,19.570122,-108.51624614458977,8.544922e-06,100.0,-3.665268,[-0.465  0.755 -0.788  0.545 -0.81 ],16.66,0.67724705,3990.655
1.080214,100,9.1223955,38,2.6199443,63307,100.0,590.2998,0.26939976,9.608475,368822.06,593.25134,,1.2219491,86.453285,0.05922143,8.103103,625.3186,3800,280.1356985569,0.046010636,-108.611314563129,1.2969971e-06,100.0,-3.985649,[-0.536  0.788 -0.712  0.537 -0.742],16.81,0.6818973,2.5959742
3.4958968,100,236.6983,39,2.8998585,65015,100.0,1739.9365,24.668142,8.984428,120950536.0,584.8478,,23.233612,86.67624,0.001462542,3005.7422,1645.0142,3900,286.82548785209656,1.0899163,-108.69115927244145,-7.858276e-06,100.0,-3.9800644,[-0.54   0.761 -0.706  0.522 -0.737],17.08,0.75711536,183.88863
1.4972187,100,166.42549,40,3.1494033,66722,100.0,795.6233,2.4638653,10.41317,4751885.0,590.75616,,4.2450333,86.67233,0.009830614,102.04631,790.8552,4000,295.8413190841675,0.22925413,-108.62067631820977,-3.8146973e-07,100.0,-4.265526,[-0.473  0.74  -0.764  0.544 -0.662],17.07,0.8077688,14.120195
1.5277572,100,46.020866,41,2.5780954,68381,100.0,833.8238,8.772571,8.587967,5814903.0,612.37146,,4.6847997,86.316315,0.0024548308,583.31433,841.4569,4100,302.20379877090454,0.39407814,-108.20807291951185,-3.890991e-06,100.0,-3.993927,[-0.455  0.765 -0.717  0.476 -0.611],16.59,0.91242284,28.381556
8.398703,100,663.09906,42,3.1428075,70046,100.0,4087.5898,540.6578,10.362076,941743500.0,625.9583,,65.63697,86.320114,5.419826e-07,70872.734,3389.3674,4200,309.1517188549042,18.68894,-108.63739746618435,6.027222e-06,100.0,-4.2293015,[-0.555  0.818 -0.663  0.446 -0.507],16.65,0.9181083,6392.14
1.6284106,100,47.3145,43,2.722448,71670,100.0,900.46155,10.177708,11.025925,7097472.5,640.88586,,5.166144,86.09671,0.011611519,2026.9634,910.3277,4300,317.2881076335907,0.19811715,-108.48779768510052,1.4495849e-05,100.0,-3.8194199,[-0.598  0.753 -0.618  0.41  -0.501],16.24,0.96256644,38.9671
1.4619253,100,30.01818,44,2.5788739,73336,100.0,784.18616,0.43113858,6.94162,2647113.0,627.60315,,3.2388003,86.39503,0.10820381,14.961017,847.3917,4400,324.21040201187134,0.06885635,-108.37526656293103,3.1280517e-06,100.0,-3.9778137,[-0.623  0.674 -0.636  0.394 -0.456],16.66,1.0746785,3.1842554
1.1813254,100,9.812982,45,3.2264612,75056,100.0,628.6106,0.4441096,8.495499,469762.88,620.9682,,1.361511,86.719986,0.046760567,10.611234,702.21704,4500,331.9986753463745,0.07076837,-108.78030140187448,-6.5612794e-06,100.0,-4.46344,[-0.703  0.651 -0.679  0.408 -0.344],17.2,1.0512624,2.735975
1.3198735,100,18.768473,46,2.6783435,76736,100.0,709.1677,0.6183591,10.231247,1244968.8,629.4671,,2.2654793,86.54357,0.06534779,12.408513,781.245,4600,339.4959464073181,0.08940875,-108.30189906489731,3.2043456e-06,100.0,-4.3893967,[-0.738  0.705 -0.63   0.358 -0.368],16.8,1.1586848,8.451198
1.525136,100,87.24684,47,2.7471514,78416,100.0,808.8957,5.1868396,9.019447,4497307.5,644.60767,,4.2852044,86.44408,0.07726693,820.4439,865.25256,4700,346.5373487472534,0.20083715,-108.7457189168311,-8.544922e-06,100.0,-3.7474518,[-0.674  0.718 -0.643  0.352 -0.26 ],16.8,1.311523,28.522846
2.3166635,100,121.030136,48,3.249717,80100,100.0,1195.3292,8.049642,10.537529,37781900.0,652.5362,,12.737608,86.54103,2.8821932e-08,295.3229,1116.953,4800,354.2424998283386,0.6825617,-108.08393331634007,7.705688e-06,100.0,-4.0589294,[-0.678  0.785 -0.637  0.404 -0.107],16.84,1.0575014,97.955246
1.1619142,100,14.972303,49,2.3643441,81728,100.0,654.2235,0.42503604,8.217354,693187.06,655.9451,,1.6378294,86.02047,0.009828561,40.93885,722.9891,4900,361.1566755771637,0.051118284,-108.71736941247536,-7.781982e-06,100.0,-4.386879,[-0.731  0.762 -0.573  0.434 -0.361],16.28,0.96371084,3.3408215
3.9213288,100,577.35486,50,3.4042687,83486,100.0,1745.8507,80.60625,11.44767,219156200.0,593.1499,,35.24763,87.05332,0.00018781389,14370.164,1299.0596,5000,368.66387820243835,2.2002861,-108.68670066298786,1.0681152e-06,100.0,-4.4842606,[-0.829  0.73  -0.601  0.42  -0.455],17.58,0.9604519,444.5901
1.4318141,100,54.764946,51,2.876805,85230,100.0,747.0061,3.9590719,9.1035385,4478132.0,598.6102,,4.3547955,86.85974,0.0007934159,194.86795,764.5908,5100,377.2688386440277,0.29764014,-109.07713921264886,-6.1035155e-07,100.0,-4.3747635,[-0.797  0.822 -0.578  0.389 -0.458],17.44,0.9351974,24.786177
1.2173969,100,34.272915,52,2.8065488,86899,100.0,667.03015,0.7998786,10.850372,1408503.6,624.5752,,2.344438,86.39797,0.00029302266,36.39496,718.6659,5200,383.8786962032318,0.088643864,-108.38696630005806,-6.4849855e-06,100.0,-4.404236,[-0.806  0.848 -0.575  0.322 -0.484],16.69,0.8766019,7.3394136
1.111158,100,7.303069,53,2.9092078,88592,100.0,598.8506,0.25264746,9.870758,173518.3,609.31384,,0.8009698,86.600525,0.14533071,3.4205081,657.06323,5300,391.4300606250763,0.045503076,-108.18264728880911,1.0681152e-06,100.0,-4.225319,[-0.931  0.857 -0.591  0.387 -0.542],16.93,0.82368195,1.4314426
4.8601255,100,497.57242,54,2.9762409,90332,100.0,2414.1592,434.68964,7.5401,275318820.0,585.942,,33.499584,86.9087,0.0014817703,38477.977,2111.7522,5400,398.7043776512146,9.625598,-108.42670105735795,-1.335144e-05,100.0,-4.420761,[-0.926  0.887 -0.549  0.377 -0.595],17.4,0.8283085,759.5653
1.8307841,100,66.677864,55,2.72034,92006,100.0,966.18286,6.7468505,9.613098,13865406.0,608.79706,,7.5684657,86.450294,0.00083752244,343.7207,925.527,5500,406.6750476360321,0.51285475,-108.33170312830562,7.93457e-06,100.0,-3.5853043,[-0.911  0.897 -0.494  0.27  -0.591],16.74,0.82924634,118.21752
1.2145044,100,13.78823,56,2.8478348,93747,100.0,626.1218,0.56914324,8.518173,1220425.1,587.5599,,2.3992038,86.84856,0.0053826314,47.780823,658.1959,5600,413.69021248817444,0.07292938,-108.84103281583617,-5.264282e-06,100.0,-4.356056,[-0.985  0.879 -0.455  0.26  -0.59 ],17.41,0.81253695,7.036344
3.3435721,100,350.68423,57,2.7087004,95444,100.0,1670.2728,78.99114,9.852615,197234780.0,600.6538,,29.369982,86.60498,1.0713479e-05,14863.626,1219.498,5700,421.519898891449,1.3889207,-108.3466867351816,6.8664554e-07,100.0,-4.6212616,[-0.935  0.918 -0.452  0.266 -0.606],16.97,0.7825609,388.59183
1.4215872,100,34.421555,58,2.8495545,97166,100.0,740.6476,2.3817654,9.148224,3646135.5,590.7299,,3.981667,86.73965,0.00086787174,177.28265,761.0673,5800,429.4032394886017,0.15396783,-108.66496987858793,-5.645752e-06,100.0,-4.1675034,[-0.908  1.011 -0.439  0.28  -0.636],17.22,0.7930073,30.071186
1.5739135,100,43.103252,59,2.8292313,98884,100.0,823.16644,1.7904472,8.44136,5155082.5,590.1475,,4.702813,86.72645,0.0009071244,116.018524,823.69885,5900,436.5609347820282,0.1710974,-108.5368451168089,-1.2588501e-05,100.0,-4.3417664,[-0.954  0.958 -0.44   0.25  -0.626],17.18,0.75459343,27.345573
1.5774219,100,53.483223,60,2.5412018,100546,100.0,861.33014,2.814036,10.551399,6176549.5,605.6683,,4.8410993,86.37852,0.0060815937,239.09798,807.0128,6000,443.85571241378784,0.22130598,-108.1607829988526,9.155273e-07,100.0,-4.206276,[-1.005  0.942 -0.402  0.235 -0.664],16.62,0.7485761,23.24154
1.5419545,100,38.5215,61,2.9846253,102270,100.0,805.1911,2.7451444,9.817818,5362621.0,588.47406,,4.7505116,86.71883,0.0015514446,126.21309,774.9364,6100,450.2459514141083,0.27869415,-108.93579817949608,-1.2207031e-06,100.0,-4.3583527,[-1.     0.944 -0.457  0.242 -0.67 ],17.24,0.7057479,20.348091
1.3397373,100,40.061783,62,2.553597,103938,100.0,729.76495,0.9941153,7.492058,4020448.0,603.3117,,3.9923766,86.388214,0.009386742,67.211525,755.16907,6200,458.04350757598877,0.107654914,-108.53280274569734,-1.3732911e-06,100.0,-3.6541595,[-1.005  0.921 -0.526  0.241 -0.713],16.68,0.717117,7.584584
