ReturnMeanIW,EpLenMean,ReturnStepMax,MeanIW,InitialReturnMean,EntropyCoefficient,Iteration,TimeElapsed,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpRewMean,MeanD2w0t,Weights,MaxD2w0t,MinD2w0t,InitialReturnMin,MeanEntropy,EpisodesSoFar,Bound,InitialBound,InitialReturnMax,EmpiricalD2,MaxIW,StdIW,StdD2w0t,InitialReturnStd,J_sample_variance,MinIW
238.19719,46.09,100.0,1.1638151,-3.8146973e-07,100.0,1,9.216850280761719,93.845825,4609,100,-141.8229098366061,0.20356803,[ 0.579 -0.554  0.227  0.402  0.   ],26.659395,,-2.4639435,1.4872187,100,335.0182,319.46362,6.4169464,5.3361244,29.179155,2.939663,0.81280303,2.1648557,267743.9,0.02815301
302.6034,39.73,100.0,1.3380461,-5.7983398e-06,100.0,2,21.0259747505188,93.151825,8582,100,-136.03884802594112,0.19073613,[ 0.602 -0.491  0.229  0.415  0.068],53.566414,,-1.9903641,1.551448,200,401.45877,360.2785,5.6570663,7.9641595,24.573795,2.849777,0.9520798,1.6587435,245784.4,0.024931762
324.02365,42.18,100.0,1.4877262,1.6021728e-06,100.0,3,32.39945864677429,93.44815,12800,100,-138.17835877309477,0.38768983,[ 0.538 -0.543  0.217  0.423  0.133],128.29251,,-2.3019638,1.5657569,300,400.43396,352.33325,5.698166,20.244999,88.881134,4.902201,2.5909166,1.9754716,864618.56,0.0061997296
607.5215,40.63,100.0,3.3207846,-8.392334e-07,100.0,4,43.95521664619446,93.27417,16863,100,-136.63526689899803,1.3055506,[ 0.57  -0.459  0.251  0.355  0.147],658.05145,,-2.1893005,1.4278446,400,545.9352,363.2986,7.0168915,32.208046,85.44872,11.790932,15.635952,1.8189212,3254312.8,1.6621354e-06
349.0359,40.95,100.0,1.5794896,-3.5095215e-06,100.0,5,56.48080515861511,93.30426,20958,100,-137.09536907507987,0.3014957,[ 0.611 -0.483  0.206  0.428  0.009],69.277794,,-1.9988022,1.4087325,500,419.71494,347.27893,3.5821152,12.345656,42.91886,4.5500736,1.7165273,1.4202756,763428.7,0.0074866507
501.26422,36.73,100.0,2.68707,1.3046265e-05,100.0,6,67.19961929321289,92.76553,24631,100,-132.8610319266767,0.6726497,[ 0.623 -0.376  0.201  0.327 -0.01 ],705.3125,,-2.2021942,1.4156537,600,527.80176,372.37048,4.4536057,98.872986,136.4821,13.478558,7.8497396,1.5544455,3770616.0,0.0005069058
252.68835,46.52,100.0,1.2470632,-9.155273e-07,100.0,7,80.02159023284912,93.86569,29283,100,-142.68407615598585,0.21938004,[ 0.54  -0.49   0.202  0.38  -0.003],21.849102,,-2.0416107,1.3891057,700,342.17218,317.7624,5.5976257,9.981596,19.27903,2.5168612,0.9954195,1.852048,180845.75,0.0034455182
913.4057,35.32,100.0,3.5383174,-5.264282e-06,100.0,8,89.35707640647888,92.53966,32815,100,-131.74974789851592,1.6396198,[ 0.624 -0.47   0.243  0.42  -0.03 ],1578.4576,,-1.6455994,1.3077376,800,866.2054,381.20038,3.8702393,250.97258,1045.1625,28.153103,22.07169,1.4263384,45912932.0,9.101343e-07
213.93506,50.67,100.0,1.1619811,-2.9754638e-06,100.0,9,103.46632075309753,94.21092,37882,100,-146.66636893862534,0.15986544,[ 0.556 -0.578  0.218  0.336 -0.111],6.902231,,-2.2042465,1.3455846,900,308.37115,289.95444,8.653191,3.4464414,9.899255,1.4669269,0.5274559,2.0414724,42933.27,0.038552348
568.5387,36.97,100.0,2.3680065,-3.5095215e-06,100.0,10,114.1172890663147,92.80528,41579,100,-132.99427304747584,0.940665,[ 0.583 -0.538  0.231  0.32  -0.073],458.36377,,-2.2778625,1.3941586,1000,531.7517,364.7149,9.455399,14.916675,187.05298,12.300601,12.638863,1.8052964,7182086.0,0.008136671
