EntropyCoefficient,J_sample_variance,Iteration,MeanIW,StdIW,InitialReturnMin,InitialBound,MinD2w0t,MaxD2w0t,EpRewMean,EmpiricalD2,StdD2w0t,MinIW,ReturnMeanIW,EpThisIter,MeanD2w0t,InitialReturnStd,ReturnStepMax,MeanEntropy,InitialReturnMean,Bound,ReturnStepMaxmin,TimeElapsed,EpLenMean,InitialReturnMax,MaxIW,TimestepsSoFar,EpisodesSoFar,Weights
100.0,148906610.0,1,10.495411,100.43106,-16.882248,295.47766,,6769.3276,-121.62483749719935,403.12973,95.31447,2.03566e-06,1379.2355,100,8.167816,8.854463,100.0,1.2128985,1.2969971e-06,884.0147,93.704056,8.41897463798523,45.73,25.629276,1646.2272,4573,100,[-0.365 -0.68  -0.484 -0.253  0.   ]
100.0,23797.766,2,1.2553701,1.4005008,-18.424957,260.9236,,4.7702413,-117.2141939438563,2.8030386,0.4773843,0.05461081,196.99815,100,0.14485511,9.420587,100.0,1.1893438,-4.615784e-06,278.7468,94.044975,22.796449422836304,47.31,35.887997,10.788579,9304,200,[-0.338 -0.693 -0.436 -0.334 -0.206]
100.0,35830490.0,3,6.416525,52.543648,-16.997452,268.58984,,1118.6335,-115.93540927335609,177.50731,44.379333,0.0049054073,830.65753,100,6.8011374,9.716839,100.0,1.2729251,-7.781982e-06,622.6095,93.87954,34.487752199172974,44.98,29.50547,642.3208,13802,300,[-0.319 -0.685 -0.443 -0.357 -0.23 ]
100.0,25002.531,4,1.2009053,1.2511477,-20.754158,257.9787,,3.0355017,-114.70378243975078,2.0796719,0.49926817,0.054544643,186.1167,100,0.15625665,11.508703,100.0,1.2344724,-1.1062622e-06,271.8305,94.266525,48.095362424850464,48.43,40.324104,8.083321,18645,400,[-0.323 -0.712 -0.408 -0.413 -0.146]
100.0,4604.7456,5,1.1249976,0.5873072,-21.119484,238.21501,,2.1220958,-112.94986123133438,1.3592944,0.3713087,0.15498635,159.61758,100,0.12481166,11.918106,100.0,1.2196032,9.536743e-07,248.39966,94.63745,60.646480321884155,51.78,30.024605,4.371122,23823,500,[-0.31  -0.75  -0.392 -0.438 -0.184]
100.0,25340532.0,6,6.914765,59.268246,-21.893532,236.72653,,3722.5996,-113.57848061689427,260.60287,48.17316,0.0020770454,703.1081,100,4.4657784,12.993163,100.0,1.2686808,4.5776366e-07,498.34872,94.62992,73.44204092025757,51.98,41.001453,799.25574,29021,600,[-0.317 -0.81  -0.42  -0.464 -0.199]
100.0,906367.6,7,2.0069036,7.2705646,-20.821228,272.62897,,131.39928,-111.92378003418786,11.139212,2.6916986,0.0055381884,308.62518,100,0.3946333,13.048237,100.0,1.2608675,3.8146973e-06,342.22366,93.935585,86.06209635734558,44.2,50.550117,68.698166,33441,700,[-0.353 -0.792 -0.47  -0.496 -0.15 ]
100.0,313209820.0,8,17.81037,184.03554,-19.260368,287.40594,,150254.66,-112.33720776857746,2812.8792,936.54755,0.00076325785,1893.2089,100,23.213625,10.466573,100.0,1.2621813,6.1035157e-06,1251.7177,93.600494,97.282799243927,41.61,31.204178,2010.2268,37602,800,[-0.376 -0.708 -0.463 -0.501 -0.158]
100.0,13259.932,9,1.1377242,1.0279902,-23.14,245.08563,,3.7288465,-114.01629730460171,2.229245,0.46441934,0.12488615,169.55228,100,0.15003818,10.692398,100.0,1.28965,-3.8146973e-07,261.27304,94.53665,111.73637175559998,51.09,28.531807,6.7749395,42711,900,[-0.327 -0.78  -0.4   -0.491 -0.157]
100.0,16451.42,10,1.114891,1.1717743,-19.805023,245.48877,,3.8806293,-113.4688253090832,2.25365,0.4819843,0.062043805,159.88591,100,0.15719144,10.978248,100.0,1.3214041,-3.2806397e-06,255.92383,94.61392,124.19676995277405,51.74,36.033546,7.952936,47885,1000,[-0.322 -0.784 -0.388 -0.47  -0.129]
100.0,9891.005,11,1.181464,1.1563848,-21.431496,234.57458,,3.3505545,-113.45963087654154,2.153254,0.45436993,0.09559208,151.38104,100,0.15443979,11.431056,100.0,1.344719,-4.3869018e-06,249.06247,94.909164,137.6105020046234,55.47,37.557808,11.523505,53432,1100,[-0.318 -0.798 -0.369 -0.463 -0.097]
100.0,2198.2524,12,1.0421416,0.46375278,-22.341698,221.11728,,1.7287052,-116.57925006754905,1.2519403,0.37799898,0.33177024,122.49523,100,0.1415302,12.34503,100.0,1.3657478,-4.196167e-07,226.36618,95.244835,152.12877202033997,62.09,38.785954,5.033475,59641,1200,[-0.333 -0.823 -0.367 -0.452 -0.074]
100.0,62499.176,13,1.4379244,3.2506356,-21.80317,223.47736,,27.028095,-117.67715509815724,4.8414736,0.8744915,0.041647736,158.35442,100,0.2563387,12.738959,100.0,1.405165,-4.15802e-06,247.8435,95.20946,167.06305384635925,62.09,60.416573,34.976463,65850,1300,[-0.331 -0.78  -0.343 -0.438 -0.053]
100.0,5688.9663,14,1.152105,1.0085113,-24.23861,223.22337,,3.5369925,-119.87651558774314,1.8044686,0.4866468,0.12216625,124.84086,100,0.18165745,12.606333,100.0,1.460064,-1.2588501e-06,233.65195,95.297104,182.3603904247284,64.74,43.886406,6.646706,72324,1400,[-0.384 -0.792 -0.355 -0.407 -0.014]
100.0,4427.8247,15,1.0450342,0.82973975,-25.80214,214.06044,,2.301675,-119.94636242108272,1.5640609,0.45714518,0.18818128,107.83922,100,0.18399782,12.815861,100.0,1.4618301,-8.506775e-06,218.82341,95.655685,198.3491711616516,71.73,33.425888,8.713322,79497,1500,[-0.404 -0.768 -0.358 -0.39   0.041]
100.0,307453.94,16,2.802502,17.19351,-23.787086,196.2664,,63.079258,-122.27026865675155,10.231518,3.4216926,0.008172985,144.67076,100,0.8737614,13.020385,100.0,1.522461,2.670288e-07,223.89392,96.07567,215.62984800338745,83.62,35.25295,234.78622,87859,1600,[-0.401 -0.767 -0.333 -0.386  0.043]
100.0,3774.1304,17,1.131878,0.8738694,-25.582985,199.13126,,3.6316752,-119.45728046004622,1.6010807,0.51714927,0.11751261,90.85627,100,0.22338496,13.310991,100.0,1.5039325,-3.890991e-06,205.76497,96.190895,234.5950949192047,85.05,35.96267,9.2035675,96364,1700,[-0.367 -0.798 -0.306 -0.428  0.104]
100.0,18071.572,18,1.3057965,3.222038,-36.313164,181.03377,,13.699671,-116.68799314322555,3.5680888,1.0475968,0.042970885,80.462524,100,0.40837845,16.162561,100.0,1.5047964,4.577637e-06,188.21237,96.62974,255.28903126716614,98.46,35.38534,94.94565,106210,1800,[-0.393 -0.759 -0.29  -0.424  0.085]
100.0,396556.1,19,2.2399862,21.28832,-28.258198,167.77249,,714.8873,-125.03856224056862,28.396973,16.015867,0.03867291,115.87218,100,2.1611803,16.038382,100.0,1.520166,-6.2561035e-06,199.61911,96.927246,280.5826532840729,120.65,39.600105,712.0272,118275,1900,[-0.4   -0.761 -0.274 -0.399  0.086]
100.0,17792.209,20,3.1697812,46.172443,-42.99281,133.59122,,1019.93195,-125.35132597098367,71.82642,40.592712,0.0163584,33.166443,100,9.630193,16.599169,100.0,1.5459763,1.1062622e-06,141.85973,97.88164,323.9711842536926,224.17,32.919266,1946.2393,140692,2000,[-0.433 -0.727 -0.256 -0.356  0.101]
100.0,1194258.4,21,16.974285,274.3851,-48.70837,125.30167,,167176.42,-122.27179088621985,13558.997,6533.7627,2.3291961e-05,114.36573,100,1290.4963,15.857099,100.0,1.5478722,-1.2016296e-06,173.25142,98.19835,383.69793796539307,305.05,31.492867,9067.782,171197,2100,[-0.539 -0.795 -0.292 -0.359  0.127]
100.0,147.93277,22,0.9629181,0.46967986,-32.81234,116.55399,,1.6350952,-104.48281033099565,1.5139407,0.4875943,0.12486388,-6.9145465,100,1.0596703,11.210031,100.0,1.5673621,8.201599e-07,117.63229,98.50328,463.6870377063751,420.69,30.121595,5.402836,213266,2200,[-0.533 -0.77  -0.24  -0.359  0.129]
100.0,209.86108,23,1.0632861,0.7301153,-39.43116,118.974724,,2.6741364,-108.06739467032381,2.1599607,0.7771769,0.047611304,-5.7557135,100,1.2137144,12.608472,100.0,1.5956029,2.1934509e-06,120.771866,98.43483,535.7874052524567,382.42,30.601824,5.822117,251508,2300,[-0.532 -0.767 -0.24  -0.362  0.148]
100.0,224.60448,24,1.0130028,0.6811804,-42.285885,122.81285,,2.2584748,-99.672240854331,1.9155095,0.6493084,0.09962577,-4.9934125,100,1.1666532,12.418793,100.0,1.6184609,-2.0980835e-06,124.24866,98.50408,611.2389259338379,401.97,29.861166,9.25089,291705,2400,[-0.547 -0.776 -0.245 -0.368  0.177]
100.0,289.40482,25,1.1521237,1.5684333,-40.213726,124.7959,,3.7105439,-101.49240234160916,2.7813363,0.9946149,0.055909216,-4.060337,100,1.4131514,13.801166,100.0,1.6480689,1.0490418e-06,127.232605,98.46672,683.1968185901642,380.63,31.822979,33.508873,329768,2500,[-0.55  -0.764 -0.24  -0.366  0.199]
100.0,205.18707,26,0.9727518,0.34984994,-35.862633,128.83723,,1.2264454,-104.8469612308727,1.166206,0.47505957,0.25538757,-4.9691606,100,0.82223797,13.227992,100.0,1.6608199,-1.5258789e-06,129.36472,98.442444,753.2226903438568,376.09,25.689472,3.3671274,367377,2600,[-0.552 -0.76  -0.232 -0.369  0.229]
100.0,272.28232,27,1.0593327,0.73637503,-38.38908,130.62018,,2.5075002,-94.55453153695396,2.010367,0.7327755,0.10648808,-2.7538073,100,1.1404604,13.368547,100.0,1.6829039,-5.7220458e-08,132.70695,98.49939,822.7619941234589,377.76,27.800749,7.8706856,405153,2700,[-0.551 -0.759 -0.235 -0.369  0.242]
100.0,280.25873,28,0.97064424,0.5001875,-48.720913,131.85593,,2.2672977,-100.9535657862371,1.779233,0.7153459,0.114098884,-4.506164,100,0.9762182,16.742788,100.0,1.7060356,3.1471252e-06,133.47498,98.41113,885.6088206768036,342.87,35.5022,5.0672483,439440,2800,[-0.554 -0.755 -0.234 -0.377  0.264]
100.0,214.42836,29,0.91899717,0.7229201,-41.26111,132.86569,,3.0976505,-99.62735430120937,2.26273,0.85647786,0.063335195,-5.77439,100,1.1868504,14.013832,100.0,1.7354437,1.6021728e-06,134.63123,98.44824,953.8661506175995,361.13,22.950165,12.072016,475553,2900,[-0.565 -0.754 -0.231 -0.372  0.287]
100.0,344.45233,30,1.0965323,0.8985545,-36.949127,139.69435,,3.7278228,-105.84595220716474,2.3954735,0.88312024,0.068315536,-0.75834966,100,1.2436069,13.208466,100.0,1.757881,1.335144e-07,141.71384,98.42447,1024.259980916977,367.82,28.11538,16.170122,512335,3000,[-0.587 -0.747 -0.235 -0.367  0.317]
