MaxIW,EmpiricalD2,MeanD2w0t,TimestepsSoFar,MinD2w0t,Bound,MeanIW,EpThisIter,InitialReturnStd,J_sample_variance,MaxD2w0t,EntropyCoefficient,ReturnStepMax,Weights,EpRewMean,ReturnMeanIW,MeanEntropy,InitialBound,MinIW,InitialReturnMean,StdD2w0t,Iteration,EpLenMean,InitialReturnMax,InitialReturnMin,EpisodesSoFar,TimeElapsed,ReturnStepMaxmin,StdIW
5.6977787,1.4949399,0.09269687,3509,,173.4253,1.1641979,100,10.794412,23427.281,2.2122934,10.0,100.0,[-0.822 -0.493 -0.474 -0.749  0.   ],-108.1894935537418,261.81543,1.4312159,153.94077,0.16537994,-4.119873e-06,0.34344772,1,35.09,33.495453,-16.371025,100,6.132544755935669,92.833694,0.7463096
2.8910768,1.135683,0.085148014,7387,,127.01423,1.08082,100,12.870059,4349.823,1.3351691,10.0,100.0,[-0.824 -0.49  -0.442 -0.759  0.012],-108.19771129228062,214.03058,1.4023223,118.863884,0.36347115,4.196167e-07,0.29428914,2,38.78,64.001045,-17.649406,200,18.237884998321533,93.41993,0.38204682
26974.113,11570.619,209.6659,11062,,5828.352,63.478226,100,11.078585,14718277000.0,644342.1,10.0,100.0,[-0.84  -0.489 -0.457 -0.747 -0.017],-108.07460817485831,12380.359,1.2753844,138.9102,1.17069085e-05,-3.5476685e-06,7781.096,3,36.75,29.443748,-16.818306,300,28.58876132965088,93.11844,661.3052
1.7934011,1.0361149,0.074088044,14691,,137.49084,1.0282485,100,12.757565,1085.7582,1.1671536,10.0,100.0,[-0.921 -0.333 -0.431 -0.615 -0.144],-108.2107089747305,221.72421,1.267216,133.97577,0.61498064,2.9373168e-06,0.26493287,4,36.29,43.076004,-15.210663,400,42.12720513343811,93.03646,0.1719075
36.544624,2.8718443,0.12740211,17995,,209.71747,1.4514455,100,11.690513,392926.5,22.209394,10.0,100.0,[-0.903 -0.327 -0.423 -0.619 -0.152],-108.07927181470689,325.96646,1.223502,169.8553,0.018645195,9.155273e-07,0.6343639,5,33.04,42.497932,-13.3828125,500,51.347328662872314,92.45767,3.4492133
4.9192476,1.2763164,0.07188906,21068,,214.7729,1.1547211,100,11.191329,16139.777,2.1504524,10.0,100.0,[-0.864 -0.294 -0.391 -0.645 -0.196],-107.00549137295073,298.2697,1.17835,191.3519,0.088539846,3.4332277e-07,0.28542727,6,30.73,29.112854,-13.681915,600,63.832616090774536,92.03577,0.58258957
2.4222727,1.0949136,0.071710855,24440,,164.38686,1.0559443,100,12.2622795,3104.155,1.3268504,10.0,100.0,[-0.847 -0.32  -0.396 -0.662 -0.241],-107.29468949745214,247.98364,1.1528299,156.98476,0.3307979,-2.1743774e-06,0.26722494,7,33.72,30.053562,-14.805115,700,73.76794385910034,92.63615,0.26452672
3.0977693,1.1401249,0.08097313,28192,,133.12442,1.0891296,100,13.000983,4266.5464,1.4548008,10.0,100.0,[-0.826 -0.322 -0.395 -0.659 -0.266],-107.43810900419903,221.87857,1.1689384,124.0609,0.4439417,2.708435e-06,0.28516728,8,37.52,38.113266,-16.611343,800,84.5006856918335,93.273026,0.38846037
3.848933,1.2354898,0.0761688,31636,,153.28429,1.0810628,100,14.481831,11344.676,1.5016941,10.0,100.0,[-0.83  -0.339 -0.399 -0.666 -0.25 ],-105.81460135867732,241.44398,1.1912736,145.2034,0.29602045,4.9591063e-06,0.28107417,9,34.44,48.3725,-16.975449,900,95.16797685623169,92.8552,0.57492673
7198.83,3789.7593,26.75128,35254,,5686.788,66.83227,100,10.750797,8999569000.0,97870.43,10.0,100.0,[-0.823 -0.35  -0.39  -0.666 -0.228],-107.78937671068395,9728.412,1.2294937,136.7649,0.0002977663,1.7166137e-06,823.4695,10,36.18,32.36428,-15.750984,1000,105.0143928527832,93.04219,683.74524
15.688089,1.4688334,0.109356016,39366,,115.60794,1.207977,100,13.385148,37859.71,4.38184,10.0,100.0,[-0.817 -0.39  -0.338 -0.645 -0.189],-106.95474449681133,212.10881,1.2412103,104.78723,0.12914842,3.5858154e-06,0.3797577,11,41.12,39.170746,-20.086235,1100,120.32528162002563,93.79792,1.4763559
5.3414936,1.3516173,0.10142548,43613,,107.901985,1.1932654,100,12.48867,8777.822,2.1517453,10.0,100.0,[-0.828 -0.368 -0.322 -0.654 -0.178],-107.4765079703849,202.5118,1.2572273,94.3531,0.15879859,-1.1825562e-06,0.33711964,12,42.47,36.921886,-19.450905,1200,131.08532071113586,93.93879,0.71218216
4.769287,1.2414215,0.086898044,47453,,131.49652,1.1311073,100,12.105477,8446.874,1.8981857,10.0,100.0,[-0.824 -0.358 -0.335 -0.645 -0.162],-107.30770482115291,221.31082,1.262703,119.72644,0.18559505,-4.9591063e-06,0.30426878,13,38.4,31.920181,-15.756905,1300,141.92957091331482,93.41118,0.56628937
1.8913115,1.0664176,0.07730765,51175,,132.43384,1.0472742,100,13.374639,1764.9956,1.1906683,10.0,100.0,[-0.802 -0.35  -0.341 -0.637 -0.156],-106.72174845474339,215.43565,1.2366875,126.98057,0.23709124,-1.2588501e-06,0.27272317,14,37.22,45.933846,-16.42823,1400,151.3729121685028,93.26536,0.22842295
4.4629054,1.3536444,0.08346549,54883,,147.89595,1.1246195,100,11.409522,11272.169,1.7609042,10.0,100.0,[-0.813 -0.349 -0.342 -0.633 -0.182],-107.56729031803872,229.33505,1.218288,135.42981,0.17949268,-1.335144e-06,0.2967956,15,37.08,43.121315,-15.688324,1500,163.88829064369202,93.19811,0.6538658
4.222721,1.1712779,0.08087271,58545,,138.27808,1.0895696,100,12.720993,10848.462,1.5581989,10.0,100.0,[-0.779 -0.336 -0.339 -0.636 -0.201],-107.41412328207281,227.53691,1.198599,131.82649,0.30383855,4.7683716e-06,0.28928217,16,36.62,40.323586,-16.293892,1600,174.32994604110718,93.1336,0.59760183
3.6280224,1.2788719,0.08797875,62381,,127.597626,1.1158539,100,11.591557,9656.021,1.8982149,10.0,100.0,[-0.797 -0.317 -0.344 -0.621 -0.22 ],-107.33533742559915,220.89388,1.1683218,118.490005,0.1458371,1.7166137e-06,0.30754763,17,38.36,38.57118,-17.293655,1700,185.32003259658813,93.404205,0.60096043
3.0237002,1.0716707,0.08557307,66478,,108.53683,1.05383,100,13.068084,2184.3198,1.2116674,10.0,100.0,[-0.815 -0.312 -0.354 -0.63  -0.251],-107.89131381392207,192.97844,1.1734741,103.99881,0.55710095,-2.8991699e-06,0.28671244,18,40.97,34.73434,-19.479881,1800,199.27842235565186,93.733154,0.30732056
3.5319796,1.1454403,0.07476454,69913,,153.84357,1.047244,100,11.685789,8953.031,1.5632102,10.0,100.0,[-0.836 -0.311 -0.362 -0.634 -0.245],-107.64384737282683,239.76384,1.1670972,151.49171,0.25968736,-6.713867e-06,0.27607542,19,34.35,30.980686,-14.173767,1900,208.58041429519653,92.73253,0.4748281
2.327184,1.1057076,0.08433339,73848,,119.20483,1.0722508,100,13.098616,3081.8176,1.2754132,10.0,100.0,[-0.833 -0.319 -0.366 -0.622 -0.252],-107.1247800127246,204.5747,1.1406168,112.83948,0.39886662,-4.8828124e-06,0.28897792,20,39.35,33.292458,-17.550613,2000,220.14366793632507,93.55532,0.31931394
4.92767,1.3050773,0.083275214,77539,,135.82166,1.0954175,100,13.783406,11075.672,1.8541067,10.0,100.0,[-0.845 -0.312 -0.373 -0.615 -0.278],-106.6135929343295,228.32056,1.1230487,126.00726,0.211655,2.670288e-06,0.29700032,21,36.91,38.22718,-17.115623,2100,229.12962913513184,93.22305,0.58597565
20.886112,2.0119545,0.12034515,81442,,148.27626,1.3808056,100,12.691468,92206.24,4.2634554,10.0,100.0,[-0.855 -0.31  -0.363 -0.604 -0.296],-107.50982940640287,260.90033,1.1976205,115.93287,0.16722034,6.8664554e-07,0.43783394,22,39.03,41.915382,-16.408852,2200,240.89684534072876,93.49121,2.1134987
