MeanD2w0t,TimeElapsed,StdD2w0t,ReturnStepMaxmin,EntropyCoefficient,StdIW,MinD2w0t,MaxIW,EpLenMean,Weights,InitialReturnMean,J_sample_variance,InitialReturnStd,InitialBound,MeanIW,InitialReturnMin,ReturnStepMax,EpRewMean,InitialReturnMax,EpisodesSoFar,MaxD2w0t,Bound,MinIW,MeanEntropy,Iteration,TimestepsSoFar,EpThisIter,ReturnMeanIW,EmpiricalD2
0.04957415,3.973081588745117,0.23743507,89.15846,100.0,0.54830045,,3.4618266,21.25,[ 0.867 -0.5   -0.634  0.472  0.   ],8.392334e-07,50127.03,1.5804397,502.64474,1.087397,-2.51548,100.0,-115.19138151004096,5.4108276,100,2.100429,521.4729,0.15132757,1.3776938,1,2125,100,479.33344,1.2669853
0.117814705,16.835434913635254,0.7983963,89.28461,100.0,3.3702533,,29.873682,21.45,[ 0.897 -0.508 -0.647  0.432 -0.041],-5.0354006e-06,1646942.8,1.9794897,497.19202,1.5158895,-2.8779373,100.0,-114.92258953056866,6.1829453,200,45.605293,621.8127,0.0019782493,1.3039417,2,4270,100,639.4439,7.4516687
0.046322104,28.902687311172485,0.22628564,88.78345,100.0,0.53210795,,5.2299323,20.29,[ 0.941 -0.438 -0.638  0.35  -0.115],9.994506e-06,48685.816,2.1284995,514.82117,1.0813445,-2.9281158,100.0,-113.42300634671497,6.245369,300,1.6484913,546.6568,0.45332918,1.3563538,3,6299,100,495.5663,1.2444302
0.04427502,42.47138500213623,0.21393573,88.939926,100.0,0.35519132,,2.7234573,20.64,[ 0.946 -0.454 -0.66   0.374 -0.063],-7.93457e-06,20434.24,2.276713,505.36755,1.048831,-3.113205,100.0,-113.45762092111437,6.8896255,400,1.5580596,512.5508,0.28058168,1.3134282,4,8363,100,470.35318,1.1060128
0.04835332,54.23600506782532,0.23378852,89.10776,100.0,0.6486484,,4.3448095,20.96,[ 0.977 -0.456 -0.65   0.376 -0.106],7.476807e-06,61740.35,2.1007025,500.7931,1.1457539,-3.649475,100.0,-113.54356673037377,6.062599,500,2.0433407,542.2475,0.14539945,1.2686023,5,10459,100,499.94537,1.4862818
0.44694352,69.03809142112732,8.597877,89.31769,100.0,31.529053,,329.02054,21.4,[ 0.973 -0.475 -0.635  0.357 -0.15 ],1.0910034e-05,102232730.0,2.1050107,479.14026,4.0310607,-2.9661179,100.0,-114.29975360248052,6.067604,600,729.7771,1091.1356,0.01176576,1.3330693,6,12599,100,1443.8387,58.07472
0.044957597,87.78225755691528,0.2095642,89.53687,100.0,0.22113116,,1.819425,22.01,[ 1.046 -0.417 -0.64   0.413 -0.086],-5.569458e-06,6431.039,2.0967853,473.09192,1.0158644,-3.5217743,100.0,-114.86310625956801,5.3532486,700,1.1426226,476.93127,0.5058086,1.3281732,7,14800,100,430.24945,1.05808
0.09226997,100.44237875938416,0.5933122,89.24743,100.0,3.000286,,21.463955,21.39,[ 1.063 -0.41  -0.64   0.424 -0.091],-7.5531007e-06,1297516.5,1.884188,487.12192,1.3651264,-2.6653137,100.0,-114.48304533572083,5.6550293,800,12.720393,572.1315,0.00033158693,1.3173171,8,16939,100,577.4719,8.325998
0.04449112,115.70408773422241,0.21892813,88.65217,100.0,0.4533175,,3.1063647,19.97,[ 1.133 -0.363 -0.66   0.438 -0.102],-1.3732911e-06,39016.58,1.867507,516.3735,1.0487381,-2.7850418,100.0,-113.04413664194024,5.446739,900,1.6298766,534.3596,0.45057523,1.3635049,9,18936,100,490.35107,1.1704783
0.14073157,128.82091641426086,1.2175019,89.39138,100.0,9.485105,,97.33623,21.89,[ 1.165 -0.395 -0.684  0.439 -0.055],6.713867e-06,9713305.0,2.1169791,479.5734,1.817926,-2.991722,100.0,-114.76081531467628,4.831711,1000,49.855766,614.1178,4.8466718e-05,1.2880274,10,21125,100,696.7447,14.113901
0.120661035,143.2910499572754,0.80941015,89.28717,100.0,4.466732,,44.735542,21.34,[ 1.136 -0.472 -0.668  0.398 -0.131],-7.400513e-06,1944964.0,2.2141206,478.10248,1.4330231,-2.94635,100.0,-114.20011100841782,9.123787,1100,24.146461,542.9011,0.008886328,1.2883189,11,23259,100,576.57794,8.473847
0.6208172,157.77925324440002,6.016754,89.48232,100.0,15.089522,,142.82489,21.9,[ 1.123 -0.535 -0.659  0.447 -0.13 ],9.689331e-06,31578784.0,1.8388618,477.1015,2.8610768,-3.1479416,100.0,-115.16545707026775,5.5594254,1200,215.05093,836.3287,1.3218787e-05,1.1086327,12,25449,100,1132.3134,92.03973
0.056927256,173.26512169837952,0.26305985,90.019196,100.0,0.9428873,,6.5554876,23.44,[ 0.997 -0.532 -0.581  0.441 -0.31 ],-1.1444092e-06,102207.555,1.8859141,427.68878,1.1202592,-2.7153015,100.0,-116.97508443932037,6.1593704,1300,2.766871,454.13834,0.15699178,1.1521213,13,27793,100,442.062,1.6826699
0.069821395,186.64717364311218,0.3396497,89.61453,100.0,1.2419513,,9.174884,22.33,[ 1.01  -0.502 -0.576  0.449 -0.267],7.6293944e-08,220762.55,1.7698766,451.71375,1.2236254,-2.834137,100.0,-115.9538440775026,5.0625763,1400,4.2348266,503.78833,0.09188,1.1485063,14,30026,100,505.146,2.11707
0.055325717,201.62186670303345,0.24947628,90.16589,100.0,0.83615875,,7.6249294,23.69,[ 1.037 -0.508 -0.606  0.419 -0.27 ],-7.2479247e-06,65529.89,2.069699,420.46686,1.1508473,-3.2563782,100.0,-116.48505737474568,6.8637924,1500,1.7661167,453.00192,0.19589555,1.1017838,15,32395,100,442.16086,1.3701175
0.047505558,215.70253729820251,0.21815203,89.76671,100.0,0.30509675,,2.3072228,22.66,[ 1.013 -0.502 -0.587  0.423 -0.317],-8.010864e-06,12877.308,1.9313056,441.68964,1.020981,-3.0536804,100.0,-115.94320819842244,6.2637787,1600,1.2085631,449.45465,0.62842834,1.1379194,16,34661,100,420.8107,1.0826515
0.36309457,229.65751576423645,3.3069835,90.06709,100.0,19.326174,,346.03915,23.54,[ 0.998 -0.494 -0.58   0.426 -0.281],1.4495849e-06,47594340.0,2.1647437,420.48248,2.8084352,-3.1399841,100.0,-116.91024230712299,11.235062,1700,208.53044,834.5748,0.0020848934,1.1379753,17,37015,100,1047.5519,43.752853
0.05333527,243.27532172203064,0.2309738,90.62662,100.0,0.25915006,,1.9032809,25.38,[ 0.937 -0.496 -0.512  0.398 -0.281],-7.6293946e-07,7197.346,1.959605,389.69012,1.0592417,-2.898735,100.0,-118.94832004252054,8.500175,1800,1.3570414,399.33212,0.36403763,1.1066624,18,39553,100,388.75934,1.08052
