InitialBound,InitialReturnStd,InitialReturnMin,InitialReturnMax,InitialReturnMean,StdD2w0t,MeanIW,TimeElapsed,EpRewMean,Bound,ReturnStepMax,MeanD2w0t,EpisodesSoFar,MinIW,Iteration,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpLenMean,MinD2w0t,EntropyCoefficient,ReturnMeanIW,MaxD2w0t,MaxIW,Weights,J_sample_variance,StdIW,EmpiricalD2,MeanEntropy
-55.15161,12.600159,-16.716774,33.927227,-1.2207031e-06,0.26471007,1.0610425,8.356909275054932,-107.5568281044892,-49.39929,100.0,0.073040694,100,0.4624123,1,92.924065,3540,100,35.4,,10.0,233.81082,1.1044705,2.4639997,[-0.563 -1.093 -0.809 -1.04   0.   ],2857.2327,0.29021186,1.0478642,1.4254429
-65.49562,14.42625,-17.257652,54.66076,-3.1280517e-06,0.4414341,1.6526666,19.029146671295166,-106.94304446473407,-41.84791,100.0,0.113809004,200,0.03825589,2,93.07194,7148,100,36.08,,10.0,330.48428,6.1640186,27.958263,[-0.576 -1.087 -0.816 -1.027  0.007],352178.72,3.6064668,3.0979407,1.4232745
-94.22316,13.898683,-20.51928,42.273373,1.1444092e-06,0.27555045,1.018547,30.429136276245117,-107.72078730683005,-92.58778,100.0,0.08195971,300,0.7316315,3,93.69878,11212,100,40.64,,10.0,190.77115,1.031359,1.3620856,[-0.62  -1.095 -0.791 -1.008  0.004],507.38522,0.1134115,1.016067,1.4141741
-102.61124,16.0556,-21.167046,42.856407,-4.15802e-06,0.27786627,1.0235497,41.51038980484009,-105.35841739851034,-100.54681,100.0,0.08344256,400,0.6802273,4,93.905334,15348,100,41.36,,10.0,182.70259,1.0368016,1.6886909,[-0.621 -1.089 -0.791 -1.007 -0.005],664.2915,0.14050566,1.0199673,1.4238214
-77.17831,13.844321,-17.560753,38.117188,-7.2479247e-07,0.26554313,1.0231602,51.196659088134766,-107.40411097347058,-74.944885,100.0,0.07571756,500,0.7524125,5,93.287025,19108,100,37.6,,10.0,209.69102,1.0519555,1.5843933,[-0.612 -1.093 -0.793 -1.013  0.005],496.88412,0.104901925,1.0128168,1.4246991
-65.05495,11.68288,-17.298447,32.2389,-4.53949e-06,0.2742408,1.0586689,60.989691495895386,-109.04170840031222,-60.35936,100.0,0.078732595,600,0.55286545,6,93.27603,22918,100,38.1,,10.0,216.66241,1.1406415,2.0662525,[-0.627 -1.083 -0.793 -1.005  0.006],2987.3538,0.28574005,1.051893,1.4326158
-69.62448,14.854181,-19.103798,44.922325,-7.2860717e-06,0.26343825,1.0187505,70.46923303604126,-105.9465536693426,-67.67411,100.0,0.07425042,700,0.7627061,7,93.242035,26598,100,36.8,,10.0,212.26628,1.0301389,1.4806559,[-0.641 -1.076 -0.784 -1.005  0.014],802.166,0.12098084,1.0134736,1.4418497
-79.61245,12.73204,-17.920097,39.877678,1.4495849e-06,0.2695465,1.0396558,80.2674994468689,-107.62792743298589,-76.14987,100.0,0.077276856,800,0.6629636,8,93.33239,30396,100,37.98,,10.0,210.8167,1.0489088,1.7013348,[-0.635 -1.084 -0.783 -1.01   0.023],1098.7169,0.16250913,1.0235739,1.428795
-82.73958,14.360986,-16.375542,58.21771,5.0735475e-06,0.26357958,1.0291826,89.18146657943726,-108.22650338485346,-79.86282,100.0,0.07415059,900,0.64207923,9,93.09728,34063,100,36.67,,10.0,219.1857,1.0438948,1.3727419,[-0.646 -1.088 -0.793 -1.008  0.01 ],967.0013,0.13987395,1.0174366,1.4346801
-75.8297,13.28773,-16.705147,49.8348,-3.7765503e-06,0.26574156,1.0486553,98.82776951789856,-107.7304433684418,-71.194786,100.0,0.07443212,1000,0.5826985,10,93.079185,37702,100,36.39,,10.0,224.2507,1.1277094,1.7954779,[-0.653 -1.102 -0.801 -1.012  0.016],1683.1422,0.21782559,1.0485063,1.44007
