EmpiricalD2,MeanEntropy,EpRewMean,MeanIW,InitialReturnMin,EntropyCoefficient,InitialReturnMax,MeanD2w0t,StdIW,MaxD2w0t,Iteration,EpThisIter,Bound,TimeElapsed,EpLenMean,InitialBound,MinD2w0t,Weights,StdD2w0t,InitialReturnStd,ReturnStepMaxmin,ReturnStepMax,J_sample_variance,ReturnMeanIW,EpisodesSoFar,TimestepsSoFar,MaxIW,MinIW,InitialReturnMean
1.0249413,1.4076811,-121.62483749719935,1.0314419,-16.882248,10.0,25.629276,0.09251699,0.17320776,1.0464509,1,100,-99.09274,6.178860187530518,45.73,-101.46176,,[-0.365 -0.68  -0.484 -0.253  0.   ],0.2915925,8.854463,93.704056,100.0,771.6401,186.53531,100,4573,1.7050924,0.70390356,1.2969971e-06
1.0137126,1.4022353,-119.99395811084605,1.0196785,-17.690178,10.0,19.477047,0.0911865,0.118049175,1.0304352,2,100,-90.87485,19.83117175102234,45.28,-92.3893,,[-0.361 -0.677 -0.48  -0.258 -0.011],0.2889614,8.021248,93.91565,100.0,393.11166,184.62166,200,9101,1.378108,0.68977296,3.3187866e-06
1.0118024,1.4125395,-120.0974692988047,1.0143619,-18.10717,10.0,23.00399,0.091774814,0.13461182,1.0210128,3,100,-100.370926,31.331004858016968,45.58,-101.44713,,[-0.361 -0.668 -0.479 -0.259 -0.017],0.2897804,8.556568,93.86917,100.0,506.8238,182.69044,300,13659,1.6171317,0.797884,6.3705443e-06
1.0092974,1.4090943,-120.79507486013762,1.0147856,-16.623512,10.0,30.581062,0.093089715,0.08889449,1.0220209,4,100,-98.99582,43.18351721763611,46.32,-100.152466,,[-0.358 -0.666 -0.475 -0.259 -0.006],0.29134038,9.074253,93.96296,100.0,305.31375,179.77109,400,18291,1.2432555,0.72261673,-2.5177003e-06
1.0280181,1.3964845,-118.78211168504659,1.0285995,-15.939743,10.0,21.900146,0.08864789,0.16530801,1.0473974,5,100,-81.64514,54.16677927970886,43.73,-84.06207,,[-0.368 -0.667 -0.477 -0.261 -0.01 ],0.28636968,7.989007,93.759926,100.0,649.0137,193.1153,500,22664,1.4471939,0.64753807,-1.7166137e-06
1.0162601,1.3899943,-121.3429983056745,1.0279951,-16.439995,10.0,29.973068,0.09357783,0.1279181,1.0334496,6,100,-93.79714,66.34860634803772,46.37,-96.26607,,[-0.369 -0.667 -0.481 -0.264 -0.022],0.292694,8.85418,93.820816,100.0,443.7267,182.13751,600,27301,1.5302461,0.7245376,4.4250487e-06
1.0167453,1.3951368,-120.99098750844205,1.0185181,-16.463951,10.0,25.38742,0.09052349,0.13707976,1.0285767,7,100,-92.014984,78.54001665115356,45.0,-93.43206,,[-0.375 -0.68  -0.49  -0.262 -0.029],0.28786072,9.093313,93.71249,100.0,383.3497,187.07695,700,31801,1.4605783,0.7121084,-1.5258789e-07
1.0177883,1.3945545,-120.04952172323279,1.0248213,-17.554207,10.0,17.199242,0.09247562,0.13593487,1.0379553,8,100,-98.55498,90.2558798789978,45.91,-101.00682,,[-0.364 -0.676 -0.484 -0.266 -0.024],0.2908327,7.8592234,93.96673,100.0,359.53772,182.53345,800,36392,1.5792232,0.68751836,2.2125244e-06
1.0101527,1.3955092,-120.43743444793361,1.0123014,-16.481728,10.0,21.916779,0.09251018,0.08416053,1.0189086,9,100,-94.030975,101.80435109138489,46.05,-94.9966,,[-0.348 -0.675 -0.477 -0.269 -0.024],0.29044774,9.102312,93.976715,100.0,216.81207,180.19673,900,40997,1.3223797,0.8373067,-1.5258789e-06
1.027072,1.3983245,-121.34483530551285,1.0244602,-14.123741,10.0,29.079594,0.09301135,0.16351758,1.0465631,10,100,-95.297134,114.44905734062195,46.19,-97.147934,,[-0.352 -0.671 -0.478 -0.265 -0.023],0.2915417,8.595042,93.82563,100.0,544.1313,182.3462,1000,45616,1.5793314,0.7288042,-2.708435e-06
1.0250856,1.3931814,-122.05005741400265,1.028333,-15.6160965,10.0,21.911594,0.09386859,0.14087248,1.0409265,11,100,-98.305855,126.55263090133667,46.5,-100.28621,,[-0.364 -0.672 -0.48  -0.26  -0.021],0.2931573,8.130694,94.0337,100.0,431.24734,182.24695,1100,50266,1.4024584,0.69756234,-1.0108948e-05
1.0041891,1.3975697,-121.51100482271626,1.0068995,-16.463707,10.0,24.51247,0.092717536,0.05777785,1.0089117,12,100,-104.00798,139.58021903038025,46.25,-104.61222,,[-0.37  -0.671 -0.482 -0.254 -0.026],0.2904185,7.8537703,93.951294,100.0,166.0073,179.94315,1200,54891,1.2919719,0.87576157,1.335144e-06
1.0024853,1.3959432,-120.05748216884157,1.0043883,-16.389198,10.0,25.178436,0.093900315,0.043105245,1.0060602,13,100,-109.08228,151.5156605243683,46.86,-109.49057,,[-0.372 -0.666 -0.48  -0.254 -0.021],0.2920009,9.148436,93.98959,100.0,152.94139,174.74582,1300,59577,1.1105782,0.8796999,-5.0354006e-06
1.056591,1.3926657,-121.88069857607286,1.0484284,-16.92595,10.0,30.063244,0.097962864,0.26235083,1.0943012,14,100,-116.26226,164.08985090255737,48.05,-119.70768,,[-0.368 -0.665 -0.476 -0.254 -0.023],0.30047384,9.013763,94.1153,100.0,1221.8087,178.14726,1400,64382,1.962354,0.51896465,-8.010864e-06
1.0356605,1.3868324,-121.98429927141152,1.033208,-17.088646,10.0,23.065994,0.09549875,0.18826336,1.0676384,15,100,-97.70754,175.87094521522522,47.25,-100.59588,,[-0.384 -0.679 -0.483 -0.251 -0.026],0.29564115,9.303559,94.05823,100.0,711.47876,179.73462,1500,69107,1.713378,0.6238498,2.1362305e-06
1.032875,1.4000461,-123.77540996726988,1.0414234,-13.155006,10.0,24.539143,0.09488314,0.18355843,1.0677241,16,100,-96.909164,187.89935636520386,46.63,-100.321724,,[-0.402 -0.677 -0.487 -0.246 -0.032],0.29588667,8.36108,93.91416,100.0,726.764,186.61217,1600,73770,1.834955,0.63127863,9.269715e-06
1.0062088,1.3994411,-121.96248270235226,1.0073035,-16.675987,10.0,18.444279,0.09492778,0.08034931,1.0143065,17,100,-113.65016,200.0963888168335,47.38,-114.11392,,[-0.397 -0.693 -0.492 -0.249 -0.019],0.29340005,8.266698,93.99427,100.0,185.21971,174.96199,1700,78508,1.3449652,0.7929685,-6.5231325e-06
1.0310764,1.3974595,-120.8372185947335,1.0319681,-18.098991,10.0,22.56911,0.098098904,0.20045736,1.0534521,18,100,-112.36154,211.77049350738525,48.65,-114.37918,,[-0.402 -0.691 -0.492 -0.246 -0.019],0.29881442,9.239452,94.21725,100.0,716.7921,170.54582,1800,83373,1.8744222,0.70770407,-3.852844e-06
1.0048635,1.3974892,-122.33934432419377,1.0061561,-16.128036,10.0,28.204052,0.095937304,0.07070015,1.009117,19,100,-109.53237,223.11518168449402,47.9,-109.82616,,[-0.415 -0.687 -0.493 -0.241 -0.021],0.29474747,8.885904,94.06937,100.0,93.464905,172.78412,1900,88163,1.2482505,0.84423333,-9.918213e-07
1.0879785,1.3836789,-121.8436632473707,1.0942996,-14.951393,10.0,30.15923,0.10125101,0.31377858,1.1520336,20,100,-114.07913,234.79918932914734,49.01,-120.512566,,[-0.412 -0.688 -0.494 -0.242 -0.021],0.307255,8.836498,94.12113,100.0,1730.869,179.36453,2000,93064,2.4099822,0.4236591,-5.7983398e-06
1.0208263,1.383789,-121.12360249266995,1.0300618,-16.478745,10.0,17.561,0.09673922,0.14529096,1.0548334,21,100,-105.61293,248.1170425415039,47.73,-108.34709,,[-0.422 -0.689 -0.491 -0.237 -0.035],0.29780763,7.843806,94.09835,100.0,567.7261,176.27638,2100,97837,1.5655451,0.6544064,4.5013426e-06
1.0246733,1.3872408,-122.23442058467585,1.0346022,-15.902824,10.0,24.431911,0.10036207,0.15838173,1.0437664,22,100,-111.09097,260.7926640510559,49.47,-113.95363,,[-0.433 -0.686 -0.497 -0.24  -0.035],0.30288577,9.756013,94.206184,100.0,618.7177,170.03812,2200,102784,1.5016917,0.6934074,-8.392334e-07
1.0160102,1.390602,-122.5285048561813,1.0229437,-16.66742,10.0,31.343426,0.09823908,0.13281447,1.0331794,23,100,-110.76352,271.7895565032959,48.64,-112.402664,,[-0.422 -0.693 -0.491 -0.245 -0.032],0.29926032,8.899164,94.10495,100.0,467.2319,172.23375,2300,107648,1.4489152,0.7428045,-2.1362305e-06
