EpLenMean,StdIW,EpisodesSoFar,Iteration,J_sample_variance,MinIW,EpRewMean,MeanIW,InitialReturnMax,ReturnMeanIW,TimeElapsed,ReturnStepMax,MeanEntropy,MaxIW,ReturnStepMaxmin,EpThisIter,MinIWNorm,InitialReturnStd,ESSClassic,Bound,InitialReturnMin,MeanIWNorm,ESSRenyi,Weights,MaxIWNorm,InitialReturnMean,InitialBound,TimestepsSoFar,EmpiricalD2,StdIWNorm
96.45,0.838669,100,1,7108.406,0.00013031653,-97.0,0.39419886,,-39.371925,8.277466535568237,100.0,2.798872,5.448507,,100,1.3031653e-06,17.058722,18.095043,-50.90675,-100.0,0.003941989,0.75917655,[-0.155  0.183  0.205 ...  0.116  0.     0.   ],0.054485068,-97.0,-98.005035,9645,131.72166,0.00838669
101.28,0.7630937,200,2,5910.349,0.0007789771,-95.0,0.3526682,,-34.6974,42.94302582740784,100.0,2.782116,4.5483637,,100,7.789771e-06,21.794495,17.59971,-47.273933,-100.0,0.003526682,0.6386206,[-0.155  0.184  0.204 ...  0.117 -0.021 -0.018],0.045483638,-95.0,-96.005035,19773,156.5875,0.0076309373
94.5,0.6152673,300,3,3161.6174,0.00038987002,-98.0,0.275716,,-24.622784,77.87106156349182,100.0,2.7208824,3.9621232,,100,3.8987e-06,14.0,16.723228,-37.623104,-100.0,0.0027571598,0.59766334,[-0.155  0.185  0.205 ...  0.12  -0.042 -0.013],0.03962123,-98.0,-99.005035,29223,167.31827,0.0061526727
102.71,0.53783077,400,4,2942.9,0.00058547803,-97.0,0.2841494,,-27.61627,113.72686243057251,100.0,2.6916294,3.521397,,100,5.8547803e-06,17.058722,21.821692,-40.198227,-100.0,0.002841494,0.63807034,[-0.155  0.183  0.204 ...  0.115 -0.083 -0.034],0.03521397,-97.0,-98.005035,39494,156.72253,0.0053783073
107.79,0.6368192,500,5,4123.519,4.7889775e-05,-94.0,0.29284716,,-27.806358,149.07094192504883,100.0,2.643756,4.444154,,100,4.7889773e-07,23.748684,17.455685,-39.76407,-100.0,0.0029284717,0.70642924,[-0.155  0.184  0.205 ...  0.119 -0.064 -0.082],0.044441536,-94.0,-95.005035,50273,141.55699,0.0063681914
109.0,0.67126495,600,6,4572.631,5.1324605e-05,-98.0,0.52723235,,-51.941868,183.4952268600464,100.0,2.6242075,3.8608377,,100,5.1324605e-07,14.0,38.15333,-61.197075,-100.0,0.005272323,1.179214,[-0.154  0.184  0.204 ...  0.117 -0.085 -0.109],0.038608376,-98.0,-99.005035,61173,84.80225,0.0067126495
112.96,0.5927384,700,7,3548.8757,2.2882727e-05,-100.0,0.27104622,-100.0,-27.10462,220.59822463989258,100.0,2.5243633,3.4971716,100.0,100,2.2882726e-07,,17.294075,-38.91645,-100.0,0.0027104618,0.7239864,[-0.155  0.184  0.205 ...  0.118 -0.086 -0.128],0.034971714,-100.0,-101.005035,72469,138.12415,0.005927383
112.18,0.40262845,800,8,1641.8976,0.0012495071,-99.0,0.30006263,,-29.92102,260.1790452003479,100.0,2.548824,2.026038,,100,1.249507e-05,9.949874,35.70833,-40.9716,-100.0,0.0030006259,0.82716966,[-0.157  0.184  0.204 ...  0.118 -0.135 -0.179],0.020260379,-99.0,-100.005035,83687,120.89418,0.0040262844
114.74,0.44626433,900,9,2011.6349,5.4291486e-05,-100.0,0.25089467,-100.0,-25.089468,292.0200116634369,100.0,2.466784,2.938964,100.0,100,5.4291485e-07,,24.016842,-39.084316,-100.0,0.0025089467,0.5157371,[-0.158  0.184  0.204 ...  0.12  -0.128 -0.161],0.029389638,-100.0,-101.005035,95161,193.89723,0.0044626435
107.26,0.39307013,1000,10,1567.9869,0.000112193935,-98.0,0.24754198,,-24.52581,324.2257435321808,100.0,2.4501965,2.2475712,,100,1.1219394e-06,14.0,28.397768,-37.45668,-100.0,0.00247542,0.60410047,[-0.157  0.182  0.203 ...  0.119 -0.155 -0.216],0.022475712,-98.0,-99.005035,105887,165.53539,0.0039307014
