ReturnStepMaxmin,InitialReturnMean,EpLenMean,Bound,EpisodesSoFar,ReturnMeanIW,EmpiricalD2,Iteration,EpRewMean,MinIW,InitialReturnMax,ReturnStepMax,TimestepsSoFar,MeanEntropy,EpThisIter,Weights,ESSClassic,InitialBound,TimeElapsed,InitialReturnStd,ESSRenyi,MaxIW,RewardCompression,MeanIW,InitialReturnMin,StdIW
100.0,-100.0,84.53,-103.33333587646484,100,-100.0,1.0,1,-100.0,1.0,-100.0,100.0,8453,2.837890386581421,100,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],1.0,-103.333336,19.780319452285767,,100.0,1.0,0.99,1.0,-100.0,
100.0,-100.0,84.87,-103.33333587646484,200,-100.0,1.0,2,-100.0,1.0,-100.0,100.0,16940,2.837890386581421,100,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],1.0,-103.333336,50.49634861946106,,100.0,1.0,0.99,1.0,-100.0,
,-99.0,84.03,-8.040542602539062,300,-2.1881000995635986,3.082597017288208,3,-99.0,0.04376200061014049,,100.0,25343,2.8367836475372314,100,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],1.0,-53.333332,71.52310967445374,9.949873924255371,32.44017791748047,0.576499261719195,0.98,0.3101306311646677,-100.0,0.26636863055452725
100.0,-100.0,85.96,-103.33333587646484,400,-100.0,1.0,4,-100.0,1.0,-100.0,100.0,33939,2.8367836475372314,100,[ 0.159 -0.225  0.049 ...  0.067 -0.006  0.004],1.0,-103.333336,129.7631299495697,,100.0,1.0,0.99,1.0,-100.0,
,-99.0,88.6,-6.49222993850708,500,-1.505836009979248,2.2377707958221436,5,-99.0,0.030116720621192996,,100.0,42799,2.8190431594848633,100,[ 0.159 -0.225  0.049 ...  0.067 -0.006  0.004],1.0,-53.333332,154.06734132766724,9.949873924255371,44.68732833862305,0.33906160318881057,0.98,0.18458916190500177,-100.0,0.15447244128380877
100.0,-100.0,89.74,-16.8062801361084,600,-7.823571681976318,7.262012481689453,6,-100.0,0.0782357140769095,-100.0,100.0,51773,2.842482805252075,100,[ 0.159 -0.225  0.049 ...  0.068 -0.017 -0.002],1.0,-103.333336,213.70779967308044,,13.77028751373291,0.0782357140769095,0.99,0.0782357140769095,-100.0,
,-98.0,91.2,-53.33333206176758,700,-50.0,1.0,7,-98.0,1.0,,100.0,60893,2.842482805252075,100,[ 0.159 -0.225  0.049 ...  0.069 -0.001  0.005],1.0,-53.333332,280.33505749702454,14.0,100.0,1.0,0.98,1.0,-100.0,
100.0,-99.0,94.18,-53.33333206176758,800,-50.0,1.0,8,-99.0,1.0,,100.0,70311,2.842482805252075,100,[ 0.159 -0.225  0.049 ...  0.069 -0.001  0.005],1.0,-53.333332,309.3711636066437,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,87.05,-15.435775756835938,900,-6.573440074920654,7.068690299987793,9,-100.0,0.06573440193867075,-100.0,100.0,79016,2.912769317626953,100,[ 0.159 -0.225  0.049 ...  0.069 -0.001  0.005],1.0,-103.333336,335.5550982952118,,14.146892547607422,0.06573440193867075,0.99,0.06573440193867075,-100.0,
100.0,-100.0,89.41,-103.33333587646484,1000,-100.0,1.0,10,-100.0,1.0,-100.0,100.0,87957,2.912769317626953,100,[ 0.159 -0.225  0.049 ...  0.068  0.031  0.044],1.0,-103.333336,402.6992738246918,,100.0,1.0,0.99,1.0,-100.0,
100.0,-100.0,88.97,-103.33333587646484,1100,-100.0,1.0,11,-100.0,1.0,-100.0,100.0,96854,2.912769317626953,100,[ 0.159 -0.225  0.049 ...  0.068  0.031  0.044],1.0,-103.333336,428.7508580684662,,100.0,1.0,0.99,1.0,-100.0,
100.0,-100.0,85.36,-16.494979858398438,1200,-7.224153518676758,7.735337734222412,12,-100.0,0.07224153415243177,-100.0,100.0,105390,2.902343511581421,100,[ 0.159 -0.225  0.049 ...  0.068  0.031  0.044],1.0,-103.333336,447.62784004211426,,12.92768383026123,0.07224153415243177,0.99,0.07224153415243177,-100.0,
,-97.0,87.41,-53.33333206176758,1300,-50.0,1.0,13,-97.0,1.0,,100.0,114131,2.902343511581421,100,[ 0.159 -0.224  0.049 ...  0.065  0.023  0.041],1.0,-53.333332,518.779269695282,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-97.0,89.37,-53.33333206176758,1400,-50.0,1.0,14,-97.0,1.0,,100.0,123068,2.902343511581421,100,[ 0.159 -0.224  0.049 ...  0.065  0.023  0.041],1.0,-53.333332,547.6915576457977,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-97.0,83.58,-53.33333206176758,1500,-50.0,1.0,15,-97.0,1.0,,100.0,131426,2.902343511581421,100,[ 0.159 -0.224  0.049 ...  0.065  0.023  0.041],1.0,-53.333332,574.9561550617218,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-99.0,86.56,-11.655592918395996,1600,-5.067868709564209,3.905830144882202,16,-99.0,0.10135736848743959,,100.0,140082,2.9060733318328857,100,[ 0.159 -0.224  0.049 ...  0.065  0.023  0.041],1.0,-53.333332,595.9641559123993,9.949873924255371,25.602752685546875,0.22496940896168807,0.98,0.16316338872456382,-100.0,0.06180602023712424
,-97.0,86.31,-11.910645484924316,1700,-4.936593055725098,4.377366542816162,17,-97.0,0.09873185838162528,,100.0,148713,2.924917221069336,100,[ 0.159 -0.224  0.049 ...  0.066  0.027  0.041],1.0,-53.333332,650.2470109462738,17.0587215423584,22.844785690307617,0.13869272138406563,0.98,0.11871228988284546,-100.0,0.019980431501220176
,-95.0,85.65,-53.33333206176758,1800,-50.0,1.0,18,-95.0,1.0,,100.0,157278,2.924917221069336,100,[ 0.159 -0.225  0.049 ...  0.068  0.046  0.041],1.0,-53.333332,701.5184142589569,21.79449462890625,100.0,1.0,0.98,1.0,-100.0,
,-99.0,92.11,-53.33333206176758,1900,-50.0,1.0,19,-99.0,1.0,,100.0,166489,2.924917221069336,100,[ 0.159 -0.225  0.049 ...  0.068  0.046  0.041],1.0,-53.333332,724.9443264007568,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-99.0,91.36,-53.33333206176758,2000,-50.0,1.0,20,-99.0,1.0,,100.0,175625,2.924917221069336,100,[ 0.159 -0.225  0.049 ...  0.068  0.046  0.041],1.0,-53.333332,747.7521393299103,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-97.0,90.28,-3.3333334922790527,2100,,1.0,21,-97.0,1.0,100.0,100.0,184653,2.924917221069336,100,[ 0.159 -0.225  0.049 ...  0.068  0.046  0.041],2.0,-3.3333335,774.4008655548096,22.158519744873047,100.0,1.0,0.97,1.0,-100.0,
,-98.0,86.3,-13.060401916503906,2200,-5.939979076385498,4.5630364418029785,22,-98.0,0.11879958312894294,,100.0,193283,2.993000030517578,100,[ 0.159 -0.225  0.049 ...  0.068  0.046  0.041],1.0,-53.333332,797.8887693881989,14.0,21.915231704711914,0.9680361059911838,0.98,0.5434178445600634,-100.0,0.42461826143112047
,-95.0,88.05,-53.33333206176758,2300,-50.0,1.0,23,-95.0,1.0,,100.0,202088,2.993000030517578,100,[ 0.159 -0.224  0.049 ...  0.065  0.061  0.094],1.0,-53.333332,851.3849940299988,21.79449462890625,100.0,1.0,0.98,1.0,-100.0,
,-98.0,86.45,-8.463203430175781,2400,-2.392481565475464,3.3168299198150635,24,-98.0,0.04784962885102242,,100.0,210733,3.063295602798462,100,[ 0.159 -0.224  0.049 ...  0.065  0.061  0.094],1.0,-53.333332,872.2707254886627,14.0,30.149269104003906,0.19934570590728581,0.98,0.12359766737915412,-100.0,0.0757480385281317
,-96.0,87.1,-53.33333206176758,2500,-50.0,1.0,25,-96.0,1.0,,100.0,219443,3.063295602798462,100,[ 0.159 -0.224  0.049 ...  0.063  0.078  0.147],1.0,-53.333332,923.780344247818,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-96.0,88.22,-3.3333334922790527,2600,,1.0,26,-96.0,1.0,100.0,100.0,228265,3.063295602798462,100,[ 0.159 -0.224  0.049 ...  0.063  0.078  0.147],2.0,-3.3333335,943.1594557762146,24.166091918945312,100.0,1.0,0.97,1.0,-100.0,
,-98.0,84.3,-10.102679252624512,2700,-3.083998203277588,4.433568954467773,27,-98.0,0.06167996448780263,,100.0,236695,3.0555219650268555,100,[ 0.159 -0.224  0.049 ...  0.063  0.078  0.147],1.0,-53.333332,958.5592143535614,14.0,22.555192947387695,0.9068759302734097,0.98,0.4842779473806062,-100.0,0.42259798289280354
,-95.0,86.54,-8.066771507263184,2800,-2.354835271835327,2.936359167098999,28,-95.0,0.04709670367255814,,100.0,245349,3.0603506565093994,100,[ 0.159 -0.224  0.048 ...  0.063  0.082  0.136],1.0,-53.333332,1006.7789750099182,21.79449462890625,34.05577850341797,0.41445875018100553,0.98,0.23077772692678183,-100.0,0.1836810232542237
,-96.0,89.73,-53.33333206176758,2900,-50.0,1.0,29,-96.0,1.0,,100.0,254322,3.0603506565093994,100,[ 0.158 -0.224  0.049 ...  0.068  0.083  0.139],1.0,-53.333332,1059.530030488968,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-97.0,91.48,-53.33333206176758,3000,-50.0,1.0,30,-97.0,1.0,,100.0,263470,3.0603506565093994,100,[ 0.158 -0.224  0.049 ...  0.068  0.083  0.139],1.0,-53.333332,1078.3273980617523,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-96.0,89.9,-53.33333206176758,3100,-50.0,1.0,31,-96.0,1.0,,100.0,272460,3.0603506565093994,100,[ 0.158 -0.224  0.049 ...  0.068  0.083  0.139],1.0,-53.333332,1099.8072559833527,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-98.0,92.58,-53.33333206176758,3200,-50.0,1.0,32,-98.0,1.0,,100.0,281718,3.0603506565093994,100,[ 0.158 -0.224  0.049 ...  0.068  0.083  0.139],1.0,-53.333332,1117.817810535431,14.0,100.0,1.0,0.98,1.0,-100.0,
,-97.0,86.86,-11.511739730834961,3300,-5.179121494293213,3.6091842651367188,33,-97.0,0.10358242547983959,,100.0,290404,3.060706853866577,100,[ 0.158 -0.224  0.049 ...  0.068  0.083  0.139],1.0,-53.333332,1138.2416024208069,17.0587215423584,27.70709228515625,0.13054049578448065,0.98,0.11706146063216012,-100.0,0.013479035152320532
,-97.0,91.58,-53.33333206176758,3400,-50.0,1.0,34,-97.0,1.0,,100.0,299562,3.060706853866577,100,[ 0.158 -0.223  0.049 ...  0.071  0.071  0.152],1.0,-53.333332,1182.3462767601013,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-99.0,90.74,-53.33333206176758,3500,-50.0,1.0,35,-99.0,1.0,,100.0,308636,3.060706853866577,100,[ 0.158 -0.223  0.049 ...  0.071  0.071  0.152],1.0,-53.333332,1203.7188649177551,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-99.0,89.3,-53.33333206176758,3600,-50.0,1.0,36,-99.0,1.0,,100.0,317566,3.060706853866577,100,[ 0.158 -0.223  0.049 ...  0.071  0.071  0.152],1.0,-53.333332,1219.6068391799927,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-98.0,91.65,-53.33333206176758,3700,-50.0,1.0,37,-98.0,1.0,,100.0,326731,3.060706853866577,100,[ 0.158 -0.223  0.049 ...  0.071  0.071  0.152],1.0,-53.333332,1238.4914381504059,14.0,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,89.22,-103.33333587646484,3800,-100.0,1.0,38,-100.0,1.0,-100.0,100.0,335653,3.060706853866577,100,[ 0.158 -0.223  0.049 ...  0.071  0.071  0.152],1.0,-103.333336,1262.0823872089386,,100.0,1.0,0.99,1.0,-100.0,
,-98.0,91.02,-53.33333206176758,3900,-50.0,1.0,39,-98.0,1.0,,100.0,344755,3.060706853866577,100,[ 0.158 -0.223  0.049 ...  0.071  0.071  0.152],1.0,-53.333332,1290.3750166893005,14.0,100.0,1.0,0.98,1.0,-100.0,
,-97.0,91.91,-9.075939178466797,4000,-3.587172508239746,2.7113897800445557,40,-97.0,0.07174345067208139,,100.0,353946,3.061673641204834,100,[ 0.158 -0.223  0.049 ...  0.071  0.071  0.152],1.0,-53.333332,1315.1712057590485,17.0587215423584,36.88145446777344,2.647867740514197,0.98,1.3598055955931392,-100.0,1.2880621449210576
,-97.0,93.71,-53.33333206176758,4100,-50.0,1.0,41,-97.0,1.0,,100.0,363317,3.061673641204834,100,[ 0.158 -0.223  0.048 ...  0.07   0.068  0.156],1.0,-53.333332,1355.4506814479828,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-96.0,94.57,-53.33333206176758,4200,-50.0,1.0,42,-96.0,1.0,,100.0,372774,3.061673641204834,100,[ 0.158 -0.223  0.048 ...  0.07   0.068  0.156],1.0,-53.333332,1381.5514073371887,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-97.0,90.88,-53.33333206176758,4300,-50.0,1.0,43,-97.0,1.0,,100.0,381862,3.061673641204834,100,[ 0.158 -0.223  0.048 ...  0.07   0.068  0.156],1.0,-53.333332,1403.3861949443817,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-94.0,90.08,-8.741869926452637,4400,-2.298964023590088,3.735992670059204,44,-94.0,0.04597928010549546,,100.0,390870,3.0527868270874023,100,[ 0.158 -0.223  0.048 ...  0.07   0.068  0.156],1.0,-53.333332,1421.9554612636566,23.74868392944336,26.766647338867188,0.35710548293966116,0.98,0.2015423815225783,-100.0,0.15556310141708285
100.0,-100.0,87.97,-103.33333587646484,4500,-100.0,1.0,45,-100.0,1.0,-100.0,100.0,399667,3.0527868270874023,100,[ 0.157 -0.224  0.049 ...  0.073  0.067  0.148],1.0,-103.333336,1471.1070170402527,,100.0,1.0,0.99,1.0,-100.0,
,-97.0,92.91,-53.33333206176758,4600,-50.0,1.0,46,-97.0,1.0,,100.0,408958,3.0527868270874023,100,[ 0.157 -0.224  0.049 ...  0.073  0.067  0.148],1.0,-53.333332,1490.6565573215485,17.0587215423584,100.0,1.0,0.98,1.0,-100.0,
,-96.0,90.63,-53.33333206176758,4700,-50.0,1.0,47,-96.0,1.0,,100.0,418021,3.0527868270874023,100,[ 0.157 -0.224  0.049 ...  0.073  0.067  0.148],1.0,-53.333332,1509.9578740596771,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,89.24,-10.679683685302734,4800,-3.2549726963043213,4.961369514465332,48,-100.0,0.032549729527772,-100.0,100.0,426945,3.0466649532318115,100,[ 0.157 -0.224  0.049 ...  0.073  0.067  0.148],1.0,-103.333336,1527.1411435604095,,20.155725479125977,0.032549729527772,0.99,0.032549729527772,-100.0,
,-98.0,94.05,-53.33333206176758,4900,-50.0,1.0,49,-98.0,1.0,,100.0,436350,3.0466649532318115,100,[ 0.156 -0.225  0.049 ...  0.079  0.082  0.126],1.0,-53.333332,1578.495433330536,14.0,100.0,1.0,0.98,1.0,-100.0,
,-99.0,90.82,-8.424373626708984,5000,-2.382214307785034,3.285691261291504,50,-99.0,0.04764428906834241,,100.0,445432,3.06831693649292,100,[ 0.156 -0.225  0.049 ...  0.079  0.082  0.126],1.0,-53.333332,1593.4308989048004,9.949873924255371,30.434995651245117,0.5623289438376753,0.98,0.30498661645300884,-100.0,0.25734232738466645
,-99.0,95.77,-53.33333206176758,5100,-50.0,1.0,51,-99.0,1.0,,100.0,455009,3.06831693649292,100,[ 0.156 -0.225  0.049 ...  0.08   0.1    0.13 ],1.0,-53.333332,1642.9671375751495,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-98.0,95.44,-53.33333206176758,5200,-50.0,1.0,52,-98.0,1.0,,100.0,464553,3.06831693649292,100,[ 0.156 -0.225  0.049 ...  0.08   0.1    0.13 ],1.0,-53.333332,1664.9181191921234,14.0,100.0,1.0,0.98,1.0,-100.0,
100.0,-100.0,94.05,-103.33333587646484,5300,-100.0,1.0,53,-100.0,1.0,-100.0,100.0,473958,3.06831693649292,100,[ 0.156 -0.225  0.049 ...  0.08   0.1    0.13 ],1.0,-103.333336,1690.527325630188,,100.0,1.0,0.99,1.0,-100.0,
100.0,-100.0,93.51,-8.268730163574219,5400,-2.754099130630493,2.737003803253174,54,-100.0,0.02754099178875803,-100.0,100.0,483309,3.074216365814209,100,[ 0.156 -0.225  0.049 ...  0.08   0.1    0.13 ],1.0,-103.333336,1709.0782477855682,,36.53630447387695,0.02754099178875803,0.99,0.02754099178875803,-100.0,
,-96.0,91.01,-53.33333206176758,5500,-50.0,1.0,55,-96.0,1.0,,100.0,492410,3.074216365814209,100,[ 0.157 -0.224  0.049 ...  0.076  0.105  0.132],1.0,-53.333332,1765.0341353416443,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-96.0,89.02,-53.33333206176758,5600,-50.0,1.0,56,-96.0,1.0,,100.0,501312,3.074216365814209,100,[ 0.157 -0.224  0.049 ...  0.076  0.105  0.132],1.0,-53.333332,1781.1245379447937,19.595918655395508,100.0,1.0,0.98,1.0,-100.0,
,-99.0,94.23,-53.33333206176758,5700,-50.0,1.0,57,-99.0,1.0,,100.0,510735,3.074216365814209,100,[ 0.157 -0.224  0.049 ...  0.076  0.105  0.132],1.0,-53.333332,1812.891003370285,9.949873924255371,100.0,1.0,0.98,1.0,-100.0,
,-99.0,92.62,-7.537591457366943,5800,-1.9208321571350098,2.8393185138702393,58,-99.0,0.038416643686286854,,100.0,519997,3.0857696533203125,100,[ 0.157 -0.224  0.049 ...  0.076  0.105  0.132],1.0,-53.333332,1835.4993538856506,9.949873924255371,35.21971893310547,0.4840408653338188,0.98,0.26122875451005284,-100.0,0.22281211082376595
