MeanIWNorm,MeanEntropy,ReturnMeanIW,InitialReturnMin,InitialBound,EpLenMean,StdIWNorm,EpThisIter,StdIW,EpRewMean,ReturnStepMaxmin,EmpiricalD2,Iteration,Bound,J_sample_variance,EpisodesSoFar,MaxIW,ReturnStepMax,TimestepsSoFar,ESSClassic,InitialReturnMax,MaxIWNorm,TimeElapsed,InitialReturnMean,MinIWNorm,InitialReturnStd,Weights,MinIW,MeanIW,ESSRenyi
0.0030127233,2.8000815,-74.164406,-408.63684,-242.68541,103.42,0.0045612156,100,0.4561216,-476.3846651520222,43.294617,47.68959,1,-102.52607,14786.562,100,2.0207016,143.29462,10342,30.37531,-82.65995,0.020207016,9.617156505584717,-238.57843,1.0701471e-05,69.587494,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],0.0010701471,0.30127236,2.0968935
0.005695004,2.8242295,-137.43454,-491.25177,-286.7395,115.26,0.012576371,100,1.2576373,-617.49379705468,23.61126,41.20264,2,-169.1265,76945.98,200,9.679283,123.61126,21868,17.016464,-119.98559,0.09679283,52.109989404678345,-281.80225,4.8829985e-05,71.69812,[ 0.186  0.133  0.074 ... -0.324 -0.023 -0.014],0.0048829988,0.56950045,2.427029
0.004417597,2.8407025,-110.195244,-449.1762,-254.4723,112.54,0.006903976,100,0.6903977,-538.2562939459833,97.69107,41.46207,3,-139.26389,36430.246,300,3.4891734,197.69107,33122,29.049038,-120.357635,0.034891732,90.15504240989685,-249.95793,4.1373194e-05,72.76552,[ 0.186  0.133  0.074 ... -0.325 -0.009 -0.005],0.0041373195,0.44175968,2.4118428
0.0032917839,2.8533018,-74.31487,-461.20816,-268.6706,107.84,0.005930646,100,0.5930646,-553.0306790999753,79.26201,67.840256,4,-112.493744,17148.227,400,4.369826,100.0,43906,23.551872,-106.81116,0.04369826,132.52696919441223,-264.03528,1.6668502e-05,71.08187,[ 0.187  0.133  0.074 ... -0.326 -0.004  0.007],0.0016668502,0.32917836,1.474051
0.003645945,2.841575,-58.027233,-375.78503,-236.39702,114.39,0.008594247,100,0.85942465,-509.1510840365191,13.2475815,111.82652,5,-97.965965,7422.297,500,7.574728,113.24758,55345,15.252221,-44.3914,0.07574728,172.59895730018616,-232.62024,1.0076089e-05,72.32604,[ 0.187  0.133  0.073 ... -0.328  0.018 -0.003],0.001007609,0.36459455,0.8942422
0.0038896375,2.8654046,-49.734188,-366.1796,-185.54543,136.15,0.004058601,100,0.40586007,-444.4280589763032,8.294067,28.799135,6,-69.484146,3143.5454,600,2.0476847,108.29407,68960,47.875168,35.22786,0.020476846,214.66671180725098,-181.86517,7.412314e-05,94.98329,[ 0.187  0.133  0.073 ... -0.331  0.012 -0.009],0.0074123144,0.3889638,3.4723265
0.0057822317,2.8654125,-65.65728,-363.86554,-153.45276,145.14,0.008618193,100,0.86181927,-414.5183325227531,28.312271,15.975999,7,-80.27425,15499.798,700,6.526597,128.31227,83474,31.041681,27.407682,0.06526597,257.18401312828064,-149.79578,2.6930318e-05,92.791565,[ 0.187  0.133  0.073 ... -0.332  0.037 -0.009],0.002693032,0.57822317,6.2593894
0.0052480255,2.8554578,-57.14995,-389.13867,-167.3142,138.34,0.0056131026,100,0.56131035,-444.34519338013325,36.322014,22.89475,8,-75.863434,4338.4526,800,2.3942595,100.0,97308,46.64247,12.254581,0.023942593,295.1531946659088,-163.4032,1.0035649e-05,98.61499,[ 0.188  0.133  0.073 ... -0.332  0.033 -0.005],0.0010035649,0.52480257,4.3678136
0.005488,2.8906796,-77.45669,-377.54105,-170.46935,154.15,0.006400192,100,0.6400193,-479.10819920214044,30.83696,26.300747,9,-96.91614,16921.846,900,4.5925674,130.83696,112723,42.37182,5.369257,0.045925673,330.8596022129059,-166.67493,6.526912e-05,96.579056,[ 0.187  0.133  0.073 ... -0.333  0.024 -0.007],0.0065269126,0.5488,3.8021734
0.0076040863,2.887394,-87.2944,-346.81525,-157.43889,151.64,0.007457674,100,0.7457674,-429.86265806875934,1.8340378,8.003146,10,-97.155174,9462.798,1000,4.367831,100.0,127887,50.972,27.593851,0.04367831,369.21676683425903,-153.95328,0.00016645317,93.052345,[ 0.189  0.132  0.073 ... -0.331  0.025  0.028],0.016645318,0.7604087,12.495086
