Weights,InitialReturnMin,ReturnStepMaxmin,InitialReturnMax,Iteration,EpLenMean,TimeElapsed,InitialBound,EpThisIter,TimestepsSoFar,RewardCompression,InitialReturnMean,ESSClassic,MeanEntropy,EpisodesSoFar,MinIW,ReturnMeanIW,MaxIW,MeanIW,StdIW,Bound,EmpiricalD2,EpRewMean,ESSRenyi,InitialReturnStd,ReturnStepMax
[ 1.176 -0.371  0.   ],-82.78645324707031,0.8422414064407349,-82.08129119873047,1,500.0,33.4157075881958,-85.30021,100,50000,0.010000000000000009,-82.54138946533203,21.127504348754883,1.4735221862792969,100,0.003572168232738904,-60.1263313293457,10.035736217075586,0.7286542894014563,1.3986002237132193,-74.93353271484375,28.791879653930664,-415.5410285653174,3.4732015132904053,0.1317516714334488,0.8422414064407349
[ 1.181 -0.364  0.055],-82.74140167236328,0.8423788547515869,-81.78023529052734,2,500.0,70.4671540260315,-85.28446,100,100000,,-82.52641296386719,11.14640998840332,1.415337085723877,200,9.308072635622153e-05,-59.73088073730469,16.917847631882825,0.7236800499230556,2.0434305140608546,-72.27729797363281,20.693614959716797,-415.41131866425275,4.832408428192139,0.1560443639755249,0.8423788547515869
[ 1.195 -0.351 -0.003],-82.79136657714844,0.8420999646186829,-81.88157653808594,3,500.0,105.58462643623352,-85.31305,100,150000,,-82.55333709716797,22.441104888916016,1.3972145318984985,300,0.006603188349372725,-27.276391983032227,4.309735241160979,0.3308648136342532,0.6156989592106961,-43.034366607666016,32.60416793823242,-415.6006993836165,3.0670924186706543,0.14040426909923553,0.8420999646186829
[ 1.242 -0.019 -0.022],-82.70462036132812,0.8425487279891968,-81.20453643798828,4,500.0,143.0122148990631,-85.0736,100,200000,,-82.31678009033203,29.773391723632812,1.4529590606689453,400,0.005267735179855633,-38.95234680175781,3.447784552128037,0.4732809234008711,0.7264625934343979,-55.12416076660156,34.4112434387207,-414.33714128762483,2.906026840209961,0.3106251358985901,0.8425487279891968
[ 1.242 -0.044  0.034],-82.69585418701172,0.8421499729156494,-81.39540100097656,5,500.0,179.61459946632385,-85.09334,100,250000,,-82.33680725097656,12.243821144104004,1.3913688659667969,500,0.000537935946202543,-55.683807373046875,14.482087783978795,0.676308935580474,1.8089285622601075,-70.67581176757812,29.579736709594727,-414.38375618427995,3.380692720413208,0.24480153620243073,0.8421499729156494
[ 1.233 -0.028 -0.028],-82.70787811279297,0.8422902822494507,-81.21684265136719,6,500.0,214.16491746902466,-85.06733,100,300000,,-82.3104019165039,66.912109375,1.4052075147628784,600,0.10110194077185741,-75.05274963378906,3.289899406666091,0.9110914465290921,0.6398048863787098,-78.73458099365234,1.78351628780365,-414.3526034909487,56.06901550292969,0.3118259012699127,0.8422902822494507
[ 1.217 -0.112 -0.014],-82.70944213867188,0.8428219556808472,-81.39524841308594,7,500.0,249.16751337051392,-85.15958,100,350000,0.010000000000000009,-82.40353393554688,22.969810485839844,1.4590386152267456,700,0.001935881749959698,-63.09437561035156,7.8521784730154325,0.7663518460290537,1.3972093511192087,-77.41624450683594,26.985586166381836,-414.8655858954787,3.7056820392608643,0.2283465415239334,0.8428219556808472
[ 1.195 -0.087  0.04 ],-82.72050476074219,0.8423608541488647,-81.54480743408203,8,500.0,285.7732558250427,-85.13912,100,400000,,-82.38177490234375,15.262042999267578,1.4042425155639648,800,0.004412923898942551,-50.083946228027344,10.91099015190112,0.6079597796011886,1.4343308414819482,-63.504329681396484,23.68895721435547,-414.7358211180568,4.221376419067383,0.24526143074035645,0.8423608541488647
[ 1.204 -0.197 -0.015],-82.77543640136719,0.8422383069992065,-81.69783020019531,9,500.0,320.7188856601715,-85.252655,100,450000,,-82.49347686767578,26.197084426879883,1.3661572933197021,900,0.018745404862340664,-72.71617126464844,11.534857725541027,0.8810387775490025,1.4780027747416267,-78.47279357910156,4.35285758972168,-415.24237940490247,22.973413467407227,0.1821630299091339,0.8422383069992065
[ 1.248 -0.262 -0.053],-82.74554443359375,0.842125415802002,-81.7560043334961,10,500.0,355.3449637889862,-85.27371,100,500000,,-82.5155258178711,17.752002716064453,1.3010127544403076,1000,0.00015237216835922168,-45.46519470214844,7.770651056389894,0.5509392108342508,1.1854920757973797,-64.10508728027344,45.670936584472656,-415.41066688776016,2.1895763874053955,0.17622599005699158,0.842125415802002
