InitialBound,InitialReturnMax,MinIWNorm,MeanIW,ReturnStepMax,InitialReturnStd,ESSRenyi,Iteration,J_sample_variance,Bound,StdIW,EpisodesSoFar,EpRewMean,MeanEntropy,TimeElapsed,EpLenMean,MaxIW,EmpiricalD2,InitialReturnMin,ReturnStepMaxmin,TimestepsSoFar,MinIW,ReturnMeanIW,MaxIWNorm,EpThisIter,StdIWNorm,MeanIWNorm,InitialReturnMean,ESSClassic,Weights
-89.48876,-86.60203,1.7803395e-05,0.56649697,1.0,1.5258789e-05,2.7219539,1,8177.8877,-66.5569,1.0389869,100,-200.0,1.0086868,6.319264650344849,200.0,7.6628346,36.738316,-86.60203,1.0,20000,0.0017803395,-49.059784,0.07662834,100,0.010389869,0.00566497,-86.60204,22.916016,[-0.718  0.851  0.951 -0.346 -0.822  0.676  0.     0.     0.   ]
-89.48876,-86.60203,4.897776e-05,0.47564903,1.0,1.5258789e-05,5.143716,2,8952.258,-53.92041,1.0870658,200,-200.0,1.0425103,16.91360855102539,200.0,7.7747097,19.441198,-86.60203,1.0,40000,0.004897776,-41.19217,0.07774709,100,0.010870658,0.0047564907,-86.60204,16.068846,[-0.69   0.791  0.983 -0.345 -0.823  0.676 -0.102  0.157 -0.055]
-89.48876,-86.60203,5.4281572e-06,0.7848565,1.0,1.5258789e-05,3.1282425,3,20828.113,-84.291534,1.6581146,300,-200.0,1.0026714,27.9085910320282,200.0,9.091364,31.966831,-86.60203,1.0,60000,0.0005428157,-67.97016,0.09091364,100,0.016581144,0.007848565,-86.60204,18.304213,[-0.681  0.835  0.929 -0.344 -0.825  0.677 -0.193  0.093  0.1  ]
-89.48876,-86.60203,8.8505185e-06,0.49034745,1.0,1.5258789e-05,2.7006989,4,5121.68,-60.030914,0.82223463,400,-200.0,1.0361347,38.03409695625305,200.0,4.8209124,37.027454,-86.60203,1.0,80000,0.00088505185,-42.465084,0.048209123,100,0.008222346,0.0049034744,-86.60204,26.23436,[-0.655  0.886  0.853 -0.362 -0.844  0.714 -0.013  0.12  -0.107]
-89.48876,-86.60203,1.6525533e-05,0.35710052,1.0,1.5258789e-05,2.5730455,5,3844.7217,-48.92193,0.71239686,500,-200.0,0.9919524,49.051239252090454,200.0,4.2673254,38.864452,-86.60203,1.0,100000,0.0016525534,-30.92563,0.042673253,100,0.0071239686,0.0035710058,-86.60204,20.081064,[-0.606  0.83   0.86  -0.361 -0.844  0.713 -0.146  0.236 -0.09 ]
-89.48876,-86.60203,6.134713e-07,0.40560904,1.0,1.5258789e-05,1.9934217,6,4494.722,-55.57251,0.7702664,600,-200.0,0.9244275,60.50457191467285,200.0,4.9298067,50.165,-86.60203,1.0,120000,6.134713e-05,-35.126564,0.049298067,100,0.007702664,0.0040560905,-86.60204,21.709206,[-0.681  0.776  0.988 -0.361 -0.845  0.713 -0.046  0.302 -0.256]
-89.48876,-86.60203,3.0427127e-05,0.6509156,1.0,1.5258789e-05,3.932768,7,17169.621,-70.92713,1.5054624,700,-200.0,0.9509133,70.83351969718933,200.0,13.134988,25.427383,-86.60203,1.0,140000,0.0030427128,-56.37061,0.13134988,100,0.015054623,0.0065091555,-86.60204,15.749967,[-0.77   0.766  1.088 -0.357 -0.849  0.713  0.045  0.452 -0.497]
-89.48876,-86.60203,3.7072919e-06,0.4760569,1.0,1.5258789e-05,2.852793,8,7553.1504,-58.318665,0.9985127,800,-200.0,0.8842545,81.2298150062561,200.0,6.4783998,35.053368,-86.60203,1.0,160000,0.0003707292,-41.227497,0.064784,100,0.009985127,0.004760569,-86.60204,18.520718,[-0.791  0.817  1.058 -0.35  -0.853  0.711 -0.039  0.318 -0.278]
-89.48876,-86.60203,1.4173482e-07,0.42106506,1.0,1.5258789e-05,2.028636,9,5030.8965,-56.732803,0.8149149,900,-200.0,0.8312133,91.70767831802368,200.0,3.7356305,49.294205,-86.60203,1.0,180000,1.4173482e-05,-36.465088,0.037356306,100,0.008149148,0.0042106505,-86.60204,21.071974,[-0.876  0.835  1.125 -0.353 -0.851  0.712  0.101  0.266 -0.368]
-89.48876,-86.60203,4.1114617e-05,0.60787004,1.0,1.5258789e-05,3.2801032,10,9824.752,-68.58185,1.1388075,1000,-200.0,0.8346838,103.3563163280487,200.0,7.3679724,30.486845,-86.60203,1.0,200000,0.004111462,-52.642776,0.07367972,100,0.0113880765,0.006078701,-86.60204,22.174051,[-0.892  0.734  1.242 -0.355 -0.846  0.709  0.187  0.438 -0.625]
-89.48876,-86.60203,8.890461e-06,0.686306,1.0,1.5258789e-05,2.5149207,11,12227.285,-77.638565,1.2704412,1100,-200.0,0.91974735,113.95420408248901,200.0,6.6414986,39.762684,-86.60203,1.0,220000,0.00088904606,-59.435497,0.06641498,100,0.0127044115,0.00686306,-86.60204,22.59029,[-0.863  0.784  1.162 -0.349 -0.845  0.702  0.177  0.247 -0.424]
-89.48876,-86.60203,1.9837224e-05,0.43267152,1.0,1.5258789e-05,3.3162913,12,5549.186,-53.322098,0.85586286,1200,-200.0,0.94445086,123.92498421669006,200.0,5.861909,30.154165,-86.60203,1.0,240000,0.0019837224,-37.47023,0.05861909,100,0.008558628,0.004326715,-86.60204,20.354837,[-0.793  0.761  1.116 -0.349 -0.843  0.7    0.03   0.301 -0.331]
-89.48876,-86.60203,7.988128e-06,0.48533934,1.0,1.5258789e-05,2.7356253,13,9016.361,-59.48471,1.0909508,1300,-200.0,0.89195704,134.8128170967102,200.0,8.820918,36.554714,-86.60203,1.0,260000,0.0007988129,-42.031372,0.08820918,100,0.010909509,0.0048533934,-86.60204,16.521685,[-0.757  0.676  1.165 -0.349 -0.843  0.7   -0.034  0.435 -0.401]
-89.48876,-86.60203,1.3438201e-05,0.5341995,1.0,1.5258789e-05,2.4756858,14,8351.863,-64.609505,1.0499804,1400,-200.0,0.93503565,144.94847345352173,200.0,6.029813,40.39285,-86.60203,1.0,280000,0.0013438201,-46.26276,0.060298126,100,0.010499803,0.0053419946,-86.60204,20.562279,[-0.822  0.71   1.196 -0.352 -0.838  0.698  0.101  0.343 -0.444]
-89.48876,-86.60203,4.342571e-06,0.50066596,1.0,1.5258789e-05,2.557803,15,6547.297,-61.408524,0.9296522,1500,-200.0,0.984698,155.6789219379425,200.0,6.6736307,39.096054,-86.60203,1.0,300000,0.00043425712,-43.358685,0.0667363,100,0.0092965225,0.0050066602,-86.60204,22.482908,[-0.757  0.676  1.165 -0.352 -0.839  0.699 -0.027  0.444 -0.417]
-89.48876,-86.60203,2.9798075e-05,0.55788547,1.0,1.5258789e-05,3.3239534,16,10014.772,-64.1476,1.1497676,1600,-200.0,1.0210544,165.13498973846436,200.0,8.879541,30.084658,-86.60203,1.0,320000,0.0029798076,-48.31401,0.08879541,100,0.011497676,0.005578854,-86.60204,19.056812,[-0.676  0.644  1.116 -0.353 -0.838  0.7   -0.169  0.493 -0.324]
-89.48876,-86.60203,9.326448e-06,0.42084563,1.0,1.5258789e-05,2.1414607,17,5946.231,-56.17267,0.8859525,1700,-200.0,0.97023153,176.16873168945312,200.0,5.2483015,46.697098,-86.60203,1.0,340000,0.0009326448,-36.44609,0.052483015,100,0.0088595245,0.0042084567,-86.60204,18.410276,[-0.648  0.692  1.039 -0.354 -0.839  0.7   -0.167  0.34  -0.173]
-89.48876,-86.60203,1.3559869e-05,0.58946264,1.0,1.5258789e-05,2.1504023,18,9724.06,-70.734184,1.1329567,1800,-200.0,0.97616357,187.25429892539978,200.0,5.4538717,46.502926,-86.60203,1.0,360000,0.0013559869,-51.04866,0.054538716,100,0.011329567,0.0058946265,-86.60204,21.30313,[-0.71   0.61   1.184 -0.354 -0.837  0.699 -0.088  0.457 -0.369]
-89.48876,-86.60203,1.15751545e-05,0.4546215,1.0,1.5258789e-05,1.9506631,19,5668.7046,-60.03996,0.86503047,1900,-200.0,0.9414939,199.51308417320251,200.0,5.281934,51.264618,-86.60203,1.0,380000,0.0011575154,-39.37114,0.052819338,100,0.008650306,0.004546214,-86.60204,21.642897,[-0.703  0.601  1.186 -0.356 -0.837  0.7   -0.239  0.594 -0.354]
-89.48876,-86.60203,1.6706058e-06,0.4776831,1.0,1.5258789e-05,2.8991182,20,7481.496,-58.322388,0.9937652,2000,-200.0,0.9798522,209.71685028076172,200.0,8.42829,34.493248,-86.60203,1.0,400000,0.00016706059,-41.368324,0.084282905,100,0.009937651,0.004776831,-86.60204,18.768751,[-0.853  0.661  1.276 -0.355 -0.84   0.702 -0.121  0.574 -0.453]
-89.48876,-86.60203,9.754343e-06,0.51321363,1.0,1.5258789e-05,2.9864447,21,8989.995,-61.149696,1.0893545,2100,-200.0,1.0048273,220.08668327331543,200.0,6.2234154,33.48463,-86.60203,1.0,420000,0.0009754344,-44.445343,0.062234152,100,0.010893545,0.005132137,-86.60204,18.163683,[-0.747  0.658  1.174 -0.355 -0.837  0.7   -0.255  0.583 -0.328]
-89.48876,-86.60203,2.5121766e-05,0.5873755,1.0,1.5258789e-05,6.329743,22,6909.4873,-62.341885,0.95501995,2200,-200.0,0.9799721,231.04035925865173,200.0,5.745079,15.79843,-86.60203,1.0,440000,0.0025121768,-50.867912,0.05745079,100,0.0095502,0.005873755,-86.60204,27.4455,[-0.675  0.642  1.116 -0.356 -0.835  0.699 -0.407  0.636 -0.23 ]
-89.48876,-86.60203,1.2263237e-05,0.485755,1.0,1.5258789e-05,2.4719665,23,5194.7446,-60.42791,0.82807875,2300,-200.0,0.9681764,241.76877617835999,200.0,4.558143,40.45362,-86.60203,1.0,460000,0.0012263238,-42.067368,0.04558143,100,0.008280788,0.00485755,-86.60204,25.601065,[-0.674  0.606  1.152 -0.356 -0.837  0.701 -0.231  0.608 -0.376]
