StdIW,MinIW,InitialBound,TimeElapsed,InitialReturnMin,TimestepsSoFar,EmpiricalD2,Weights,MaxIW,MeanIW,EpisodesSoFar,InitialReturnMean,ReturnStepMax,EpRewMean,ESSClassic,Iteration,InitialReturnMax,Bound,EpThisIter,MeanIWNorm,ESSRenyi,ReturnStepMaxmin,MaxIWNorm,MeanEntropy,InitialReturnStd,EpLenMean,StdIWNorm,MinIWNorm,ReturnMeanIW,J_sample_variance
0.75769424,0.001495261,-15.552589,13.574323654174805,-18.884933,50000,23.334328,[1.117 0.8   0.   ],4.1719837,0.44039723,100,-14.923093,2.5712483,-76.62733468739516,25.252218,1,-11.461228,-9.924652,100,0.0044039716,4.2855315,2.5712483,0.041719835,1.4088978,1.4830399,500.0,0.0075769424,1.49526095e-05,-6.8838243,147.81268
1.3250275,0.01055189,-16.600216,28.072808027267456,-19.811749,100000,5.2399125,[ 1.236  0.798 -0.01 ],7.1439624,0.8199281,200,-15.939824,2.2386723,-83.0104779621736,27.688948,2,-10.502774,-14.191979,100,0.008199282,19.084288,2.2386723,0.071439624,1.4367788,1.7444475,500.0,0.013250274,0.0001055189,-12.680286,412.66064
1.1609021,0.0022635795,-16.536722,40.93163824081421,-19.905842,150000,25.750914,[1.178 0.8   0.018],7.478839,0.5285941,300,-15.873194,2.9640076,-83.6246853563778,17.17232,3,-12.428024,-11.2402,100,0.0052859406,3.8833573,2.9640076,0.074788384,1.3786858,1.6594063,500.0,0.011609019,2.2635795e-05,-7.8731027,250.44788
1.1224855,0.03214796,-16.24204,56.97878074645996,-20.772179,200000,2.3147478,[ 1.21   0.797 -0.04 ],6.753216,0.927057,400,-15.549634,2.62118,-80.02405433974194,40.55069,4,-11.892624,-14.5530615,100,0.009270569,43.201252,2.62118,0.06753216,1.3683807,1.7203985,500.0,0.011224855,0.00032147957,-13.499615,218.31001
1.0401722,0.0010524645,-15.228599,69.987713098526,-19.772207,250000,28.116877,[ 1.155  0.797 -0.051],7.7017083,0.561615,500,-14.569527,2.3646014,-74.7433345533999,22.571793,5,-10.031956,-11.193419,100,0.00561615,3.556583,2.3646014,0.077017084,1.3085335,1.6081643,500.0,0.010401722,1.05246445e-05,-7.6986585,196.99153
0.9530807,0.012163617,-13.571082,83.35159850120544,-16.846714,300000,21.179955,[ 1.132  0.796 -0.111],6.2119694,0.52437764,600,-13.009524,2.1529675,-67.84736664154616,23.237038,6,-9.7681055,-9.730362,100,0.0052437764,4.7214456,2.1529675,0.062119693,1.3556466,1.3322779,500.0,0.009530807,0.00012163616,-7.1459813,183.69914
1.2930689,0.00016936578,-14.959532,94.87960767745972,-17.473572,350000,21.900658,[ 1.175  0.795 -0.063],7.5197744,0.6329143,700,-14.377079,2.094897,-75.4913460832088,19.327368,7,-11.098217,-10.932238,100,0.006329143,4.566073,2.094897,0.07519774,1.2998044,1.5213029,500.0,0.012930689,1.6936579e-06,-8.206469,264.3013
0.39723408,0.35541272,-13.726206,107.93567514419556,-17.389332,400000,1.141815,[ 1.14   0.796 -0.119],2.3330953,1.0031023,800,-13.146562,2.1170156,-68.35007967145557,86.44384,8,-9.523955,-13.603359,100,0.010031023,87.579865,2.1170156,0.023330953,1.2880979,1.4095346,500.0,0.003972341,0.0035541272,-12.983976,23.559511
0.9965048,0.0063653523,-13.430595,120.5578830242157,-15.579077,450000,20.585361,[ 1.139  0.796 -0.131],7.8630257,0.5366914,900,-12.911294,1.7374563,-66.46910243740716,22.484339,9,-10.232504,-9.117666,100,0.005366915,4.857821,1.7374563,0.07863025,1.330093,1.2293417,500.0,0.009965047,6.365352e-05,-6.761534,143.48294
1.2134987,0.008383512,-13.456463,134.22872924804688,-15.660017,500000,19.939991,[ 1.08   0.797 -0.089],8.996126,0.56665915,1000,-12.934463,2.0852618,-67.11964337217493,17.90187,10,-9.57798,-10.304943,100,0.0056665917,5.0150476,2.0852618,0.08996126,1.3478454,1.2075553,500.0,0.012134987,8.383511e-05,-7.9739904,335.89456
