VarJ,MinVanillaIw,eRenyi2,IterType,AvgDiscRet,VarRet,ESSRenyi,MinNormIw,Bound,AvgRet,J,AvgEpLen,ESSClassic,VarVanillaIw,BatchSize,AvgNormIw,MaxVanillaIw,EpsThisIter,VarDiscRet,MaxNormIw,VanillaAvgRet,VarNormIw,AvgVanillaIw
1445.0051,8.2484135e-09,11.246246,1,113.94176401086446,20669.342025623653,8.89185573528494,6.2303225e-11,285.17017,113.94176401086446,527.8018,12.4,4.909454605773887,34.291676,100,0.01,54.746616,100,20669.342025623653,0.41352084,113.94176401086446,0.001956451,1.3239143
3341.737,6.023499e-25,19.011536,1,417.6800201448241,719683.1322812043,5.259964364255101,4.092109e-27,2689.7192,417.6800201448241,4524.545,42.75,2.5773315125153973,82.729,100,0.009999997,76.08485,100,719683.1322812043,0.5168881,417.6800201448241,0.003818163,1.471979
1227.0344,4.4227367e-16,6.445237,1,1643.2475098264085,3108018.2995407456,15.515332876316469,3.4408952e-18,3597.0264,1643.2475098264085,4665.358,165.15,15.586633187214455,9.0378065,100,0.010000002,15.37438,100,3108018.2995407456,0.11961288,1643.2475098264085,0.0005470458,1.2853448
288.9148,3.1571657e-05,2.3732967,1,3547.8104069455226,3732448.475730665,42.13548116959779,3.356809e-07,4249.7393,3547.8104069455226,4898.019,355.21,40.11491365827696,1.333887,100,0.010000002,5.025734,100,3732448.475730665,0.053435363,3547.8104069455226,0.00015079176,0.9405258
179.07098,0.21867114,1.1532642,1,4873.293268024117,361860.3994789096,86.71040256118258,0.0021525745,4507.8223,4873.293268024117,4959.7314,487.4,87.13923889894878,0.15384531,100,0.01,1.6906132,100,361860.3994789096,0.016642207,4873.293268024117,1.4907942e-05,1.0158587
62.85011,0.12026539,1.04592,1,4950.031309830832,136990.12256237149,95.60960553866374,0.0012081886,4560.7656,4950.031309830832,4991.1294,495.03,95.07670533113799,0.051827297,100,0.01,1.270357,100,136990.12256237149,0.012762033,4950.031309830832,5.230542e-06,0.995419
80.12163,0.17367548,1.043185,1,4953.317414085765,217167.991655448,95.860274464139,0.0017132689,4562.1436,4953.317414085765,4991.9443,495.35,95.59305570806983,0.047852222,100,0.01,1.2704474,100,217167.991655448,0.012532674,4953.317414085765,4.6566784e-06,1.0137082
0.3898713,0.99447864,1.0000004,1,4999.896600018266,0.1548502320231001,99.99996423722592,0.0099457335,4579.0864,4999.896600018266,4999.897,500.0,99.99985884291034,1.3251994e-06,100,0.010000002,1.0012854,100,0.1548502320231001,0.010013808,4999.896600018266,1.3254493e-10,0.9999048
369.49527,1.0,1.0,,4953.408117340486,137905.81831238267,200.0,0.01,4532.5977,4953.408117340486,4953.408,495.37,100.0,,200,0.009999998,1.0,100,137905.81831238267,0.01,4953.408117340486,3.5044917e-18,1.0
83.45863,0.1630204,1.0649923,1,4953.523442909719,175260.0184637716,187.79478347574934,0.00081679015,4683.1367,4953.523442909719,4990.212,495.375,186.8681303354251,0.07033479,200,0.005000001,1.4094504,100,175260.0184637716,0.0070618475,4953.523442909719,1.765661e-06,0.9979332
472.61462,1.0,1.0,2,4945.021266488871,225620.77056347427,200.0,0.01,4524.2104,4945.021266488871,4945.021,494.53,100.0,,200,0.009999998,1.0,100,225620.77056347427,0.01,4945.021266488871,3.5044917e-18,1.0
