VarVanillaIw,BatchSize,eRenyi2,VanillaAvgRet,ESSRenyi,MinNormIw,MinVanillaIw,J,MaxNormIw,VarRet,EpsThisIter,IterType,ESSClassic,AvgEpLen,VarNormIw,MaxVanillaIw,AvgRet,VarJ,AvgNormIw,VarDiscRet,Bound,AvgVanillaIw,AvgDiscRet
62.26914,100,6.421524,108.63941649007496,15.57262719174225,4.0487597e-05,0.00691167,537.2671,0.457686,23392.691048747136,100,1,4.513921079286728,11.87,0.0021367364,78.13194,108.63941649007496,1713.1757,0.009999999,23392.691048747136,345.37558,1.707108,108.63941649007496
264.4666,200,nan,108.63941649007496,nan,1.6955282e-05,0.012798863,234.95818,0.19166845,23392.691048747136,100,,17.87351797122371,11.87,0.00046412816,144.68285,108.63941649007496,504.1771,0.010000002,120492.60721805278,-inf,7.5485997,254.8966631309534
53.450047,200,8.961455,104.48990275664951,22.31780355945827,7.863878e-06,0.0024444407,424.0546,0.31403604,17778.62283903563,100,1,8.689467176159878,11.455,0.0005531751,97.61627,104.48990275664951,2172.528,0.005,17778.62283903563,263.7629,1.5542209,104.48990275664951
,200,1.0,245.90539615919286,200.0,0.01,1.0,245.90538,0.01,182825.03672080883,100,2,100.0,25.6,3.5044917e-18,1.0,245.90539615919286,425.4372,0.009999998,182825.03672080883,-25.094803,1.0,245.90539615919286
1283.2056,300,589.4093,104.48990275664951,0.5089841627970602,3.474214e-06,0.010244194,266.9635,0.13873921,17778.62283903563,100,,29.094975873177617,11.455,0.00014758891,409.09152,104.48990275664951,817.1639,0.005,194495.2420003108,-4385.287,14.743182,259.70280282795227
112.651184,300,19.598217,103.2068084261124,15.307514956044265,2.6712863e-09,1.3940753e-06,495.63443,0.32511422,16118.330346173878,100,1,7.8736146316838225,11.326666666666666,0.00041362253,169.6687,103.2068084261124,2394.976,0.0033333334,16118.330346173878,302.08838,1.7395805,103.2068084261124
,300,1.0,398.54909685472853,300.0,0.01,1.0,398.5491,0.01,324614.64424512733,100,2,100.0,40.86,3.5044917e-18,1.0,398.54909685472853,566.89374,0.009999998,324614.64424512733,-22.2612,1.0,398.54909685472853
,300,1.0,373.6638864680018,300.0,0.005,1.0,373.66388,0.005,342126.6098277742,100,2,200.00000010221265,38.37,2.179301e-19,1.0,373.6638864680018,583.4517,0.0049999994,342126.6098277742,76.10599,1.0,373.6638864680018
84.133804,300,15.249452,401.8981795700669,19.672838547638747,8.8034226e-11,4.1334992e-08,2812.3489,0.31212893,396310.6270602069,100,1,8.515022548806257,41.193333333333335,0.00038162593,146.5549,401.8981795700669,12890.059,0.0033333334,396310.6270602069,1863.5964,1.5651107,401.8981795700669
,300,1.0,1253.1261025110496,300.0,0.01,1.0,1253.126,0.01,1719644.706202281,100,2,100.0,126.26,3.5044917e-18,1.0,1253.1261025110496,1304.779,0.009999998,1719644.706202281,832.3158,1.0,1253.1261025110496
,300,1.0,1222.8738703824442,300.0,0.005,1.0,1222.8738,0.005,1635685.367763656,100,2,200.00000010221265,123.255,2.179301e-19,1.0,1222.8738703824442,1275.7378,0.0049999994,1635685.367763656,925.31604,1.0,1222.8738703824442
2490423300000.0,400,nan,401.8981795700669,nan,1.1945084e-10,0.006823382,1385.5165,0.4235178,396310.6270602069,100,,4.318956328915145,41.193333333333335,0.00076322444,24192576.0,401.8981795700669,6127.2964,0.0033333334,1519515.5246884967,-inf,190409.77,1162.7288447771346
80.39588,400,18.812794,384.66638461149904,21.262126492473833,1.5857606e-12,8.589627e-10,2860.099,0.30052954,345084.96084875695,100,1,8.942265472099399,39.4725,0.00027400625,162.78854,384.66638461149904,14176.643,0.0025,345084.96084875695,1947.4935,1.3541809,384.66638461149904
,400,1.0,1574.4554478772302,400.0,0.01,1.0,1574.4554,0.01,2511009.620272108,100,2,100.0,158.36,3.5044917e-18,1.0,1574.4554478772302,1576.6736,0.009999998,2511009.620272108,1153.6453,1.0,1574.4554478772302
,400,1.0,1571.3461113548362,400.0,0.005,1.0,1571.346,0.005,2433102.3300642157,100,2,200.00000010221265,158.05,2.179301e-19,1.0,1571.3461113548362,1555.9359,0.0049999994,2433102.3300642157,1273.7881,1.0,1571.3461113548362
,400,1.0,1508.2356380153592,400.0,0.0033333334,1.0,1508.2357,0.0033333334,2335469.186712329,100,2,299.999969473632,151.74666666666667,5.4391416e-20,1.0,1508.2356380153592,1525.675,0.0033333336,2335469.186712329,1265.2806,1.0,1508.2356380153592
3462560200000000.0,500,nan,384.66638461149904,nan,4.031353e-12,0.0061429385,361.50473,0.76401234,345084.96084875695,100,,1.6736300130375987,39.4725,0.0014912372,1164195000.0,384.66638461149904,3923.5786,0.0025,2314196.956604553,-inf,3809476.8,1511.8095484730193
170.66237,500,29.390501,400.02220488342994,17.01229930105528,1.4129325e-18,1.0379253e-15,3286.342,0.37557983,369063.40729404293,100,1,6.257223698456514,41.008,0.00031626294,275.89697,400.02220488342994,15487.793,0.002,369063.40729404293,2266.096,1.4691788,400.02220488342994
,500,1.0,1374.264187576062,500.0,0.01,1.0,1374.2642,0.01,2214587.706993784,100,2,100.0,138.37,3.5044917e-18,1.0,1374.264187576062,1480.6896,0.009999998,2214587.706993784,953.45386,1.0,1374.264187576062
,500,1.0,1537.1997389633864,500.0,0.005,1.0,1537.1998,0.005,2308849.72734866,100,2,200.00000010221265,154.66,2.179301e-19,1.0,1537.1997389633864,1515.6865,0.0049999994,2308849.72734866,1239.6418,1.0,1537.1997389633864
,500,1.0,1461.028822826311,500.0,0.0033333334,1.0,1461.0287,0.0033333334,2203780.886798515,100,2,299.999969473632,147.04333333333332,5.4391416e-20,1.0,1461.028822826311,1482.0375,0.0033333336,2203780.886798515,1218.0736,1.0,1461.028822826311
,500,1.0,1435.211711790263,500.0,0.0025,1.0,1435.2115,0.0025,2162432.814229398,100,2,400.0,144.4675,5.434597e-20,1.0,1435.211711790263,1468.682,0.0024999997,2162432.814229398,1224.8063,1.0,1435.211711790263
45.346397,500,21.727882,1414.2253128962177,23.011906596997033,,,4654.5513,0.09626116,2064334.8931009364,100,1,20.99841448081017,142.372,9.142816e-05,67.79263,1414.2253128962177,2048.6765,0.002,2064334.8931009364,3777.3276,1.4085147,1414.2253128962177
,500,1.0,4338.317096278357,500.0,0.01,1.0,4338.317,0.01,1511561.0197062595,100,2,100.0,434.17,3.5044917e-18,1.0,4338.317096278357,1223.2928,0.009999998,1511561.0197062595,3917.5063,1.0,4338.317096278357
,500,1.0,4256.741706825575,500.0,0.005,1.0,4256.7417,0.005,1596951.3578331314,100,2,200.00000010221265,426.075,2.179301e-19,1.0,4256.741706825575,1260.5422,0.0049999994,1596951.3578331314,3959.1836,1.0,4256.741706825575
,500,1.0,4225.036645910925,500.0,0.0033333334,1.0,4225.0366,0.0033333334,1648654.9128748118,100,2,299.999969473632,422.9266666666667,5.4391416e-20,1.0,4225.036645910925,1281.8578,0.0033333336,1648654.9128748118,3982.0815,1.0,4225.036645910925
,500,1.0,4179.783738443334,500.0,0.0025,1.0,4179.784,0.0025,1759534.3112292876,100,2,400.0,418.405,5.434597e-20,1.0,4179.783738443334,1324.8153,0.0024999997,1759534.3112292876,3969.379,1.0,4179.783738443334
