AvgVanillaIw,AvgDiscRet,VarNormIw,AvgNormIw,MaxNormIw,J,BatchSize,ESSClassic,AvgRet,MinVanillaIw,MaxVanillaIw,IterType,VarDiscRet,VarVanillaIw,MinNormIw,VarJ,VanillaAvgRet,eRenyi2,EpsThisIter,AvgEpLen,Bound,ESSRenyi,VarRet
64.12024,-3.9183580166104144,0.009762203,0.009999998,0.98815733,38.910362,100,1.0241093779230073,-3.9183580166104144,0.04096099,6336.0884,1,185.65528460663572,401363.75,6.388153e-06,4.623502,-3.9183580166104144,3.1237383,100,500.0,31.885162,32.01292514036887,185.65528460663572
3.4922984,-2.3425255227736654,0.0001540685,0.01,0.06990661,-2.4525993,200,39.59959865497635,-3.9183580166104144,0.00015782609,24.413471,,214.85169930374082,18.79042,4.5192613e-07,28.163828,-3.9183580166104144,2.7487555,100,500.0,-10.113312,72.76020121577405,185.65528460663572
859.26843,-4.024937213280621,0.004989676,0.005000001,0.99897224,39.327988,200,1.0020587008561086,-4.024937213280621,1.14902896e-07,171677.06,1,158.1783678860749,147363570.0,6.6860883e-13,0.67493415,-4.024937213280621,1.0000012,100,500.0,36.517338,199.99976158170512,158.1783678860749
1.0,-1.7792956144080967,3.5044917e-18,0.009999998,0.01,-1.7792956,200,100.0,-1.7792956144080967,1.0,1.0,2,283.29135842944936,,0.01,16.746893,-1.7792956144080967,1.0,100,500.0,-7.781389,200.0,283.29135842944936
43943.375,-0.655834330491951,0.0049026343,0.005000001,0.9902518,-0.8371846,300,1.0197585734738706,-4.024937213280621,5.8248897e-06,8703001.0,,272.88145945624717,378683400000.0,6.6277225e-13,1.5053734,-4.024937213280621,nan,100,500.0,-inf,nan,158.1783678860749
10.754169,-4.03041514333824,0.0028546627,0.0033333332,0.9256277,31.068087,300,1.1670277975636414,-4.03041514333824,1.9669336e-05,2986.3074,1,152.1780184951209,29713.324,6.0966543e-09,42.66022,-4.03041514333824,7.5581245,100,500.0,24.687807,39.692386427815435,152.1780184951209
1.0,-0.41747691818926586,3.5044917e-18,0.009999998,0.01,-0.41747692,300,100.0,-0.41747691818926586,1.0,1.0,2,182.68379008273214,,0.01,13.448306,-0.41747691818926586,1.0,100,500.0,-4.042767,300.0,182.68379008273214
1.0,-1.544349122568075,2.179301e-19,0.0049999994,0.005,-1.5443492,300,200.00000010221265,-1.544349122568075,1.0,1.0,2,200.81047165296206,,0.005,14.135289,-1.544349122568075,1.0,100,500.0,-5.3895483,300.0,200.81047165296206
340.34387,-0.65651655650173,0.0012454492,0.0033333332,0.4979332,-8.5661545,400,2.6615380762256993,-4.03041514333824,0.00033486172,50840.555,,215.74496187062618,12983876.0,3.279641e-09,60.178555,-4.03041514333824,291.07907,100,500.0,-62.13085,1.3741970474348137,152.1780184951209
781.57086,-4.162152494633042,0.0024945023,0.0025,0.99890256,39.33742,400,1.0021985170342258,-4.162152494633042,4.6276575e-08,312285.25,1,155.24887685853727,243803940.0,1.4802425e-13,0.7254722,-4.162152494633042,1.0000013,100,500.0,37.32757,399.9994754798138,155.24887685853727
