MinVanillaIw,ESSRenyi,VarJ,J,MinNormIw,AvgNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,eRenyi2,EpsThisIter,BatchSize,AvgVanillaIw,IterType,AvgRet,VarDiscRet,VarRet,VarNormIw,Delta,VarVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,Bound
4.89321e-07,58.186289729,392.404,-1177.85,4.86546e-09,0.01,5.61989,52.488276934,0.0558801,1.71862,100,100,1.0057,1,-1456.26905456,148193.466934,148193.466934,9.1433e-05,0.2,0.92479,500.0,-1456.26905456,-1456.26905456,-1701.48
0.13567,88.2364177517,126.1,-1170.85,0.00128204,0.01,1.82452,87.8214270376,0.0172411,1.13332,100,100,1.05824,1,-1235.4197962,64847.8067437,64847.8067437,1.40075e-05,0.2,0.156866,500.0,-1235.4197962,-1235.4197962,-1594.99
0.0962941,91.7612608055,95.0974,-1159.26,0.000974712,0.01,1.54364,89.6732831298,0.0156251,1.08978,100,100,0.987923,1,-1207.75398728,52558.3297372,52558.3297372,1.16323e-05,0.2,0.11353,500.0,-1207.75398728,-1207.75398728,-1568.79
0.433015,93.9527403136,171.281,-1101.13,0.00429813,0.01,2.78045,89.849049653,0.0275989,1.06436,100,100,1.00745,1,-1118.326342,11687.3383487,11687.3383487,1.14119e-05,0.2,0.115826,500.0,-1118.326342,-1118.326342,-1435.68
0.779575,98.239695212,135.267,-1116.7,0.00783488,0.01,1.45558,98.6995145387,0.0146289,1.01792,100,100,0.995007,1,-1122.47836104,12281.8882365,12281.8882365,1.33092e-06,0.2,0.0131766,500.0,-1122.47836104,-1122.47836104,-1471.24
0.36726,97.4372084892,115.298,-1140.92,0.00367251,0.01,1.31148,96.9574881134,0.0131145,1.0263,100,100,1.00002,1,-1154.11899794,29630.0028772,29630.0028772,3.16971e-06,0.2,0.0316986,500.0,-1154.11899794,-1154.11899794,-1538.45
0.792925,98.8775710224,55.8322,-1124.92,0.00796195,0.01,1.51932,98.7067188606,0.0152559,1.01135,100,100,0.995893,1,-1127.39599106,1568.72338667,1568.72338667,1.32344e-06,0.2,0.0131259,500.0,-1127.39599106,-1127.39599106,-1366.63
0.687179,99.0151959841,97.1799,-1125.13,0.00694997,0.01,1.25509,99.0504588394,0.0126937,1.00995,100,100,0.98875,1,-1128.40653849,9967.06710197,9967.06710197,9.68335e-07,0.2,0.00946671,500.0,-1128.40653849,-1128.40653849,-1455.92
0.429117,93.8703353864,182.19,-1097.73,0.00423037,0.01,2.59001,91.9547930343,0.0255332,1.0653,100,100,1.01437,1,-1119.02057289,16874.2143878,16874.2143878,8.83746e-06,0.2,0.0909333,500.0,-1119.02057289,-1119.02057289,-1477.93
0.775153,98.3334808385,128.437,-1118.54,0.00771042,0.01,1.51481,98.3650988827,0.0150678,1.01695,100,100,1.00533,1,-1123.54280885,10875.3178825,10875.3178825,1.67883e-06,0.2,0.0169678,500.0,-1123.54280885,-1123.54280885,-1449.64
0.386229,94.1435994343,136.433,-1109.8,0.00395627,0.01,2.79926,91.63846486,0.0286737,1.06221,100,100,0.976247,1,-1126.56090107,6851.98626693,6851.98626693,9.21668e-06,0.2,0.0878403,500.0,-1126.56090107,-1126.56090107,-1419.04
0.408505,89.7392028446,235.98,-1068.13,0.00420563,0.01,3.09615,86.9905441965,0.0318754,1.11434,100,100,0.971329,1,-1104.78289425,20714.0220302,20714.0220302,1.51061e-05,0.2,0.142523,500.0,-1104.78289425,-1104.78289425,-1481.72
0.250458,94.2761614806,163.92,-1132.44,0.00271286,0.01,1.7996,90.7833243679,0.0194925,1.06071,100,100,0.923225,1,-1165.21563896,66306.9510454,66306.9510454,1.02549e-05,0.2,0.0874071,500.0,-1165.21563896,-1165.21563896,-1537.81
0.318659,94.5903709516,161.501,-1105.14,0.0032127,0.01,2.3807,92.8194805625,0.024002,1.05719,100,100,0.991875,1,-1120.09806671,13800.1912737,13800.1912737,7.81419e-06,0.2,0.0768773,500.0,-1120.09806671,-1120.09806671,-1446.19
0.388461,87.3151557216,287.812,-1019.15,0.00366857,0.01,3.72519,83.1709099074,0.0351802,1.14528,100,100,1.05889,1,-1073.28329052,37101.9569927,37101.9569927,2.04387e-05,0.2,0.229168,500.0,-1073.28329052,-1073.28329052,-1438.82
0.348236,91.4120127253,305.295,-1012.8,0.00335435,0.01,1.95878,91.3225068739,0.0188677,1.09395,100,100,1.03816,1,-1045.18645592,56385.5972946,56385.5972946,9.59801e-06,0.2,0.103445,500.0,-1045.18645592,-1045.18645592,-1422.84
0.0946648,82.2380379434,239.379,-979.78,0.000918024,0.01,2.94597,82.4080918063,0.0285689,1.21598,100,100,1.03118,1,-1030.07110273,30259.8444394,30259.8444394,2.15629e-05,0.2,0.229286,500.0,-1030.07110273,-1030.07110273,-1275.45
0.0919896,81.2692980006,313.808,-949.332,0.000898138,0.01,2.80527,78.4327923663,0.0273892,1.23048,100,100,1.02423,1,-1027.71629652,96725.8708351,96725.8708351,2.77755e-05,0.2,0.291376,500.0,-1027.71629652,-1027.71629652,-1384.21
0.0109566,63.9887617394,305.056,-838.762,0.000109662,0.01,4.72458,57.5509489281,0.0472869,1.56277,100,100,0.999129,1,-1004.82826656,101213.361412,101213.361412,7.45041e-05,0.2,0.743744,500.0,-1004.82826656,-1004.82826656,-1328.89
0.0469919,80.2807286719,281.384,-818.922,0.000464353,0.01,2.15498,79.0072310554,0.0212945,1.24563,100,100,1.01199,1,-909.925858421,109764.613541,109764.613541,2.68391e-05,0.2,0.274864,500.0,-909.925858421,-909.925858421,-1256.7
0.034135,75.6702711177,277.944,-770.561,0.000343636,0.01,2.59797,73.2906543502,0.0261537,1.32152,100,100,0.993347,1,-879.944613117,121345.216882,121345.216882,3.68112e-05,0.2,0.36323,500.0,-879.944613117,-879.944613117,-1221.3
0.048391,81.6767882201,184.74,-701.961,0.000526455,0.01,2.20087,75.3024882154,0.0239438,1.22434,100,100,0.919185,1,-790.392388274,71763.6079113,71763.6079113,3.3129e-05,0.2,0.279907,500.0,-790.392388274,-790.392388274,-1135.86
