MinNormIw,MaxNormIw,AvgNormIw,Bound,IterType,VarJ,VarVanillaIw,VarNormIw,VarDiscRet,VanillaAvgRet,AvgRet,EpsThisIter,ESSClassic,ESSRenyi,AvgVanillaIw,AvgEpLen,VarRet,Delta,AvgDiscRet,MinVanillaIw,MaxVanillaIw,eRenyi2,J,BatchSize
8.19678e-07,0.0266216,0.01,-1697.32,1,156.016,0.762475,7.85261e-05,155737.674331,-1493.48651672,-1493.48651672,100,56.2616807979,62.3874701007,0.985385,500.0,155737.674331,0.2,-1493.48651672,8.07698e-05,2.62325,1.60289,-1199.2,100
0.00179365,0.0133898,0.01,-1557.61,1,103.152,0.0839319,8.63442e-06,35193.3874493,-1184.5230196,-1184.5230196,100,92.1250509556,92.7046056085,0.985932,500.0,35193.3874493,0.2,-1184.5230196,0.176842,1.32014,1.0787,-1150.36,100
0.00461754,0.0141747,0.01,-1563.68,1,106.21,0.0411791,4.08814e-06,31046.254011,-1183.04075359,-1183.04075359,100,96.1101561366,95.271219365,1.00363,500.0,31046.254011,0.2,-1183.04075359,0.463433,1.42262,1.04963,-1161.83,100
0.00401219,0.0131629,0.01,-1549.06,1,97.3591,0.0311717,3.17824e-06,25378.1550858,-1163.05248899,-1163.05248899,100,96.9495020933,97.325325421,0.990345,500.0,25378.1550858,0.2,-1163.05248899,0.397345,1.30358,1.02748,-1149.35,100
0.00739819,0.0116515,0.01,-1537.97,1,69.6371,0.00761034,7.49713e-07,8802.0709792,-1147.55224119,-1147.55224119,100,99.2632466387,99.193467044,1.00752,500.0,8802.0709792,0.2,-1147.55224119,0.745384,1.17391,1.00813,-1144.09,100
0.00766911,0.0119741,0.01,-1464.55,1,49.4749,0.00773511,7.77985e-07,3995.73916213,-1141.81412962,-1141.81412962,100,99.2357046693,99.3715924932,0.99712,500.0,3995.73916213,0.2,-1141.81412962,0.764702,1.19396,1.00632,-1139.64,100
0.00630358,0.0113708,0.01,-1494.97,1,49.8869,0.00527787,5.26317e-07,5202.36441726,-1141.04175675,-1141.04175675,100,99.4816626665,99.4316991786,1.0014,500.0,5202.36441726,0.2,-1141.04175675,0.631238,1.13867,1.00572,-1138.66,100
0.00451971,0.0148365,0.01,-1543.88,1,70.6194,0.030681,2.95509e-06,20464.0593919,-1158.51300323,-1158.51300323,100,97.1576106756,97.4859104254,1.01894,500.0,20464.0593919,0.2,-1158.51300323,0.460533,1.51175,1.02579,-1145.59,100
0.0072608,0.0126174,0.01,-1382.76,1,39.9167,0.00569472,5.6674e-07,1216.27329215,-1129.69887431,-1129.69887431,100,99.4420529255,99.3399840982,1.00241,500.0,1216.27329215,0.2,-1129.69887431,0.727828,1.26477,1.00664,-1128.03,100
0.00757668,0.0116088,0.01,-1453.69,1,73.5416,0.00585017,6.09358e-07,7241.93484047,-1135.14839368,-1135.14839368,100,99.4003858054,99.4947343251,0.979824,500.0,7241.93484047,0.2,-1135.14839368,0.742382,1.13746,1.00508,-1133.39,100
0.00485802,0.0119767,0.01,-1533.57,1,42.1417,0.0140572,1.427e-06,7077.0487845,-1144.52862174,-1144.52862174,100,98.6069685096,99.053650408,0.992516,500.0,7077.0487845,0.2,-1144.52862174,0.482166,1.18871,1.00955,-1139.75,100
0.00861325,0.0204118,0.01,-1376.56,1,53.7885,0.0201154,2.00645e-06,816.063147055,-1131.84310758,-1131.84310758,100,98.0522883211,98.7182154622,1.00127,500.0,816.063147055,0.2,-1131.84310758,0.862418,2.04377,1.01298,-1129.33,100
0.00799067,0.0107982,0.01,-1400.45,1,19.3531,0.00293175,2.94914e-07,571.492321871,-1137.49275192,-1137.49275192,100,99.7089049291,99.7601790701,0.997047,500.0,571.492321871,0.2,-1137.49275192,0.796708,1.07663,1.0024,-1136.83,100
0.00564132,0.0120902,0.01,-1506.7,1,58.6117,0.0163031,1.64693e-06,8643.05023807,-1145.36478707,-1145.36478707,100,98.3956982373,98.8218224896,0.99494,500.0,8643.05023807,0.2,-1145.36478707,0.561278,1.20291,1.01192,-1140.24,100
0.00731229,0.0161515,0.01,-1370.6,1,79.545,0.014085,1.42291e-06,2516.32450502,-1130.30990876,-1130.30990876,100,98.6108938467,98.6930007757,0.994923,500.0,2516.32450502,0.2,-1130.30990876,0.727517,1.60695,1.01324,-1127.61,100
