Bound,EpsThisIter,MaxNormIw,VarDiscRet,VarNormIw,BatchSize,AvgEpLen,VarJ,ESSRenyi,AvgRet,IterType,MinVanillaIw,MinNormIw,AvgNormIw,eRenyi2,J,MaxVanillaIw,Delta,VarVanillaIw,AvgDiscRet,ESSClassic,AvgVanillaIw,VanillaAvgRet,VarRet
59.5659,100,0.102274,10506.6411826,0.00026598,100,15.74,210.695,46.0433625904,144.054315723,1,0.000390578,3.26329e-06,0.01,2.17187,256.221,12.241,0.1,3.81026,144.054315723,27.523900916,1.19688,144.054315723,10506.6411826
116.391,100,0.562542,12292.3481375,0.00313915,100,22.9,835.262,28.873590957,210.942692703,1,0.00421717,2.56478e-05,0.01,3.46337,449.197,92.4966,0.1,84.8697,210.942692703,3.11744402626,1.64426,210.942692703,12292.3481375
119.764,100,0.0365303,8251.14442411,6.23632e-05,100,25.21,99.0402,74.5128083368,232.728982542,1,0.0193068,0.000197249,0.01,1.34205,281.305,3.5756,0.1,0.597472,232.728982542,61.827788147,0.978802,232.728982542,8251.14442411
65.8329,100,0.126431,15200.2538873,0.000211233,100,31.68,606.506,59.6346865308,293.147862937,1,0.0443016,0.000422235,0.01,1.67688,401.788,13.2654,0.1,2.32536,293.147862937,32.3497916848,1.04921,293.147862937,15200.2538873
81.8508,100,0.031535,10063.4754355,1.84905e-05,100,32.96,176.895,88.1874678375,304.927330872,1,0.246488,0.00250427,0.01,1.13395,328.17,3.10389,0.1,0.179133,304.927330872,84.5268359292,0.984267,304.927330872,10063.4754355
127.616,100,0.0359505,11729.9015762,3.45086e-05,100,34.65,175.331,79.1720943314,320.956976517,1,0.177733,0.00184041,0.01,1.26307,362.748,3.47181,0.1,0.321833,320.956976517,74.5358913381,0.96572,320.956976517,11729.9015762
131.803,100,0.0299374,16169.7731884,3.64215e-05,100,35.75,188.086,77.5073133679,331.011284253,1,0.0515824,0.000475238,0.01,1.2902,384.699,3.24941,0.1,0.429081,331.011284253,73.4984282134,1.0854,331.011284253,16169.7731884
111.264,100,0.0174486,11633.9196773,8.05142e-06,100,38.06,120.351,93.5580660937,352.573262479,1,0.285662,0.00285672,0.01,1.06885,368.506,1.74479,0.1,0.0805083,352.573262479,92.6175380197,0.999963,352.573262479,11633.9196773
116.084,100,0.0241163,14826.5397633,1.00021e-05,100,41.53,176.349,91.6992704927,384.811807448,1,0.309301,0.00287424,0.01,1.09052,406.088,2.5952,0.1,0.115826,384.811807448,90.9900902526,1.07612,384.811807448,14826.5397633
-35.8953,100,0.0401175,43159.0550809,3.20389e-05,100,45.44,376.951,83.9762032613,421.230101074,1,0.134443,0.00123702,0.01,1.19081,490.725,4.36009,0.1,0.378444,421.230101074,75.9194645905,1.08683,421.230101074,43159.0550809
