Bound,EpsThisIter,J,AvgNormIw,AvgVanillaIw,AvgRet,eRenyi2,MinNormIw,VarJ,VanillaAvgRet,VarDiscRet,VarRet,AvgEpLen,BatchSize,ESSClassic,ESSRenyi,VarNormIw,MaxVanillaIw,MinVanillaIw,IterType,Delta,VarVanillaIw,MaxNormIw,AvgDiscRet
231.99582,100,438.3506,0.01,2.0538085,161.4208618825578,8.876148,1.5615474e-09,801.0326,161.4208618825578,10740.5379436093,10740.5379436093,17.6,100,2.5989452317006716,11.266148049555854,0.0037855704,124.476,3.2071193e-07,1,0.4,159.68025,0.60607404,161.4208618825578
-inf,100,434.58035,0.01,31403.705,161.4208618825578,nan,2.558194e-09,23.114557,161.4208618825578,9869.631054375677,10740.5379436093,17.6,200,1.0143439687580553,nan,0.009857162,3118063.0,0.008033677,,0.4,97210580000.0,0.99289656,188.56137864903863
230.62933,100,409.2638,0.005,2.7882376,165.6856903724534,4.1512218,3.2428867e-05,992.6025,165.6856903724534,20281.210239945274,20281.210239945274,18.06,200,2.5080753966631115,48.1785873991456,0.0019784526,351.12665,0.018083878,1,0.4,615.24084,0.629657,165.6856903724534
77.59801,100,204.90709,0.009999998,1.0,204.90709851790328,1.0,0.01,167.6254,204.90709851790328,28382.09398769647,28382.09398769647,22.28,200,100.0,200.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,204.90709851790328
21.047699,100,223.78047,0.005,3.795035,165.6856903724534,5.0717654,3.7522389e-06,240.3909,165.6856903724534,15774.53803454988,20281.210239945274,18.06,300,51.28673057557825,59.15100068510905,7.2855364e-05,55.29787,0.0028479754,,0.4,41.97136,0.072855555,212.47361085796038
476.61316,100,802.79065,0.0033333334,3.1903083,160.8209320653231,20.760834,1.31807254e-14,2644.1401,160.8209320653231,13712.048852590271,13712.048852590271,17.54,300,1.9438850448678233,14.45028671553791,0.0017093659,684.43134,1.2615173e-11,1,0.4,1565.8232,0.7151152,160.8209320653231
152.4617,100,223.84224,0.009999998,1.0,223.84224330834783,1.0,0.01,120.09452,223.84224330834783,14568.379581965448,14568.379581965448,24.27,300,100.0,300.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,223.84224330834783
139.96301,100,227.41931,0.0049999994,1.0,230.99638941916612,1.0,0.005,141.91322,230.99638941916612,26091.353970815526,26091.353970815526,25.05,300,200.00000010221265,300.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,230.99638941916612
-inf,100,54.852116,0.0033333334,265436110.0,160.8209320653231,nan,1.8348006e-14,24.995382,160.8209320653231,22153.146583069116,13712.048852590271,17.54,400,1.009116901490785,nan,0.003303117,79269626000.0,0.001461067,,0.4,2.0945294e+19,0.99546397,229.68487502980545
461.6573,100,744.42993,0.0025,2.4691813,145.67879318035716,20.80416,3.2653019e-18,3448.037,145.67879318035716,10609.531886857796,10609.531886857796,15.91,400,2.457122209258683,19.22692461822377,0.0010137348,627.4247,3.2250487e-15,1,0.4,988.89514,0.6352558,145.67879318035716
103.06937,100,242.50343,0.009999998,1.0,242.50344980946682,1.0,0.01,180.15643,242.50344980946682,32784.18065587299,32784.18065587299,26.3,400,100.0,400.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,242.50344980946682
140.33792,100,238.93271,0.0049999994,1.0,235.36199010865062,1.0,0.005,152.96133,235.36199010865062,14457.073451716122,14457.073451716122,25.51,400,200.00000010221265,400.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,235.36199010865062
163.65689,100,244.1592,0.0033333336,1.0,254.61209378832257,1.0,0.0033333334,157.10509,254.61209378832257,27361.402053832717,27361.402053832717,27.58,400,299.999969473632,400.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,254.61209378832257
-inf,100,184.52399,0.0025,775718800000.0,145.67879318035716,0.05994835,5.1365803e-18,1.7661564,145.67879318035716,53004.70447646561,10609.531886857796,15.91,500,1.0013847608594968,8340.512953336643,0.0024965343,310072850000000.0,0.0015938168,,0.4,2.4036224e+26,0.9993081,266.313579010441
419.3908,100,663.9729,0.002,1.9259942,132.20477635304746,19.455162,8.105219e-23,4156.926,132.20477635304746,7574.862800975594,7574.862800975594,14.45,500,3.526702345179056,25.700120037944696,0.00056423055,508.6519,7.805302e-20,1,0.4,523.2467,0.5281967,132.20477635304746
135.0922,100,212.66911,0.009999998,1.0,212.66911709190535,1.0,0.01,120.70407,212.66911709190535,14716.639170648103,14716.639170648103,23.08,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,212.66911709190535
151.65298,100,222.9571,0.0049999994,1.0,233.24510720256177,1.0,0.005,121.480354,233.24510720256177,14882.623253529207,14882.623253529207,25.3,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,233.24510720256177
84.9637,100,240.20544,0.0033333336,1.0,274.7020050357124,1.0,0.0033333334,185.45775,274.7020050357124,72609.85150648443,72609.85150648443,29.75,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,274.7020050357124
105.58765,100,240.03094,0.0024999997,1.0,239.50760457742402,1.0,0.0025,174.25154,239.50760457742402,18454.878815223143,18454.878815223143,25.97,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,239.50760457742402
177.17456,100,393.30173,0.002,0.8944602,247.47029905924563,3.2303562,3.6420023e-08,1374.383,247.47029905924563,29114.573876995048,29114.573876995048,26.84,500,141.30581320229803,154.78169170843574,1.0174046e-05,13.462652,1.628813e-05,1,0.4,2.0349596,0.030102294,247.47029905924563
171.31505,100,320.04272,0.009999998,1.0,320.0427170800803,1.0,0.01,203.42236,320.0427170800803,41798.641013659515,41798.641013659515,34.6,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,320.0427170800803
223.30911,100,328.47546,0.0049999994,1.0,336.90818327352406,1.0,0.005,189.07513,336.90818327352406,30278.724355926093,30278.724355926093,36.42,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,336.90818327352406
246.72595,100,332.5939,0.0033333336,1.0,340.8307440550494,1.0,0.0033333334,188.62985,340.8307440550494,35498.063233997884,35498.063233997884,36.84,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,340.8307440550494
252.5237,100,328.4465,0.0024999997,1.0,316.00435196720844,1.0,0.0025,185.7678,316.00435196720844,31402.672024821637,31402.672024821637,34.19,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,316.00435196720844
545.4197,100,743.63043,0.002,6.6820707,307.99759768803005,6.825453,8.4421705e-09,1016.59503,307.99759768803005,37337.86025069308,37337.86025069308,33.33,500,1.359840691412463,73.25521314359663,0.0014697,2864.726,2.8205592e-05,1,0.4,16405.549,0.8574366,307.99759768803005
237.36421,100,400.76144,0.009999998,1.0,400.7614596949901,1.0,0.01,172.92847,400.7614596949901,30206.321024532725,30206.321024532725,43.27,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,400.7614596949901
281.25256,100,396.79187,0.0049999994,1.0,392.8223166017392,1.0,0.005,174.48607,392.8223166017392,31267.681219832026,31267.681219832026,42.39,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,392.8223166017392
300.93802,100,395.27545,0.0033333336,1.0,392.2426628762694,1.0,0.0033333334,178.90633,392.2426628762694,35472.58044054759,35472.58044054759,42.33,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,392.2426628762694
309.1057,100,390.80432,0.0024999997,1.0,377.3907673286517,1.0,0.0025,179.79845,377.3907673286517,33381.41860238103,33381.41860238103,40.77,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,377.3907673286517
686.58435,100,1012.96967,0.002,2.2142172,387.83404741816236,19.949947,4.517379e-11,4148.132,387.83404741816236,31632.506739645654,31632.506739645654,41.86,500,3.0101541486781587,25.062722775561934,0.0006617416,632.18677,5.0012293e-08,1,0.4,811.08954,0.5710251,387.83404741816236
241.62752,100,487.56815,0.009999998,1.0,487.56818776947034,1.0,0.01,267.79367,487.56818776947034,72437.82832515356,72437.82832515356,52.64,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,487.56818776947034
284.94928,100,519.86176,0.0049999994,1.0,552.1553138222416,1.0,0.005,366.4919,552.1553138222416,196801.47778396055,196801.47778396055,59.79,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,552.1553138222416
309.73236,100,501.5376,0.0033333336,1.0,464.88932226592334,1.0,0.0033333334,328.34912,464.88932226592334,53325.410196400466,53325.410196400466,50.23,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,464.88932226592334
344.45245,100,510.56067,0.0024999997,1.0,537.6299665987295,1.0,0.0025,325.70694,537.6299665987295,100932.90631646728,100932.90631646728,58.06,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,537.6299665987295
1353.5436,100,2241.363,0.002,2.9291606,510.41680660043966,35.708958,1.0113795e-13,7843.604,510.41680660043966,104566.01335087295,104566.01335087295,55.18,500,1.8494094963170518,14.002088904162841,0.0010795856,1074.678,1.4812465e-10,1,0.4,2315.7056,0.7337788,510.41680660043966
419.39508,100,859.2599,0.009999998,1.0,859.2598500383482,1.0,0.01,602.4925,859.2598500383482,366663.8480771689,366663.8480771689,93.03,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,859.2598500383482
576.4,100,911.8638,0.0049999994,1.0,964.4675644087381,1.0,0.005,613.62256,964.4675644087381,388417.8370198871,388417.8370198871,104.58,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,964.4675644087381
601.22314,100,929.93,0.0033333336,1.0,966.0627834007655,1.0,0.0033333334,648.1215,966.0627834007655,510263.4940913759,510263.4940913759,104.82,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,966.0627834007655
625.47314,100,910.14166,0.0024999997,1.0,850.7764181695896,1.0,0.0025,638.1218,850.7764181695896,367590.4812734471,367590.4812734471,92.24,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,850.7764181695896
2166.5386,100,3846.1958,0.0020000003,2.4173386,848.5701951406149,43.091415,3.324147e-23,12567.467,848.5701951406149,375478.79447633086,375478.79447633086,91.87,500,2.1189379484057205,11.603239190393618,0.00094175263,821.82135,4.0177943e-20,1,0.4,1375.7886,0.679939,848.5701951406149
1277.7933,100,1850.0557,0.009999998,1.0,1850.0555919465633,1.0,0.01,1247.2507,1850.0555919465633,1571347.803388277,1571347.803388277,201.15,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,1850.0555919465633
1446.584,100,1851.2345,0.0049999994,1.0,1852.4135067584439,1.0,0.005,1250.6881,1852.4135067584439,1588691.1492031976,1588691.1492031976,201.4,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,1852.4135067584439
1544.4578,100,1874.8535,0.0033333336,1.0,1922.091155454711,1.0,0.0033333334,1240.0055,1922.091155454711,1496012.2878745703,1496012.2878745703,209.04,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,1922.091155454711
1634.4974,100,1920.6726,0.0024999997,1.0,2058.130361098965,1.0,0.0025,1273.0067,2058.130361098965,1862778.576608175,1862778.576608175,223.2,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,2058.130361098965
3357.4797,100,4282.3896,0.002,1.3837726,2009.5845821987004,13.035763,1.6422788e-24,1788.7072,2009.5845821987004,2055127.456216165,2055127.456216165,218.1,500,25.691725569975546,38.356021674757486,7.399406e-05,72.29976,1.1362702e-21,1,0.4,35.421444,0.10449659,2009.5845821987004
2843.9353,100,3416.5244,0.009999998,1.0,3416.524463288007,1.0,0.01,1346.9199,3416.524463288007,1832518.4459331254,1832518.4459331254,371.11,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,3416.524463288007
3193.5454,100,3598.813,0.0049999994,1.0,3781.102060855483,1.0,0.005,1267.7557,3781.102060855483,1347229.6677029536,1347229.6677029536,411.54,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,3781.102060855483
3290.3845,100,3621.2842,0.0033333336,1.0,3666.226617475178,1.0,0.0033333334,1236.0336,3666.226617475178,1379695.5968831962,1379695.5968831962,398.11,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,3666.226617475178
3355.625,100,3642.1924,0.0024999997,1.0,3704.917922669015,1.0,0.0025,1233.9167,3704.917922669015,1516786.9128282606,1516786.9128282606,402.4,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,3704.917922669015
3977.9175,100,4442.0854,0.0020000003,1.0558553,3887.7979500467213,3.2794926,1.8021333e-09,567.15375,3887.7979500467213,1159066.512371495,1159066.512371495,421.87,500,154.5790783482903,152.46260883801742,8.956274e-06,8.95198,9.51396e-07,1,0.4,2.4961812,0.016956832,3887.7979500467213
3832.0522,100,4404.7256,0.009999998,1.0,4404.725296036458,1.0,0.01,667.07965,4404.725296036458,449490.17663216003,449490.17663216003,475.82,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4404.725296036458
4009.8345,100,4414.8213,0.0049999994,1.0,4424.918195794038,1.0,0.005,623.3242,4424.918195794038,335219.27869307535,335219.27869307535,478.37,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4424.918195794038
4089.4194,100,4420.328,0.0033333336,1.0,4431.339507870194,1.0,0.0033333334,619.68445,4431.339507870194,378564.01085749455,378564.01085749455,478.39,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4431.339507870194
4145.5625,100,4432.1377,0.0024999997,1.0,4467.568117100997,1.0,0.0025,626.58374,4467.568117100997,420937.8879345683,420937.8879345683,482.03,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4467.568117100997
4287.7637,100,4590.191,0.002,1.0329257,4430.732896374044,1.3921127,8.6497275e-06,194.70929,4430.732896374044,405450.9966430909,405450.9966430909,478.89,500,347.9593633419782,359.166315004905,1.7513003e-06,3.4358268,0.0044672634,1,0.4,0.46713123,0.0066526113,4430.732896374044
3923.4326,100,4496.612,0.009999998,1.0,4496.6118734864485,1.0,0.01,530.38776,4496.6118734864485,284152.72874918254,284152.72874918254,484.42,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4496.6118734864485
4126.7266,100,4532.0254,0.0049999994,1.0,4567.439066391947,1.0,0.005,478.20828,4567.439066391947,175299.86831519598,175299.86831519598,491.44,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4567.439066391947
4197.1826,100,4528.108,0.0033333336,1.0,4520.272679967247,1.0,0.0033333334,455.07248,4520.272679967247,165469.1777397667,165469.1777397667,487.7,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4520.272679967247
4251.3726,100,4537.962,0.0024999997,1.0,4567.525024324316,1.0,0.0025,427.95114,4567.525024324316,111242.94695667578,111242.94695667578,492.47,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4567.525024324316
4335.5596,100,4612.8706,0.002,1.0278211,4585.266611915836,1.1703731,0.00012442583,161.54675,4585.266611915836,126522.43609593759,126522.43609593759,493.6,500,422.6641420532049,427.2142000026279,7.3335576e-07,2.231382,0.06394374,1,0.4,0.19368221,0.0043419655,4585.266611915836
4049.6821,100,4622.819,0.009999998,1.0,4622.818427974742,1.0,0.01,192.76085,4622.818427974742,37532.05956089374,37532.05956089374,497.35,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4622.818427974742
