VarJ,VarDiscRet,AvgVanillaIw,MinNormIw,AvgDiscRet,Delta,Bound,EpsThisIter,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,J,VarNormIw,AvgNormIw,ESSClassic,eRenyi2,MaxNormIw,VarRet,MinVanillaIw,AvgEpLen,BatchSize,AvgRet,ESSRenyi,IterType
397.58945,6442.25079311412,1.6804051,2.604093e-07,129.03910247348395,0.4,225.60898,100,129.61293,167.38179,129.03910247348395,366.31818,0.005927618,0.010000003,1.6755074666643281,7.588578,0.77131957,6442.25079311412,4.375931e-05,14.13,100,129.03910247348395,13.177699042665882,1
798.5983,13190.949583993497,3.0044334,1.15885105e-05,245.5011172835974,0.4,386.38232,100,217.64493,471.832,245.5011172835974,596.81,0.0052271173,0.01,1.8957896128471945,5.9321237,0.72441256,13190.949583993497,0.0034816905,26.6,100,245.5011172835974,16.85736942011878,1
185.52557,18585.398891594094,10.792473,4.2572633e-06,312.5680825400982,0.4,-615.2407,100,287.2168,1017.8863,245.5011172835974,315.6017,0.0008738912,0.010000002,10.361060462781227,48.291378,0.26612696,13190.949583993497,0.00459464,26.6,200,245.5011172835974,4.141526048646469,
1030.2123,10483.970941020789,3.3760126,4.5541472e-07,234.79757937657033,0.4,410.19678,100,506.28363,1280.955,234.79757937657033,609.40063,0.0028097376,0.005,1.7726165551122914,10.632364,0.7498249,10483.970941020789,0.00030749716,25.44,200,234.79757937657033,18.810491708466223,1
128.94965,16795.969957780588,1.0,0.01,324.00757277659886,0.4,202.38943,100,1.0,,324.00757277659886,324.00757,3.5044917e-18,0.009999998,100.0,1.0,0.01,16795.969957780588,1.0,35.0,200,324.00757277659886,200.0,2
292.46167,17435.195391679426,78.21311,1.2626894e-07,313.94686791133387,0.4,-2965.9258,100,3252.0625,99058.03,234.79757937657033,303.8681,0.000404828,0.005,11.687597938678755,1445.6864,0.20789751,10483.970941020789,0.0019751776,25.44,300,234.79757937657033,0.2075138838660235,
1143.9211,16424.03036500212,3.409822,1.4959285e-08,252.58073749121456,0.4,425.03387,100,784.5914,2053.45,252.58073749121456,620.4117,0.0019623577,0.0033333334,1.6946904681690298,13.892871,0.76699156,16424.03036500212,1.530255e-05,27.36,300,252.58073749121456,21.59380894663692,1
109.45882,12102.255916763941,1.0,0.01,316.16371267105825,0.4,227.40561,100,1.0,,316.16371267105825,316.16373,3.5044917e-18,0.009999998,100.0,1.0,0.01,12102.255916763941,1.0,34.15,300,316.16371267105825,300.0,2
118.33439,16143.301191423243,1.0,0.005,325.43230622752327,0.4,251.2399,100,1.0,,325.43230622752327,320.79803,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,16143.301191423243,1.0,35.14,300,325.43230622752327,300.0,2
859.37775,22904.6706522861,1048.712,4.0511563e-09,338.7146332027309,0.4,-inf,100,65348.582,27868824.0,252.58073749121456,345.5961,0.0002815553,0.0033333334,11.42617402586524,nan,0.20771061,16424.03036500212,0.0012745488,27.36,400,252.58073749121456,nan,
