EpsThisIter,MaxVanillaIw,IterType,Bound,MinVanillaIw,J,AvgVanillaIw,AvgRet,MinNormIw,Delta,ESSClassic,VarVanillaIw,VarJ,VarNormIw,VanillaAvgRet,VarDiscRet,ESSRenyi,AvgEpLen,MaxNormIw,VarRet,AvgDiscRet,eRenyi2,AvgNormIw,BatchSize
100,2.45801,1,-141.779,0.0341788,-111.684,0.98101,-129.337168999,0.000348404,0.8,68.1365782962,0.454594,13.1281,4.72364e-05,-129.337168999,5861.89105209,68.0464239605,47.34,0.0250559,5861.89105209,-129.337168999,1.46958,0.01,100
100,1.68092,1,-136.483,0.0800515,-110.287,0.978063,-118.957435675,0.00081847,0.8,82.6165223689,0.203315,9.92081,2.12537e-05,-118.957435675,2896.75538056,84.4417404287,38.18,0.0171862,2896.75538056,-118.957435675,1.18425,0.01,100
100,1.47528,1,-115.704,0.177135,-108.112,0.973338,-108.769061771,0.00181987,0.8,93.1887667815,0.0699448,4.22025,7.38292e-06,-108.769061771,38.939076161,94.0029606321,17.88,0.0151569,38.939076161,-108.769061771,1.0638,0.01,100
100,2.3316,1,-114.873,0.0309499,-107.634,1.03891,-108.737688245,0.000297907,0.8,85.0997613672,0.190892,4.99593,1.76861e-05,-108.737688245,33.4823313928,86.1924255419,18.72,0.0224427,33.4823313928,-108.737688245,1.16019,0.01,100
100,1.63321,1,-116.778,0.234959,-108.324,0.968006,-109.006327059,0.00242725,0.8,92.2369875723,0.0796612,5.02119,8.50139e-06,-109.006327059,47.7633807178,92.6539818995,17.39,0.0168719,47.7633807178,-109.006327059,1.07928,0.01,100
100,1.44954,1,-134.35,0.0838335,-108.565,0.952509,-112.093220221,0.000880133,0.8,87.956863405,0.125479,8.31843,1.38304e-05,-112.093220221,1500.11859563,91.5305365005,21.9,0.0152181,1500.11859563,-112.093220221,1.09253,0.01,100
100,1.35394,1,-112.618,0.691914,-106.913,0.989961,-106.990678101,0.0069893,0.8,98.533381555,0.0147349,2.09608,1.50352e-06,-106.990678101,4.6484944826,98.6994803357,16.2,0.0136767,4.6484944826,-106.990678101,1.01318,0.01,100
100,2.04279,1,-113.318,0.378361,-107.31,1.04306,-107.677419741,0.00362741,0.8,92.5188336166,0.0888634,3.03019,8.16776e-06,-107.677419741,9.46219490716,94.0041299202,16.62,0.0195846,9.46219490716,-107.677419741,1.06378,0.01,100
100,1.35152,1,-112.938,0.664486,-107.116,1.01923,-107.227932211,0.00651949,0.8,98.0574795882,0.0207869,2.76622,2.00099e-06,-107.227932211,8.20715968994,98.075507055,16.96,0.0132602,8.20715968994,-107.227932211,1.01962,0.01,100
100,2.75352,1,-112.433,0.429211,-106.252,1.00087,-106.875119982,0.00428838,0.8,90.0905356587,0.111299,8.1873,1.11106e-05,-106.875119982,15.577010453,88.6986562091,17.52,0.0275113,15.577010453,-106.875119982,1.12741,0.01,100
100,1.40677,1,-113.281,0.36827,-107.388,0.976778,-107.579990485,0.00377025,0.8,96.2230597544,0.0378283,2.38236,3.96484e-06,-107.579990485,6.63640063261,96.9593518018,18.05,0.0144022,6.63640063261,-107.579990485,1.03136,0.01,100
100,1.63206,1,-113.019,0.527122,-106.932,0.9857,-107.137876598,0.00534769,0.8,95.8959350188,0.042002,2.63153,4.32296e-06,-107.137876598,7.90213885774,96.5852985678,18.47,0.0165573,7.90213885774,-107.137876598,1.03535,0.01,100
100,19.5185,1,-112.165,0.421091,-106.16,1.11095,-106.676899776,0.00379036,0.8,26.0261394865,3.54343,3.76108,0.0002871,-106.676899776,3.82558086986,88.0250809225,15.62,0.175692,3.82558086986,-106.676899776,1.13604,0.01,100
100,1.306,1,-114.036,0.293792,-107.057,0.989706,-107.384817231,0.00296848,0.8,96.1658542667,0.0394485,2.62111,4.02734e-06,-107.384817231,15.376321033,96.4944612306,16.98,0.0131958,15.376321033,-107.384817231,1.03633,0.01,100
100,1.23123,1,-112.542,0.753923,-106.765,1.01456,-106.805384815,0.00743102,0.8,99.2870247274,0.00746631,2.33084,7.25351e-07,-106.805384815,5.51786782635,99.3148741185,15.76,0.0121355,5.51786782635,-106.805384815,1.0069,0.01,100
100,1.18269,1,-112.272,0.287704,-106.578,0.979442,-106.704349993,0.00293743,0.8,97.1067628108,0.0288706,2.20566,3.00953e-06,-106.704349993,5.1152788435,98.0857133102,15.67,0.0120752,5.1152788435,-106.704349993,1.01952,0.01,100
100,1.27494,1,-112.707,0.500114,-106.966,1.00371,-107.080714522,0.00498265,0.8,97.7593442637,0.0233238,2.05686,2.31516e-06,-107.080714522,4.64991178878,98.0204757738,16.01,0.0127023,4.64991178878,-107.080714522,1.0202,0.01,100
100,1.59649,1,-112.588,0.327924,-106.789,1.01249,-107.018746741,0.00323879,0.8,93.9179982854,0.0670569,2.50985,6.54127e-06,-107.018746741,6.59259357205,96.0529100044,15.9,0.015768,6.59259357205,-107.018746741,1.04109,0.01,100
100,0.938285,1,-110.041,,-104.359,0.0110599,-107.06898563,,0.8,1.36084230949,0.0089559,0.902582,0.00732161,-107.06898563,6.1171020392,99.9998927118,16.62,0.848366,6.1171020392,-107.06898563,1.0,0.01,100
100,1.20445,1,-112.617,0.649863,-106.802,1.00785,-106.907268286,0.006448,0.8,98.2983113524,0.017762,2.04253,1.74863e-06,-106.907268286,5.14860572143,98.1561025257,15.31,0.0119507,5.14860572143,-106.907268286,1.01879,0.01,100
