BatchSize,Delta,EpsThisIter,ESSRenyi,VanillaAvgRet,VarVanillaIw,VarJ,AvgVanillaIw,MaxNormIw,VarDiscRet,AvgNormIw,IterType,eRenyi2,VarNormIw,VarRet,AvgRet,MinVanillaIw,AvgDiscRet,MaxVanillaIw,J,AvgEpLen,MinNormIw,Bound,ESSClassic
100,0.8,100,66.9168607897,-131.672698482,0.769083,16.8932,1.01943,0.0630233,6195.81999348,0.01,1,1.49439,7.40047e-05,6195.81999348,-131.672698482,0.00815481,-131.672698482,6.42478,-112.638,61.66,7.99939e-05,-142.961,57.7152151383
100,0.8,100,77.3694379298,-121.43496569,0.288298,13.5773,1.00449,0.0214998,3859.02443383,0.01,1,1.2925,2.85727e-05,3859.02443383,-121.43496569,0.0582864,-121.43496569,2.15963,-110.842,34.2,0.00058026,-139.18,77.9502166912
100,0.8,100,83.773864908,-109.918669054,0.229234,3.55134,0.94595,0.0180904,47.299293295,0.01,1,1.19369,2.56178e-05,47.299293295,-109.918669054,0.0276226,-109.918669054,1.71126,-108.232,18.45,0.000292009,-116.155,79.769221906
100,0.8,100,91.8432204898,-107.914989516,0.0909532,3.11115,1.03536,0.0145772,13.2806712086,0.01,1,1.08881,8.48463e-06,13.2806712086,-107.914989516,0.158405,-107.914989516,1.50927,-107.379,16.2,0.00152995,-113.707,92.2510953733
100,0.8,100,98.1664519285,-107.693127028,0.0141287,2.80356,1.01352,0.0126929,11.9098484471,0.01,1,1.01868,1.37542e-06,11.9098484471,-107.693127028,0.590329,-107.693127028,1.28645,-107.567,16.26,0.00582454,-114.247,98.6566500792
100,0.8,100,94.9669145575,-108.618071879,0.0559225,3.47365,0.949587,0.0172523,16.9928679388,0.01,1,1.053,6.20178e-06,16.9928679388,-108.618071879,0.304118,-108.618071879,1.63826,-108.253,17.85,0.00320263,-114.908,94.2153678286
100,0.8,100,94.9482112479,-107.952435373,0.0584247,3.09554,0.975446,0.0156469,9.49799831615,0.01,1,1.05321,6.1403e-06,9.49799831615,-107.952435373,0.144637,-107.952435373,1.52627,-107.687,16.61,0.00148278,-113.643,94.2694609016
100,0.8,100,99.1453997588,-107.561909841,0.00806891,2.54094,1.01465,0.0117846,6.70728741405,0.01,1,1.00862,7.83754e-07,6.70728741405,-107.561909841,0.771348,-107.561909841,1.19573,-107.509,16.77,0.00760209,-113.587,99.2300560286
100,0.8,100,98.3973467955,-107.363136796,0.0162184,2.52561,1.0087,0.0135499,6.95234580292,0.01,1,1.01629,1.594e-06,6.95234580292,-107.363136796,0.711299,-107.363136796,1.36677,-107.27,17.47,0.00705167,-113.096,98.4464417146
100,0.8,100,97.4302825239,-107.23062405,0.020014,2.83518,1.01203,0.0141858,8.53825569833,0.01,1,1.02637,1.95412e-06,8.53825569833,-107.23062405,0.576102,-107.23062405,1.43563,-107.073,16.6,0.00569257,-113.023,98.1021375745
100,0.8,100,94.7474758427,-107.30255701,0.0651103,2.8549,0.966361,0.0143514,14.3248855884,0.01,1,1.05544,6.97222e-06,14.3248855884,-107.30255701,0.209734,-107.30255701,1.38686,-106.947,16.66,0.00217035,-113.388,93.5431826433
100,0.8,100,97.3943896631,-107.355255828,0.0261635,2.55011,0.997038,0.0140343,9.34673391209,0.01,1,1.02675,2.63192e-06,9.34673391209,-107.355255828,0.380096,-107.355255828,1.39927,-107.153,16.03,0.00381226,-113.532,97.4605774445
100,0.8,100,95.8532094157,-107.063887807,0.0604116,2.68842,0.979525,0.0171378,6.6230495463,0.01,1,1.04326,6.29636e-06,6.6230495463,-107.063887807,0.293068,-107.063887807,1.67869,-106.846,16.35,0.00299194,-112.708,94.1323696654
100,0.8,100,97.1579761288,-107.07234651,0.0335739,2.25311,1.0005,0.0131285,9.59852934537,0.01,1,1.02925,3.35407e-06,9.59852934537,-107.07234651,0.415545,-107.07234651,1.3135,-106.858,16.13,0.00415339,-113.464,96.7861567177
100,0.8,100,97.9548331099,-106.8072221,0.0215578,2.19227,1.00091,0.0126572,6.36974404589,0.01,1,1.02088,2.15188e-06,6.36974404589,-106.8072221,0.529384,-106.8072221,1.26687,-106.674,16.25,0.00528905,-112.818,97.9140940095
100,0.8,100,98.3736223942,-106.776525489,0.0148904,2.26726,0.996389,0.0130868,5.49858004039,0.01,1,1.01653,1.49986e-06,5.49858004039,-106.776525489,0.6129,-106.776525489,1.30395,-106.684,15.76,0.00615121,-112.449,98.5368855235
100,0.8,100,98.2569786623,-106.881140682,0.0239444,2.15216,1.0054,0.0186447,4.88417876511,0.01,1,1.01774,2.36877e-06,4.88417876511,-106.881140682,0.762572,-106.881140682,1.87454,-106.78,15.37,0.00758473,-112.591,97.7086362741
100,0.8,100,98.8849024496,-106.94954782,0.0108893,1.8855,1.00127,0.0128162,3.94919448224,0.01,1,1.01128,1.08617e-06,3.94919448224,-106.94954782,0.741853,-106.94954782,1.28324,-106.887,15.88,0.00740912,-112.557,98.9360931941
100,0.8,100,98.8570977386,-107.35292728,0.0126784,2.22253,0.986753,0.0115102,5.31353231077,0.01,1,1.01156,1.30211e-06,5.31353231077,-107.35292728,0.58108,-107.35292728,1.13577,-107.287,15.95,0.00588881,-113.006,98.7273157184
100,0.8,100,98.6149529779,-107.132024664,0.014624,2.20766,0.982683,0.0126896,5.30195391052,0.01,1,1.01405,1.51439e-06,5.30195391052,-107.132024664,0.631893,-107.132024664,1.24698,-107.053,15.48,0.00643028,-112.803,98.522893522
100,0.8,100,98.581842912,-107.269985209,0.0135899,2.33443,1.00141,0.0127732,5.58841246951,0.01,1,1.01439,1.35517e-06,5.58841246951,-107.269985209,0.73549,-107.269985209,1.27912,-107.182,15.9,0.00734455,-112.913,98.6761549905
100,0.8,100,98.1435735945,-107.075657275,0.0180193,2.19008,0.993401,0.0122106,5.46330101175,0.01,1,1.01892,1.82595e-06,5.46330101175,-107.075657275,0.553501,-107.075657275,1.213,-106.963,15.74,0.00557178,-112.704,98.2243976976
100,0.8,100,99.3659306879,-107.155809927,0.00715633,1.9703,0.996627,0.0120801,4.04698125336,0.01,1,1.00638,7.20485e-07,4.04698125336,-107.155809927,0.64117,-107.155809927,1.20393,-107.113,16.21,0.0064334,-112.863,99.2917918716
100,0.8,100,99.5122615536,-107.105885837,0.00468893,2.44928,1.01096,0.0125404,5.98936101377,0.01,1,1.0049,4.58784e-07,5.98936101377,-107.105885837,0.909171,-107.105885837,1.26778,-107.076,15.59,0.00899317,-112.803,99.5478613337
100,0.8,100,97.2506200321,-106.887802267,0.0316672,2.20577,0.96215,0.0136924,5.77988208941,0.01,1,1.02827,3.42077e-06,5.77988208941,-106.887802267,0.415121,-106.887802267,1.31741,-106.728,16.12,0.00431452,-112.571,96.7243840224
100,0.8,100,97.2440474797,-106.973725519,0.0302543,2.17729,0.977797,0.0125323,5.65001779268,0.01,1,1.02834,3.16439e-06,5.65001779268,-106.973725519,0.533094,-106.973725519,1.22541,-106.82,15.17,0.00545199,-112.707,96.9624255661
100,0.8,100,99.3821056224,-106.604411474,0.00463331,1.91435,1.00375,0.0119125,3.83718317663,0.01,1,1.00622,4.59872e-07,3.83718317663,-106.604411474,0.78133,-106.604411474,1.19572,-106.569,15.5,0.00778407,-112.21,99.5467982621
100,0.8,100,96.9573682028,-107.418298168,0.0444656,2.68561,1.03649,0.018737,8.26250364173,0.01,1,1.03138,4.13898e-06,8.26250364173,-107.418298168,0.540126,-107.418298168,1.94207,-107.221,15.53,0.0052111,-113.186,96.0636727653
100,0.8,100,98.4413179478,-107.009760168,0.0178449,2.0935,0.99782,0.0148464,4.76978636048,0.01,1,1.01583,1.7923e-06,4.76978636048,-107.009760168,0.714241,-107.009760168,1.4814,-106.919,15.48,0.00715802,-112.778,98.2565630932
100,0.8,100,98.7263366133,-106.895552523,0.0152374,1.95584,1.00422,0.014748,3.98443655152,0.01,1,1.0129,1.51097e-06,3.98443655152,-106.895552523,0.816276,-106.895552523,1.48102,-106.824,15.31,0.0081285,-112.49,98.5261676456
100,0.8,100,99.9999403954,-106.97954822,3.90551e-08,0.00647157,1.97654e-05,0.99985,5.95569329019,0.01,1,1.0,0.00999697,5.95569329019,-106.97954822,,-106.97954822,0.00197624,-104.774,16.11,,-110.608,1.00030021517
100,0.8,100,94.0725786646,-108.272160886,0.0805904,5.52277,1.00722,0.0143504,117.244857781,0.01,1,1.06301,7.9439e-06,117.244857781,-108.272160886,0.0784323,-108.272160886,1.4454,-107.459,20.05,0.0007787,-116.597,92.7089225693
100,0.8,100,95.370511115,-109.23834366,0.0404763,3.36974,1.01328,0.0125023,314.743589617,0.01,1,1.04854,3.94226e-06,314.743589617,-109.23834366,0.130265,-109.23834366,1.26683,-107.642,17.62,0.00128558,-122.139,96.2437775197
100,0.8,100,85.0847453845,-107.396790617,0.252711,6.54301,1.0005,0.035746,11.1201695983,0.01,1,1.1753,2.52459e-05,11.1201695983,-107.396790617,0.369833,-107.396790617,3.57639,-106.557,16.74,0.00369648,-112.801,80.0042073516
100,0.8,100,97.6374565447,-107.681785403,0.0356746,2.84589,0.999926,0.0213419,9.30193022494,0.01,1,1.0242,3.56799e-06,9.30193022494,-107.681785403,0.569064,-107.681785403,2.13404,-107.541,16.37,0.00569107,-113.522,96.5882091959
100,0.8,100,97.9049417521,-107.848422736,0.0228663,2.57911,0.994589,0.0120123,7.18419027806,0.01,1,1.0214,2.31158e-06,7.18419027806,-107.848422736,0.431374,-107.848422736,1.19474,-107.722,16.01,0.00433721,-113.579,97.7626983397
100,0.8,100,97.2457497193,-107.60790228,0.0304363,3.7375,1.00404,0.0163333,13.9234989534,0.01,1,1.02832,3.01919e-06,13.9234989534,-107.60790228,0.484142,-107.60790228,1.63992,-107.442,16.37,0.00482195,-113.54,97.0977690408
100,0.8,100,97.5748793372,-107.841304083,0.0277614,2.62721,0.998602,0.0175324,6.67437165755,0.01,1,1.02485,2.78392e-06,6.67437165755,-107.841304083,0.545692,-107.841304083,1.75079,-107.704,15.86,0.00546456,-113.602,97.3178631861
100,0.8,100,93.0333826784,-107.195558565,0.118516,4.54116,1.01818,0.0305611,11.9855162233,0.01,1,1.07488,1.14323e-05,11.9855162233,-107.195558565,0.44651,-107.195558565,3.11165,-106.813,17.17,0.00438539,-112.811,89.8327990538
100,0.8,100,98.0511582359,-107.500294096,0.0163499,2.82793,1.00228,0.0126299,8.55703900391,0.01,1,1.01988,1.62757e-06,8.55703900391,-107.500294096,0.644662,-107.500294096,1.26586,-107.392,16.79,0.00643199,-113.223,98.4142549888
100,0.8,100,98.2740609609,-107.3565962,0.0189307,2.68735,1.00169,0.0146127,7.6853724781,0.01,1,1.01756,1.88667e-06,7.6853724781,-107.3565962,0.763627,-107.3565962,1.46374,-107.247,16.08,0.00762336,-113.066,98.166415476
100,0.8,100,97.312161004,-107.849472162,0.0248289,2.83054,0.99158,0.0173985,8.73690299451,0.01,1,1.02762,2.52523e-06,8.73690299451,-107.849472162,0.65308,-107.849472162,1.7252,-107.686,16.21,0.00658625,-113.518,97.5609888673
100,0.8,100,96.3510876558,-107.712282513,0.0296477,4.60234,1.0028,0.0154004,13.4989519922,0.01,1,1.03787,2.94822e-06,13.4989519922,-107.712282513,0.618774,-107.712282513,1.54435,-107.52,17.1,0.00617044,-113.538,97.1640510011
100,0.8,100,92.4893159319,-109.185795239,0.107822,2.82736,0.941719,0.0148298,70.5310576876,0.01,1,1.08121,1.2158e-05,70.5310576876,-109.185795239,0.0849989,-109.185795239,1.39655,-107.804,19.33,0.000902593,-117.02,89.2566868214
100,0.8,100,97.9240165642,-107.216949772,0.0182758,2.72527,0.999991,0.0122608,8.24300167778,0.01,1,1.0212,1.82761e-06,8.24300167778,-107.216949772,0.489917,-107.216949772,1.22607,-107.094,15.63,0.00489922,-113.25,98.2228300305
100,0.8,100,98.9354010922,-107.615239897,0.0130901,2.81585,1.01397,0.0128165,8.4711210681,0.01,1,1.01076,1.2732e-06,8.4711210681,-107.615239897,0.507878,-107.615239897,1.29955,-107.546,15.59,0.00500882,-113.471,98.7551893077
100,0.8,100,98.4054844999,-107.374669577,0.0179684,2.41213,0.992141,0.0117316,6.14767809436,0.01,1,1.0162,1.82542e-06,6.14767809436,-107.374669577,0.438593,-107.374669577,1.16394,-107.282,15.93,0.00442067,-113.037,98.2248907787
100,0.8,100,56.3836553023,-106.665835185,3.77846,23.7622,1.10483,0.177049,7.73533247548,0.01,1,1.77356,0.000309543,7.73533247548,-106.665835185,0.0738284,-106.665835185,19.561,-103.987,16.11,0.000668231,-111.6,24.6033957208
100,0.8,100,92.8083293975,-107.354259793,0.0858781,4.76688,1.01558,0.0314441,13.9440043848,0.01,1,1.07749,8.32642e-06,13.9440043848,-107.354259793,0.503295,-107.354259793,3.19339,-106.963,18.34,0.00495577,-112.93,92.3845954246
100,0.8,100,93.9866463036,-110.449821602,0.0645557,5.6,1.01791,0.0139038,565.027950481,0.01,1,1.06398,6.23037e-06,565.027950481,-110.449821602,0.177476,-110.449821602,1.41529,-108.415,24.3,0.00174353,-126.011,94.1902632517
100,0.8,100,96.7985183561,-106.926917362,0.0221424,3.68479,1.00228,0.0163306,8.62866847101,0.01,1,1.03307,2.20419e-06,8.62866847101,-106.926917362,0.722083,-106.926917362,1.63677,-106.737,16.86,0.00720443,-112.483,97.8644570663
100,0.8,100,97.7290136388,-107.373282396,0.0349526,3.72185,0.975341,0.0193106,11.495574587,0.01,1,1.02324,3.67424e-06,11.495574587,-107.373282396,0.262696,-107.373282396,1.88344,-107.24,17.2,0.00269338,-113.088,96.4901654013
100,0.8,100,97.0288289372,-107.411377027,0.0232248,3.69436,1.04153,0.0122818,25.5535867549,0.01,1,1.03062,2.14096e-06,25.5535867549,-107.411377027,0.558757,-107.411377027,1.27919,-107.162,17.88,0.00536477,-114.365,97.9244396488
100,0.8,100,96.2806545233,-110.953346544,0.0583685,3.49034,0.984331,0.0122236,1508.88012014,0.01,1,1.03863,6.02415e-06,1508.88012014,-110.953346544,0.0659035,-110.953346544,1.2032,-107.309,22.11,0.000669526,-132.521,94.3717732684
100,0.8,100,93.9536978931,-106.730856465,0.120663,4.04249,1.00519,0.0384386,8.07090333203,0.01,1,1.06435,1.19421e-05,8.07090333203,-106.730856465,0.449648,-106.730856465,3.8638,-106.442,16.53,0.00447327,-112.274,89.4273379361
100,0.8,100,97.1157845821,-107.7176402,0.0319089,2.76712,0.997161,0.0127729,9.68827260369,0.01,1,1.0297,3.20908e-06,9.68827260369,-107.7176402,0.479882,-107.7176402,1.27366,-107.522,17.57,0.00481248,-113.611,96.9208396906
100,0.8,100,93.9706850188,-107.379684708,0.0616235,3.06949,1.02644,0.01685,9.19035893007,0.01,1,1.06416,5.84894e-06,9.19035893007,-107.379684708,0.440272,-107.379684708,1.72955,-107.037,16.57,0.00428929,-113.026,94.5265234744
100,0.8,100,96.0116835507,-107.719901434,0.0433625,3.67488,0.983444,0.0133723,152.714924877,0.01,1,1.04154,4.48347e-06,152.714924877,-107.719901434,0.18929,-107.719901434,1.31509,-106.773,19.51,0.00192476,-118.248,95.7499974369
100,0.8,100,98.4821603833,-107.099314756,0.0226086,2.02445,1.0067,0.0167907,4.27819222729,0.01,1,1.01541,2.23085e-06,4.27819222729,-107.099314756,0.729128,-107.099314756,1.69033,-107.017,15.81,0.00724274,-112.707,97.8391854319
100,0.8,100,97.2722604908,-106.977192681,0.027198,2.0745,1.01122,0.0159091,5.01761830479,0.01,1,1.02804,2.65976e-06,5.01761830479,-106.977192681,0.669286,-106.977192681,1.60876,-106.812,15.72,0.00661858,-112.582,97.4344029092
100,0.8,100,97.5462977014,-106.973107294,0.0317918,2.20677,1.01118,0.0156636,5.1298524286,0.01,1,1.02515,3.10927e-06,5.1298524286,-106.973107294,0.535445,-106.973107294,1.58387,-106.834,16.6,0.00529525,-112.585,97.0137252772
100,0.8,100,99.1087475443,-106.924149053,0.0105175,2.15595,1.00583,0.0136063,4.76037832343,0.01,1,1.00899,1.03958e-06,4.76037832343,-106.924149053,0.727233,-106.924149053,1.36857,-106.874,15.3,0.00723015,-112.552,98.9812921336
100,0.8,100,99.2841360942,-106.88280942,0.0102129,2.446,1.00356,0.0138925,6.09170896094,0.01,1,1.00721,1.01406e-06,6.09170896094,-106.88280942,0.716509,-106.88280942,1.39419,-106.844,16.48,0.00713969,-112.542,99.0060568408
100,0.8,100,99.426124798,-107.118628443,0.00724954,2.3726,0.991409,0.011438,5.59661452417,0.01,1,1.00577,7.37573e-07,5.59661452417,-107.118628443,0.671023,-107.118628443,1.13397,-107.086,15.31,0.00676838,-112.87,99.2750967814
100,0.8,100,98.8844595026,-106.831803637,0.0118488,2.14874,1.00127,0.0130476,4.89706697137,0.01,1,1.01128,1.18187e-06,4.89706697137,-106.831803637,0.759993,-106.831803637,1.30642,-106.767,15.59,0.00759028,-112.49,98.8434714795
100,0.8,100,99.0549955087,-106.872083526,0.00935872,2.06685,0.997199,0.0119878,4.59057081799,0.01,1,1.00954,9.41137e-07,4.59057081799,-106.872083526,0.713321,-106.872083526,1.19542,-106.818,15.47,0.00715325,-112.573,99.076895918
100,0.8,100,97.7486122404,-106.828426796,0.0298102,2.81661,1.00269,0.0148862,6.75249161989,0.01,1,1.02303,2.96506e-06,6.75249161989,-106.828426796,0.477775,-106.828426796,1.49262,-106.695,15.88,0.00476494,-112.42,97.1483253221
100,0.8,100,52.7560324805,-106.461120175,1.75545,24.2349,1.01121,0.119703,20.7358377879,0.01,1,1.89552,0.000171673,20.7358377879,-106.461120175,0.000413885,-106.461120175,12.1045,-103.46,17.5,4.09295e-06,-111.293,37.0431024662
100,0.8,100,89.812165069,-106.217481547,0.0686862,9.02696,0.972607,0.0204085,26.5005100721,0.01,1,1.11343,7.26097e-06,26.5005100721,-106.217481547,0.156559,-106.217481547,1.98494,-105.574,18.1,0.00160968,-111.702,93.2937149857
100,0.8,100,97.1167852367,-107.266446313,0.0273956,6.57255,1.01662,0.0119248,148.833092076,0.01,1,1.02969,2.65073e-06,148.833092076,-107.266446313,0.408969,-107.266446313,1.21229,-106.788,23.61,0.00402283,-117.533,97.4428872497
100,0.8,100,91.0770799556,-110.682902631,0.102873,3.70316,0.97255,0.0146492,843.534549688,0.01,1,1.09797,1.08762e-05,843.534549688,-110.682902631,0.0743875,-110.682902631,1.42471,-106.542,29.03,0.000764871,-122.924,90.2792682201
100,0.8,100,97.1460156981,-106.774153987,0.0248774,3.00461,0.992566,0.0159315,7.01827526262,0.01,1,1.02938,2.52515e-06,7.01827526262,-106.774153987,0.609247,-106.774153987,1.58131,-106.615,16.84,0.0061381,-112.368,97.5610227831
100,0.8,100,94.7851280393,-107.013735532,0.087132,3.51225,0.988345,0.0215026,11.1191388241,0.01,1,1.05502,8.91991e-06,11.1191388241,-107.013735532,0.127293,-107.013735532,2.1252,-106.72,18.24,0.00128794,-112.889,91.8857846643
100,0.8,100,78.9518796442,-106.798365425,0.361792,8.67799,1.05332,0.0456533,14.3166700485,0.01,1,1.26659,3.2609e-05,14.3166700485,-106.798365425,0.171385,-106.798365425,4.80876,-105.655,17.73,0.00162709,-112.306,75.5955783441
100,0.8,100,94.1438635736,-111.175500551,0.0838311,5.02999,0.978433,0.0133356,1479.56705911,0.01,1,1.0622,8.75675e-06,1479.56705911,-111.175500551,0.0725543,-111.175500551,1.3048,-106.925,30.55,0.000741535,-130.443,92.0224257123
100,0.8,100,77.547057798,-106.127597236,0.730921,8.39948,1.05562,0.0685344,20.1486344445,0.01,1,1.28954,6.55924e-05,20.1486344445,-106.127597236,0.0165638,-106.127597236,7.23464,-104.731,20.7,0.000156911,-111.522,60.6293979685
100,0.8,100,3.14255345535,-105.348453223,293.61,104.917,1.92284,0.891441,123.828023493,0.01,1,31.8213,0.00794115,123.828023493,-105.348453223,2.20228e-12,-105.348453223,171.41,-14.8294,23.67,1.14532e-14,-51.4216,1.25600727372
200,0.8,100,2.48699961956e+17,-105.348453223,3.27867e+21,17.8087,1.04315e+10,0.435291,463.985699223,0.01,,8.04182e-16,0.00301301,123.828023493,-105.348453223,0.00583397,-105.167370512,4.54076e+11,-109.994,23.67,5.59262e-15,-inf,3.2437224335
200,0.8,100,194.572836534,-108.759042815,0.0338661,7.76185,0.985829,0.00672284,577.310112615,0.005,1,1.02789,8.71168e-07,577.310112615,-108.759042815,0.321442,-108.759042815,1.32551,-106.416,24.74,0.00163031,-118.74,193.297846119
200,0.8,100,200.0,-106.768205925,,4.83117,1.0,0.01,23.5759954505,0.01,2,1.0,3.50449e-18,23.5759954505,-106.768205925,1.0,-106.768205925,1.0,-106.768,21.54,0.01,-113.66,100.0
200,0.8,100,191.80109738,-107.059465517,0.0520828,3.89155,0.98832,0.00678917,8.88284800879,0.005,1,1.04275,1.33303e-06,8.88284800879,-107.059465517,0.238685,-107.059465517,1.34198,-106.713,19.87,0.00120753,-111.69,189.923660108
200,0.8,100,200.0,-107.302910653,,17.0539,1.0,0.01,293.773284449,0.01,2,1.0,3.50449e-18,293.773284449,-107.302910653,1.0,-107.302910653,1.0,-107.303,27.96,0.01,-120.96,100.0
200,0.8,100,192.908282876,-106.553998697,0.039043,4.2836,0.98486,0.00642126,30.212427392,0.005,1,1.03676,1.00632e-06,30.212427392,-106.553998697,0.239943,-106.553998697,1.26481,-106.257,23.02,0.00121816,-116.09,192.298131304
