AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgRet,VarRet,MaxNormIw,VarJ,ESSClassic,VarVanillaIw,EpsThisIter,MinVanillaIw,AvgNormIw,MaxVanillaIw,IterType,AvgVanillaIw,eRenyi2,J,VarDiscRet,BatchSize,Delta,AvgEpLen,VarNormIw,Bound,MinNormIw
115.522615445,115.522615445,41.7948146897,115.522615445,5977.14938338,0.0998461,208.612,23.9915309758,2.84815,100,0.000728745,0.01,9.4195,1,0.943402,2.39264,233.865,5977.14938338,100,0.1,12.67,0.000320014,53.337,7.72465e-06
211.954282722,211.954282722,45.0683933681,211.954282722,9934.96351519,0.344589,838.758,7.8694651298,21.9268,100,0.0587869,0.01,46.9221,1,1.36168,2.21885,346.488,9934.96351519,100,0.1,22.99,0.00118256,84.1717,0.000431722
237.008570983,237.008570983,43.8679984809,237.008570983,11922.2699505,0.577618,678.072,2.96801988583,194.388,100,0.0574432,0.01,140.142,1,2.42621,2.27957,424.063,11922.2699505,100,0.1,25.67,0.00330227,138.339,0.000236761
256.88694947,256.88694947,43.3358319717,256.88694947,13883.9296836,0.677277,514.352,2.17039506327,369.909,100,0.0411144,0.01,193.048,1,2.85036,2.30756,454.289,13883.9296836,100,0.1,27.81,0.00455299,208.287,0.000144243
293.700662669,293.700662669,48.7346637529,293.700662669,18478.634153,0.457994,1090.28,4.6592967508,60.3946,100,0.0586063,0.01,78.2884,1,1.70938,2.05193,504.551,18478.634153,100,0.1,31.75,0.00206692,122.589,0.000342852
308.269212292,308.269212292,48.610133725,308.269212292,20269.2601772,0.199141,1131.87,19.2784289601,4.54188,100,0.00411665,0.01,20.6366,1,1.03628,2.05718,488.448,20269.2601772,100,0.1,33.33,0.000422944,37.0888,3.97253e-05
329.486955739,329.486955739,91.0962379155,329.486955739,14935.7153751,0.0245974,185.406,89.7105875167,0.119266,100,0.328741,0.01,2.49568,1,1.01461,1.09774,352.084,14935.7153751,100,0.1,35.57,1.15854e-05,61.5151,0.00324006
352.622883942,352.622883942,89.887653934,352.622883942,31169.7804653,0.0320464,274.583,86.2296658927,0.170886,100,0.329328,0.01,3.29842,1,1.02926,1.1125,392.602,31169.7804653,100,0.1,38.07,1.61307e-05,-63.5428,0.00319964
340.487068816,340.487068816,73.759893951,340.487068816,17734.7082567,0.282536,341.996,11.5338071699,14.1535,100,0.226361,0.01,38.1876,1,1.3516,1.35575,416.8,17734.7082567,100,0.1,36.75,0.000774764,102.984,0.00167476
363.586539312,363.586539312,86.5322714746,363.586539312,21691.925305,0.0424276,211.92,79.4614392465,0.305861,100,0.361544,0.01,4.59221,1,1.08236,1.15564,398.802,21691.925305,100,0.1,39.28,2.61082e-05,110.746,0.00334032
377.730708395,377.730708395,76.171353874,377.730708395,21441.4026934,0.10659,285.557,40.1654365623,1.95613,100,0.193727,0.01,12.153,1,1.14016,1.31283,449.879,21441.4026934,100,0.1,40.79,0.000150475,129.918,0.00169912
390.859951786,390.859951786,87.1914920243,390.859951786,30340.0917559,0.021332,212.989,85.872141845,0.17177,100,0.13096,0.01,2.16876,1,1.01667,1.1469,431.73,30340.0917559,100,0.1,42.2,1.66184e-05,100.516,0.00128813
