AvgRet,VarVanillaIw,VarJ,MaxNormIw,EpsThisIter,IterType,Bound,ESSRenyi,MinNormIw,BatchSize,eRenyi2,VarRet,VarNormIw,VarDiscRet,J,AvgVanillaIw,MinVanillaIw,AvgNormIw,AvgEpLen,Delta,MaxVanillaIw,VanillaAvgRet,ESSClassic,AvgDiscRet
137.551322147,0.487549,116.958,0.0301729,100,1,26.0779,71.0186810125,0.000404986,100,1.40808,7275.31690586,5.27906e-05,7275.31690586,188.234,0.961016,0.0389198,0.01,15.03,0.1,2.89966,137.551322147,65.6759717997,137.551322147
184.536903965,0.495784,146.361,0.0298078,100,1,13.4404,75.9133694677,0.000600372,100,1.31729,13801.7604787,4.12105e-05,13801.7604787,240.158,1.09684,0.065851,0.01,20.07,0.1,3.26943,184.536903965,71.0235194077,184.536903965
231.38286379,0.2464,115.675,0.0228543,100,1,82.9798,80.78532903,0.0019331,100,1.23785,11502.6287193,2.44236e-05,11502.6287193,267.111,1.00442,0.194164,0.01,25.09,0.1,2.29553,231.38286379,80.5286980328,231.38286379
257.951807529,0.226324,88.6192,0.0232058,100,1,130.204,85.8246441497,0.000560416,100,1.16517,7962.59865668,2.23997e-05,7962.59865668,280.789,1.00518,0.0563319,0.01,27.93,0.1,2.3326,257.951807529,81.8493530947,257.951807529
258.036203965,0.274216,99.9258,0.0442908,100,1,77.1371,90.2108046171,0.00230422,100,1.10851,8016.72751503,2.53771e-05,8016.72751503,277.92,1.0395,0.239524,0.01,27.94,0.1,4.60405,258.036203965,79.9211690534,258.036203965
301.299142772,195.305,789.686,0.613565,100,1,182.891,38.0803104019,0.000173326,100,2.62603,16228.9104668,0.00373951,16228.9104668,579.863,2.28533,0.0396107,0.01,32.59,0.1,140.22,301.299142772,2.63011207833,301.299142772
313.96594652,138.292,1405.69,0.657723,100,1,205.138,27.3725568305,0.000130288,100,3.65329,14420.108504,0.004303,14420.108504,764.831,1.79272,0.023357,0.01,33.93,0.1,117.911,313.96594652,2.29359107042,313.96594652
345.816535096,0.189462,228.479,0.0266217,100,1,36.3475,88.5492518458,0.00356397,100,1.12932,17844.1498094,1.81118e-05,17844.1498094,378.995,1.02278,0.364515,0.01,37.33,0.1,2.7228,345.816535096,84.7956074022,345.816535096
363.118299633,0.272283,169.275,0.0351188,100,1,151.351,85.7498530562,0.00103351,100,1.16618,16434.987411,2.51611e-05,16434.987411,397.75,1.04027,0.107512,0.01,39.18,0.1,3.6533,363.118299633,80.0579779944,363.118299633
351.959268034,0.0814336,126.414,0.0226378,100,1,115.946,93.7291811828,0.00430635,100,1.0669,11694.3678208,8.18356e-06,11694.3678208,366.517,0.997541,0.429576,0.01,38.0,0.1,2.25822,351.959268034,92.5054550044,351.959268034
361.69745376,0.208802,234.073,0.0282222,100,1,51.8839,87.9783765915,0.00320221,100,1.13664,20490.0292086,1.81773e-05,20490.0292086,397.548,1.07177,0.343204,0.01,39.03,0.1,3.02478,361.69745376,84.7489517829,361.69745376
373.059871241,0.562174,248.493,0.0442225,100,1,149.209,73.069805177,0.000762781,100,1.36855,20897.7954319,5.8928e-05,20897.7954319,436.169,0.97673,0.0745031,0.01,40.27,0.1,4.31934,373.059871241,63.1557321122,373.059871241
376.063582683,1.04961,713.201,0.0881957,100,1,35.1393,61.7230081296,0.000211016,100,1.62014,30184.2419082,0.000114867,30184.2419082,505.39,0.955907,0.0201712,0.01,40.62,0.1,8.43069,376.063582683,46.7904944142,376.063582683
411.326621533,0.129972,141.017,0.0233273,100,1,197.525,90.8449779136,0.00358665,100,1.10078,16438.3771108,1.19335e-05,16438.3771108,432.538,1.04362,0.374309,0.01,44.39,0.1,2.43448,411.326621533,89.4340979336,411.326621533
464.799168761,126.429,3475.51,0.564384,100,1,170.063,26.3742842077,4.94321e-06,100,3.79157,60631.7068439,0.00315964,60631.7068439,1263.7,2.00034,0.000988812,0.01,50.15,0.1,112.896,464.799168761,3.09785114175,464.799168761
495.453226022,0.261292,300.766,0.0460646,100,1,106.463,87.9208928627,0.00267654,100,1.13739,43045.3115417,2.36479e-05,43045.3115417,538.537,1.05115,0.281346,0.01,53.49,0.1,4.8421,495.453226022,81.0297930553,495.453226022
497.14332459,2.64313,515.447,0.141252,100,1,203.027,70.0700114737,0.00241786,100,1.42714,31577.6996954,0.000200525,31577.6996954,579.007,1.14809,0.277591,0.01,53.63,0.1,16.217,497.14332459,33.4986402362,497.14332459
