ESSRenyi,AvgVanillaIw,eRenyi2,MaxVanillaIw,IterType,VarDiscRet,AvgEpLen,VanillaAvgRet,AvgRet,VarRet,VarVanillaIw,MaxNormIw,ESSClassic,VarJ,MinVanillaIw,Bound,AvgNormIw,VarNormIw,BatchSize,EpsThisIter,Delta,J,AvgDiscRet,MinNormIw
1.07298485933e-05,7.57092e-39,9.3198e+06,7.57092e-37,1,22975.0149475,379.94,-307.697372142,-307.697372142,22975.0149475,,1.0,inf,,,-50.8494,0.01,0.01,100,100,1.0,-50.8494,-307.697372142,
nan,inf,nan,inf,,2581.09773821,379.94,-307.697372142,-307.697372142,22975.0149475,nan,nan,nan,nan,1.32084e+36,nan,nan,nan,200,100,1.0,nan,-66.9017073926,nan
4.15758407778e-05,1.95717e-37,4.81049e+06,3.91435e-35,1,20943.026402,393.42,-318.125727789,-318.125727789,20943.026402,,1.0,inf,,,-50.8494,0.005,0.005,200,100,1.0,-50.8494,-318.125727789,
200.0,1.0,1.0,1.0,2,3794.85002872,100.63,-70.8008958492,-70.8008958492,3794.85002872,,0.01,100.0,61.2936,1.0,-70.8009,0.01,3.50449e-18,200,100,1.0,-70.8009,-70.8008958492,0.01
nan,inf,nan,inf,,2564.69283686,393.42,-318.125727789,-318.125727789,20943.026402,nan,nan,nan,nan,2.55471e+34,nan,nan,nan,300,100,1.0,nan,-67.7916257301,nan
0.0177276683892,2.5945e-31,16922.7,7.7835e-29,1,16259.8471173,429.43,-352.695772262,-352.695772262,16259.8471173,,1.0,inf,3.91598e-06,,-50.8494,0.00333333,0.00333333,300,100,1.0,-50.8494,-352.695772262,
300.0,1.0,1.0,1.0,2,5012.5512705,103.54,-74.1121297626,-74.1121297626,5012.5512705,,0.01,100.0,70.4445,1.0,-74.1121,0.01,3.50449e-18,300,100,1.0,-74.1121,-74.1121297626,0.01
300.0,1.0,1.0,1.0,2,1336.29600844,89.55,-62.4192696732,-62.4192696732,1336.29600844,,0.005,200.000000102,56.3636,1.0,-68.2657,0.005,2.1793e-19,300,100,1.0,-68.2657,-62.4192696732,0.005
559479041608.0,inf,7.14951e-10,inf,,3815.15455828,429.43,-352.695772262,-352.695772262,16259.8471173,nan,nan,nan,nan,1.28477e+28,nan,nan,nan,400,100,1.0,nan,-70.4523866081,nan
0.284050644718,5.32296e-07,1408.2,0.000212918,1,19134.2662029,408.4,-334.432090912,-334.432090912,19134.2662029,1.13336e-10,0.999999,1.00000109352,8.26559e-06,,-50.8494,0.0025,0.0025,400,100,1.0,-50.8494,-334.432090912,
400.0,1.0,1.0,1.0,2,6139.51872902,110.41,-79.9241013005,-79.9241013005,6139.51872902,,0.01,100.0,77.9623,1.0,-79.9241,0.01,3.50449e-18,400,100,1.0,-79.9241,-79.9241013005,0.01
400.0,1.0,1.0,1.0,2,2610.70782643,102.26,-71.7953220823,-71.7953220823,2610.70782643,,0.005,200.000000102,65.9385,1.0,-75.8597,0.005,2.1793e-19,400,100,1.0,-75.8597,-71.7953220823,0.005
400.0,1.0,1.0,1.0,2,9429.66809995,124.26,-91.129280041,-91.129280041,9429.66809995,,0.00333333,299.999969474,77.8601,1.0,-80.9496,0.00333333,5.43914e-20,400,100,1.0,-80.9496,-91.129280041,0.00333333
3759131384.1,inf,1.33009e-07,inf,,3765.11311038,408.4,-334.432090912,-334.432090912,19134.2662029,nan,nan,nan,nan,4696.63,nan,nan,nan,500,100,1.0,nan,-75.5222927138,nan
0.172784325762,0.000968156,2893.78,0.289607,1,16137.5977139,430.47,-352.505950108,-352.505950108,16137.5977139,0.000184348,0.598265,2.53445166956,79.9178,,-55.219,0.002,0.000786699,500,100,1.0,-55.219,-352.505950108,
500.0,1.0,1.0,1.0,2,6133.99218855,110.97,-79.2463714977,-79.2463714977,6133.99218855,,0.01,100.0,77.9272,1.0,-79.2464,0.01,3.50449e-18,500,100,1.0,-79.2464,-79.2463714977,0.01
500.0,1.0,1.0,1.0,2,3797.70580511,101.22,-71.4700854385,-71.4700854385,3797.70580511,,0.005,200.000000102,70.2233,1.0,-75.3582,0.005,2.1793e-19,500,100,1.0,-75.3582,-71.4700854385,0.005
500.0,1.0,1.0,1.0,2,5008.66911452,104.78,-74.601062575,-74.601062575,5008.66911452,,0.00333333,299.999969474,70.2889,1.0,-75.1058,0.00333333,5.43914e-20,500,100,1.0,-75.1058,-74.601062575,0.00333333
500.0,1.0,1.0,1.0,2,2566.40090631,97.93,-68.1780943386,-68.1780943386,2566.40090631,,0.0025,400.0,65.9513,1.0,-73.3739,0.0025,5.4346e-20,500,100,1.0,-73.3739,-68.1780943386,0.0025
,1.02999,inf,13.6617,1,3821.77673513,100.98,-70.93105068,-70.93105068,3821.77673513,1.57726,0.0265279,201.305704572,65.3906,4.26956e-07,-68.8215,0.002,5.94704e-06,500,100,1.0,-68.8215,-70.93105068,8.29051e-10
500.0,1.0,1.0,1.0,2,3807.17268881,101.19,-71.1635643126,-71.1635643126,3807.17268881,,0.01,100.0,61.393,1.0,-71.1636,0.01,3.50449e-18,500,100,1.0,-71.1636,-71.1635643126,0.01
500.0,1.0,1.0,1.0,2,66.9224781088,89.23,-60.8839275254,-60.8839275254,66.9224781088,,0.005,200.000000102,44.0919,1.0,-66.0237,0.005,2.1793e-19,500,100,1.0,-66.0237,-60.8839275254,0.005
500.0,1.0,1.0,1.0,2,1327.73494143,91.02,-63.0179738326,-63.0179738326,1327.73494143,,0.00333333,299.999969474,41.668,1.0,-65.0218,0.00333333,5.43914e-20,500,100,1.0,-65.0218,-63.0179738326,0.00333333
500.0,1.0,1.0,1.0,2,6211.40553281,106.99,-76.6931209771,-76.6931209771,6211.40553281,,0.0025,400.0,53.526,1.0,-67.9396,0.0025,5.4346e-20,500,100,1.0,-67.9396,-76.6931209771,0.0025
,0.945274,inf,12.4008,1,2594.2835303,94.39,-65.8057124397,-65.8057124397,2594.2835303,1.65895,0.0262375,175.261499102,55.5937,0.0141363,-65.1644,0.002,7.42638e-06,500,100,1.0,-65.1644,-65.8057124397,2.99094e-05
500.0,1.0,1.0,1.0,2,1333.93014085,95.1,-65.6857513939,-65.6857513939,1333.93014085,,0.01,100.0,36.3399,1.0,-65.6858,0.01,3.50449e-18,500,100,1.0,-65.6858,-65.6857513939,0.01
500.0,1.0,1.0,1.0,2,58.4489069189,88.41,-60.0855411917,-60.0855411917,58.4489069189,,0.005,200.000000102,26.4021,1.0,-62.8856,0.005,2.1793e-19,500,100,1.0,-62.8856,-60.0855411917,0.005
500.0,1.0,1.0,1.0,2,2583.55177452,95.8,-66.9989175513,-66.9989175513,2583.55177452,,0.00333333,299.999969474,36.3462,1.0,-64.2567,0.00333333,5.43914e-20,500,100,1.0,-64.2567,-66.9989175513,0.00333333
500.0,1.0,1.0,1.0,2,1337.2232853,89.91,-62.4727050984,-62.4727050984,1337.2232853,,0.0025,400.0,36.364,1.0,-63.8107,0.0025,5.4346e-20,500,100,1.0,-63.8107,-62.4727050984,0.0025
4.45911554055e-22,3.83859e-34,1.1213e+24,1.91929e-31,1,2577.71602748,95.56,-66.7717030601,-66.7717030601,2577.71602748,,1.0,inf,8.52999e-05,,-51.7549,0.002,0.002,500,100,1.0,-51.7549,-66.7717030601,
500.0,1.0,1.0,1.0,2,53.5852833609,85.37,-58.4171092056,-58.4171092056,53.5852833609,,0.01,100.0,7.2835,1.0,-58.4171,0.01,3.50449e-18,500,100,1.0,-58.4171,-58.4171092056,0.01
500.0,1.0,1.0,1.0,2,1339.28711676,91.05,-63.1423495966,-63.1423495966,1339.28711676,,0.005,200.000000102,26.3639,1.0,-60.7797,0.005,2.1793e-19,500,100,1.0,-60.7797,-63.1423495966,0.005
500.0,1.0,1.0,1.0,2,1332.82130106,88.03,-61.1150198083,-61.1150198083,1332.82130106,,0.00333333,299.999969474,30.0537,1.0,-60.8915,0.00333333,5.43914e-20,500,100,1.0,-60.8915,-61.1150198083,0.00333333
500.0,1.0,1.0,1.0,2,59.6176808976,85.6,-58.5319605874,-58.5319605874,59.6176808976,,0.0025,400.0,26.329,1.0,-60.3016,0.0025,5.4346e-20,500,100,1.0,-60.3016,-58.5319605874,0.0025
0.0151218121035,3.39789e-18,33064.8,1.69894e-15,1,62.6346788977,88.05,-60.1722714882,-60.1722714882,62.6346788977,5.77281e-33,1.0,1.0,,,-49.5775,0.002,0.002,500,100,1.0,-49.5775,-60.1722714882,
500.0,1.0,1.0,1.0,2,2589.94684697,96.86,-67.8493846118,-67.8493846118,2589.94684697,,0.01,100.0,50.6364,1.0,-67.8494,0.01,3.50449e-18,500,100,1.0,-67.8494,-67.8493846118,0.01
