eRenyi2,VarVanillaIw,VarJ,EpsThisIter,VarNormIw,MaxVanillaIw,IterType,BatchSize,VarDiscRet,Bound,MaxNormIw,AvgRet,AvgEpLen,VanillaAvgRet,J,MinVanillaIw,AvgNormIw,AvgVanillaIw,ESSClassic,MinNormIw,VarRet,ESSRenyi,AvgDiscRet,Delta
1.28291,0.343851,10.373,100,2.86655e-05,2.34922,1,100,3907.33313819,-139.924,0.0214496,-125.398937004,61.76,-125.398937004,-111.621,0.0229943,0.01,1.09523,77.8945006253,0.000209949,3907.33313819,77.9477622446,-125.398937004,0.8
1.19861,0.212492,6.54363,100,2.16946e-05,1.89082,1,100,188.83788414,-122.464,0.0191053,-112.256130917,21.25,-112.256130917,-109.835,0.134064,0.01,0.989683,82.319688278,0.00135462,188.83788414,83.4298687915,-112.256130917,0.8
1.21362,0.248531,11.3009,100,2.46505e-05,2.45485,1,100,1065.57415048,-128.263,0.0244482,-113.843916616,30.79,-113.843916616,-108.986,0.13147,0.01,1.0041,80.3832884971,0.00130932,1065.57415048,82.3983853916,-113.843916616,0.8
1.05432,0.0667051,5.70761,100,6.80315e-06,1.57439,1,100,238.824079489,-120.897,0.0158997,-108.809477974,20.58,-108.809477974,-107.794,0.297147,0.01,0.990203,93.6898777539,0.00300086,238.824079489,94.8474692328,-108.809477974,0.8
1.07826,0.0703892,7.2003,100,6.92764e-06,1.42987,1,100,1501.74118153,-134.167,0.0141852,-112.01527707,22.62,-112.01527707,-108.534,0.172078,0.01,1.008,93.581820764,0.00170712,1501.74118153,92.7418714678,-112.01527707,0.8
1.01499,0.0158457,2.68457,100,1.59496e-06,1.52012,1,100,7.60829768266,-113.032,0.015251,-107.234833627,16.88,-107.234833627,-107.146,0.611808,0.01,0.996738,98.4455529621,0.0061381,7.60829768266,98.5226664399,-107.234833627,0.8
1.05523,0.0620492,2.69152,100,6.65548e-06,1.43742,1,100,11.1324407243,-113.682,0.0148869,-107.681197085,17.35,-107.681197085,-107.299,0.210667,0.01,0.965558,93.8183692408,0.00218181,11.1324407243,94.7663892002,-107.681197085,0.8
1.02903,0.0348177,2.35788,100,3.45702e-06,1.67531,1,100,7.02053597427,-113.341,0.0166934,-107.395014313,16.89,-107.395014313,-107.209,0.446732,0.01,1.00357,96.690800938,0.00445141,7.02053597427,97.1792601496,-107.395014313,0.8
1.01964,0.030104,2.46856,100,2.98051e-06,1.82411,1,100,5.94085418306,-112.698,0.0181503,-107.038438158,16.77,-107.038438158,-106.92,0.446277,0.01,1.005,97.1338738388,0.00444056,5.94085418306,98.074234289,-107.038438158,0.8
1.01872,0.0232928,2.25002,100,2.32563e-06,1.40688,1,100,5.71950750021,-112.775,0.0140577,-107.127349182,15.98,-107.127349182,-107.022,0.514739,0.01,1.00079,97.749442526,0.00514335,5.71950750021,98.1624428554,-107.127349182,0.8
1.01629,0.0188426,2.39754,100,1.88997e-06,1.32355,1,100,5.79294929783,-113.23,0.0132556,-107.637009561,16.2,-107.637009561,-107.544,0.6617,0.01,0.998487,98.1632707428,0.00662703,5.79294929783,98.3966658288,-107.637009561,0.8
1.01974,0.0242725,2.77118,100,2.40017e-06,1.62439,1,100,8.14562567573,-113.202,0.016153,-107.461600369,17.83,-107.461600369,-107.35,0.643973,0.01,1.00563,97.6790269524,0.00640371,8.14562567573,98.0644889776,-107.461600369,0.8
1.06165,0.0832673,5.53721,100,7.67225e-06,2.47343,1,100,9.44802908392,-112.481,0.0237424,-106.991070882,18.22,-106.991070882,-106.687,0.554823,0.01,1.04178,92.940664358,0.00532572,9.44802908392,94.1928183069,-106.991070882,0.8
1.0248,0.0319214,2.69369,100,3.25705e-06,1.72092,1,100,8.25518857179,-113.096,0.0173833,-107.202975725,17.39,-107.202975725,-107.064,0.598975,0.01,0.989986,96.8762759408,0.00605034,8.25518857179,97.5803502215,-107.202975725,0.8
1.01693,0.0228701,2.43397,100,2.17487e-06,1.5196,1,100,7.57692981843,-113.161,0.0148187,-107.114799113,16.81,-107.114799113,-107.007,0.650711,0.01,1.02546,97.8922749959,0.00634556,7.57692981843,98.3352560148,-107.114799113,0.8
1.01381,0.0131278,2.51246,100,1.26223e-06,1.44058,1,100,6.55187126801,-112.856,0.0141257,-107.120751491,16.83,-107.120751491,-107.045,0.664513,0.01,1.01983,98.7658226443,0.00651594,6.55187126801,98.6377500747,-107.120751491,0.8
1.0194,0.0257859,2.29921,100,2.51353e-06,1.42284,1,100,5.77332502228,-112.883,0.0140478,-107.199435922,17.92,-107.199435922,-107.087,0.660437,0.01,1.01286,97.5720292217,0.00652051,5.77332502228,98.0971835472,-107.199435922,0.8
