Bound,AvgDiscRet,IterType,J,VarDiscRet,VarRet,MinVanillaIw,VarJ,MinNormIw,AvgNormIw,ESSClassic,ESSRenyi,EpsThisIter,eRenyi2,MaxVanillaIw,AvgRet,AvgEpLen,BatchSize,VarVanillaIw,SamplesThisIter,Delta,VarNormIw,MaxNormIw,VanillaAvgRet,AvgVanillaIw
40.7776,48.6459653678,1,48.646,3412.94666931,3412.94666931,1.0,58.417,0.000117357,0.000117357,8520.99956992,100.0,8521,1.0,1.0,48.6459653678,5.86785588546,100,,50000,0.6,,0.000117357,48.6459653678,1.0
41.6045,48.9645925185,1,48.9646,3390.81706772,3390.81706772,1.0,58.2273,0.000117994,0.000117994,8475.0003959,100.0,8475,1.0,1.0,48.9645925185,5.89970501475,100,,50000,0.6,2.11783e-22,0.000117994,48.9645925185,1.0
43.3642,49.3229000175,1,49.3229,3422.55145445,3422.55145445,1.0,58.4991,0.000118708,0.000118708,8424.00047944,100.0,8424,1.0,1.0,49.3229000175,5.93542260209,100,,50000,0.6,2.11783e-22,0.000118708,49.3229000175,1.0
39.2552,48.8198633365,1,48.8199,3672.24936268,3672.24936268,1.0,60.5955,0.000117702,0.000117702,8495.99947339,100.0,8496,1.0,1.0,48.8198633365,5.88512241055,100,,50000,0.6,2.11783e-22,0.000117702,48.8198633365,1.0
41.2293,48.4691331386,1,48.4692,3434.02988531,3434.02988531,1.0,58.5972,0.000117,0.000117,8546.99947494,100.0,8547,1.0,1.0,48.4691331386,5.85000585001,100,,50000,0.6,2.11783e-22,0.000117,48.4691331386,1.0
40.247,48.6472353103,1,48.6472,3674.60129794,3674.60129794,1.0,60.6149,0.000117357,0.000117357,8520.99956992,100.0,8521,1.0,1.0,48.6472353103,5.86785588546,100,,50000,0.6,,0.000117357,48.6472353103,1.0
41.8159,49.3789180912,1,49.3789,3823.26803414,3823.26803414,1.0,61.8289,0.000118821,0.000118821,8415.99956471,100.0,8416,1.0,1.0,49.3789180912,5.94106463878,100,,50000,0.6,5.29459e-23,0.000118821,49.3789180912,1.0
38.0579,50.1440116206,1,50.144,4201.71709017,4201.71709017,1.0,64.8167,0.000120351,0.000120351,8308.99986961,100.0,8309,1.0,1.0,50.1440116206,6.01757130822,100,,50000,0.6,,0.000120351,50.1440116206,1.0
36.8343,47.90611423,1,47.9061,3290.52476937,3290.52476937,1.0,57.3598,0.000115875,0.000115875,8629.99938113,100.0,8630,1.0,1.0,47.90611423,5.79374275782,100,,50000,0.6,4.76511e-22,0.000115875,47.90611423,1.0
33.8028,48.9658521393,1,48.9659,3810.91860088,3810.91860088,1.0,61.729,0.000117994,0.000117994,8475.0003959,100.0,8475,1.0,1.0,48.9658521393,5.89970501475,100,,50000,0.6,2.11783e-22,0.000117994,48.9658521393,1.0
38.946,48.7716511708,1,48.7717,3479.71324923,3479.71324923,1.0,58.9856,0.000117606,0.000117606,8502.99948799,100.0,8503,1.0,1.0,48.7716511708,5.8802775491,100,,50000,0.6,,0.000117606,48.7716511708,1.0
39.6564,49.4500029394,1,49.45,3782.51722982,3782.51722982,1.0,61.4985,0.000118963,0.000118963,8405.99972331,100.0,8406,1.0,1.0,49.4500029394,5.94813228646,100,,50000,0.6,2.11783e-22,0.000118963,49.4500029394,1.0
35.4026,48.8684670771,1,48.8685,3812.49513956,3812.49513956,1.0,61.7418,0.0001178,0.0001178,8488.99938804,100.0,8489,1.0,1.0,48.8684670771,5.8899752621,100,,50000,0.6,,0.0001178,48.8684670771,1.0
40.456,49.6410103818,1,49.641,3870.64891453,3870.64891453,1.0,62.2108,0.000119346,0.000119346,8378.99950958,100.0,8379,1.0,1.0,49.6410103818,5.96729920038,100,,50000,0.6,2.11784e-22,0.000119346,49.6410103818,1.0
38.1984,50.3023738939,1,50.3024,4234.55145815,4234.55145815,1.0,65.0695,0.000120671,0.000120671,8287.00037855,100.0,8287,1.0,1.0,50.3023738939,6.03354651864,100,,50000,0.6,2.11784e-22,0.000120671,50.3023738939,1.0
40.5923,49.499315451,1,49.4993,3787.77405902,3787.77405902,1.0,61.5413,0.000119062,0.000119062,8399.00021273,100.0,8399,1.0,1.0,49.499315451,5.95308965353,100,,50000,0.6,,0.000119062,49.499315451,1.0
25.2184,51.1298284003,1,51.1298,5230.64521555,5230.64521555,1.0,72.3188,0.000122324,0.000122324,8175.0006836,100.0,8175,1.0,1.0,51.1298284003,6.11620795107,100,,50000,0.6,8.47137e-22,0.000122324,51.1298284003,1.0
30.5661,48.7025880505,1,48.7026,4010.81713413,4010.81713413,1.0,63.3273,0.000117467,0.000117467,8512.99953666,100.0,8513,1.0,1.0,48.7025880505,5.87337013979,100,,50000,0.6,2.11783e-22,0.000117467,48.7025880505,1.0
42.2505,49.841224686,1,49.8412,3653.77496594,3653.77496594,1.0,60.4428,0.000119746,0.000119746,8351.00030777,100.0,8351,1.0,1.0,49.841224686,5.98730690935,100,,50000,0.6,8.47134e-22,0.000119746,49.841224686,1.0
41.5649,49.3013546003,1,49.3014,3538.28813855,3538.28813855,1.0,59.48,0.000118666,0.000118666,8427.00036816,100.0,8427,1.0,1.0,49.3013546003,5.93330960009,100,,50000,0.6,2.11783e-22,0.000118666,49.3013546003,1.0
35.0061,48.2232090192,1,48.2232,4001.09173645,4001.09173645,1.0,63.2505,0.000116509,0.000116509,8582.99931133,100.0,8583,1.0,1.0,48.2232090192,5.82546895025,100,,50000,0.6,,0.000116509,48.2232090192,1.0
36.4936,50.100031873,1,50.1,3807.34223478,3807.34223478,1.0,61.6999,0.000120265,0.000120265,8314.99985523,100.0,8315,1.0,1.0,50.100031873,6.01322910403,100,,50000,0.6,,0.000120265,50.100031873,1.0
