Delta,VanillaAvgRet,Bound,ESSRenyi,MaxNormIw,SamplesThisIter,AvgEpLen,VarDiscRet,VarNormIw,AvgNormIw,ESSClassic,VarJ,AvgRet,J,VarRet,IterType,eRenyi2,AvgVanillaIw,AvgDiscRet,MinVanillaIw,VarVanillaIw,EpsThisIter,MaxVanillaIw,MinNormIw,BatchSize
0.6,49.028430347,40.9553,100.0,0.00011812,50000,5.90597684857,3632.46393336,5.29458e-23,0.00011812,8465.99945456,60.2664,49.028430347,49.0284,3632.46393336,1,1.0,1.0,49.028430347,1.0,,8466,1.0,0.00011812,100
0.6,48.9587501419,38.5858,100.0,0.00011798,50000,5.89900896649,3434.08470786,,0.00011798,8476.00020542,58.5976,48.9587501419,48.9587,3434.08470786,1,1.0,1.0,48.9587501419,1.0,,8476,1.0,0.00011798,100
0.6,48.2100218635,39.4005,100.0,0.000116482,50000,5.82411182295,3386.82783266,2.11783e-22,0.000116482,8585.00030422,58.1931,48.2100218635,48.21,3386.82783266,1,1.0,1.0,48.2100218635,1.0,,8585,1.0,0.000116482,100
0.6,49.1384951859,43.1011,100.0,0.000118343,50000,5.91715976331,3240.30749096,2.11783e-22,0.000118343,8450.00000432,56.9204,49.1384951859,49.1385,3240.30749096,1,1.0,1.0,49.1384951859,1.0,,8450,1.0,0.000118343,100
0.6,47.9520862852,38.9856,100.0,0.000115969,50000,5.79844601647,3066.7654351,4.76511e-22,0.000115969,8623.0004496,55.3752,47.9520862852,47.9521,3066.7654351,1,1.0,1.0,47.9520862852,1.0,,8623,1.0,0.000115969,100
0.6,50.5150930387,42.2519,100.0,0.000121095,50000,6.05473480262,3917.11913466,8.47136e-22,0.000121095,8258.00060821,62.5831,50.5150930387,50.5151,3917.11913466,1,1.0,1.0,50.5150930387,1.0,,8258,1.0,0.000121095,100
0.6,47.7321406282,39.1354,100.0,0.000115527,50000,5.77634011091,3171.92259645,2.11783e-22,0.000115527,8655.99974379,56.3166,47.7321406282,47.7321,3171.92259645,1,1.0,1.0,47.7321406282,1.0,,8656,1.0,0.000115527,100
0.6,48.9862393068,17.148,100.0,0.000118036,50000,5.90179414542,4748.96881166,8.47133e-22,0.000118036,8472.00061326,68.9087,48.9862393068,48.9862,4748.96881166,1,1.0,1.0,48.9862393068,1.0,,8472,1.0,0.000118036,100
0.6,50.1797950415,31.8165,100.0,0.000120424,50000,6.02119460501,4056.85134895,2.11784e-22,0.000120424,8303.99938608,63.6896,50.1797950415,50.1798,4056.85134895,1,1.0,1.0,50.1797950415,1.0,,8304,1.0,0.000120424,100
0.6,49.2522977079,39.5665,100.0,0.000118568,50000,5.9283851079,3610.95602649,2.11783e-22,0.000118568,8433.99943263,60.0877,49.2522977079,49.2523,3610.95602649,1,1.0,1.0,49.2522977079,1.0,,8434,1.0,0.000118568,100
0.6,49.3363662143,39.019,100.0,0.000118737,50000,5.93683210639,3703.17936054,,0.000118737,8422.0002569,60.8502,49.3363662143,49.3364,3703.17936054,1,1.0,1.0,49.3363662143,1.0,,8422,1.0,0.000118737,100
0.6,49.1052256921,31.0852,100.0,0.000118273,50000,5.91366055588,4426.69418227,5.29458e-23,0.000118273,8455.00023063,66.5295,49.1052256921,49.1052,4426.69418227,1,1.0,1.0,49.1052256921,1.0,,8455,1.0,0.000118273,100
0.6,48.4617686976,40.2514,100.0,0.000116986,50000,5.84932147871,3353.08317282,2.11783e-22,0.000116986,8548.00068795,57.9024,48.4617686976,48.4618,3353.08317282,1,1.0,1.0,48.4617686976,1.0,,8548,1.0,0.000116986,100
0.6,50.0281453999,41.6197,100.0,0.00012012,50000,6.00600600601,3788.13508233,,0.00012012,8324.99965969,61.5441,50.0281453999,50.0281,3788.13508233,1,1.0,1.0,50.0281453999,1.0,,8325,1.0,0.00012012,100
0.6,48.8124885433,41.4624,100.0,0.000117689,50000,5.88442979875,3503.42264619,5.29458e-23,0.000117689,8496.99945102,59.1862,48.8124885433,48.8125,3503.42264619,1,1.0,1.0,48.8124885433,1.0,,8497,1.0,0.000117689,100
