IterType,AvgEpLen,MaxVanillaIw,AvgDiscRet,VarNormIw,VarRet,MinVanillaIw,AvgRet,BatchSize,ESSRenyi,VarJ,MinNormIw,AvgNormIw,VarDiscRet,ESSClassic,eRenyi2,VarVanillaIw,EpsThisIter,MaxNormIw,VanillaAvgRet,AvgVanillaIw,Bound,J
1,106.91,356894.12,17.637109742437467,0.009994833,1221.3699513474965,0.23312056,17.637109742437467,100,91.91266606740037,0.284991,6.530254e-07,0.009999998,1221.3699513474965,1.0005117718387613,1.0879893,1273727500.0,100,0.99974424,17.637109742437467,3569.8545,126.44699,138.61833
,106.91,4.289626,28.56572752202483,2.6526293e-05,1221.3699513474965,2.8019517e-06,17.637109742437467,200,184.36375488430738,52.371937,2.1418755e-08,0.01,1647.7992116834832,79.20100526461343,1.0848119,0.4539515,100,0.032790877,17.637109742437467,1.3081768,13.0714855,28.045353
1,103.9,1195274.0,22.852343335752572,0.004998211,1260.2363817106427,0.20039865,22.852343335752572,200,178.8614062097382,0.26224133,1.6762934e-07,0.005000001,1260.2363817106427,1.0003560170035812,1.1181842,7143388700.0,100,0.999822,22.852343335752572,5977.4336,129.90314,138.62819
2,102.19,1.0,19.06972113002005,3.5044917e-18,1207.5431490169885,1.0,19.06972113002005,200,200.0,34.57554,0.01,0.009999998,1207.5431490169885,100.0,1.0,,100,0.01,19.06972113002005,1.0,10.379053,19.06972
,103.9,4.9900537,17.73274586358466,8.912701e-06,1260.2363817106427,8.3662826e-07,22.852343335752572,300,269.2500414855097,43.02888,3.3262257e-09,0.005,1498.4462087800896,147.63139023112282,1.114206,0.56385946,100,0.019839212,22.852343335752572,1.257624,11.884041,19.740414
1,104.64,978194.4,21.35083946629586,0.0033312733,1206.3611831912478,0.31742457,21.35083946629586,300,272.36763112207785,0.59453523,3.2440056e-07,0.0033333336,1206.3611831912478,1.0006162812493962,1.1014525,3189540600.0,100,0.999692,21.35083946629586,3261.6526,131.2174,138.61241
2,102.44,1.0,17.143617978335666,3.5044917e-18,1144.355051758675,1.0,17.143617978335666,300,300.0,33.658752,0.01,0.009999998,1144.355051758675,100.0,1.0,,100,0.01,17.143617978335666,1.0,5.1363735,17.143618
2,108.03,1.0,22.1899472773862,2.179301e-19,1028.5979441147222,1.0,22.1899472773862,300,300.0,32.893433,0.005,0.0049999994,1028.5979441147222,200.00000010221265,1.0,,100,0.005,22.1899472773862,1.0,11.176378,19.666782
,104.64,3.1503549,19.463303250577315,1.6395056e-06,1206.3611831912478,1.0222917e-06,21.35083946629586,400,364.4268615870209,41.03149,3.0193068e-09,0.0033333334,1384.0387631831088,261.5373456241517,1.0976139,0.18795249,100,0.009304475,21.35083946629586,1.1286163,11.96541,19.228268
1,108.13,3212540.2,25.580588139367816,0.0024993108,1376.4056160610116,0.20357016,25.580588139367816,400,346.2065826071866,0.27532804,6.3358634e-08,0.0025,1376.4056160610116,1.0002751905794596,1.1553795,25801028000.0,100,0.99986243,25.580588139367816,8032.4556,132.07376,138.63293
2,106.9,1.0,21.219671981108988,3.5044917e-18,1197.628178625687,1.0,21.219671981108988,400,400.0,34.433292,0.01,0.009999998,1197.628178625687,100.0,1.0,,100,0.01,21.219671981108988,1.0,10.71966,21.219673
2,107.86,1.0,24.778752428756974,2.179301e-19,1425.5520977340227,1.0,24.778752428756974,400,400.0,36.07826,0.005,0.0049999994,1425.5520977340227,200.00000010221265,1.0,,100,0.005,24.778752428756974,1.0,15.574582,22.999212
2,105.73,1.0,19.79016350522404,5.4391416e-20,1260.952524651324,1.0,19.79016350522404,400,400.0,35.86312,0.0033333334,0.0033333336,1260.952524651324,299.999969473632,1.0,,100,0.0033333334,19.79016350522404,1.0,15.867344,21.92953
,108.13,4.912311,20.965836791855537,2.2614004e-06,1376.4056160610116,3.1128013e-07,25.580588139367816,500,434.46524353875606,41.078663,6.178793e-10,0.0025,1476.7984023197616,293.9189653870534,1.15084,0.5739485,100,0.009750753,25.580588139367816,1.2594697,16.026573,22.004242
1,114.22,8064719.0,19.744282185517655,0.001999734,1593.128579014172,0.24903211,19.744282185517655,500,430.70859058621824,0.1547315,3.0877153e-08,0.002,1593.128579014172,1.0001328050682703,1.1608777,130079340000.0,100,0.9999336,19.744282185517655,16130.509,132.75912,138.63977
2,104.55,1.0,19.93262449720342,3.5044917e-18,1218.1865877584469,1.0,19.93262449720342,500,500.0,34.727577,0.01,0.009999998,1218.1865877584469,100.0,1.0,,100,0.01,19.93262449720342,1.0,11.36734,19.932623
2,105.33,1.0,20.706779183613808,2.179301e-19,1292.044787047685,1.0,20.706779183613808,500,500.0,35.252155,0.005,0.0049999994,1292.044787047685,200.00000010221265,1.0,,100,0.005,20.706779183613808,1.0,13.690866,20.319702
2,110.26,1.0,18.846768013760634,5.4391416e-20,1540.314270531754,1.0,18.846768013760634,500,500.0,36.568592,0.0033333334,0.0033333336,1540.314270531754,299.999969473632,1.0,,100,0.0033333334,18.846768013760634,1.0,12.349501,19.828724
2,106.22,1.0,23.666067671790334,5.434597e-20,1584.1405042534932,1.0,23.666067671790334,500,500.0,37.386925,0.0025,0.0024999997,1584.1405042534932,400.0,1.0,,100,0.0025,23.666067671790334,1.0,14.310862,20.78806
1,105.31,892628.94,13.293712373205544,0.0019977489,1341.49446954758,0.063372746,13.293712373205544,500,448.44856489218716,1.6209166,7.0955736e-08,0.002,1341.49446954758,1.001124663411198,1.1149551,1593569400.0,100,0.99943817,13.293712373205544,1786.2615,147.73215,153.84946
2,103.64,1.0,19.352592272080738,3.5044917e-18,1025.0553099315177,1.0,19.352592272080738,500,500.0,31.855999,0.01,0.009999998,1025.0553099315177,100.0,1.0,,100,0.01,19.352592272080738,1.0,9.90706,19.35259
2,100.91,1.0,23.963139326171174,2.179301e-19,1330.0822280963084,1.0,23.963139326171174,500,500.0,34.221443,0.005,0.0049999994,1330.0822280963084,200.00000010221265,1.0,,100,0.005,23.963139326171174,1.0,12.622278,21.657864
2,111.82,1.0,26.14587981347155,5.4391416e-20,1383.89895601268,1.0,26.14587981347155,500,500.0,35.240616,0.0033333334,0.0033333336,1383.89895601268,299.999969473632,1.0,,100,0.0033333334,26.14587981347155,1.0,15.776347,23.153872
2,102.28,1.0,22.166727015353967,5.434597e-20,1095.1046827529972,1.0,22.166727015353967,500,500.0,34.6792,0.0025,0.0024999997,1095.1046827529972,400.0,1.0,,100,0.0025,22.166727015353967,1.0,16.51796,22.907084
1,105.78,1142648.4,16.3406015026743,0.0019983246,1410.1895687299266,0.059053704,16.3406015026743,500,450.9404986606081,1.1926996,5.165982e-08,0.002,1410.1895687299266,1.0008368278299324,1.1087937,2611286800.0,100,0.9995819,16.3406015026743,2286.2527,143.0263,149.04375
2,106.38,1.0,21.053472459265933,3.5044917e-18,1054.2826942351817,1.0,21.053472459265933,500,500.0,32.306965,0.01,0.009999998,1054.2826942351817,100.0,1.0,,100,0.01,21.053472459265933,1.0,12.37435,21.05347
2,108.84,1.0,24.062834670267183,2.179301e-19,1677.7066340313597,1.0,24.062834670267183,500,500.0,36.80487,0.005,0.0049999994,1677.7066340313597,200.00000010221265,1.0,,100,0.005,24.062834670267183,1.0,11.206647,22.558151
2,104.33,1.0,17.1919098533795,5.4391416e-20,1384.012975433171,1.0,17.1919098533795,500,500.0,36.961998,0.0033333334,0.0033333336,1384.012975433171,299.999969473632,1.0,,100,0.0033333334,17.1919098533795,1.0,11.500941,20.769405
2,103.57,1.0,19.460672673362257,5.434597e-20,898.5963722170635,1.0,19.460672673362257,500,500.0,35.31806,0.0025,0.0024999997,898.5963722170635,400.0,1.0,,100,0.0025,19.460672673362257,1.0,12.415495,20.44222
1,106.52,2755459.8,21.74751211154842,0.001999263,1377.72091398338,0.20078236,21.74751211154842,500,436.967386926475,0.66187817,7.28537e-08,0.0019999999,1377.72091398338,1.0003678490296142,1.1442502,15185107000.0,100,0.9998161,21.74751211154842,5511.933,183.03513,190.71481
2,110.48,1.0,29.804841260375728,3.5044917e-18,1451.710157674865,1.0,29.804841260375728,500,500.0,37.91033,0.01,0.009999998,1451.710157674865,100.0,1.0,,100,0.01,29.804841260375728,1.0,15.397635,29.804842
2,107.56,1.0,17.27871628672716,2.179301e-19,1113.4336342696972,1.0,17.27871628672716,500,500.0,36.179718,0.005,0.0049999994,1113.4336342696972,200.00000010221265,1.0,,100,0.005,17.27871628672716,1.0,13.354345,23.541779
