Bound,AvgDiscRet,AvgVanillaIw,VarRet,ESSClassic,VarNormIw,AvgNormIw,AvgEpLen,VarVanillaIw,MinNormIw,J,VanillaAvgRet,VarDiscRet,VarJ,BatchSize,eRenyi2,MaxNormIw,AvgRet,ESSRenyi,MaxVanillaIw,MinVanillaIw,EpsThisIter,IterType
122.00583,20.559421133058322,5449.0015,1436.4395639320628,1.0003184830275167,0.009996785,0.01,107.43,2968206800.0,6.3928064e-07,133.80714,20.559421133058322,1436.4395639320628,0.16613661,100,1.0978975,0.9998408,20.559421133058322,91.0831815390335,544813.4,0.3483441,100,1
7.140376,16.531583641241617,1.3315941,1436.4395639320628,84.080300280222,1.9125175e-05,0.010000002,107.43,0.3391167,1.3784162e-08,17.596947,20.559421133058322,1362.8394756142688,38.62638,200,1.0941377,0.021558557,20.559421133058322,182.7923539586668,2.8707247,1.8354909e-06,100,
125.43689,21.319642937716548,3520.1987,1144.675516060481,1.0005150845994364,0.0049974127,0.0049999994,101.31,2477077500.0,5.486889e-07,133.79646,21.319642937716548,1144.675516060481,0.3857236,200,1.1017908,0.99974257,21.319642937716548,181.52266526415877,703858.5,0.38629878,100,1
13.139673,21.772479123954597,1.0,1080.4521378081085,100.0,3.5044917e-18,0.009999998,104.94,,0.01,21.772476,21.772479123954597,1080.4521378081085,32.705467,200,1.0,0.01,21.772479123954597,200.0,1.0,1.0,100,2
13.471853,18.647131672844196,1.2409313,1144.675516060481,175.39096401867076,3.5253713e-06,0.005,101.31,0.21715024,5.724491e-09,19.868576,21.319642937716548,1334.4232942384879,38.70354,300,1.0980989,0.010430352,21.319642937716548,273.1994423070848,2.58867,1.4207401e-06,100,
126.91064,19.89578018639473,6065.5713,1158.9933109311448,1.0003032830579912,0.003332319,0.0033333334,103.61,11033987000.0,1.619577e-07,133.80795,19.89578018639473,1158.9933109311448,0.2726838,300,1.1250765,0.99984837,19.89578018639473,266.6485268959186,1819395.5,0.2947098,100,1
17.429817,27.031317968754514,1.0,1115.8924164778628,100.0,3.5044917e-18,0.009999998,103.6,,0.01,27.031319,27.031317968754514,1115.8924164778628,33.237534,300,1.0,0.01,27.031317968754514,300.0,1.0,1.0,100,2
17.27723,21.101719631173566,1.0,1062.4349413319164,200.00000010221265,2.179301e-19,0.0049999994,104.65,,0.005,24.066517,21.101719631173566,1062.4349413319164,32.970623,300,1.0,0.005,21.101719631173566,300.0,1.0,1.0,100,2
16.582043,26.685959390164967,1.2914453,1158.9933109311448,251.94977385381424,2.126125e-06,0.0033333334,103.61,0.3191416,1.4186512e-09,25.882254,19.89578018639473,1883.4782633483658,41.67154,400,1.1210086,0.008758064,19.89578018639473,356.82151561161766,3.3931682,5.496331e-07,100,
127.824326,26.604711974175466,6194.3306,1448.3392623373422,1.0003025629883666,0.002499242,0.0025000004,108.24,15343237000.0,1.2329158e-07,133.80797,26.604711974175466,1448.3392623373422,0.3144207,400,1.1289942,0.9998487,26.604711974175466,354.29764885135086,2477357.5,0.30548355,100,1
