BatchSize,ESSClassic,AvgRet,VarNormIw,J,eRenyi2,VanillaAvgRet,MinVanillaIw,VarJ,MaxVanillaIw,AvgVanillaIw,Bound,VarRet,EpsThisIter,IterType,MaxNormIw,AvgNormIw,AvgDiscRet,AvgEpLen,ESSRenyi,VarDiscRet,MinNormIw,VarVanillaIw
100,1.2004292115671793,-3.130732361945793,0.008313489,21.576254,4.3567276,-3.130732361945793,0.0095111355,18.163378,780.70825,8.555102,12.390903,134.41574082063633,100,1,0.91256446,0.01,-3.130732361945793,500.0,22.953007206087086,134.41574082063633,1.11175e-05,6084.623
200,16.68028683419455,-3.130732361945793,0.0005045556,-1.4304161,8.035115,-3.130732361945793,0.0012808882,10.953554,105.13992,6.9287715,-11.805756,134.41574082063633,100,,0.15174396,0.009999999,-1.8165176785987525,500.0,24.890744435683928,171.6631813954463,1.8486513e-06,242.22643
200,1.1661163480739933,-2.624859840327149,0.004284158,14.866281,3.9767516,-2.624859840327149,0.015547921,14.329418,2614.165,14.115841,8.660952,79.8860286639192,100,1,0.9259686,0.005,-2.624859840327149,500.0,50.29230433032239,79.8860286639192,5.5072596e-06,34145.938
200,100.0,1.105522288932751,3.5044917e-18,1.1055222,1.0,1.105522288932751,1.0,14.467814,1.0,1.0,-4.2640176,211.43198002426624,100,2,0.01,0.009999998,1.105522288932751,500.0,200.0,211.43198002426624,0.01,
300,47.3948891457351,-2.624859840327149,8.0901096e-05,0.7895528,5.2599106,-2.624859840327149,0.00038253132,29.59862,64.31728,5.3068743,-9.535431,79.8860286639192,100,,0.060598083,0.005,-0.5660693777150756,500.0,57.035190092642154,230.4980563063212,3.6041112e-07,91.13645
300,1.193138056835162,-3.9130793497154155,0.0027919488,14.711022,4.552213,-3.9130793497154155,0.006288776,19.792173,3123.6418,11.373968,9.290187,177.70110613294614,100,1,0.91543597,0.0033333334,-3.9130793497154155,500.0,65.90201015368375,177.70110613294614,1.843032e-06,32506.78
300,100.0,-0.33338363468148907,3.5044917e-18,-0.33338338,1.0,-0.33338363468148907,1.0,11.571857,1.0,1.0,-3.9383497,135.26048927256173,100,2,0.01,0.009999998,-0.33338363468148907,500.0,300.0,135.26048927256173,0.01,
300,200.00000010221265,-0.7218949489712575,2.179301e-19,-0.5276391,1.0,-0.7218949489712575,1.0,12.109798,1.0,1.0,-4.249024,160.92028285211998,100,2,0.005,0.0049999994,-0.7218949489712575,500.0,300.0,160.92028285211998,0.005,
400,55.90710832987035,-3.9130793497154155,4.8673843e-05,-1.4077483,6.9506993,-3.9130793497154155,0.00032013914,14.395538,159.01346,5.6910686,-9.418499,177.70110613294614,100,,0.093136266,0.0033333334,-0.8323854558627147,500.0,57.548166169330955,140.1396207730234,1.8750968e-07,141.88148
400,1.1969200165080986,-6.6233210490931835,0.0020876636,14.594461,5.244471,-6.6233210490931835,0.010580357,24.89319,4132.1904,11.302474,8.910886,145.4751240546649,100,1,0.9140013,0.0025,-6.6233210490931835,500.0,76.27079917512036,145.4751240546649,2.3402745e-06,42670.496
400,100.0,0.5426572377661103,3.5044917e-18,0.5426572,1.0,0.5426572377661103,1.0,13.746994,1.0,1.0,-3.6043608,190.88871513322658,100,2,0.01,0.009999998,0.5426572377661103,500.0,400.0,190.88871513322658,0.01,
400,200.00000010221265,-0.6178692617635071,2.179301e-19,-0.037606,1.0,-0.6178692617635071,1.0,12.504769,1.0,1.0,-3.0736616,124.32856760009977,100,2,0.005,0.0049999994,-0.6178692617635071,500.0,400.0,124.32856760009977,0.005,
400,299.999969473632,-0.7710814730369948,5.4391416e-20,-0.28209797,1.0,-0.7710814730369948,1.0,12.841533,1.0,1.0,-2.7610269,183.45221404260366,100,2,0.0033333334,0.0033333336,-0.7710814730369948,500.0,400.0,183.45221404260366,0.0033333334,
500,94.0116950952781,-6.6233210490931835,2.039342e-05,-0.93617404,8.391365,-6.6233210490931835,0.00024200241,20.501665,94.51477,6.555431,-7.1550374,145.4751240546649,100,,0.036044452,0.0025,-0.7920604705755078,500.0,59.58506118433674,185.11876872245725,9.229081e-08,140.22084
500,1.1326048757156246,-5.549537746084178,0.0017653718,15.771361,5.1142755,-5.549537746084178,0.004394938,22.566828,6777.958,14.426969,10.751314,132.36594246159927,100,1,0.9396233,0.0019999999,-5.549537746084178,500.0,97.76555923767225,132.36594246159927,6.09267e-07,91859.984
500,100.0,2.056021311293541,3.5044917e-18,2.0560212,1.0,2.056021311293541,1.0,14.313351,1.0,1.0,-2.9059043,206.94142688618768,100,2,0.01,0.009999998,2.056021311293541,500.0,500.0,206.94142688618768,0.01,
