MaxVanillaIw,VarDiscRet,MaxNormIw,VarVanillaIw,AvgVanillaIw,AvgDiscRet,AvgRet,AvgNormIw,VarJ,J,MinVanillaIw,VanillaAvgRet,VarNormIw,Bound,VarRet,BatchSize,MinNormIw,eRenyi2,AvgEpLen,ESSClassic,ESSRenyi
209.30588,23392.691048747136,0.7291105,439.0497,2.8707018,108.63941649007496,108.63941649007496,0.010000002,1501.9995,702.1177,5.649007e-11,108.63941649007496,0.0053276727,431.2186,23392.691048747136,100,1.9678138e-13,12.797986,11.87,1.860674257147689,7.813729422822231
26.846493,23898.80314442183,0.1733435,17.708128,1.5487453,155.4087798450319,155.4087798450319,0.01,428.05664,389.1337,4.6016373e-09,155.4087798450319,0.0007382657,249.23221,23898.80314442183,100,2.9712035e-11,7.6798897,16.55,12.035388542051534,13.021020376637226
71.36237,144498.4148697922,0.68212765,52.215355,1.0461732,454.40608041658413,454.40608041658413,0.01,2662.2122,1715.9937,,454.40608041658413,0.004770798,692.9964,144498.4148697922,100,,34.169933,46.46,2.0733584791874597,2.9265494628321944
59.01008,1097801.0457388768,0.90665793,34.808773,0.65085274,1303.9493173059557,1303.9493173059557,0.010000002,3411.223,4653.225,,1303.9493173059557,0.00821719,2630.4653,1097801.0457388768,100,,23.105913,131.43,1.2143266791256058,4.3278964695261815
29.46563,1766791.689852989,0.27148363,15.280203,1.0853556,1812.689469094037,1812.689469094037,0.01,2944.7551,4247.356,3.4934101e-28,1812.689469094037,0.0012971348,2673.7573,1766791.689852989,100,3.2186777e-30,13.984219,182.27,7.224582375717693,7.150917965377472
31.188477,2483180.7839221666,0.26137912,13.230212,1.1932275,3342.1339541433263,3342.1339541433263,0.01,1931.3577,4444.2383,0.00014681842,3342.1339541433263,0.0009292236,3484.4353,2483180.7839221666,100,1.230431e-06,5.2022624,335.08,9.804581306120573,19.22240599966911
10.494448,1475195.2801909805,0.10298273,3.3675334,1.0190493,3399.080343253266,3399.080343253266,0.01,1977.7988,4173.148,1.0407307e-05,3399.080343253266,0.00032428102,3378.1562,1475195.2801909805,100,1.0212761e-07,3.569083,340.8,23.750815643973247,28.018401558495796
5.7449136,1369036.1514075622,0.06489637,1.2943201,0.8852443,4102.2423451065215,4102.2423451065215,0.010000002,991.8204,4510.45,0.00041018607,4102.2423451065215,0.00016516403,3855.4382,1369036.1514075622,100,4.6335917e-06,2.422852,410.89,37.9488751616161,41.273671844756116
8.191375,1081486.059764592,0.09176189,2.9271514,0.89267725,4130.370379955852,4130.370379955852,0.01,743.93964,4693.924,3.4287837e-09,4130.370379955852,0.00036732995,3899.1768,1081486.059764592,100,3.841012e-11,3.5668497,413.75,21.567682685709084,28.035944368525765
2.2875223,878506.7923783106,0.022828192,0.17926843,1.0020603,4145.552426905955,4145.552426905955,0.01,998.9298,4221.4917,0.09194912,4145.552426905955,1.7853205e-05,3757.7036,878506.7923783106,100,0.0009176007,1.214691,415.31,84.98003859091389,82.3254609346992
4.3037653,792999.9878625132,0.047104176,0.506296,0.9136696,4240.478029585756,4240.478029585756,0.01,824.9971,4418.3965,0.064111575,4240.478029585756,6.0649345e-05,3908.468,792999.9878625132,100,0.00070169324,1.4684036,424.79,62.48325983390821,68.10116885543935
