BatchSize,MaxVanillaIw,ESSRenyi,VarNormIw,VarJ,VanillaAvgRet,AvgRet,MinVanillaIw,J,AvgEpLen,AvgNormIw,MaxNormIw,ESSClassic,VarRet,VarVanillaIw,Bound,eRenyi2,MinNormIw,VarDiscRet,AvgVanillaIw,AvgDiscRet
100,27.270973,10.85597929054976,0.0012988263,437.0774,105.54342660717947,105.54342660717947,6.145632e-13,324.14072,11.56,0.010000002,0.19337317,7.215849938010109,11397.44822628735,25.832115,170.92451,9.2115135,4.357748e-15,11397.44822628735,1.4102769,105.54342660717947
100,78.81359,3.583202562468788,0.008701307,3025.5474,316.61118124877424,316.61118124877424,,4689.0654,32.65,0.010000002,0.9333028,1.1475402635862402,549107.595882238,62.049946,2466.0417,27.907995,,549107.595882238,0.84445894,316.61118124877424
100,65.26148,7.5893987728285195,0.003173332,1490.0508,668.4520262392648,668.4520262392648,,4769.035,67.81,0.010000002,0.5249899,3.084897352217047,1193205.027035237,49.037426,3241.53,13.176274,,1193205.027035237,1.2430998,668.4520262392648
100,5.327647,37.99664052148557,0.00015517396,434.4812,3439.308541673304,3439.308541673304,6.2878253e-06,4862.375,344.37,0.01,0.05366887,39.42871674828497,3816415.4795737457,1.5291315,4179.7,2.6318116,6.3341375e-08,3816415.4795737457,0.99268854,3439.308541673304
100,1.6236032,89.3482703554276,1.4502482e-05,159.33313,4881.488338365068,4881.488338365068,0.0600298,4976.15,488.19,0.010000002,0.016371608,87.4450860890448,492709.0260850515,0.14263283,4530.962,1.1192158,0.00060531066,492709.0260850515,0.9917189,4881.488338365068
100,1.4782234,95.03680539962075,4.0463615e-06,194.68057,4951.598947320113,4951.598947320113,0.39890206,4980.4595,495.18,0.01,0.014918814,96.14839915522377,233293.4262569127,0.039726123,4548.801,1.0522239,0.004025877,233293.4262569127,0.9908451,4951.598947320113
100,1.4139386,93.40123768825309,7.925041e-06,143.3465,4934.310438946387,4934.310438946387,0.26482803,4976.877,493.47,0.01,0.0141459545,92.7249856644376,179472.00960094325,0.07917685,4541.455,1.0706496,0.0026495105,179472.00960094325,0.9995357,4934.310438946387
100,1.1192392,99.48793754678725,4.9448863e-07,46.003197,4992.843480149965,4992.843480149965,0.65120906,4995.3364,499.3,0.01,0.011152354,99.51285407838255,5041.0704606700365,0.0049804556,4573.4443,1.005147,0.0064887954,5041.0704606700365,1.0035901,4992.843480149965
100,1.0,100.0,3.5044917e-18,0.046260208,4999.949660910579,4999.949660910579,1.0,4999.9497,500.0,0.009999998,0.01,100.0,0.0021605975214724397,,4579.139,1.0,0.01,0.0021605975214724397,1.0,4999.949660910579
100,1.2394607,97.43920045245311,3.4809875e-06,114.285355,4973.894873931078,4973.894873931078,0.3455245,4988.5083,497.41,0.010000002,0.0127651235,96.66862145222461,67700.31489746159,0.032818444,4562.204,1.026281,0.0035585337,67700.31489746159,0.9709743,4973.894873931078
100,1.0249789,99.94643221387463,8.793422e-08,12.586124,4998.434715744254,4998.434715744254,0.8407507,4998.6724,499.86,0.01,0.010265489,99.91300960467345,224.9517248183398,0.0008766544,4577.749,1.000536,0.008420385,224.9517248183398,0.9984706,4998.434715744254
