ReturnMeanIW,Weights,EpisodesSoFar,J_sample_variance,MinIW,TimestepsSoFar,InitialReturnMin,InitialReturnMean,InitialReturnStd,StdIW,InitialBound,Bound,EmpiricalD2,EpRewMean,TimeElapsed,InitialReturnMax,Iteration,MeanIW,EpLenMean,EpThisIter,MaxIW
144.61475,[-0.822 -0.493 -0.474 -0.749  0.   ],100,1230831.0,,3509,-20.043964,1.3446808e-06,7.9532566,126.23428,17.597498,144.61475,inf,-108.1894935537418,7.698109149932861,10.9685335,1,1.1206825,35.09,100,25371.85
159.44319,[-0.893 -0.649 -0.208 -0.741 -0.293],200,2322119.0,,9145,-14.684105,-4.386902e-07,2.9652076,111.27799,11.349269,159.44319,inf,-102.09551438032416,25.501704454421997,4.523437,2,1.6156119,56.36,100,17680.998
-2.9415065e-07,[-0.92  -0.706 -0.085 -0.556 -0.463],300,6.683078e-12,,56541,-3.1170597,-4.029274e-07,1.5782268,5.2531607e-07,-5.765196,-2.9415065e-07,inf,-35.97339273027898,135.1393699645996,4.8221602,3,3.606701e-09,473.96,100,9.349272e-05
43.827747,[-0.798 -0.76  -2.169 -0.907 -0.246],400,2592.048,0.00017309637,58182,-13.904436,1.1062622e-06,5.1730366,1.1705247,40.311657,43.827747,1.5637785e+17,-107.98458755394529,140.12777853012085,18.059319,4,0.35942578,16.41,100,88.49022
51.081837,[-0.976 -0.876 -2.189 -0.92  -0.018],500,4157.318,0.00020411088,59866,-17.99731,-3.0517577e-07,5.549849,6.6993732,39.231163,51.081837,125941.97,-108.18340578678259,147.53471970558167,18.85421,5,1.727994,16.84,100,72.075195
48.283833,[-0.813 -0.842 -2.08  -1.112 -0.134],600,2676.929,5.9824295e-21,61614,-15.74358,-2.9563903e-06,5.093794,0.80362207,38.318626,48.283833,1136515500000000.0,-108.7362819168567,154.6136975288391,17.146637,6,0.20037079,17.48,100,34.856495
43.425125,[-0.875 -0.938 -1.963 -1.307 -0.327],700,4050.8157,2.0497782e-11,63527,-16.971186,-2.0980835e-06,7.520094,1.4832442,33.897858,43.425125,1203590900.0,-108.34899043881258,161.83541226387024,19.679565,7,0.37294593,19.13,100,83.07561
40.73961,[-0.828 -0.793 -1.893 -1.4   -0.484],800,1806.0614,0.0011683103,65315,-15.3660965,4.7683716e-07,6.956132,1.915548,36.355442,40.73961,62.745747,-108.61033418848224,168.57211232185364,20.388233,8,1.1421415,17.88,100,53.235413
38.070675,[-0.954 -0.844 -1.968 -1.464 -0.528],900,3366.1494,1.8787496e-06,67154,-15.676338,3.6239624e-07,6.745184,1.7867407,35.529106,38.070675,6585.5386,-108.1358636044473,176.5564193725586,18.528719,9,0.4883421,18.39,100,59.18931
238.6562,[-0.904 -0.888 -1.898 -1.455 -0.524],1000,4963368.0,2.3227879e-33,69061,-13.882471,6.1035155e-07,6.78778,13.270647,34.315994,238.6562,3.0371922e+26,-108.1420292588274,184.09437918663025,17.968588,10,0.26814148,19.07,100,1147.5559
