EpLenMean,EpRewMean,InitialReturnMax,Iteration,ReturnMeanIW,InitialBound,EmpiricalD2,J_sample_variance,InitialReturnMin,EpisodesSoFar,TimeElapsed,Bound,InitialReturnMean,MinIW,EpThisIter,MeanIW,TimestepsSoFar,StdIW,InitialReturnStd,MaxIW,Weights
35.4,-107.5568281044892,10.384639,1,17.835152,-41316934000.0,1.9557374,114.75421,-22.61143,100,8.512267112731934,-41316934000.0,-4.386902e-07,0.062802225,100,1.1685544,3540,1.3019273,8.24457,11.163698,[-0.563 -1.093 -0.809 -1.04   0.   ]
37.19,-107.33454072875365,10.349192,2,18.111881,-69970590000.0,8.703677,307.8791,-26.683884,200,18.072969436645508,-69970590000.0,-9.155273e-07,0.013264976,100,1.2352806,7259,3.2250063,8.320131,49.990467,[-0.549 -1.098 -0.808 -1.003  0.008]
37.46,-105.81467254851273,9.863068,3,17.230055,-19761762000.0,5.474784,137.95738,-20.347248,300,27.16829800605774,-19761762000.0,-1.5640259e-06,0.048104204,100,1.0161147,11005,1.4790404,7.757807,12.976192,[-0.554 -1.094 -0.765 -1.06   0.039]
39.32,-106.94453964313894,9.384002,4,17.187061,-4520857000.0,2.0664468,64.19685,-15.724536,400,35.53063344955444,-4520857000.0,-3.4332277e-07,0.12983504,100,0.9095668,14937,0.7165982,6.5749216,9.470519,[-0.556 -1.121 -0.735 -1.034  0.029]
41.41,-107.51154141651914,8.338025,5,15.655797,-30120045000.0,18.329689,143.57745,-18.774563,500,45.32600784301758,-30120045000.0,-5.245209e-07,0.006312201,100,0.9276393,19078,2.313392,6.6810265,19.130737,[-0.559 -1.136 -0.719 -1.013  0.029]
47.05,-103.93642477474862,6.9933634,6,13.87813,-753951600.0,1.5313243,42.853477,-16.23978,600,56.08973002433777,-753951600.0,9.3460085e-07,0.16434047,100,1.1591381,23783,0.7813492,5.673512,5.550131,[-0.566 -1.18  -0.682 -0.994  0.017]
43.85,-106.34290277931714,7.8444624,7,14.799642,-27108039000.0,1.7394217,49.46232,-19.785755,700,65.98756742477417,-27108039000.0,-2.9087067e-07,0.15553631,100,0.9965503,28168,0.83069766,6.471287,5.0775414,[-0.57  -1.189 -0.665 -0.983  0.016]
44.45,-107.13923598188019,7.398767,8,15.5947895,-56676180000.0,6.0592957,53.565998,-15.671203,800,76.51072859764099,-56676180000.0,-6.9618227e-07,0.0040958743,100,0.7230123,32613,1.1751262,5.5496817,11.662025,[-0.57  -1.2   -0.646 -0.968  0.013]
45.64,-106.976110520653,6.0793376,9,14.434326,-4068771600.0,1.3631788,31.053297,-17.33717,900,86.16900277137756,-4068771600.0,-2.479553e-07,0.2816553,100,1.0719287,37177,0.6881252,5.431815,4.555761,[-0.589 -1.217 -0.613 -0.947  0.002]
46.41,-105.18047627961845,6.9805136,10,13.701892,-16007027000.0,1059.6987,94.32157,-15.630523,1000,96.48884129524231,-16007027000.0,4.6730042e-07,5.5593868e-05,100,1.0683402,41818,6.4237194,5.1151714,65.988235,[-0.592 -1.226 -0.599 -0.94   0.001]
