MaxIW,MeanD2w0t,MeanIW,EpisodesSoFar,Bound,EpRewMean,InitialBound,EmpiricalD2,MinIW,StdD2w0t,TimestepsSoFar,StdIW,EpLenMean,InitialReturnStd,Iteration,InitialReturnMax,Weights,MaxD2w0t,MinD2w0t,EpThisIter,InitialReturnMin,ReturnStepMax,ReturnMeanIW,TimeElapsed,J_sample_variance,ReturnStepMaxmin,InitialReturnMean
1.8199658,0.094123684,0.9831659,100,-41.641075,-121.62483749719935,-41.75183,1.0568773,0.560747,0.29674396,4573,0.21378271,45.73,2.0974436,1,-3.2282987,[-0.365 -0.68  -0.484 -0.253  0.   ],1.0997721,,100,-15.676621,100.0,-8.263442,10.852041721343994,4.280579,99.023315,-8.418495
3.3519435,0.104085,0.895665,200,-41.241386,-121.58143272592491,-41.607933,1.250766,0.2657931,0.32809818,9191,0.36472183,46.18,2.7082143,2,-1.7332838,[-0.376 -0.69  -0.484 -0.258  0.007],1.4523829,,100,-20.372425,100.0,-7.7361345,26.225421905517578,5.8995843,99.06461,-8.2746
2.2460327,0.102634676,0.9544332,300,-41.132866,-121.1605052352274,-41.32795,1.1186552,0.39072663,0.31394085,14031,0.26478967,48.4,2.4717216,3,-2.9166512,[-0.399 -0.715 -0.486 -0.269  0.01 ],1.2527267,,100,-18.504461,100.0,-7.706266,41.75754475593567,4.550014,99.175964,-7.9946136
2.2234726,0.09912018,1.0064715,400,-41.507236,-120.91844094889808,-41.75611,1.1194099,0.37431306,0.30621645,18780,0.32709765,47.49,2.6697304,4,-3.1882858,[-0.418 -0.716 -0.483 -0.274 -0.005],1.2013613,,100,-20.989908,100.0,-8.090183,57.33651566505432,3.590286,99.048035,-8.422778
1.318837,0.10469157,0.9984303,500,-41.064545,-122.45672421985337,-41.08678,1.0145152,0.72043264,0.3073606,23978,0.10932513,51.98,1.7583382,5,-2.9467182,[-0.44  -0.735 -0.489 -0.274 -0.009],1.022186,,100,-13.580493,100.0,-7.7105174,72.3404335975647,2.968812,99.23536,-7.7534456
1.4393687,0.10377411,1.0038886,600,-40.95159,-122.97951800820105,-40.96552,1.0139974,0.6813854,0.30588153,29139,0.13518924,51.61,1.7561376,6,-3.1513581,[-0.441 -0.737 -0.485 -0.274 -0.009],1.023567,,100,-11.258969,100.0,-7.605287,85.78606796264648,3.1375659,99.11,-7.632184
2.771169,0.1078852,0.9752675,700,-40.817856,-120.47568013391665,-40.938416,1.0846096,0.4847311,0.31612712,34359,0.30379927,52.2,1.7359182,7,-4.2385454,[-0.444 -0.737 -0.484 -0.271 -0.013],1.1892164,,100,-15.065858,100.0,-7.438791,99.475022315979,2.5745757,99.09196,-7.6050806
1.6723177,0.11278,1.0051887,800,-40.652573,-119.75026010153698,-40.68202,1.0269035,0.7215338,0.31863263,39926,0.15146734,55.67,2.2370384,8,-2.4253728,[-0.46  -0.74  -0.481 -0.271 -0.005],1.0447688,,100,-18.12655,100.0,-7.2905297,115.42495441436768,4.4474382,99.00007,-7.3486824
1.3638258,0.110938154,0.98718554,900,-40.77744,-122.70721123674151,-40.79172,1.0126795,0.71245205,0.31504938,45442,0.10703262,55.16,1.7812423,9,-3.044395,[-0.462 -0.742 -0.477 -0.271 -0.005],1.0192559,,100,-10.60584,100.0,-7.428681,128.9995415210724,3.0793962,99.14871,-7.4583855
1.6485826,0.11409626,0.9967108,1000,-40.894882,-123.20340286276407,-40.944984,1.0302796,0.611443,0.32048059,51067,0.17318925,56.25,2.1530993,10,-3.087457,[-0.462 -0.74  -0.479 -0.273 -0.005],1.0469164,,100,-18.680855,100.0,-7.523469,142.70746421813965,3.6267962,99.15567,-7.61165
