ReturnMeanIW,EntropyCoefficient,StdIW,TimeElapsed,ReturnStepMax,InitialReturnMax,MaxIWNorm,Weights,InitialReturnStd,EmpiricalD2,MaxIW,MeanIWNorm,ReturnStepMaxmin,MinIW,MeanEntropy,EpRewMean,InitialBound,MeanIW,Iteration,J_sample_variance,ESSRenyi,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,EpThisIter,ESSClassic,MinIWNorm,StdIWNorm,Bound,EpLenMean,InitialReturnMin
4.403047,9.900002,1.6249034,5.724344730377197,100.0,30.6531,0.1265632,[ 0.911 -0.288 -0.586 -0.882  0.   ],6.5082946,3.658974,12.656321,0.011902831,88.47723,0.021216631,1.5078129,-108.8235630534528,13.025064,1.1902832,1,1646.7766,27.330067,1.0986329e-05,2043,100,100,34.920986,0.0002121663,0.016249033,2.4485602,20.43,-7.197624
796.103,9.799999,549.75946,18.229663610458374,100.0,36.802395,55.261917,[ 0.848 -0.248 -0.595 -0.902  0.089],6.5212092,23325.072,5526.192,0.56445485,88.37502,2.9336308e-05,1.4783119,-108.62799642990487,13.549812,56.445488,2,63409492.0,0.004287232,-5.531311e-06,4064,200,100,1.0431789,2.933631e-07,5.4975944,608.74756,20.21,-6.767929
179.00208,9.700001,270.6235,34.65620040893555,100.0,44.482006,27.193594,[ 0.888 -0.279 -0.476 -0.883  0.059],11.953407,1671.0228,2719.3594,0.2878827,90.12357,1.2336055e-05,1.4364268,-107.94100859070528,12.856891,28.78826,3,2157046.5,0.05984359,-1.9073486e-06,6496,300,100,1.1189556,1.2336055e-07,2.7062352,118.39068,24.32,-9.338989
16.442066,9.599998,3.2861812,52.96977472305298,100.0,55.878155,0.33499503,[ 0.825 -0.346 -0.418 -0.914  0.018],13.02486,5.054313,33.499504,0.01117385,90.02104,0.045815285,1.435544,-107.25513969927884,11.927087,1.1173849,4,35160.66,19.785082,-2.4795531e-06,8885,400,100,10.363519,0.00045815285,0.032861818,12.254595,23.89,-9.452354
716.6964,9.5,117.37793,66.37400150299072,100.0,60.857338,11.805939,[ 0.859 -0.353 -0.365 -0.948  0.017],11.568628,1034.5084,1180.5939,0.13059185,89.74818,0.0018705161,1.4238255,-106.67681267454243,11.609089,13.059186,5,51624000.0,0.09666427,-1.411438e-06,11191,500,100,1.2226907,1.8705161e-05,1.1737791,651.4497,23.06,-9.322823
51.260017,9.399998,13.811919,82.07879114151001,100.0,41.827236,1.3536389,[ 0.863 -0.416 -0.309 -0.983  0.005],9.7389345,87.69571,135.36389,0.02887673,90.0194,0.00071748876,1.361375,-108.21624548778533,11.9897175,2.8876724,6,314561.9,1.1403066,2.2888185e-06,13601,600,100,4.1880097,7.1748873e-06,0.13811918,38.203506,24.1,-8.936211
2.7883873,9.299999,1.4514189,97.88062477111816,100.0,57.489918,0.08368946,[ 0.903 -0.301 -0.265 -0.942 -0.057],11.245803,2.30665,8.368946,0.011640667,89.41961,0.049469892,1.3643081,-106.77358102693962,10.74445,1.1640668,7,757.2984,43.352917,-6.1035157e-06,15830,700,100,39.144466,0.00049469894,0.014514187,-0.12207031,22.29,-9.281654
30.927887,9.200001,4.451865,114.83121919631958,100.0,73.66642,0.45011297,[ 0.86  -0.331 -0.269 -0.92  -0.055],14.572066,6.3373775,45.0113,0.01573163,90.86215,0.026466664,1.3230062,-106.11760117521297,10.09609,1.5731628,8,110351.02,15.779398,2.4795531e-06,18438,800,100,11.100958,0.00026466663,0.04451865,24.746256,26.08,-11.522583
38.45791,9.099998,6.6929364,127.9706163406372,100.0,59.56839,0.67220086,[ 0.826 -0.316 -0.281 -0.949 -0.096],15.679633,8.1423,67.220085,0.015076396,91.14629,0.0016397901,1.2090371,-105.94654986407107,10.053737,1.5076396,9,160719.73,12.281543,-4.5013426e-06,21136,900,100,4.8290977,1.63979e-05,0.06692936,32.79202,26.98,-12.11203
3.9336436,9.0,1.067076,143.48057770729065,100.0,51.527145,0.06064515,[ 0.779 -0.329 -0.261 -0.96  -0.21 ],12.900311,1.9682114,6.064515,0.010475679,89.783875,0.05610437,1.1970611,-105.7558697425049,9.163761,1.047568,10,1237.1094,50.80755,-8.010864e-07,23431,1000,100,49.077553,0.0005610437,0.010670759,1.5240116,22.95,-9.380821
351.14014,8.899998,58.94026,160.64983820915222,100.0,68.45799,5.927899,[ 0.811 -0.335 -0.293 -0.975 -0.222],16.074976,3978.2302,592.7899,0.06408319,91.188736,0.0005971634,1.2331885,-105.96743199853256,8.371902,6.408319,11,12515155.0,0.025136806,-4.7302246e-06,26144,1100,100,1.1683161,5.971634e-06,0.58940256,207.21129,27.13,-11.226242
45.41917,8.799999,11.072142,177.2763147354126,100.0,60.39496,1.108351,[ 0.964 -0.373 -0.303 -1.082 -0.186],14.817586,43.937355,110.835106,0.022295129,90.76495,0.025774626,1.2646493,-105.6145656961023,8.838887,2.2295132,12,214375.03,2.2759676,-5.41687e-06,28709,1200,100,3.8966835,0.00025774626,0.11072141,32.074852,25.65,-12.629387
