Bound,ReturnStepMax,EmpiricalD2,ReturnMeanIW,InitialReturnStd,TimeElapsed,Weights,EpRewMean,EpisodesSoFar,MeanD2w0t,MinIW,StdD2w0t,InitialBound,InitialReturnMin,MaxIW,ReturnStepMaxmin,EpLenMean,MeanIW,InitialReturnMax,MaxD2w0t,EpThisIter,Iteration,MinD2w0t,TimestepsSoFar,StdIW,InitialReturnMean,J_sample_variance
159.10028,100.0,1.4969124,261.82962,10.794412,7.757758617401123,[-0.822 -0.493 -0.474 -0.749  0.   ],-108.1894935537418,100,0.09273836,0.16244207,0.34360203,139.75131,-16.371025,5.6779094,92.833694,35.09,1.1638646,33.495453,2.218997,100,1,,3509,0.7458836,-4.119873e-06,23392.889
97.70979,100.0,1.1146832,195.99118,12.853738,23.442471027374268,[-0.824 -0.49  -0.441 -0.759  0.011],-108.06034095682963,200,0.087217614,0.4339956,0.29251748,92.123924,-17.728462,2.565661,93.71718,40.91,1.0624994,56.084087,1.3006672,100,2,,7600,0.37174398,7.6293946e-07,3506.621
125.75748,100.0,1.7946953,238.96738,12.201462,37.338130474090576,[-0.806 -0.477 -0.432 -0.756 -0.017],-107.60020070813742,300,0.09699156,0.10338164,0.34471956,103.675735,-19.0904,13.568597,93.45812,38.83,1.2238902,48.099594,3.2864263,100,3,,11483,1.2650238,-6.8664554e-07,43248.22
124.6909,100.0,1.2787465,220.32132,11.535082,52.357303619384766,[-0.859 -0.48  -0.422 -0.744 -0.03 ],-108.188978750473,400,0.085725956,0.30767107,0.29957622,114.91935,-16.5736,5.3763466,93.335686,38.2,1.1045587,29.772438,1.8407706,100,4,,15303,0.5636437,-8.773804e-07,7752.1465
123.584,100.0,1.017155,217.8151,11.690004,66.01242399215698,[-0.872 -0.498 -0.428 -0.737 -0.056],-107.76874109208957,500,0.07397206,0.61583537,0.26322865,120.263084,-15.826874,1.5361396,93.11102,36.6,1.0246985,43.07742,1.0914547,100,5,,18963,0.12950492,-5.340576e-07,708.3931
143.23163,100.0,1.319637,241.71486,11.158934,78.38838124275208,[-0.893 -0.495 -0.433 -0.733 -0.061],-107.75914304551105,600,0.084414706,0.24198674,0.3036311,126.86188,-16.869278,3.5889626,93.061264,36.29,1.1523438,38.30879,1.673805,100,6,,22592,0.5637652,1.6021728e-06,9480.116
106.78883,100.0,1.1974852,203.11363,14.758706,92.32102465629578,[-0.89  -0.5   -0.447 -0.744 -0.106],-106.95469748251624,700,0.08696836,0.37310445,0.29662654,99.56287,-18.486252,3.210731,93.619995,39.76,1.0738711,60.850018,1.4560235,100,7,,26568,0.46739605,1.7929077e-06,4720.198
125.469696,100.0,1.369171,232.9381,12.937944,105.34171223640442,[-0.888 -0.492 -0.428 -0.734 -0.111],-105.99828451972031,800,0.089844845,0.13453127,0.31874704,110.34102,-16.862549,5.7562027,93.348305,37.51,1.1658137,51.70488,2.2344775,100,8,,30319,0.8041911,4.6920777e-06,16592.334
184.55142,100.0,4.438817,476.59216,12.01621,119.58765625953674,[-0.86  -0.478 -0.418 -0.734 -0.063],-108.20555206139232,900,0.28037894,0.07280889,2.8752973,79.16289,-19.23938,238.80673,93.934204,42.72,2.823777,52.39608,117.66929,100,9,,34591,18.530464,8.544922e-06,8860800.0
183.87173,100.0,21.971548,599.71466,12.366147,133.60290670394897,[-0.825 -0.455 -0.376 -0.756 -0.008],-106.73532735698005,1000,0.6074037,0.00021391596,4.703664,101.251495,-17.669037,336.6026,93.56404,39.27,4.2340937,44.4553,135.36557,100,10,,38518,31.899546,3.7765503e-06,13179519.0
61.58571,100.0,1.1432018,161.87425,15.172481,149.2823452949524,[-0.792 -0.497 -0.319 -0.757 -0.049],-104.75081539846235,1100,0.10194646,0.42310613,0.31632847,54.948418,-24.120827,2.8093429,94.56329,47.22,1.1026561,63.77951,1.40907,100,11,,43240,0.40807948,-1.411438e-06,2599.457
73.24974,100.0,1.2067595,169.66478,14.567261,163.8659107685089,[-0.796 -0.485 -0.318 -0.758 -0.023],-105.76852994881925,1200,0.098200984,0.27429327,0.31141928,67.0448,-22.652618,3.9596622,94.349815,45.49,1.1051294,54.27072,1.5125122,100,12,,47789,0.5023813,-1.1444092e-06,3159.873
80.87212,100.0,1.2661804,180.42326,12.853813,178.1675398349762,[-0.771 -0.488 -0.326 -0.767 -0.012],-105.96259782264859,1300,0.100952774,0.07036342,0.3240936,72.015,-21.190323,3.2678533,94.244064,44.56,1.1262857,34.704704,1.594096,100,13,,52245,0.610352,-2.4795531e-06,5811.3984
123.67377,100.0,15.295575,363.05887,12.098923,192.04144740104675,[-0.786 -0.487 -0.323 -0.758 -0.056],-105.45261723346637,1400,0.39875546,0.0014428131,2.1265883,84.1043,-21.321037,146.36891,94.027054,42.41,2.6384025,30.600739,53.304325,100,14,,56486,13.50154,-2.3651123e-06,2359255.5
95.81426,100.0,1.0885346,190.02336,13.514814,205.6434144973755,[-0.785 -0.532 -0.289 -0.754 -0.095],-104.4549171864582,1500,0.08586826,0.35193697,0.2900974,92.3067,-21.11892,3.6450815,93.830246,40.41,1.0412313,34.685875,1.342501,100,15,,60527,0.4450627,-3.8146973e-06,5291.818
42.16845,100.0,1.0349692,135.52429,14.897888,220.84952902793884,[-0.765 -0.514 -0.273 -0.747 -0.102],-102.8607497506034,1600,0.10400529,0.58734465,0.3082425,41.05066,-25.683723,1.7146728,94.97493,51.11,1.0158004,36.252106,1.0724072,100,16,,65638,0.18882315,1.1444092e-06,590.14966
57.939095,100.0,1.0985711,153.42027,13.170859,235.46959352493286,[-0.758 -0.518 -0.272 -0.755 -0.112],-104.6719722507296,1700,0.102100305,0.29183266,0.31315592,54.51806,-24.912552,2.120694,94.65045,48.13,1.0544442,28.759132,1.2108974,100,17,,70451,0.32725123,-1.3732911e-06,1531.9974
82.961205,100.0,1.2544523,181.60246,12.75887,249.46239066123962,[-0.759 -0.527 -0.272 -0.768 -0.134],-105.06632948627107,1800,0.102392405,0.19688511,0.32999095,72.452835,-21.25766,4.4199495,94.27162,44.44,1.1218756,33.822086,1.5950782,100,18,,74895,0.6415749,4.8065185e-06,7717.8247
