ReturnMeanIW,TimestepsSoFar,Iteration,EpLenMean,Weights,EmpiricalD2,InitialBound,MaxD2w0t,InitialReturnMin,StdD2w0t,J_sample_variance,ReturnStepMax,ReturnStepMaxmin,MaxIW,EpRewMean,MeanD2w0t,Bound,MeanIW,InitialReturnMean,InitialReturnMax,StdIW,InitialReturnStd,MinIW,MinD2w0t,TimeElapsed,EpThisIter,EpisodesSoFar
20.562378,4573,1,45.73,[-0.365 -0.68  -0.484 -0.253  0.   ],6.488183,8.127425,33.025337,-7.2581263,1.1128939,65.0978,100.0,93.704056,22.159824,-121.62483749719935,0.2547323,9.749731,0.9885837,-4.959106e-07,5.1901965,1.6957445,2.0974436,0.004405754,,10.750130653381348,100,100
20.40752,9443,2,48.7,[-0.431 -0.626 -0.457 -0.246 -0.111],45.900658,6.460925,348.20233,-9.111147,9.018401,253.54695,100.0,94.13634,47.022285,-120.25674152948238,1.3105197,8.495492,0.70730627,3.8146972e-08,4.5958652,1.2776797,2.5011938,4.578224e-05,,28.824016332626343,100,200
18.260128,14324,3,48.81,[-0.446 -0.602 -0.451 -0.298 -0.247],40.272614,5.670577,174.44727,-9.663407,5.492924,163.30724,100.0,94.32156,67.862335,-116.77952837342276,0.9738795,7.1477394,1.1702714,-2.193451e-07,4.059247,3.8740494,2.871475,0.0053548096,,45.732364892959595,100,300
14.949246,19666,4,53.42,[-0.52  -0.643 -0.445 -0.309 -0.238],2.811725,4.058197,6.555094,-9.133882,0.5192827,16.958603,100.0,94.65362,8.5239105,-116.09380195074183,0.16452031,4.6817064,1.0535157,2.3841858e-08,4.1284976,1.1849605,2.2449226,0.01560698,,63.36527132987976,100,400
13.102653,25531,5,58.65,[-0.572 -0.642 -0.445 -0.297 -0.289],1.3895851,2.5949478,1.7638139,-6.379889,0.38265508,8.230859,100.0,95.063614,3.626855,-115.43449033312149,0.13849315,2.9297037,1.0644414,-4.6253206e-07,3.9371257,0.5794799,1.783387,0.085134946,,82.36191701889038,100,500
11.598611,31814,6,62.83,[-0.588 -0.659 -0.45  -0.295 -0.332],1.1198543,1.4660368,1.2973601,-5.528067,0.34990853,4.0965357,100.0,95.31164,2.8259768,-115.8721957176178,0.13251254,1.5113001,1.003392,1.4305114e-08,4.1646748,0.3560934,1.8575679,0.28572837,,100.9174313545227,100,600
12.464418,38192,7,63.78,[-0.588 -0.661 -0.445 -0.29  -0.333],5.4587946,1.4773035,33.764168,-3.165021,1.4302629,19.680523,100.0,95.332436,34.775196,-116.96110292865751,0.37275887,2.0459337,1.4617757,2.5272368e-07,3.1975317,3.8840718,1.6334065,0.005383622,,116.77251482009888,100,700
10.432203,45226,8,70.34,[-0.591 -0.663 -0.451 -0.258 -0.332],1.3844379,0.15305614,1.9782423,-3.446169,0.41447034,4.729633,100.0,95.62393,4.3664265,-118.73751344144598,0.1663498,0.27629566,1.0411737,3.2424927e-07,3.8952208,0.5417794,1.7121156,0.29056084,,134.5319595336914,100,800
8.031466,53336,9,81.1,[-0.592 -0.666 -0.439 -0.256 -0.331],1.1844984,-2.1456037,1.6664972,-2.7371564,0.41446945,3.6555934,100.0,96.0394,2.733724,-120.05265891030598,0.1811857,-2.0489388,1.0460783,-6.67572e-08,4.5116115,0.39953968,1.623108,0.22437754,,153.47958850860596,100,900
7.440136,61892,10,85.56,[-0.596 -0.67  -0.445 -0.247 -0.326],1.0,-2.610242,1.0,-2.8937874,0.3766225,2.949989,100.0,96.15405,1.0000093,-121.74994768083798,0.17112,-2.610242,1.0000001,-1.835823e-07,3.86074,2.9325395e-06,1.7089452,0.9999921,,173.4877531528473,100,1000
