InitialReturnStd,ReturnStepMax,TimestepsSoFar,StdD2w0t,InitialReturnMax,ReturnStepMaxmin,Iteration,MinD2w0t,Weights,EpLenMean,EmpiricalD2,J_sample_variance,StdIW,InitialBound,EpThisIter,MinIW,EpisodesSoFar,Bound,InitialReturnMin,MeanIW,TimeElapsed,InitialReturnMean,MaxD2w0t,EpRewMean,MeanD2w0t,MaxIW,ReturnMeanIW
10.794411,100.0,3509,0.2566794,-46.38131,99.00009,1,,[-0.822 -0.493 -0.474 -0.749  0.   ],35.09,1.0098819,169.80482,0.09038703,-367.3157,100,0.7390202,100,-366.51257,-96.24779,0.9777055,7.089721918106079,-79.87676,1.0177956,-108.1894935537418,0.07051644,1.1835333,-78.22377
10.801523,100.0,7230,0.26366013,-53.13308,99.0,2,,[-0.823 -0.491 -0.478 -0.749 -0.004],37.21,1.008324,132.22176,0.07943051,-368.346,100,0.7921197,200,-367.3974,-94.888374,0.9756883,20.035189390182495,-79.035675,1.0212432,-108.89093350682082,0.074763075,1.289653,-77.22418
12.660039,100.0,10967,0.26336795,-16.97945,99.0,3,,[-0.821 -0.497 -0.477 -0.752  0.001],37.37,1.0027423,174.83371,0.049457286,-379.1485,100,0.7829384,300,-378.8485,-93.66875,0.9914936,31.56672239303589,-78.24743,1.0058669,-108.08936031618832,0.074850656,1.154549,-77.66578
11.354612,100.0,14738,0.26445952,-46.23092,99.000435,4,,[-8.208e-01 -4.960e-01 -4.772e-01 -7.490e-01  4.849e-05],37.71,1.0037407,138.22281,0.060137168,-380.27145,100,0.85157645,400,-379.91934,-95.954384,0.9920467,41.73727560043335,-78.10184,1.0066574,-108.24151025598938,0.075530924,1.1613204,-77.43798
11.611774,100.0,18379,0.26116592,-35.363056,99.00012,5,,[-0.823 -0.496 -0.476 -0.747  0.003],36.41,1.0128843,188.10847,0.098686956,-380.5922,100,0.7373127,500,-379.46692,-96.42551,0.97067153,53.67142105102539,-79.6911,1.0321717,-109.0107771379728,0.073187746,1.2564512,-77.55421
11.0405445,100.0,22025,0.26160407,-53.01082,99.000114,6,,[-0.818 -0.491 -0.474 -0.748  0.006],36.46,1.0106859,141.9372,0.08014225,-371.00827,100,0.78452075,600,-369.7222,-96.874825,0.96736485,64.7976884841919,-79.049866,1.0201561,-108.36797644935261,0.07336915,1.2550895,-76.61072
12.05982,100.0,25691,0.26156235,-35.34132,99.0,7,,[-0.813 -0.495 -0.472 -0.75   0.014],36.66,1.0102606,209.72607,0.08600291,-382.08536,100,0.7078733,700,-381.3297,-94.68429,0.9763422,76.94294285774231,-78.702644,1.017474,-107.9092855395661,0.07357454,1.1899334,-77.205345
12.205259,100.0,28954,0.24755658,-40.515644,99.0,8,,[-0.807 -0.492 -0.472 -0.752  0.016],32.63,1.0044131,175.62337,0.06271823,-380.2037,100,0.8284471,800,-379.66364,-95.57658,0.9861415,88.05413889884949,-81.315315,1.0106484,-107.67510167046116,0.06541318,1.1898028,-80.25862
12.639076,100.0,32676,0.2629117,-40.307617,99.00007,9,,[-0.809 -0.491 -0.472 -0.748  0.012],37.22,1.0033922,171.49886,0.051308926,-386.66614,100,0.8104619,900,-386.00827,-96.9494,0.9861878,99.99764370918274,-78.934044,1.010994,-108.53098117060361,0.07456254,1.1455377,-77.911285
11.768143,100.0,35949,0.24783872,-40.764282,99.0,10,,[-0.817 -0.493 -0.474 -0.748  0.012],32.73,1.0041837,138.77135,0.05882847,-374.49908,100,0.84049636,1000,-373.93622,-94.874054,0.9885458,111.26153588294983,-80.87489,1.0090677,-107.39252121700336,0.06559274,1.1740966,-79.876724
