J_sample_variance,MaxD2w0t,Weights,ReturnMeanIW,Iteration,MeanIW,EpisodesSoFar,EpThisIter,InitialReturnMean,InitialReturnMin,InitialBound,ReturnStepMax,StdIW,ReturnStepMaxmin,MeanD2w0t,EpRewMean,InitialReturnStd,StdD2w0t,TimestepsSoFar,Bound,EpLenMean,EmpiricalD2,MinIW,TimeElapsed,MinD2w0t,MaxIW,InitialReturnMax
89.44889,2.0535321,[-0.563 -1.093 -0.809 -1.04   0.   ],17.661856,1,1.0884379,100,100,-4.386902e-07,-22.61143,-16.5186,100.0,0.56099737,92.924065,0.08779487,-107.5568281044892,8.24457,0.3250547,3540,-16.041235,35.4,1.3017163,0.26004893,9.096417665481567,,3.8977687,10.384639
75.02454,1.4825816,[-0.535 -1.077 -0.807 -1.015  0.006],17.667582,2,1.035997,200,100,3.0517577e-07,-20.534842,-16.304636,100.0,0.3802602,93.01928,0.07891364,-106.24751329158586,8.025875,0.28649423,7093,-15.958403,35.53,1.1628543,0.28520283,23.68239665031433,,3.2198288,10.635991
76.16768,1.3953551,[-0.553 -1.077 -0.8   -1.022  0.036],19.50671,3,1.0128831,300,100,5.531311e-07,-17.978289,-14.521891,100.0,0.39862257,92.39011,0.074198015,-109.1954597401223,8.015328,0.28030282,10397,-14.118263,33.04,1.1669403,0.17681952,36.70602250099182,,2.503594,11.701609
96.63893,2.176476,[-0.556 -1.09  -0.788 -1.04   0.021],18.707695,4,0.9983544,400,100,9.536743e-07,-19.803108,-15.759897,100.0,0.55797327,92.85246,0.084503025,-106.72148792749546,8.408432,0.3148807,13869,-15.16581,34.72,1.4436072,0.21331465,49.686442613601685,,5.3462687,10.87144
68.97567,1.0501982,[-0.566 -1.044 -0.793 -1.022  0.031],17.053762,5,1.0080227,500,100,1.0681152e-06,-19.392971,-16.373657,100.0,0.13200311,92.966255,0.072319016,-107.52243924366938,8.05464,0.26105717,17433,-16.325098,35.64,1.0163664,0.64607656,60.78137278556824,,1.509085,10.809282
131.2408,2.5983214,[-0.567 -1.047 -0.801 -1.018  0.03 ],18.517237,6,1.1901156,600,100,-2.670288e-07,-20.362762,-16.52235,100.0,1.5268866,93.038925,0.09523916,-107.92526198425209,7.948585,0.348935,21054,-15.69866,36.21,1.7052096,0.13651796,70.22641181945801,,12.258282,11.406741
65.66483,1.2663851,[-0.604 -1.057 -0.797 -1.015  0.083],19.353659,7,1.0392779,700,100,-1.7642975e-07,-19.44641,-14.344227,100.0,0.350016,92.50927,0.071663,-108.84961316926105,7.47675,0.2678345,24408,-14.12063,33.54,1.0898257,0.501326,82.6169548034668,,3.0616522,10.749544
62.10649,2.4981413,[-0.618 -1.063 -0.79  -1.028  0.078],16.815563,8,0.8914678,800,100,1.001358e-07,-16.205065,-17.981754,100.0,0.61893004,93.42947,0.096643835,-107.26069451029856,7.9055448,0.34202677,28259,-17.04121,38.51,1.6832935,0.16322803,95.926278591156,,4.855941,10.123351
79.32259,3.0248373,[-0.665 -1.102 -0.799 -1.035  0.086],19.183176,9,0.8270067,900,100,9.3460085e-07,-16.07048,-16.172533,100.0,0.53573614,93.06446,0.0987938,-107.76107668257796,7.3551135,0.36727393,31890,-14.889879,36.31,1.7767643,0.056889437,108.73071527481079,,4.4010963,9.951964
65.41073,1.8517574,[-0.695 -1.145 -0.8   -1.052  0.117],17.712864,10,1.0562565,1000,100,1.4305115e-07,-17.467842,-16.35415,100.0,0.63393867,93.20233,0.090198815,-107.02510906987158,6.884686,0.3246646,35582,-16.026684,36.92,1.2929823,0.16817202,122.34578061103821,,4.670308,10.589481
