EpLenMean,Weights,Bound,ESSClassic,InitialReturnMax,EpRewMean,MeanIWNorm,TimestepsSoFar,MeanIW,ReturnMeanIW,Iteration,InitialReturnMean,InitialBound,EpisodesSoFar,StdIW,MinIWNorm,EpThisIter,J_sample_variance,TimeElapsed,MaxIWNorm,MinIW,InitialReturnMin,MaxIW,EmpiricalD2,StdIWNorm,InitialReturnStd,ESSRenyi
9.83,[-0.365 -0.68  -0.484 -0.253  0.   ],650.9843,1.6304212,211.63101,88.24487502285973,0.037867166,983,3.7867172,650.9843,1,1.6784668e-06,2.2649765e-06,100,29.413279,2.3500785e-05,100,35568732.0,0.8235437870025635,2.956987,0.0023500784,-78.26539,295.6987,64.17542,0.29413277,64.58092,1.558229
22.72,[-0.559  0.115 -1.077 -1.214 -0.181],250.60518,3.6398995,542.6106,217.07501212395593,0.009301349,3255,0.9301349,250.60518,2,-3.112793e-05,-3.0755997e-05,200,4.785749,1.9469478e-07,100,6856740.0,3.464660167694092,0.48185164,1.9469479e-05,-217.07504,48.185165,159851400000.0,0.047857486,158.69849,6.2558103e-10
40.31,[-0.38   0.601 -1.484 -1.515 -0.243],22207.557,1.0207964,1276.1068,392.9144983746665,0.3049838,7286,30.49838,22207.557,3,4.1046143e-05,3.8802624e-05,300,300.3165,4.1133978e-17,100,49453720000.0,5.877390623092651,30.1858,4.113398e-15,-382.93378,3018.58,193837430000.0,3.003165,329.0013,5.158962e-10
53.04,[-0.77   0.547 -1.676 -1.616 -0.379],272.67426,5.4829826,959.16785,520.1827113883214,0.01280888,12590,1.2808881,272.67426,4,-2.8381348e-05,-2.6226044e-05,400,5.318115,2.2464535e-06,100,3188089.0,9.43895673751831,0.4709739,0.00022464535,-510.20325,47.097393,90.94451,0.053181145,259.32877,1.0995716
70.46,[-0.684  0.655 -1.767 -1.748 -0.496],161.99849,13.643248,605.17737,694.3328928481645,0.010672656,19636,1.0672655,161.99849,5,1.4648437e-05,1.335144e-05,500,2.6851082,2.0238145e-05,100,1319986.6,12.358827352523804,0.20416771,0.0020238145,-694.3329,20.41677,26.045723,0.026851078,266.46112,3.839402
85.61,[-0.673  0.775 -1.879 -1.826 -0.594],170.33923,5.9249644,1643.5879,845.8093507054473,0.009807231,28197,0.98072326,170.33923,6,1.953125e-05,2.002716e-05,600,3.9078763,9.758358e-06,100,4934456.0,15.557193517684937,0.33479854,0.00097583584,-845.8093,33.479855,66.19787,0.039078765,378.72705,1.5106226
95.17,[-0.695  0.862 -1.939 -1.837 -0.726],396.37292,2.093099,1108.0656,941.4390216244117,0.014118066,37714,1.4118063,396.37292,7,-7.263184e-05,-8.201599e-05,700,9.65577,6.203003e-07,100,16370445.0,18.682582139968872,0.96446437,6.203003e-05,-941.4391,96.44644,1639.564,0.09655768,294.5331,0.060991827
108.22,[-0.609  0.932 -1.958 -1.737 -0.741],237.66135,4.9458323,1607.5132,1071.8805859363101,0.009233159,48536,0.92331606,237.66135,8,-3.90625e-05,-3.2424927e-05,800,4.047774,3.5443877e-06,100,8459905.0,22.34343934059143,0.3850316,0.0003544388,-1071.8806,38.503162,122.13294,0.040477738,436.7722,0.8187799
132.13,[-0.525  0.964 -1.985 -1.805 -0.735],7278.2637,1.1625916,2318.3198,1310.9417052788722,0.03416767,61749,3.4167674,7278.2637,9,-6.225586e-05,-6.2942505e-05,900,31.503765,2.178383e-07,100,5393367000.0,26.531530380249023,3.1674669,2.1783831e-05,-1310.9418,316.7467,2151.865,0.3150376,587.76685,0.046471316
150.0,[-0.441  0.979 -2.07  -1.99  -0.747],237.99097,9.751171,1969.3208,1489.6416300007313,0.012333925,76749,1.2333926,237.99097,10,3.173828e-05,2.861023e-05,1000,3.752267,5.11241e-06,100,3668424.5,32.21788311004639,0.32775912,0.00051124097,-1479.6608,32.775913,35.55874,0.037522666,517.8353,2.8122482
