Iteration,InitialBound,EpThisIter,ESSRenyi,ESSClassic,InitialReturnStd,StdIW,EpLenMean,EpisodesSoFar,MinIWNorm,Bound,EmpiricalD2,StdIWNorm,InitialReturnMin,MaxIW,MeanIW,Weights,ReturnMeanIW,EpRewMean,J_sample_variance,InitialReturnMean,MaxIWNorm,MeanIWNorm,InitialReturnMax,MinIW,TimeElapsed,TimestepsSoFar
1,-0.85430795,100,0.18040077,1.1566378,8.854463,97.53347,45.73,100,6.3446484e-09,81.61755,554.32135,0.97533476,-16.882248,980.6822,10.550634,[-0.365 -0.68  -0.484 -0.253  0.   ],101.73144,-121.62483749719935,1017736.3,1.2969971e-06,9.806822,0.10550633,25.629276,6.3446487e-07,9.236157894134521,4573
2,-0.97544426,100,2.5119941,3.1084976,10.061759,12.397144,48.75,200,8.359472e-07,15.141289,39.80901,0.123971455,-18.474213,122.81492,2.220517,[-0.354 -0.698 -0.428 -0.329 -0.211],21.295832,-117.37468886276847,20470.11,5.989075e-06,1.2281492,0.022205168,29.263508,8.359472e-05,24.585346221923828,9448
3,-1.2353437,100,0.6254483,1.6525841,10.460479,25.586039,55.43,300,2.9409405e-06,27.905178,159.88531,0.25586036,-17.163452,257.2847,3.3166788,[-0.325 -0.781 -0.394 -0.38  -0.272],43.525555,-117.67876989891441,177526.2,-1.9073486e-06,2.572847,0.03316679,37.060257,0.00029409406,39.462440729141235,14991
4,-1.324749,100,30.647676,34.160572,11.369873,1.5422271,58.25,400,0.0002925483,1.0264938,3.26289,0.0154222725,-21.432327,10.989248,1.1108818,[-0.3   -0.765 -0.346 -0.436 -0.314],3.4194417,-116.98243838262766,772.45215,-4.7302246e-06,0.10989248,0.011108818,39.742325,0.02925483,55.22275233268738,20816
5,-1.3955774,100,24.894648,25.994913,11.509721,1.5003319,60.54,500,0.00013520841,1.4541068,4.0169277,0.015003318,-21.129196,13.217652,0.88920265,[-0.327 -0.772 -0.331 -0.454 -0.324],4.2511506,-115.81405379717059,2103.5156,-5.302429e-06,0.13217652,0.008892027,41.86716,0.013520841,71.98929047584534,26870
6,-0.96414626,100,7.495919,3.163872,13.063653,10.032283,66.87,600,1.1662692e-05,6.5544786,13.340592,0.10032282,-22.317013,99.53318,1.813387,[-0.343 -0.759 -0.317 -0.478 -0.335],10.076012,-110.90250862067951,2277.3425,2.4414062e-06,0.99533176,0.018133868,28.924473,0.0011662692,88.93220329284668,33557
7,-0.9557092,100,0.020437341,1.0407523,12.910809,254.3846,72.58,700,1.0213836e-05,255.59695,4893.0044,2.543846,-25.451424,2557.1685,26.08773,[-0.372 -0.73  -0.281 -0.473 -0.332],322.44885,-112.53424527266165,10428537.0,3.4332277e-07,25.571684,0.26087728,28.671284,0.0010213836,108.03132557868958,40815
8,-1.0932715,100,20.106255,24.15812,14.896812,1.8597424,85.62,800,0.0005420362,2.937526,4.9735765,0.018597424,-31.972084,16.371714,1.0496144,[-0.387 -0.718 -0.245 -0.506 -0.273],5.3756766,-109.27795621722714,1074.5427,-4.8446655e-06,0.16371714,0.010496144,32.798,0.05420362,131.06585931777954,49377
9,-1.3129107,100,9.965106,2.757462,16.822542,9.358691,102.37,900,0.00022342138,19.00923,10.035016,0.09358692,-33.24891,94.39015,1.5759478,[-0.381 -0.732 -0.228 -0.495 -0.251],23.168268,-107.89570867890163,47930.242,-3.3950805e-06,0.9439015,0.015759476,39.387207,0.022342138,155.74988794326782,59614
10,-1.6745532,100,4.6169205,1.9925255,15.9526,13.786053,138.53,1000,0.00016729416,26.955074,21.659458,0.13786054,-40.7127,138.97675,1.9656777,[-0.37  -0.765 -0.201 -0.517 -0.254],34.748413,-108.81463453194908,123879.62,2.670288e-06,1.3897674,0.019656776,50.23668,0.016729416,188.32703709602356,73467
