EmpiricalD2,EpThisIter,EpRewMean,InitialReturnMax,TimeElapsed,Iteration,Bound,Weights,InitialReturnMean,InitialBound,InitialReturnStd,TimestepsSoFar,EpisodesSoFar,ReturnMeanIW,InitialReturnMin,EpLenMean,J_sample_variance
1.0285889,100,-140.63526784482684,6.7091827,2.5122151374816895,1,-94.84856,[ 0.579 -0.554  0.227  0.402  0.   ],-1.1291504e-05,-95.21726,1.6523935,4424,100,0.7816151,-2.0475311,44.24,21.201952
1.0077516,100,-144.27769840429795,5.981453,8.113982200622559,2,-97.3843,[ 0.588 -0.546  0.228  0.399  0.001],1.8310546e-06,-97.528725,1.7460887,9213,200,0.29249346,-2.0102234,47.89,6.4317856
1.0071553,100,-137.9949284853078,6.3782425,13.403913259506226,3,-96.174576,[ 0.579 -0.543  0.225  0.398  0.005],8.010864e-06,-96.32292,1.7252934,13390,300,0.25890383,-2.302246,41.77,5.013441
1.0064405,100,-138.24354503266417,7.617897,18.593465566635132,4,-96.837296,[ 0.585 -0.542  0.227  0.402  0.004],-9.918213e-07,-96.989,1.6717961,17566,400,0.26761395,-1.959816,41.76,6.1195893
1.0038276,100,-133.51444491556768,7.906891,23.33743405342102,5,-95.55981,[ 0.588 -0.538  0.227  0.399  0.003],-1.8310546e-06,-95.76565,1.624165,21282,500,0.38237286,-1.9451523,37.16,9.483696
1.0082158,100,-138.48581393403987,5.3575897,28.676923036575317,6,-97.02029,[ 0.582 -0.536  0.227  0.395  0.007],5.340576e-07,-97.16302,1.5724612,25509,600,0.28034467,-2.1386642,42.27,9.212745
1.0022364,100,-141.969362660583,7.80027,34.172462463378906,7,-96.774315,[ 0.575 -0.537  0.226  0.392  0.01 ],2.822876e-06,-96.86666,1.8084756,30116,700,0.16463451,-2.1599197,46.07,4.272627
1.0074066,100,-138.08260067442893,5.6444473,38.858723402023315,8,-97.13999,[ 0.575 -0.536  0.227  0.392  0.013],7.095337e-06,-97.27287,1.8028089,34299,800,0.25823087,-2.3066483,41.83,7.1004343
1.0046382,100,-136.43470494865295,4.705002,43.05225491523743,9,-93.357025,[ 0.581 -0.532  0.226  0.393  0.014],-3.967285e-06,-93.49491,1.5712953,38324,900,0.27124462,-2.0794754,40.25,4.1493545
1.0008332,100,-137.59410927540745,4.1290665,46.94816446304321,10,-98.20918,[ 0.583 -0.53   0.227  0.392  0.02 ],-3.0517579e-06,-98.256996,1.424572,42450,1000,0.09096916,-1.8776016,41.26,2.4100122
1.0068588,100,-142.95283256814534,5.4691544,50.847729206085205,11,-98.291145,[ 0.583 -0.53   0.228  0.391  0.021],-2.8991699e-06,-98.41541,1.8953342,47149,1100,0.23658746,-2.1733932,46.99,6.876406
1.0050982,100,-138.9644267151083,6.7051773,55.76603579521179,12,-98.23441,[ 0.58  -0.532  0.226  0.389  0.019],2.3651123e-06,-98.35391,1.815144,51421,1200,0.23408674,-2.0288544,42.72,4.6953278
1.0064784,100,-132.7812592311524,4.293396,59.67119336128235,13,-91.53834,[ 0.579 -0.535  0.224  0.388  0.018],-8.010864e-06,-91.65021,1.5529959,55076,1300,0.21285139,-2.0514832,36.55,3.814548
1.0042481,100,-135.42242279264445,5.334038,64.92924118041992,14,-95.191,[ 0.585 -0.534  0.225  0.39   0.016],9.841919e-06,-95.31371,1.6817997,58994,1400,0.24192135,-2.1393204,39.18,5.7780824
1.0366943,100,-143.01714507056064,6.8890686,69.2802460193634,15,-98.74871,[ 0.589 -0.531  0.224  0.387  0.016],-2.2888185e-06,-99.17679,1.9349891,63696,1500,0.9052798,-2.1332474,47.02,42.30361
1.0023408,100,-142.01448366098856,5.2448883,74.50071215629578,16,-97.2889,[ 0.584 -0.542  0.223  0.388  0.017],-9.765625e-06,-97.37843,1.7537404,68304,1600,0.1618673,-2.304161,46.08,3.6693854
1.0008225,100,-138.22344289927793,7.574257,79.42400598526001,17,-97.00672,[ 0.585 -0.541  0.224  0.391  0.015],1.2207031e-06,-97.10606,1.9078845,72500,1700,0.13785373,-2.0626068,41.96,4.5221887
1.0141063,100,-138.39028017025043,6.504303,84.6160717010498,18,-97.6133,[ 0.59  -0.546  0.225  0.393  0.016],1.197815e-05,-97.8448,1.5876582,76703,1800,0.43879148,-1.9262161,42.03,9.214665
1.0027504,100,-137.75696794278892,5.393402,89.90073108673096,19,-96.55862,[ 0.594 -0.54   0.226  0.391  0.015],4.5013426e-06,-96.60619,1.833649,80875,1900,0.08982406,-2.3415527,41.72,6.022874
1.004387,100,-134.86969293141468,5.279892,94.74372291564941,20,-97.435776,[ 0.592 -0.542  0.225  0.39   0.014],-9.918213e-07,-97.52875,1.5081754,84718,2000,0.16631892,-1.898941,38.43,4.546755
1.0063227,100,-132.81860870659085,3.8582,99.15190076828003,21,-91.879555,[ 0.596 -0.539  0.225  0.39   0.013],3.4332274e-06,-91.99235,1.4304601,88368,2100,0.22015029,-2.1296997,36.5,4.76153
1.0011634,100,-138.53973497451088,5.7258224,104.45747661590576,22,-98.32959,[ 0.588 -0.538  0.224  0.387  0.011],3.967285e-06,-98.38503,1.5625931,92579,2200,0.08417007,-1.9064789,42.11,3.2597618
1.0032374,100,-137.98475095095657,5.680794,110.13208270072937,23,-98.51233,[ 0.592 -0.539  0.224  0.386  0.011],-7.6293945e-06,-98.63685,1.7946796,96759,2300,0.22002816,-1.8808289,41.8,4.429239
1.0046331,100,-138.90772785177998,5.80571,114.61854958534241,24,-97.90314,[ 0.596 -0.536  0.224  0.383  0.01 ],-3.8146973e-06,-98.04404,1.7236499,101031,2400,0.26001957,-1.9068832,42.72,5.8540854
1.0015337,100,-136.57892905568352,4.7233963,119.87521862983704,25,-92.256714,[ 0.588 -0.534  0.222  0.386  0.008],1.0681152e-06,-92.31981,1.6071243,105060,2500,0.1130076,-2.015892,40.29,3.3437636
1.0173284,100,-139.54072162813338,4.5673904,123.56275224685669,26,-97.82277,[ 0.588 -0.535  0.221  0.384  0.007],2.3651123e-06,-98.1179,1.7017764,109381,2600,0.5180397,-1.8406372,43.21,9.848866
1.0008118,100,-139.34533214494863,4.6861725,129.40450859069824,27,-98.095795,[ 0.598 -0.532  0.222  0.384  0.005],-6.6375733e-06,-98.11804,1.876999,113715,2700,0.033383705,-2.2013016,43.34,3.9489696
1.0010061,100,-136.8789945907051,4.03244,132.5626564025879,28,-96.84283,[ 0.599 -0.531  0.222  0.385  0.005],-1.6021728e-06,-96.86673,1.4429119,117749,2800,0.042894207,-1.8667297,40.34,2.4526906
1.0044938,100,-140.73854846253377,4.6271973,136.08552837371826,29,-95.4047,[ 0.598 -0.532  0.221  0.385  0.005],2.4414062e-06,-95.500275,1.3141339,122174,2900,0.1695349,-1.7178497,44.25,3.0845675
1.0034306,100,-139.37153141180556,4.4084396,140.23968935012817,30,-95.270515,[ 0.597 -0.535  0.22   0.385  0.004],-1.0070801e-05,-95.40802,1.6868542,126518,3000,0.25445697,-2.2894974,43.44,4.4478264
1.0045383,100,-139.80317348449526,5.5729294,144.87121534347534,31,-97.29108,[ 0.593 -0.529  0.221  0.384  0.003],-2.9754638e-06,-97.378525,1.5755402,130883,3100,0.17355607,-2.116333,43.65,4.860934
1.0084175,100,-138.65835502806942,6.492798,149.18792247772217,32,-98.56783,[ 5.907e-01 -5.327e-01  2.208e-01  3.820e-01  4.225e-04],-4.5013426e-06,-98.75776,1.9070337,135153,3200,0.34618273,-2.3255463,42.7,6.6143436
1.0021548,100,-140.25439916528063,5.9657974,153.58826875686646,33,-97.35952,[ 0.596 -0.53   0.222  0.381 -0.003],-1.9836425e-06,-97.42971,1.697126,139566,3300,0.13071966,-2.037735,44.13,3.6174946
1.0078573,100,-137.6920044084997,5.7725525,157.64871978759766,34,-91.104515,[ 0.597 -0.529  0.223  0.381 -0.007],2.3651123e-06,-91.29245,1.6571151,143693,3400,0.34939188,-1.850853,41.27,7.5182166
1.0041738,100,-134.3620200347953,4.5631485,161.94800782203674,35,-94.289215,[ 0.601 -0.526  0.224  0.38  -0.001],2.1362305e-06,-94.36806,1.3865933,147489,3500,0.14144795,-1.786293,37.96,3.3317895
1.0042707,100,-143.71734383663878,6.690239,167.09837436676025,36,-99.01341,[ 0.606 -0.525  0.224  0.381 -0.002],-5.0354006e-06,-99.19088,1.7700708,152247,3600,0.3370202,-2.083397,47.58,10.047469
1.002574,100,-138.3005086019628,6.0194855,172.1994321346283,37,-95.70887,[ 0.602 -0.527  0.225  0.385 -0.003],9.155273e-07,-95.76564,1.6992053,156452,3700,0.10099149,-2.108574,42.05,3.883128
1.0123636,100,-140.15087727678028,5.392227,176.09389901161194,38,-97.32498,[ 0.604 -0.525  0.226  0.386 -0.005],-9.155273e-07,-97.576775,1.5730513,160838,3800,0.48332462,-1.9735565,43.86,9.846204
1.0081223,100,-137.3186898645749,6.410324,181.03891730308533,39,-93.358986,[ 0.601 -0.531  0.225  0.387 -0.001],9.07898e-06,-93.49489,1.6312994,164933,3900,0.24255489,-2.104416,40.95,5.026447
1.0001874,100,-138.79183366842318,5.0828094,185.27963757514954,40,-98.52099,[ 5.979e-01 -5.347e-01  2.234e-01  3.860e-01  1.189e-04],6.866455e-06,-98.53072,1.5773014,169175,4000,0.015872896,-1.9339142,42.42,2.7236962
1.0096036,100,-142.94934487318224,5.832039,189.42966413497925,41,-96.996346,[ 5.987e-01 -5.348e-01  2.238e-01  3.852e-01  1.831e-04],-4.5776366e-07,-97.162994,1.9122263,173876,4100,0.330169,-2.2352219,47.01,8.848451
1.009909,100,-136.67590300549213,4.7628174,194.28766441345215,42,-95.23659,[ 0.602 -0.531  0.226  0.386  0.003],5.340576e-07,-95.500206,1.6559149,177949,4200,0.47254992,-2.3193665,40.73,5.1229835
1.001263,100,-132.50293841630477,3.8272095,198.35206270217896,43,-93.32149,[ 0.607 -0.528  0.227  0.381  0.001],5.9509275e-06,-93.358955,1.4274799,181568,4300,0.061224114,-2.0821457,36.19,2.28376
1.0038245,100,-139.03224535339518,7.611,202.77046942710876,44,-97.03901,[ 0.607 -0.529  0.226  0.379  0.001],-2.2888185e-06,-97.10624,1.8382885,185863,4400,0.11982361,-2.1577225,42.95,4.601004
1.0005505,100,-141.14751975904116,9.003014,206.78070425987244,45,-97.84108,[ 0.61  -0.527  0.227  0.38   0.001],3.5095215e-06,-97.8862,1.9035473,190371,4500,0.07422929,-2.1307602,45.08,4.1595287
1.014583,100,-142.45036424066132,5.2540054,210.6657156944275,46,-97.678116,[ 0.61  -0.527  0.227  0.378  0.002],6.790161e-06,-97.966866,1.7979119,195017,4600,0.56709373,-2.332283,46.46,8.045323
1.0007836,100,-138.53611313362072,6.177788,215.3396918773651,47,-96.27061,[ 0.608 -0.533  0.225  0.378 -0.002],-1.5258789e-07,-96.322876,1.78349,199252,4700,0.08094469,-2.0464249,42.35,3.2613833
1.0285983,100,-137.44946632220046,6.8390045,219.75879549980164,48,-96.45204,[ 6.026e-01 -5.287e-01  2.235e-01  3.771e-01 -2.961e-04],-9.07898e-06,-96.92853,1.7566063,203368,4800,0.88581264,-1.7857895,41.16,17.042486
1.0084983,100,-137.73373270042373,6.6587906,224.85591435432434,49,-96.629036,[ 0.609 -0.521  0.226  0.379 -0.004],-2.2125244e-06,-96.80359,1.9809331,207581,4900,0.35691032,-2.547081,42.13,7.5512676
