EpLenMean,EpRewMean,InitialReturnMin,TimestepsSoFar,Bound,InitialBound,InitialReturnStd,J_sample_variance,InitialReturnMax,Iteration,EpThisIter,EpisodesSoFar,TimeElapsed,InitialReturnMean,Weights,EmpiricalD2,ReturnMeanIW
44.24,-140.63526784482684,-99.76678,4424,-412.27304,-413.51947,1.6523936,88.16411,-91.01006,1,100,100,2.6786794662475586,-97.71926,[ 0.579 -0.554  0.227  0.402  0.   ],1.0167501,-95.26486
45.8,-142.19517499190954,-99.84786,9004,-420.63715,-421.03003,1.8469352,28.252073,-91.560936,2,100,200,7.070503234863281,-97.72623,[ 0.573 -0.56   0.228  0.408 -0.005],1.0036814,-96.95698
43.61,-139.9141030943253,-99.55948,13365,-420.04132,-420.73853,1.5564514,31.549894,-91.47504,3,100,300,12.110524654388428,-97.60079,[ 0.578 -0.569  0.229  0.407 -0.007],1.0040808,-96.22829
39.23,-135.47246337562316,-99.615974,17288,-417.4242,-417.953,1.7218668,20.322514,-91.02321,4,100,400,16.82327151298523,-97.54626,[ 0.576 -0.567  0.228  0.4   -0.009],1.0028429,-96.54643
44.52,-140.47078332867338,-99.65347,21740,-416.85483,-417.96628,1.9790168,89.22962,-91.189026,5,100,500,21.444868326187134,-97.33671,[ 0.577 -0.569  0.229  0.4   -0.003],1.0105453,-95.26489
48.56,-144.6243033791832,-99.623116,26596,-415.4713,-417.86356,1.8682494,204.48862,-90.45245,6,100,600,27.180409908294678,-97.45682,[ 0.583 -0.566  0.229  0.404 -0.008],1.0423236,-93.02904
41.78,-137.78667737438852,-99.609406,30774,-413.38754,-413.78278,1.8531568,22.592451,-91.37425,7,100,700,32.19473433494568,-97.35048,[ 0.578 -0.576  0.226  0.399 -0.012],1.0024683,-96.592964
43.84,-139.93834478229172,-99.5257,35158,-417.3327,-417.8482,1.623796,59.36978,-92.71401,8,100,800,36.803398847579956,-97.44147,[ 0.578 -0.576  0.227  0.4   -0.017],1.0109268,-96.46541
42.53,-138.75902415438463,-99.640015,39411,-416.8546,-417.0393,1.8099904,16.246006,-91.209435,9,100,900,41.47080755233765,-97.57231,[ 0.572 -0.58   0.225  0.399 -0.016],1.0018451,-97.21594
45.89,-142.0243530407137,-99.62004,44000,-415.74762,-416.2313,1.6116408,23.549593,-92.83922,10,100,1000,46.764678955078125,-97.523094,[ 0.579 -0.585  0.228  0.401 -0.018],1.003155,-96.68848
46.28,-142.51067305607333,-99.76413,48628,-415.39722,-415.7821,1.9032921,29.241482,-90.051895,11,100,1100,51.96988916397095,-97.60718,[ 0.575 -0.582  0.226  0.396 -0.016],1.0033238,-96.881935
45.17,-141.49915328530625,-99.539345,53145,-417.94275,-419.7322,1.7079415,177.90793,-92.14668,12,100,1200,56.938894271850586,-97.66752,[ 0.575 -0.578  0.225  0.399 -0.014],1.0351644,-94.114334
48.96,-144.6235822395127,-99.744965,58041,-424.23294,-424.6397,1.9867482,27.65177,-91.419044,13,100,1300,62.43287944793701,-97.097664,[ 0.581 -0.57   0.228  0.403 -0.016],1.0029448,-96.35406
41.63,-137.84782587597346,-99.59614,62204,-418.82593,-418.99265,1.9378489,16.299587,-90.14843,14,100,1400,67.15039539337158,-97.51727,[ 0.578 -0.569  0.227  0.398 -0.015],1.002502,-97.16685
47.24,-143.2830024304974,-99.87205,66928,-418.4776,-418.50272,1.9107592,4.188474,-91.56244,15,100,1500,72.1704478263855,-97.44137,[ 0.576 -0.57   0.225  0.396 -0.012],1.0001206,-97.3973
42.35,-138.49903794374518,-99.56702,71163,-426.2372,-426.67178,1.7865067,21.79499,-91.22739,16,100,1600,76.05941319465637,-97.47339,[ 0.576 -0.57   0.226  0.396 -0.011],1.0032647,-96.72764
46.83,-142.82081355666193,-99.565384,75846,-421.55524,-422.13144,1.7536365,17.968357,-91.75548,17,100,1700,80.91612696647644,-97.34434,[ 0.566 -0.564  0.223  0.395 -0.01 ],1.0027565,-96.36502
41.05,-137.18338736883524,-99.59327,79951,-408.7648,-408.84476,1.8117825,5.6964912,-90.074615,18,100,1800,85.78740191459656,-97.46252,[ 0.564 -0.559  0.222  0.39  -0.011],1.0003173,-97.31595
48.18,-144.30032915187724,-99.55179,84769,-422.05566,-422.80862,1.914814,35.43841,-91.88509,19,100,1900,90.44465279579163,-97.50962,[ 0.565 -0.56   0.222  0.391 -0.011],1.0099148,-96.04876
39.79,-136.3940860154155,-99.70481,88748,-413.58096,-414.00327,1.6411656,27.011053,-89.90628,20,100,2000,95.20730066299438,-97.88364,[ 0.57  -0.557  0.223  0.387 -0.007],1.0039623,-97.06196
44.51,-140.5579076656768,-99.62276,93199,-425.73755,-426.10437,1.810878,28.104088,-91.735344,21,100,2100,100.22594571113586,-97.42027,[ 0.573 -0.558  0.226  0.388 -0.006],1.0057504,-96.72975
43.88,-139.965273464475,-99.50984,97587,-420.26154,-420.38953,2.0190594,10.613099,-91.89049,22,100,2200,105.65643358230591,-97.42141,[ 0.581 -0.56   0.229  0.39  -0.005],1.0015987,-97.155174
42.49,-138.57273475691167,-99.650375,101836,-416.65295,-417.15234,1.8199067,25.36142,-91.22769,23,100,2300,111.11986017227173,-97.44294,[ 0.584 -0.562  0.23   0.389 -0.003],1.0037876,-96.58597
43.55,-139.937150789914,-99.63501,106191,-422.47293,-423.34943,1.7492437,67.49738,-91.69758,24,100,2400,116.41162419319153,-97.69356,[ 0.585 -0.568  0.231  0.392 -0.001],1.0100906,-96.06637
46.6,-142.79518995830665,-99.67067,110851,-423.01367,-423.24762,1.717601,14.498695,-92.75255,25,100,2500,121.57082390785217,-97.59173,[ 0.596 -0.573  0.235  0.396  0.002],1.0012625,-97.14754
44.09,-140.09068260872024,-99.67351,115260,-412.6327,-413.50714,1.9787655,74.55672,-89.196945,26,100,2600,126.40369844436646,-97.38751,[ 0.596 -0.57   0.234  0.398  0.001],1.0116044,-95.69572
45.71,-141.62861386245982,-99.663124,119831,-425.4756,-425.79126,1.8793628,28.837557,-90.99339,27,100,2700,130.80636715888977,-97.32536,[ 0.601 -0.565  0.233  0.401  0.004],1.0049001,-96.682625
40.65,-136.71014738691736,-99.67497,123896,-425.55826,-426.05048,1.9119875,32.469437,-92.113815,28,100,2800,134.68442821502686,-97.41922,[ 0.599 -0.568  0.233  0.4    0.001],1.005542,-96.4454
42.28,-138.5078282708924,-99.62737,128124,-404.49503,-405.78473,1.6888729,105.631454,-91.42464,29,100,2900,138.54200100898743,-97.56086,[ 0.602 -0.565  0.233  0.399  0.005],1.0212876,-95.23286
40.61,-136.5173463731233,-99.56593,132185,-418.91434,-419.33154,1.6803803,48.26606,-93.36009,30,100,3000,143.15446305274963,-97.266846,[ 0.612 -0.562  0.235  0.397  0.009],1.008587,-96.394615
43.34,-139.48352106064468,-99.69683,136519,-418.5001,-418.77023,1.8972625,28.42278,-91.73607,31,100,3100,148.08957886695862,-97.49971,[ 0.61  -0.568  0.235  0.399  0.01 ],1.0039352,-96.95234
44.1,-140.3615506677574,-99.708176,140929,-423.55838,-423.92438,1.7077011,23.413973,-90.88745,32,100,3200,152.99994015693665,-97.6182,[ 0.605 -0.566  0.232  0.396  0.011],1.0038105,-96.878456
41.89,-138.2574772984619,-99.75207,145118,-417.1795,-417.3961,1.5971509,23.636354,-92.07189,33,100,3300,157.95622396469116,-97.68667,[ 0.604 -0.56   0.231  0.391  0.011],1.0025644,-97.263115
40.88,-137.10308056917464,-99.6808,149206,-413.5149,-413.6848,1.7631643,8.962368,-91.64475,34,100,3400,163.10415029525757,-97.565186,[ 0.598 -0.556  0.228  0.388  0.011],1.0006084,-97.31133
41.64,-137.66787064068924,-99.684074,153370,-417.69513,-418.21063,1.8018643,34.237335,-91.15206,35,100,3500,168.13304328918457,-97.36293,[ 0.594 -0.552  0.227  0.387  0.012],1.0055376,-96.39796
39.43,-135.71259236751547,-99.65084,157313,-418.2056,-419.45673,1.6271167,104.96828,-91.73297,36,100,3600,172.70417714118958,-97.584366,[ 0.584 -0.548  0.225  0.389  0.013],1.0192113,-95.12676
39.87,-136.15852793203155,-99.68718,161300,-417.96683,-418.64944,1.7164295,46.95249,-91.133026,37,100,3700,177.48803973197937,-97.58811,[ 0.587 -0.541  0.226  0.394  0.018],1.0080112,-96.27073
37.43,-133.63139935551692,-99.61435,165043,-414.5129,-415.67743,1.4970839,96.903175,-91.396194,38,100,3800,181.45177340507507,-97.5025,[ 0.591 -0.537  0.226  0.392  0.014],1.0164908,-95.41287
43.31,-139.76017850319454,-99.56507,169374,-417.71088,-418.3886,1.616028,21.175375,-92.7278,39,100,3900,185.94620203971863,-97.75903,[ 0.582 -0.538  0.223  0.387  0.012],1.003233,-96.54701
42.42,-138.61191777383786,-99.64407,173616,-407.5232,-408.06738,1.6264589,39.320755,-92.357994,40,100,4000,190.78913760185242,-97.539085,[ 0.586 -0.543  0.225  0.382  0.009],1.0044279,-96.508415
41.14,-137.34503638837108,-99.60742,177730,-418.9508,-419.59277,1.8565327,68.08123,-91.50998,41,100,4100,194.8409116268158,-97.52808,[ 0.584 -0.545  0.225  0.384  0.004],1.0116254,-96.32216
45.78,-141.6636089945518,-99.52222,182308,-421.24246,-421.62842,1.6591295,12.408145,-92.714554,42,100,4200,200.0059094429016,-97.25426,[ 0.582 -0.552  0.225  0.384  0.003],1.002496,-96.546974
41.11,-137.30624091441342,-99.599785,186419,-423.24805,-423.62027,1.6349082,23.113634,-92.51682,43,100,4300,204.69294023513794,-97.52193,[ 0.577 -0.549  0.223  0.385  0.007],1.0029826,-96.834335
44.59,-140.8513050038791,-99.7334,190878,-419.49023,-420.73428,1.7757735,99.93945,-92.47162,44,100,4400,209.53065419197083,-97.596565,[ 0.575 -0.549  0.222  0.381  0.01 ],1.0187767,-95.30031
39.83,-136.019171512274,-99.59066,194861,-412.37735,-412.67725,1.8259369,33.791573,-90.65883,45,100,4500,214.23786973953247,-97.53675,[ 0.582 -0.546  0.225  0.377  0.011],1.0044267,-97.00077
41.66,-138.434018540753,-99.712204,199027,-416.49286,-420.68243,1.3103917,307.89008,-93.01872,46,100,4600,219.34605622291565,-98.06436,[ 0.579 -0.547  0.223  0.375  0.009],1.0940042,-89.78817
42.21,-138.36981062169593,-99.426674,203248,-418.70578,-419.60574,1.7015032,76.263695,-90.55197,47,100,4700,224.70180821418762,-97.54105,[ 0.587 -0.529  0.226  0.376  0.008],1.0179398,-95.72405
46.79,-142.58036958637825,-99.67966,207927,-419.11707,-419.27795,1.8155214,21.447138,-92.29651,48,100,4800,229.72507238388062,-97.21327,[ 0.591 -0.522  0.227  0.376  0.011],1.004262,-96.88017
39.89,-136.1035900883384,-99.50791,211916,-418.43457,-419.6353,1.6998606,47.81629,-91.9828,49,100,4900,234.7180597782135,-97.57063,[ 0.595 -0.521  0.228  0.375  0.012],1.0053753,-95.46266
41.34,-137.14741793132896,-99.53801,216050,-416.36078,-417.14252,1.8514142,64.95687,-92.34288,50,100,5000,239.0740568637848,-97.195755,[ 0.592 -0.513  0.225  0.382  0.013],1.0090898,-95.86545
44.55,-140.85069430718116,-99.65033,220505,-415.81876,-416.0926,1.6959743,23.889791,-92.82197,51,100,5100,243.78889560699463,-97.64822,[ 0.585 -0.515  0.224  0.382  0.009],1.0042592,-97.123344
43.97,-140.18075256263407,-99.64912,224902,-412.91568,-413.3733,1.7186748,29.818148,-91.75227,52,100,5200,248.25371527671814,-97.573105,[ 0.583 -0.519  0.224  0.381  0.008],1.0034043,-96.70041
39.9,-136.18072066725725,-99.60523,228892,-425.4969,-425.7619,1.6583697,14.548602,-91.67826,53,100,5300,252.32194256782532,-97.59555,[ 0.581 -0.521  0.225  0.384  0.003],1.0019308,-97.08266
42.11,-138.21502546751543,-99.71068,233103,-421.29752,-421.7919,1.8796625,58.978157,-91.891205,54,100,5400,257.1944408416748,-97.41773,[ 5.775e-01 -5.205e-01  2.244e-01  3.848e-01 -4.118e-05],1.0100774,-96.40741
