InitialReturnMax,EpLenMean,TimeElapsed,ReturnMeanIW,J_sample_variance,InitialReturnStd,EpThisIter,EpisodesSoFar,EmpiricalD2,InitialReturnMin,InitialBound,Weights,EpRewMean,TimestepsSoFar,Bound,InitialReturnMean,Iteration
6.7091827,44.24,3.3991222381591797,0.18360591,3.6539316,1.6523935,100,100,1.0016915,-2.0475311,-315.8001,[ 0.579 -0.554  0.227  0.402  0.   ],-140.63526784482684,4424,-315.70395,-1.1291504e-05,1
6.362282,46.4,9.151295900344849,0.023830757,4.0765367,2.0124695,100,200,1.0001277,-2.262703,-320.1792,[ 0.581 -0.552  0.228  0.401  0.001],-142.38913890580625,9064,-320.16632,1.0681152e-06,2
4.2581253,38.05,12.6597900390625,0.008251484,2.1932554,1.466329,100,300,1.0000153,-1.8379593,-311.38217,[ 0.581 -0.552  0.227  0.4    0.001],-134.581768054727,12869,-311.37726,-4.119873e-06,3
7.199257,44.86,16.487775325775146,0.052141752,3.7905338,1.848919,100,400,1.0004187,-2.2424393,-319.21942,[ 0.581 -0.552  0.228  0.401  0.001],-141.01297844600197,17355,-319.1919,2.8991699e-06,4
5.903015,43.47,20.182126760482788,0.22775228,4.0385776,1.7022034,100,500,1.0024514,-1.9400101,-326.96912,[ 0.581 -0.551  0.228  0.401  0.001],-139.52005823597494,21702,-326.84882,2.670288e-06,5
5.925186,44.07,25.499902725219727,0.009464042,2.489923,1.5583535,100,600,1.000035,-2.1038437,-313.36237,[ 0.583 -0.549  0.229  0.401  0.001],-140.23910712336672,26109,-313.35617,1.8310546e-06,6
5.5139465,40.95,28.871206760406494,0.035477493,2.5892515,1.583183,100,700,1.0001578,-1.8437271,-318.96658,[ 0.583 -0.549  0.229  0.401  0.001],-137.47920031636033,30204,-318.9495,-3.5095215e-06,7
6.440819,42.61,33.33102226257324,0.0037929653,3.1823938,1.762322,100,800,1.000031,-2.2101212,-316.43225,[ 0.583 -0.548  0.229  0.401  0.001],-138.77134675860665,34465,-316.4303,4.653931e-06,8
5.617508,39.24,36.56535792350769,0.024227042,2.7127137,1.6370244,100,900,1.0000677,-1.9008331,-317.03802,[ 0.584 -0.548  0.229  0.4    0.001],-135.65961043174818,38389,-317.02454,-7.6293944e-08,9
5.338608,42.21,40.26121997833252,0.05015187,2.2436736,1.4632262,100,1000,1.0004282,-1.5767212,-321.06128,[ 0.583 -0.548  0.229  0.401  0.002],-138.75045895702354,42610,-321.03256,1.6784668e-06,10
5.432266,47.18,44.519059896469116,0.039971717,3.2739606,1.7482228,100,1100,1.0003053,-2.150383,-322.96805,[ 0.584 -0.547  0.229  0.401  0.001],-143.39787581227006,47328,-322.94476,-4.272461e-06,11
4.5143967,39.18,48.97438669204712,0.014139018,2.5026264,1.5426091,100,1200,1.0000591,-1.8655014,-308.7051,[ 0.583 -0.547  0.229  0.401  0.001],-135.5980941574591,51246,-308.69766,1.3732911e-06,12
4.6690826,41.65,52.93222665786743,0.014436564,2.9069898,1.6927767,100,1300,1.0000898,-2.2187805,-317.33148,[ 0.583 -0.547  0.229  0.401  0.001],-137.6223459805663,55411,-317.32248,-3.0517579e-06,13
7.309105,39.0,56.66471862792969,0.030464072,2.968626,1.6972146,100,1400,1.0000652,-1.8511581,-318.44446,[ 0.583 -0.547  0.229  0.401  0.001],-135.34996420879324,59311,-318.4265,-6.1035157e-06,14
