EmpiricalD2,StdIW,InitialReturnStd,EpThisIter,Bound,TimeElapsed,J_sample_variance,InitialReturnMax,Iteration,InitialReturnMean,MaxIW,TimestepsSoFar,InitialBound,EpisodesSoFar,MeanIW,ReturnMeanIW,EpRewMean,MinIW,InitialReturnMin,Weights,EpLenMean
1.0579383,0.2420607,6.4303417,100,-2515765800000.0,4.503014087677002,72.94202,16.142467,1,-2.1743774e-06,1.9763609,1745,-2515765800000.0,100,1.0178142,38.882286,-108.67197648780628,0.56580174,-12.426178,[-0.689  0.919 -0.673  0.288  0.   ],17.45
1.1889585,0.4261947,6.63146,100,-3105883700000.0,10.067650556564331,78.9863,15.946405,2,1.2588501e-06,2.6918747,3467,-3105883700000.0,200,1.0508983,39.23846,-108.85656772010746,0.37105083,-12.894917,[-0.691  0.921 -0.656  0.281  0.008],17.22
2.2159057,0.82083476,6.2153935,100,-5844269000000.0,14.72520399093628,172.46776,14.811165,3,-1.335144e-07,5.4580173,5180,-5844269000000.0,300,0.9601428,40.22417,-108.29932142396143,0.026654694,-19.114737,[-0.689  0.922 -0.631  0.286  0.008],17.13
1.254726,0.37888062,6.233266,100,-4733857000000.0,19.01795196533203,82.88962,16.21519,4,-1.5830993e-06,2.690051,6855,-4733857000000.0,400,1.0093306,40.382305,-108.65603493177541,0.28049847,-14.2812195,[-0.668  0.932 -0.681  0.323 -0.019],16.75
1.0989844,0.31871143,6.68983,100,-4260471500000.0,24.571974754333496,69.02927,14.933531,5,-3.5858154e-06,2.3474112,8500,-4260471500000.0,500,1.0356059,40.70081,-108.44558208270027,0.46503207,-13.982351,[-0.668  0.936 -0.708  0.325 -0.017],16.45
1.2436446,0.46338478,6.0993505,100,-4733857000000.0,29.561596870422363,61.717926,15.208029,6,-1.9073486e-08,3.3217258,10174,-4733857000000.0,600,1.0120494,40.552166,-108.57552881342939,0.284454,-14.727976,[-0.668  0.937 -0.728  0.333 -0.017],16.74
1.1375339,0.3123003,5.794206,100,-1203283000000.0,34.20498061180115,50.386185,15.896326,7,5.340576e-07,1.9670678,11860,-1203283000000.0,700,0.98625046,39.946396,-108.4258189474836,0.3101418,-11.455631,[-0.662  0.949 -0.742  0.324 -0.012],16.86
2.1513228,0.8845992,6.398816,100,-1485534500000.0,39.62800431251526,213.42706,14.78363,8,5.0544736e-07,5.395982,13606,-1485534500000.0,800,0.96353006,38.494072,-108.58946117719245,0.13218164,-12.574434,[-0.663  0.941 -0.727  0.324 -0.008],17.46
1.1924996,0.4300756,5.3122725,100,-5844269000000.0,44.35102343559265,58.002174,13.777963,9,-1.7929077e-06,2.9715335,15239,-5844269000000.0,900,1.035643,41.57455,-108.775046551504,0.17574319,-13.206474,[-0.695  0.954 -0.671  0.31   0.025],16.33
3.3549008,1.4836104,5.774166,100,-3834424600000.0,48.54848003387451,197.53868,14.850569,10,1.5640259e-06,9.0029745,16875,-3834424600000.0,1000,1.1322263,41.220146,-108.15154804921104,0.02600113,-10.540228,[-0.693  0.938 -0.667  0.329  0.027],16.36
1.3586012,0.5671339,5.6553016,100,-5259841000000.0,53.30022430419922,73.905235,15.187355,11,-3.8146973e-07,4.420483,18532,-5259841000000.0,1100,1.02219,40.57889,-108.25679550637504,0.26812094,-15.902874,[-0.691  0.896 -0.655  0.368  0.021],16.57
