TimestepsSoFar,MaxIW,TimeElapsed,EpThisIter,Weights,StdIW,EpLenMean,InitialBound,J_sample_variance,Bound,InitialReturnMax,MinIW,MeanIW,InitialReturnMin,InitialReturnStd,EpRewMean,EpisodesSoFar,Iteration,EmpiricalD2,InitialReturnMean,ReturnMeanIW
3509,1.0636443,7.1501898765563965,100,[-0.822 -0.493 -0.474 -0.749  0.   ],0.02307652,35.09,-1644221900000000.0,142.62105,-1644221900000000.0,33.495453,0.9428268,1.0048681,-16.371025,10.794412,-108.1894935537418,100,1,1.0005966,-4.119873e-06,227.41785
6905,1.1319767,17.00337266921997,100,[-8.221e-01 -4.936e-01 -4.735e-01 -7.492e-01  1.516e-04],0.037349004,33.96,-1661051400000000.0,155.55063,-1661051400000000.0,36.919556,0.8848613,1.0046531,-15.89959,10.88238,-108.38268779160737,200,2,1.0015306,3.013611e-06,237.32759
10395,1.1473109,25.51479196548462,100,[-8.221e-01 -4.928e-01 -4.742e-01 -7.501e-01 -2.126e-04],0.056282707,34.9,-1274044700000000.0,301.5378,-1274044700000000.0,34.33439,0.86010563,1.0046897,-15.237221,11.892693,-107.88095318157349,300,3,1.0031402,3.7384034e-06,228.1511
13770,1.1151543,33.80880928039551,100,[-8.226e-01 -4.936e-01 -4.725e-01 -7.495e-01 -5.506e-04],0.03631125,33.75,-1484910600000000.0,179.5936,-1484910600000000.0,30.596455,0.893027,1.0050322,-12.748947,9.496829,-108.52305388510285,400,4,1.0014826,-1.3732911e-06,239.37566
17222,1.1280252,42.34366774559021,100,[-8.228e-01 -4.945e-01 -4.718e-01 -7.488e-01 -7.341e-04],0.038404606,34.52,-1411061800000000.0,251.41866,-1411061800000000.0,49.019478,0.90827644,1.00463,-13.500153,12.182732,-107.6303000767368,500,5,1.0017713,-1.1062622e-06,230.79733
20629,1.0914987,51.00470972061157,100,[-0.824 -0.495 -0.471 -0.749 -0.002],0.028154885,34.07,-1440156600000000.0,150.28293,-1440156600000000.0,48.63629,0.92006105,1.0055562,-15.197327,12.531922,-106.91665222990441,600,6,1.0010437,1.8310546e-06,233.07767
24170,1.0836878,59.549543619155884,100,[-0.824 -0.495 -0.471 -0.75  -0.002],0.02374345,35.41,-1484910600000000.0,188.91069,-1484910600000000.0,39.39997,0.9367168,1.004794,-15.764648,12.101826,-107.50603398377908,700,7,1.0006272,-4.196167e-06,223.32753
27316,1.1215616,68.00683450698853,100,[-0.824 -0.495 -0.47  -0.75  -0.003],0.035985947,31.46,-1611066000000000.0,242.29904,-1611066000000000.0,38.446148,0.9147242,1.0040902,-13.28672,10.948407,-107.74205717309476,800,8,1.0014393,-1.9454956e-06,259.19855
30931,1.2512437,76.64857316017151,100,[-0.825 -0.495 -0.469 -0.751 -0.002],0.076571405,36.15,-1594736400000000.0,305.67758,-1594736400000000.0,30.738152,0.8200458,1.0048012,-14.989754,10.523291,-109.101882674461,900,9,1.005217,6.8664554e-07,221.11339
34755,1.1004636,86.16447305679321,100,[-8.249e-01 -4.957e-01 -4.659e-01 -7.533e-01 -5.201e-04],0.03074081,38.24,-1300357700000000.0,183.6259,-1300357700000000.0,37.13321,0.91211104,1.0056127,-18.529236,12.722131,-107.6753931841045,1000,10,1.0011486,3.929138e-06,203.13637
38276,1.0742897,94.47886347770691,100,[-0.825 -0.495 -0.467 -0.753  0.001],0.021389576,35.21,-1515505100000000.0,159.19833,-1515505100000000.0,38.10095,0.9607141,1.0055422,-14.1371765,11.604635,-108.79971194714402,1100,11,1.0004225,-3.2043456e-06,227.59723
41764,1.120309,103.3118371963501,100,[-0.825 -0.496 -0.467 -0.752  0.001],0.026830377,34.88,-1327205000000000.0,150.39873,-1327205000000000.0,37.28002,0.9177339,1.004832,-15.315063,11.699874,-108.09857341004987,1200,12,1.000801,3.3950805e-06,228.70871
45462,1.2297735,112.21652865409851,100,[-0.825 -0.496 -0.468 -0.751  0.002],0.053582937,36.98,-1261085300000000.0,240.10985,-1261085300000000.0,50.720463,0.86958444,1.0063385,-17.992188,12.490016,-107.95575349734351,1300,13,1.0027004,5.607605e-06,212.40848
49097,1.143526,121.1041624546051,100,[-0.824 -0.495 -0.469 -0.752  0.003],0.028070955,36.35,-1611066000000000.0,204.99426,-1611066000000000.0,32.094402,0.9335383,1.0052261,-16.701324,12.25184,-107.5045414755611,1400,14,1.0007277,-2.2888183e-07,216.35297
52505,1.0789381,129.18503189086914,100,[-0.825 -0.496 -0.469 -0.753  0.004],0.022216944,34.08,-1661051400000000.0,131.57268,-1661051400000000.0,36.80434,0.9406919,1.005689,-16.316925,11.322067,-107.69898582646928,1500,15,1.0007824,3.5858154e-06,234.67693
