eRenyi2,AvgNormIw,MinVanillaIw,MaxNormIw,AvgRet,VarVanillaIw,AvgEpLen,MinNormIw,ESSRenyi,VarNormIw,ESSClassic,VarDiscRet,AvgVanillaIw,AvgDiscRet,MaxVanillaIw,Bound,J,BatchSize,VarJ,VarRet
2.8591754,0.01,1.5806348e-06,0.06158011,489.7134844812192,2.5001917,49.97,1.4694324e-08,34.97511851611512,0.00021607749,31.85558153977991,35191.85106687147,1.0756772,351.36962250631933,6.6240315,193.59662,547.3444,100,239.5949,147242.931113693
1.643972,0.01,0.08980062,0.043643497,802.9953136434909,1.0240625,81.31,0.0008325338,60.82828516188194,8.801804e-05,53.436538834727706,23605.273310844037,1.0786422,524.8397233780764,4.707572,395.6238,609.63354,100,195.51463,142629.00950700685
2.3383641,0.01,0.00035802528,0.10263689,977.4175555956509,2.596263,98.74,3.1162444e-06,42.76493936974717,0.00019669096,33.93004796281206,21535.83557825123,1.1488998,596.3276470755034,11.79195,472.9057,720.84314,100,194.68115,164817.89432324757
12552.241,0.01,,1.0,1289.0089769903338,5.797026e-27,129.8,,0.007966704775627173,0.010000001,1.0,17908.665957610057,7.61382e-15,697.8104974121105,7.61382e-13,585.2611,865.95807,100,,202485.13705808506
0.12941658,0.010000002,,0.9999704,1867.917432693774,0.00088627037,187.09,,772.698491652274,0.009999404,1.0000592645568689,2548.735217511627,0.0029771181,841.28500053306,0.297703,798.8256,866.0188,100,0.0012206904,62741.13073247487
1590.4584,0.01,,1.0,1989.042369149532,3.865862e-21,198.92,,0.06287495581982856,0.010000003,1.0,712.1807905457081,6.217604e-12,863.3312134432906,6.217604e-10,840.88684,866.01044,100,1.2019643e-14,11887.371519243761
2.885659,0.01,7.2417834e-14,0.08021089,1999.9952132034302,3.1938963,200.0,6.253328e-16,34.65412951195006,0.00023815085,29.782348507646507,1.2095286028744335e-05,1.1580687,866.0162465368255,9.288972,866.0133,866.0182,100,0.0030932683,1.626773935953165e-05
2.3605541e-11,0.01,,1.0,1999.9955507564546,8.76e-43,200.0,,4236293480289.374,0.010000002,0.9999920586211868,9.979662983653456e-06,9.358144e-23,866.0165131339755,9.358144e-21,866.0138,866.0145,100,,1.3814176114244746e-05
78.62452,0.01,,1.0,1999.9959988117218,1.9925996e-16,200.0,,1.2718678705965267,0.0100000035,1.0,9.11197874110277e-06,1.4115948e-09,866.016800565792,1.4115949e-07,866.0142,866.01495,100,4.5214385e-14,1.1592380780822365e-05
1.1682421,0.01,0.24125133,0.021323184,1999.9974813175202,0.16836028,200.0,0.002421145,85.59869590838706,1.695672e-05,85.62586863359289,4.895516373373471e-06,0.99643487,866.0180449018767,2.1247163,866.0162,866.0183,100,0.0021276646,5.852290196619864e-06
1.848258e-13,0.010000002,,0.92374957,1999.9967687225342,1.2731751,200.0,,541050001879624.2,0.00854581,1.1681765869063336,5.558073105264152e-06,0.12205835,866.0173935422391,11.275134,866.01544,866.01953,100,0.00072290335,6.723887497421609e-06
