MinVanillaIw,AvgEpLen,AvgVanillaIw,eRenyi2,MaxVanillaIw,J,VarRet,VarJ,AvgRet,BatchSize,AvgDiscRet,VarVanillaIw,MinNormIw,ESSClassic,VarDiscRet,MaxNormIw,AvgNormIw,VarNormIw,ESSRenyi,Bound
8.319222e-26,500.0,1.0612408,3.9282532,5.5135736,-12.742632,33607051.21338573,21.152742,-6184.148974444156,100,-1198.5361543453491,3.3182287,7.8391464e-28,25.53074218310598,1301699.672999986,0.05195403,0.01,0.000294631,25.456607701928977,-509.83234
0.9616592,500.0,0.9986026,1.0001246,1.0079912,-11.701159,81.57881993681073,8.887741,-11.760800834020511,100,-11.728975270672896,0.00015728654,0.009630049,99.98441989645758,80.63232520541042,0.010094018,0.009999998,1.5772708e-08,99.98754418090951,-252.54152
0.9543629,500.0,0.9992694,1.0000645,1.0058339,-8.354791,65.31163780257613,8.006418,-8.382461632236648,100,-8.370207232175437,9.967535e-05,0.009550607,99.99011726057975,65.17938552633392,0.0100656925,0.01,9.982128e-09,99.9935511933332,-249.16904
0.056348845,500.0,0.97196805,1.0718148,1.250368,-11.440764,500605.51874199836,11.315287,-81.57561251463814,100,-23.54815768337625,0.07723756,0.0005797397,92.51209940769479,16321.901224314115,0.012864291,0.01,8.1756925e-06,93.29970279280448,-264.10574
0.96346325,500.0,1.000838,1.0000789,1.006801,-9.55015,67.70552150599141,8.157445,-9.575404655262616,100,-9.568287316719202,5.3572745e-05,0.009626565,99.99470222149476,67.63097476124886,0.010059579,0.01,5.3483094e-09,99.99210896776478,-250.36105
0.96906114,500.0,0.9987671,1.0000455,1.0047998,-9.748811,63.12362093362518,7.892852,-9.774123238438673,100,-9.75964088740821,4.434056e-05,0.0097025735,99.99556963596594,62.97876819043497,0.010060402,0.010000002,4.445011e-09,99.9954464125002,-250.56293
0.99338585,500.0,1.0000545,1.0000114,1.0090821,-9.300319,71.36127716006622,8.389949,-9.312759327917393,100,-9.30383789865227,1.1837194e-05,0.009933317,99.99882133317156,71.28129826599435,0.010090271,0.01,1.1835917e-09,99.99885560391688,-250.10495
0.9926819,500.0,0.9998243,1.0000037,1.001451,-9.602581,78.35850652450203,8.798014,-9.612116022695592,100,-9.60377130984564,3.8037374e-06,0.009928564,99.99961083363613,78.22992799979386,0.01001627,0.01,3.8050788e-10,99.99963045256806,-250.40565
0.95446974,500.0,0.99901414,1.0000491,1.0072935,-9.895497,69.13419495463668,8.243063,-9.91434282408962,100,-9.907360726229044,7.4302945e-05,0.009554117,99.99265750237554,69.03988529474194,0.010082875,0.009999999,7.4449606e-09,99.99508881847939,-250.70267
0.89789534,500.0,0.99844795,1.0001688,1.0094649,-7.3439727,59.385672221553754,7.370386,-7.418470130328894,100,-7.381829530171794,0.00022138045,0.00899291,99.97800827794245,57.09385125199988,0.01011034,0.010000002,2.220693e-08,99.98312281347467,-248.19215
0.98411393,500.0,1.0004762,1.0000176,1.0030216,-9.277437,59.89853212762671,7.691129,-9.292276369314617,100,-9.281896425197363,1.2853138e-05,0.009836455,99.99871507132781,59.80929178334445,0.010025442,0.010000002,1.2840944e-09,99.99823573364155,-250.08417
