MaxNormIw,VarDiscRet,J,ESSRenyi,VarVanillaIw,VarRet,Bound,MaxVanillaIw,VanillaAvgRet,BatchSize,AvgDiscRet,VarJ,VarNormIw,AvgEpLen,MinVanillaIw,AvgNormIw,AvgVanillaIw,eRenyi2,MinNormIw,AvgRet,ESSClassic
0.99711865,3680974.5780205172,1438.2341,0.020779231320632773,169939.27,3680974.5780205172,58254.348,4122.472,-1439.2221432774563,100,-1.1596057447604835e-13,1.0353632,0.009941962,200.0,,0.01,41.34385,4812.4976,,-1.1596057447604835e-13,1.005779357764334
1.0,65.50356811024801,7.252978,,inf,65.50356811024801,4.2691244e+34,5.8860297e+35,-9.446135546345467,100,-3.019806626980426e-16,,0.0100000035,200.0,,0.01,5.88603e+33,inf,,-3.019806626980426e-16,
0.01,62.83608562018213,-8.940697e-08,nan,,62.83608562018213,-0.7712882,1.0,-9.164367295678051,100,-4.618527782440651e-16,7.887187,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-4.618527782440651e-16,100.0
0.01,68.47923129392497,3.7252903e-08,nan,,68.47923129392497,-0.7637086,1.0,-9.075595739198164,100,1.616484723854228e-15,8.233738,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.616484723854228e-15,100.0
0.01,60.47606634272846,3.7252903e-08,nan,,60.47606634272846,-0.7595167,1.0,-9.02467310420955,100,-3.019806626980426e-16,7.7376547,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-3.019806626980426e-16,100.0
0.01,69.35499535142146,-1.4901161e-08,nan,,69.35499535142146,-0.7931189,1.0,-9.423976090528306,100,-1.7763568394002505e-17,8.28622,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.7763568394002505e-17,100.0
0.01,63.98257516027254,,nan,,63.98257516027254,-0.82088554,1.0,-9.758053062989541,100,1.723066134218243e-15,7.958816,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.723066134218243e-15,100.0
0.01,74.14386126442331,-3.7252903e-08,nan,,74.14386126442331,-0.7623541,1.0,-9.058172532369476,100,1.1368683772161603e-15,8.567521,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.1368683772161603e-15,100.0
0.01,65.50171561173775,8.940697e-08,nan,,65.50171561173775,-0.82661676,1.0,-9.834963100365089,100,-2.1671553440683055e-15,8.052745,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-2.1671553440683055e-15,100.0
0.01,67.91723149930502,7.4505806e-08,nan,,67.91723149930502,-0.8022694,1.0,-9.534666198703835,100,-2.1316282072803005e-16,8.199882,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-2.1316282072803005e-16,100.0
0.01,56.45835041366642,2.9802322e-08,nan,,56.45835041366642,-0.722011,1.0,-8.58157997686169,100,-1.2079226507921704e-15,7.476213,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.2079226507921704e-15,100.0
0.01,67.21922339855222,-1.4901161e-08,nan,,67.21922339855222,-0.8221357,1.0,-9.770680182168554,100,-8.171241461241152e-16,8.157636,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-8.171241461241152e-16,100.0
0.01,62.585558907132004,5.9604645e-08,nan,,62.585558907132004,-0.77597374,1.0,-9.229062196952098,100,-7.460698725481052e-16,7.8714485,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-7.460698725481052e-16,100.0
0.01,64.70204084406207,-5.2154064e-08,nan,,64.70204084406207,-0.6447899,1.0,-7.665273821315766,100,-1.234568003383174e-15,8.003438,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.234568003383174e-15,100.0
0.01,70.92706290636097,5.9604645e-08,nan,,70.92706290636097,-0.8038593,1.0,-9.551321726541593,100,2.1316282072803005e-16,8.379605,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,2.1316282072803005e-16,100.0
0.01,68.8815350262421,4.4703484e-08,nan,,68.8815350262421,-0.8068622,1.0,-9.587027172884161,100,-3.108624468950438e-16,8.257888,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-3.108624468950438e-16,100.0
