AvgEpLen,MinVanillaIw,VanillaAvgRet,MinNormIw,ESSRenyi,VarJ,Bound,AvgDiscRet,AvgNormIw,eRenyi2,VarDiscRet,VarNormIw,BatchSize,VarRet,ESSClassic,VarVanillaIw,J,AvgVanillaIw,MaxVanillaIw,MaxNormIw,AvgRet
200.0,,-2654.305220661724,,0.006133601215171822,,434045.4,4.956746124662459e-13,0.01,16303.636,5688470.842681565,0.010000002,100,5688470.842681565,1.0,2754677.0,2628.6292,165.97218,16597.219,1.0,4.956746124662459e-13
200.0,,-13.208172021361234,,,,3.0019074e+33,1.438849039914203e-15,0.01,inf,111.12601312017365,0.010000003,100,111.12601312017365,,inf,10.195782,2.9442642e+32,2.944264e+34,1.0,1.438849039914203e-15
200.0,1.0,-14.467359837614213,0.01,nan,10.110853,-1.2175614,-2.0961010704922954e-15,0.009999998,nan,103.26196534174663,3.5044917e-18,100,103.26196534174663,100.0,,-1.6391277e-07,1.0,1.0,0.01,-2.0961010704922954e-15
200.0,1.0,-15.668544011388422,0.01,nan,10.560263,-1.3186958,1.3322676295501878e-15,0.009999998,nan,112.64560718494212,3.5044917e-18,100,112.64560718494212,100.0,,7.4505806e-08,1.0,1.0,0.01,1.3322676295501878e-15
200.0,1.0,-13.212196463190274,0.01,nan,11.039909,-1.1119565,9.237055564881303e-16,0.009999998,nan,123.11071019768633,3.5044917e-18,100,123.11071019768633,100.0,,8.940697e-08,1.0,1.0,0.01,9.237055564881303e-16
200.0,1.0,-13.518056186838733,0.01,nan,10.578177,-1.1357062,2.415845301584341e-15,0.009999998,nan,113.02812999143164,3.5044917e-18,100,113.02812999143164,100.0,,1.4901161e-08,1.0,1.0,0.01,2.415845301584341e-15
200.0,1.0,-15.41133852331565,0.01,nan,10.366993,-1.2942363,1.900701818158268e-15,0.009999998,nan,108.56014401862394,3.5044917e-18,100,108.56014401862394,100.0,,2.0116568e-07,1.0,1.0,0.01,1.900701818158268e-15
200.0,1.0,-12.781331410072253,0.01,nan,10.290419,-1.0756348,-1.4210854715202004e-16,0.009999998,nan,106.96234297499106,3.5044917e-18,100,106.96234297499106,100.0,,,1.0,1.0,0.01,-1.4210854715202004e-16
200.0,1.0,-13.74624217982718,0.01,nan,10.656376,-1.1567196,5.861977570020827e-16,0.009999998,nan,114.70540447571842,3.5044917e-18,100,114.70540447571842,100.0,,5.9604645e-08,1.0,1.0,0.01,5.861977570020827e-16
200.0,1.0,-13.891432868708337,0.01,nan,10.5118065,-1.1682447,-1.2256862191861727e-15,0.009999998,nan,111.61423011719094,3.5044917e-18,100,111.61423011719094,100.0,,,1.0,1.0,0.01,-1.2256862191861727e-15
200.0,1.0,-14.300980474437091,0.01,nan,10.549701,-1.1972402,3.907985046680551e-16,0.009999998,nan,112.42040796532248,3.5044917e-18,100,112.42040796532248,100.0,,7.450581e-09,1.0,1.0,0.01,3.907985046680551e-16
200.0,1.0,-15.629539446556288,0.01,nan,10.102959,-1.315415,-2.1671553440683055e-15,0.009999998,nan,103.10078723663588,3.5044917e-18,100,103.10078723663588,100.0,,8.940697e-08,1.0,1.0,0.01,-2.1671553440683055e-15
200.0,1.0,-12.710146360444634,0.01,nan,10.204804,-1.0696429,4.263256414560601e-16,0.009999998,nan,105.18994364337334,3.5044917e-18,100,105.18994364337334,100.0,,-4.4703484e-08,1.0,1.0,0.01,4.263256414560601e-16
200.0,1.0,-14.70222306795147,0.01,nan,10.247389,-1.2368846,1.1191048088221578e-15,0.009999998,nan,106.06966683964274,3.5044917e-18,100,106.06966683964274,100.0,,-8.940697e-08,1.0,1.0,0.01,1.1191048088221578e-15
200.0,1.0,-14.335806596653454,0.01,nan,10.261908,-1.2065151,3.907985046680551e-16,0.009999998,nan,106.37044478283724,3.5044917e-18,100,106.37044478283724,100.0,,2.9802322e-08,1.0,1.0,0.01,3.907985046680551e-16
200.0,1.0,-14.400804990102424,0.01,nan,10.542536,-1.2118742,-2.5579538487363606e-15,0.009999998,nan,112.26773895945757,3.5044917e-18,100,112.26773895945757,100.0,,-1.1920929e-07,1.0,1.0,0.01,-2.5579538487363606e-15
200.0,1.0,-14.034623975498738,0.01,nan,10.632665,-1.1784551,1.7408297026122454e-15,0.009999998,nan,114.19551462133583,3.5044917e-18,100,114.19551462133583,100.0,,1.7881393e-07,1.0,1.0,0.01,1.7408297026122454e-15
200.0,1.0,-15.987751761900059,0.01,nan,10.108995,-1.3417171,2.4513724383723455e-15,0.009999998,nan,103.2240281365996,3.5044917e-18,100,103.2240281365996,100.0,,,1.0,1.0,0.01,2.4513724383723455e-15
200.0,1.0,-14.574254244885426,0.01,nan,10.409537,-1.2265921,-1.3677947663381929e-15,0.009999998,nan,109.45300157800682,3.5044917e-18,100,109.45300157800682,100.0,,-4.4703484e-08,1.0,1.0,0.01,-1.3677947663381929e-15
