ESSClassic,AvgDiscRet,AvgVanillaIw,MaxNormIw,MinNormIw,VarRet,J,Bound,MinVanillaIw,AvgRet,VarJ,MaxVanillaIw,ESSRenyi,AvgEpLen,BatchSize,VanillaAvgRet,VarVanillaIw,VarNormIw,VarDiscRet,AvgNormIw,eRenyi2
1.000014958482844,-1.0587086762825493e-14,1034.1238,0.99999255,,12414.200999294342,949.8594,981472.75,,-1.0587086762825493e-14,0.091583654,103411.61,0.000534820759000908,8.98,100,79.74702847706696,106939540.0,0.009999852,12414.200999294342,0.01,186978.53
1.2660323330389964,-1.148237060988322e-13,443.14197,0.8807028,,1975813.500562859,3845.969,1701433.1,,-1.148237060988322e-13,0.7938869,39027.637,0.0050750849903271065,116.3,100,1153.5596506701067,15469359.0,0.007877468,1975813.500562859,0.01,19704.104
1.0,-3.5925040720030667e-13,66138.13,1.0,,84756.90513179428,29.390026,1943776.8,,-3.5925040720030667e-13,,6613813.0,4.372018078731957e-05,497.1,100,4970.5932033486615,437425270000.0,0.010000002,84756.90513179428,0.01,2287273.2
1.0,8.185452315956354e-14,21785690.0,1.0,,0.011079359369900628,0.055114124,1200699.1,,8.185452315956354e-14,,2178569000.0,6.79657454382914e-08,500.0,100,4999.894422967508,4.74616e+16,0.0100000035,0.011079359369900628,0.01,1471329400.0
1.0,7.09405867382884e-13,13504099.0,1.0,,0.019749946263951504,0.12412498,1676195.9,,7.09405867382884e-13,,1350409900.0,,500.0,100,4999.868996949277,1.823607e+16,0.010000003,0.019749946263951504,0.01,inf
,9.094947017729283e-14,1.8429271e+36,1.0,,0.01618186937874161,0.1285877,2.3697775e+35,,9.094947017729283e-14,,1.842927e+38,nan,500.0,100,4999.871088446318,inf,0.010000002,0.01618186937874161,0.01,nan
100.0,9.003997547551989e-13,1.0,0.01,0.01,0.015004186071397125,-9.313226e-10,-0.010247697,1.0,9.003997547551989e-13,0.12187758,1.0,nan,500.0,100,4999.878008903861,,3.5044917e-18,0.015004186071397125,0.009999998,nan
100.0,4.092726157978177e-13,1.0,0.01,0.01,0.012982836416378842,4.656613e-10,-0.00978513,1.0,4.092726157978177e-13,0.113371104,1.0,nan,500.0,100,4999.8830922262505,,3.5044917e-18,0.012982836416378842,0.009999998,nan
100.0,8.458300726488233e-13,1.0,0.01,0.01,0.011700001888936882,,-0.009302155,1.0,8.458300726488233e-13,0.10762435,1.0,nan,500.0,100,4999.889164501873,,3.5044917e-18,0.011700001888936882,0.009999998,nan
100.0,9.549694368615747e-13,1.0,0.01,0.01,248990.04516933524,4.7683716e-07,-4.210463,1.0,9.549694368615747e-13,496.4878,1.0,nan,495.02,100,4949.971837960217,,3.5044917e-18,248990.04516933524,0.009999998,nan
100.0,-4.0017766878008843e-13,1.0,0.01,0.01,248989.3644397961,5.2452087e-06,-4.2110205,1.0,-4.0017766878008843e-13,496.48715,1.0,nan,495.02,100,4949.964943665198,,3.5044917e-18,248989.3644397961,0.009999998,nan
100.0,-4.18367562815547e-13,1.0,0.01,0.01,0.011534233776105306,2.3283064e-10,-0.009746591,1.0,-4.18367562815547e-13,0.106859215,1.0,nan,500.0,100,4999.883869950067,,3.5044917e-18,0.011534233776105306,0.009999998,nan
100.0,-4.547473508864641e-13,1.0,0.01,0.01,0.015558509925869159,1.7462298e-10,-0.009940165,1.0,-4.547473508864641e-13,0.124108516,1.0,nan,500.0,100,4999.881215562026,,3.5044917e-18,0.015558509925869159,0.009999998,nan
100.0,1.1823431123048067e-13,1.0,0.01,0.01,0.012608077451037585,-2.3283064e-10,-0.01002345,1.0,1.1823431123048067e-13,0.11172286,1.0,nan,500.0,100,4999.880417658165,,3.5044917e-18,0.012608077451037585,0.009999998,nan
100.0,-3.3651303965598344e-13,1.0,0.01,0.01,0.013405837053272028,-1.3969839e-09,-0.0109574795,1.0,-3.3651303965598344e-13,0.11520321,1.0,nan,500.0,100,4999.868212634061,,3.5044917e-18,0.013405837053272028,0.009999998,nan
100.0,-6.366462912410498e-14,1.0,0.01,0.01,0.012970253112077513,9.313226e-10,-0.010089069,1.0,-6.366462912410498e-14,0.113316156,1.0,nan,500.0,100,4999.879575757493,,3.5044917e-18,0.012970253112077513,0.009999998,nan
100.0,5.820766091346741e-13,1.0,0.01,0.01,0.010702417262753993,1.6298145e-09,-0.008855621,1.0,5.820766091346741e-13,0.10293393,1.0,nan,500.0,100,4999.892921241159,,3.5044917e-18,0.010702417262753993,0.009999998,nan
100.0,-7.912603905424476e-13,1.0,0.01,0.01,248989.84242366444,9.536743e-07,-4.210673,1.0,-7.912603905424476e-13,496.4876,1.0,nan,495.02,100,4949.969074534423,,3.5044917e-18,248989.84242366444,0.009999998,nan
100.0,-5.638867150992155e-13,1.0,0.01,0.01,0.013745422696798952,2.3283064e-10,-0.009701921,1.0,-5.638867150992155e-13,0.1166532,1.0,nan,500.0,100,4999.883976727497,,3.5044917e-18,0.013745422696798952,0.009999998,nan
100.0,-3.092281986027956e-13,1.0,0.01,0.01,249988.09748311684,5.00679e-06,-4.21799,1.0,-3.092281986027956e-13,497.48187,1.0,nan,495.01,100,4949.882064730581,,3.5044917e-18,249988.09748311684,0.009999998,nan
100.0,-1.3005774235352873e-12,1.0,0.01,0.01,0.014497723538173822,1.1641532e-09,-0.011638961,1.0,-1.3005774235352873e-12,0.119802944,1.0,nan,500.0,100,4999.861379771559,,3.5044917e-18,0.014497723538173822,0.009999998,nan
100.0,-5.366018740460276e-13,1.0,0.01,0.01,0.013963650857446233,-3.5288394e-10,-0.010956451,1.0,-5.366018740460276e-13,0.117575556,1.0,nan,500.0,100,4999.8693910162365,,3.5044917e-18,0.013963650857446233,0.009999998,nan
100.0,1.1823431123048067e-13,1.0,0.01,0.01,0.014653400250103745,6.9849193e-10,-0.009156469,1.0,1.1823431123048067e-13,0.120444454,1.0,nan,500.0,100,4999.89058142125,,3.5044917e-18,0.014653400250103745,0.009999998,nan
100.0,-8.458300726488233e-13,1.0,0.01,0.01,0.013411972425757356,-1.5716068e-09,-0.010557841,1.0,-8.458300726488233e-13,0.11522957,1.0,nan,500.0,100,4999.874087533157,,3.5044917e-18,0.013411972425757356,0.009999998,nan
100.0,9.276845958083868e-13,1.0,0.01,0.01,0.014801144227278887,-3.4924597e-10,-0.01186451,1.0,9.276845958083868e-13,0.12105012,1.0,nan,500.0,100,4999.858791761872,,3.5044917e-18,0.014801144227278887,0.009999998,nan
100.0,-9.731593308970333e-13,1.0,0.01,0.01,248991.91816580965,-2.026558e-06,-4.2088532,1.0,-9.731593308970333e-13,496.48965,1.0,nan,495.02,100,4949.990667694029,,3.5044917e-18,248991.91816580965,0.009999998,nan
100.0,-7.821654435247183e-13,1.0,0.01,0.01,0.014548366614627557,-1.8626451e-09,-0.010639315,1.0,-7.821654435247183e-13,0.12001201,1.0,nan,500.0,100,4999.873160993977,,3.5044917e-18,0.014548366614627557,0.009999998,nan
100.0,-5.093170329928399e-13,1.0,0.01,0.01,0.014026232824055804,1.3969839e-09,-0.010319317,1.0,-5.093170329928399e-13,0.11783874,1.0,nan,500.0,100,4999.876642938059,,3.5044917e-18,0.014026232824055804,0.009999998,nan
100.0,-4.911271389573813e-13,1.0,0.01,0.01,249988.2793077685,5.2452087e-06,-4.2178555,1.0,-4.911271389573813e-13,497.48206,1.0,nan,495.01,100,4949.88383419632,,3.5044917e-18,249988.2793077685,0.009999998,nan
100.0,-9.094947017729283e-14,1.0,0.01,0.01,0.013297840204756758,1.3969839e-09,-0.010656397,1.0,-9.094947017729283e-14,0.114738226,1.0,nan,500.0,100,4999.87264709656,,3.5044917e-18,0.013297840204756758,0.009999998,nan
100.0,-7.275957614183426e-14,1.0,0.01,0.01,0.015335556047149054,-1.3969839e-09,-0.011626771,1.0,-7.275957614183426e-14,0.12321606,1.0,nan,500.0,100,4999.861533384732,,3.5044917e-18,0.015335556047149054,0.009999998,nan
100.0,7.366907084360719e-13,1.0,0.01,0.01,0.010566918924532943,1.3969839e-09,-0.009876646,1.0,7.366907084360719e-13,0.10228025,1.0,nan,500.0,100,4999.881721391481,,3.5044917e-18,0.010566918924532943,0.009999998,nan
100.0,5.184119800105691e-13,1.0,0.01,0.01,0.01603204030753805,6.9849193e-10,-0.010810221,1.0,5.184119800105691e-13,0.12598301,1.0,nan,500.0,100,4999.870926424546,,3.5044917e-18,0.01603204030753805,0.009999998,nan
100.0,5.729816621169448e-13,1.0,0.01,0.01,0.013409407105420483,-6.9849193e-10,-0.010116597,1.0,5.729816621169448e-13,0.11521854,1.0,nan,500.0,100,4999.8794777772655,,3.5044917e-18,0.013409407105420483,0.009999998,nan
100.0,-3.9108272176235914e-13,1.0,0.01,0.01,0.012738921422925108,4.656613e-10,-0.010454848,1.0,-3.9108272176235914e-13,0.11230108,1.0,nan,500.0,100,4999.875683948898,,3.5044917e-18,0.012738921422925108,0.009999998,nan
100.0,-3.1832314562052486e-13,1.0,0.01,0.01,0.011360500169596367,-5.2386895e-10,-0.011334913,1.0,-3.1832314562052486e-13,0.10605138,1.0,nan,500.0,100,4999.865138830857,,3.5044917e-18,0.011360500169596367,0.009999998,nan
100.0,4.82032191939652e-13,1.0,0.01,0.01,0.012960206512523447,3.4924597e-10,-0.009386504,1.0,4.82032191939652e-13,0.11327226,1.0,nan,500.0,100,4999.8882575338885,,3.5044917e-18,0.012960206512523447,0.009999998,nan
100.0,4.638422979041934e-13,1.0,0.01,0.01,0.008638294814022354,-1.0477379e-09,-0.008361868,1.0,4.638422979041934e-13,0.09247655,1.0,nan,500.0,100,4999.9005042321805,,3.5044917e-18,0.008638294814022354,0.009999998,nan
100.0,-3.9108272176235914e-13,1.0,0.01,0.01,0.015276202332635512,1.3969839e-09,-0.010334248,1.0,-3.9108272176235914e-13,0.1229774,1.0,nan,500.0,100,4999.877093058052,,3.5044917e-18,0.015276202332635512,0.009999998,nan
100.0,9.094947017729283e-14,1.0,0.01,0.01,0.012609652932470758,-9.458745e-10,-0.010937611,1.0,9.094947017729283e-14,0.11172983,1.0,nan,500.0,100,4999.86936262871,,3.5044917e-18,0.012609652932470758,0.009999998,nan
100.0,7.912603905424476e-13,1.0,0.01,0.01,0.01183884405900077,4.656613e-10,-0.00927752,1.0,7.912603905424476e-13,0.10826105,1.0,nan,500.0,100,4999.889199818575,,3.5044917e-18,0.01183884405900077,0.009999998,nan
100.0,-4.0017766878008843e-13,1.0,0.01,0.01,0.012558109239651817,9.313226e-10,-0.011205394,1.0,-4.0017766878008843e-13,0.11150125,1.0,nan,500.0,100,4999.866846252561,,3.5044917e-18,0.012558109239651817,0.009999998,nan
100.0,3.0013325158506633e-13,1.0,0.01,0.01,0.012923223554833205,-5.820766e-10,-0.010422278,1.0,3.0013325158506633e-13,0.11311053,1.0,nan,500.0,100,4999.875483302374,,3.5044917e-18,0.012923223554833205,0.009999998,nan
100.0,-1.0095391189679504e-12,1.0,0.01,0.01,0.013184882587443285,,-0.011279991,1.0,-1.0095391189679504e-12,0.11424987,1.0,nan,500.0,100,4999.8654397378305,,3.5044917e-18,0.013184882587443285,0.009999998,nan
100.0,-6.002665031701327e-13,1.0,0.01,0.01,249986.57978785568,7.1525574e-07,-4.219175,1.0,-6.002665031701327e-13,497.48038,1.0,nan,495.01,100,4949.867032527078,,3.5044917e-18,249986.57978785568,0.009999998,nan
100.0,-8.185452315956354e-13,1.0,0.01,0.01,0.012398093845821967,-2.3283064e-10,-0.010843353,1.0,-8.185452315956354e-13,0.11078859,1.0,nan,500.0,100,4999.870672281051,,3.5044917e-18,0.012398093845821967,0.009999998,nan
100.0,3.7289282772690056e-13,1.0,0.01,0.01,0.012106407573702866,2.0954758e-09,-0.010471719,1.0,3.7289282772690056e-13,0.109477594,1.0,nan,500.0,100,4999.875262203129,,3.5044917e-18,0.012106407573702866,0.009999998,nan
100.0,7.275957614183426e-13,1.0,0.01,0.01,0.013810725515915149,-1.1641532e-09,-0.010043369,1.0,7.275957614183426e-13,0.11692997,1.0,nan,500.0,100,4999.880479758784,,3.5044917e-18,0.013810725515915149,0.009999998,nan
100.0,-2.9103830456733704e-13,1.0,0.01,0.01,0.013426885078539348,4.656613e-10,-0.009509278,1.0,-2.9103830456733704e-13,0.11529361,1.0,nan,500.0,100,4999.886864724929,,3.5044917e-18,0.013426885078539348,0.009999998,nan
100.0,4.2746250983327625e-13,1.0,0.01,0.01,0.013006188249445069,2.3283064e-10,-0.010763026,1.0,4.2746250983327625e-13,0.11347302,1.0,nan,500.0,100,4999.872075422438,,3.5044917e-18,0.013006188249445069,0.009999998,nan
100.0,-4.638422979041934e-13,1.0,0.01,0.01,0.012051587101313635,2.3283064e-10,-0.009775967,1.0,-4.638422979041934e-13,0.109229445,1.0,nan,500.0,100,4999.883239586583,,3.5044917e-18,0.012051587101313635,0.009999998,nan
100.0,-5.911715561524034e-13,1.0,0.01,0.01,0.01276732916339808,-4.656613e-10,-0.010085105,1.0,-5.911715561524034e-13,0.11242622,1.0,nan,500.0,100,4999.879951874516,,3.5044917e-18,0.01276732916339808,0.009999998,nan
100.0,-7.548806024715304e-13,1.0,0.01,0.01,0.015038071680278119,-6.9849193e-10,-0.009916137,1.0,-7.548806024715304e-13,0.12201513,1.0,nan,500.0,100,4999.88198573625,,3.5044917e-18,0.015038071680278119,0.009999998,nan
100.0,9.094947017729283e-14,1.0,0.01,0.01,0.014173634983827961,4.656613e-10,-0.010530882,1.0,9.094947017729283e-14,0.11845631,1.0,nan,500.0,100,4999.874467892636,,3.5044917e-18,0.014173634983827961,0.009999998,nan
100.0,-4.18367562815547e-13,1.0,0.01,0.01,0.015237123662299786,7.566996e-10,-0.010705103,1.0,-4.18367562815547e-13,0.12282,1.0,nan,500.0,100,4999.872643073371,,3.5044917e-18,0.015237123662299786,0.009999998,nan
100.0,2.8194335754960775e-13,1.0,0.01,0.01,0.014026999021921338,-4.656613e-10,-0.0110291075,1.0,2.8194335754960775e-13,0.11784197,1.0,nan,500.0,100,4999.868540199602,,3.5044917e-18,0.014026999021921338,0.009999998,nan
100.0,-2.0008883439004421e-13,1.0,0.01,0.01,249988.59182250316,2.3841858e-07,-4.217592,1.0,-2.0008883439004421e-13,497.48236,1.0,nan,495.01,100,4949.886949073709,,3.5044917e-18,249988.59182250316,0.009999998,nan
100.0,8.094502845779061e-13,1.0,0.01,0.01,0.012169728788628556,4.656613e-10,-0.009202354,1.0,8.094502845779061e-13,0.109763525,1.0,nan,500.0,100,4999.890307764083,,3.5044917e-18,0.012169728788628556,0.009999998,nan
100.0,4.729372449219227e-13,1.0,0.01,0.01,248990.33493388435,-5.00679e-06,-4.2102423,1.0,4.729372449219227e-13,496.4881,1.0,nan,495.02,100,4949.974331542966,,3.5044917e-18,248990.33493388435,0.009999998,nan
100.0,2.7284841053187846e-13,1.0,0.01,0.01,0.010911239350205243,4.656613e-10,-0.0103842905,1.0,2.7284841053187846e-13,0.10393328,1.0,nan,500.0,100,4999.876073230609,,3.5044917e-18,0.010911239350205243,0.009999998,nan
100.0,-3.4560798667371273e-13,1.0,0.01,0.01,249987.33558798,1.5497208e-06,-4.2186604,1.0,-3.4560798667371273e-13,497.4811,1.0,nan,495.01,100,4949.874491747532,,3.5044917e-18,249987.33558798,0.009999998,nan
100.0,3.637978807091713e-14,1.0,0.01,0.01,0.013754876129679044,,-0.010115869,1.0,3.637978807091713e-14,0.1166933,1.0,nan,500.0,100,4999.879592464244,,3.5044917e-18,0.013754876129679044,0.009999998,nan
100.0,-3.637978807091713e-14,1.0,0.01,0.01,0.017039054427740643,1.0040822e-09,-0.010481914,1.0,-3.637978807091713e-14,0.12987942,1.0,nan,500.0,100,4999.875239909768,,3.5044917e-18,0.017039054427740643,0.009999998,nan
100.0,-8.731149137020111e-13,1.0,0.01,0.01,493936.2396864867,6.198883e-06,-8.418731,1.0,-8.731149137020111e-13,699.2831,1.0,nan,490.03,100,4899.969947026018,,3.5044917e-18,493936.2396864867,0.009999998,nan
100.0,-1.8189894035458565e-14,1.0,0.01,0.01,249987.6240193394,5.722046e-06,-4.2184277,1.0,-1.8189894035458565e-14,497.48135,1.0,nan,495.01,100,4949.8773313199035,,3.5044917e-18,249987.6240193394,0.009999998,nan
100.0,-1.7280399333685637e-13,1.0,0.01,0.01,0.015758856470029805,1.1641532e-09,-0.010469842,1.0,-1.7280399333685637e-13,0.124905035,1.0,nan,500.0,100,4999.875251163259,,3.5044917e-18,0.015758856470029805,0.009999998,nan
100.0,-3.4560798667371273e-13,1.0,0.01,0.01,0.012349138217925715,-4.656613e-10,-0.009572386,1.0,-3.4560798667371273e-13,0.11056965,1.0,nan,500.0,100,4999.886117855936,,3.5044917e-18,0.012349138217925715,0.009999998,nan
100.0,1.4551915228366852e-13,1.0,0.01,0.01,0.011197809823575747,,-0.00982706,1.0,1.4551915228366852e-13,0.10528927,1.0,nan,500.0,100,4999.882898345253,,3.5044917e-18,0.011197809823575747,0.009999998,nan
100.0,5.002220859751106e-13,1.0,0.01,0.01,0.014765084351565766,-1.3387762e-09,-0.011454964,1.0,5.002220859751106e-13,0.120902576,1.0,nan,500.0,100,4999.863861131206,,3.5044917e-18,0.014765084351565766,0.009999998,nan
100.0,-2.9103830456733704e-13,1.0,0.01,0.01,0.01638110524482878,6.9849193e-10,-0.012032336,1.0,-2.9103830456733704e-13,0.12734714,1.0,nan,500.0,100,4999.856345640247,,3.5044917e-18,0.01638110524482878,0.009999998,nan
100.0,-1.8189894035458566e-13,1.0,0.01,0.01,0.015227190265319159,,-0.01093341,1.0,-1.8189894035458566e-13,0.12277996,1.0,nan,500.0,100,4999.8699520735645,,3.5044917e-18,0.015227190265319159,0.009999998,nan
100.0,2.8194335754960775e-13,1.0,0.01,0.01,0.01172916985942033,9.313226e-10,-0.009629173,1.0,2.8194335754960775e-13,0.107758425,1.0,nan,500.0,100,4999.885087990041,,3.5044917e-18,0.01172916985942033,0.009999998,nan
100.0,-3.1832314562052486e-13,1.0,0.01,0.01,0.012035881543836481,1.2805685e-09,-0.009280669,1.0,-3.1832314562052486e-13,0.10915825,1.0,nan,500.0,100,4999.888933118078,,3.5044917e-18,0.012035881543836481,0.009999998,nan
100.0,1.1095835361629724e-12,1.0,0.01,0.01,0.012844798588633638,-2.3283064e-10,-0.00833884,1.0,1.1095835361629724e-12,0.112766795,1.0,nan,500.0,100,4999.900451552207,,3.5044917e-18,0.012844798588633638,0.009999998,nan
100.0,-4.911271389573813e-13,1.0,0.01,0.01,0.014978060856387209,-5.820766e-11,-0.009583933,1.0,-4.911271389573813e-13,0.12177143,1.0,nan,500.0,100,4999.886122457043,,3.5044917e-18,0.014978060856387209,0.009999998,nan
100.0,-1.3460521586239338e-12,1.0,0.01,0.01,0.016454213035244084,-7.566996e-10,-0.011850216,1.0,-1.3460521586239338e-12,0.127631,1.0,nan,500.0,100,4999.858910555204,,3.5044917e-18,0.016454213035244084,0.009999998,nan
100.0,-4.0017766878008843e-13,1.0,0.01,0.01,0.011466790651392864,,-0.0093278205,1.0,-4.0017766878008843e-13,0.10654634,1.0,nan,500.0,100,4999.888949783001,,3.5044917e-18,0.011466790651392864,0.009999998,nan
100.0,4.547473508864641e-13,1.0,0.01,0.01,249987.3717827765,-4.7683716e-06,-4.2186174,1.0,4.547473508864641e-13,497.4812,1.0,nan,495.01,100,4949.87485715411,,3.5044917e-18,249987.3717827765,0.009999998,nan
100.0,1.0095391189679504e-12,1.0,0.01,0.01,0.011879342321851671,-9.313226e-10,-0.0115391705,1.0,1.0095391189679504e-12,0.10844606,1.0,nan,500.0,100,4999.862295410916,,3.5044917e-18,0.011879342321851671,0.009999998,nan
100.0,1.0822986951097846e-12,1.0,0.01,0.01,0.013578619030154624,-9.313226e-10,-0.011184438,1.0,1.0822986951097846e-12,0.11594324,1.0,nan,500.0,100,4999.866833313251,,3.5044917e-18,0.013578619030154624,0.009999998,nan
100.0,3.7289282772690056e-13,1.0,0.01,0.01,0.012685768150296936,-4.656613e-10,-0.011387032,1.0,3.7289282772690056e-13,0.11206654,1.0,nan,500.0,100,4999.864221071822,,3.5044917e-18,0.012685768150296936,0.009999998,nan
100.0,-4.4565240386873483e-13,1.0,0.01,0.01,248989.75618137818,-2.026558e-06,-4.210619,1.0,-4.4565240386873483e-13,496.4875,1.0,nan,495.02,100,4949.969587688592,,3.5044917e-18,248989.75618137818,0.009999998,nan
100.0,5.911715561524034e-13,1.0,0.01,0.01,0.012967873297276136,-3.1432137e-09,-0.01097569,1.0,5.911715561524034e-13,0.113305755,1.0,nan,500.0,100,4999.869218204252,,3.5044917e-18,0.012967873297276136,0.009999998,nan
100.0,1.0004441719502211e-13,1.0,0.01,0.01,249989.01182381337,-2.3841858e-07,-4.2172656,1.0,1.0004441719502211e-13,497.4828,1.0,nan,495.01,100,4949.891076410658,,3.5044917e-18,249989.01182381337,0.009999998,nan
100.0,2.091837814077735e-13,1.0,0.01,0.01,0.010110787722965295,5.820766e-10,-0.009839827,1.0,2.091837814077735e-13,0.100048386,1.0,nan,500.0,100,4999.882526967977,,3.5044917e-18,0.010110787722965295,0.009999998,nan
100.0,1.4551915228366852e-13,1.0,0.01,0.01,0.01360139425192277,1.3969839e-09,-0.0112859,1.0,1.4551915228366852e-13,0.11604042,1.0,nan,500.0,100,4999.865391727977,,3.5044917e-18,0.01360139425192277,0.009999998,nan
100.0,-1.4551915228366852e-13,1.0,0.01,0.01,249989.10891435988,4.053116e-06,-4.2171264,1.0,-1.4551915228366852e-13,497.48285,1.0,nan,495.01,100,4949.892078923438,,3.5044917e-18,249989.10891435988,0.009999998,nan
100.0,-4.18367562815547e-13,1.0,0.01,0.01,0.011486647761698046,2.3283064e-10,-0.010257848,1.0,-4.18367562815547e-13,0.10663855,1.0,nan,500.0,100,4999.877824148079,,3.5044917e-18,0.011486647761698046,0.009999998,nan
100.0,1.6370904631912708e-13,1.0,0.01,0.01,249986.11328705694,-2.3841858e-06,-4.2196217,1.0,1.6370904631912708e-13,497.4799,1.0,nan,495.01,100,4949.862373979135,,3.5044917e-18,249986.11328705694,0.009999998,nan
100.0,-4.3655745685100554e-13,1.0,0.01,0.01,0.014568160907391546,1.2514647e-09,-0.010712709,1.0,-4.3655745685100554e-13,0.12009363,1.0,nan,500.0,100,4999.87249577747,,3.5044917e-18,0.014568160907391546,0.009999998,nan
100.0,-1.2732925824820997e-13,1.0,0.01,0.01,0.013491818021486903,,-0.01052953,1.0,-1.2732925824820997e-13,0.11557206,1.0,nan,500.0,100,4999.874613554229,,3.5044917e-18,0.013491818021486903,0.009999998,nan
100.0,4.2746250983327625e-13,1.0,0.01,0.01,0.013904110636555047,2.3283064e-09,-0.010965647,1.0,4.2746250983327625e-13,0.11732463,1.0,nan,500.0,100,4999.869403202482,,3.5044917e-18,0.013904110636555047,0.009999998,nan
100.0,7.457856554538011e-13,1.0,0.01,0.01,0.012412495020228148,-2.910383e-10,-0.009586178,1.0,7.457856554538011e-13,0.11085292,1.0,nan,500.0,100,4999.885859888925,,3.5044917e-18,0.012412495020228148,0.009999998,nan
100.0,-2.2737367544323206e-13,1.0,0.01,0.01,249986.0412418334,-1.3113022e-06,-4.2197213,1.0,-2.2737367544323206e-13,497.47986,1.0,nan,495.01,100,4949.8616330949635,,3.5044917e-18,249986.0412418334,0.009999998,nan
100.0,2.091837814077735e-13,1.0,0.01,0.01,0.011655243105032013,1.3969839e-09,-0.0109572075,1.0,2.091837814077735e-13,0.10741829,1.0,nan,500.0,100,4999.869690109224,,3.5044917e-18,0.011655243105032013,0.009999998,nan
100.0,6.366462912410498e-14,1.0,0.01,0.01,0.012030979648155502,,-0.009530169,1.0,6.366462912410498e-14,0.109136015,1.0,nan,500.0,100,4999.88660022658,,3.5044917e-18,0.012030979648155502,0.009999998,nan
100.0,-1.1823431123048067e-13,1.0,0.01,0.01,0.013421625026826776,-1.1641532e-10,-0.010629253,1.0,-1.1823431123048067e-13,0.115271024,1.0,nan,500.0,100,4999.873506837448,,3.5044917e-18,0.013421625026826776,0.009999998,nan
100.0,2.2737367544323206e-13,1.0,0.01,0.01,0.016067783183294795,2.73576e-09,-0.010890524,1.0,2.2737367544323206e-13,0.12612337,1.0,nan,500.0,100,4999.86984640705,,3.5044917e-18,0.016067783183294795,0.009999998,nan
100.0,-6.002665031701327e-13,1.0,0.01,0.01,0.013196723338203613,-3.4924597e-10,-0.009497701,1.0,-6.002665031701327e-13,0.11430115,1.0,nan,500.0,100,4999.886961416903,,3.5044917e-18,0.013196723338203613,0.009999998,nan
100.0,-2.0008883439004421e-13,1.0,0.01,0.01,0.01598002908030229,-1.3969839e-09,-0.009551907,1.0,-2.0008883439004421e-13,0.12577848,1.0,nan,500.0,100,4999.886151760739,,3.5044917e-18,0.01598002908030229,0.009999998,nan
100.0,-1.546140993013978e-13,1.0,0.01,0.01,249987.1867826185,-4.7683716e-07,-4.21878,1.0,-1.546140993013978e-13,497.481,1.0,nan,495.01,100,4949.873012425786,,3.5044917e-18,249987.1867826185,0.009999998,nan
