MaxNormIw,Bound,ESSClassic,MaxVanillaIw,MinVanillaIw,AvgDiscRet,MinNormIw,AvgEpLen,ESSRenyi,VarVanillaIw,AvgVanillaIw,VarJ,VarRet,J,VanillaAvgRet,AvgNormIw,eRenyi2,AvgRet,VarNormIw,VarDiscRet,BatchSize
1.0,6182474.5,1.0,654055.4,,-1.0587086762825493e-14,,8.98,0.00070193672018532,4277886200.0,6540.5537,9.65664e-08,12414.200999294342,949.86584,79.74702847706696,0.01,142462.98,-1.0587086762825493e-14,0.010000003,12414.200999294342,100
1.0,1189041.9,1.0,66119.71,,-1.0061285138363019e-13,,60.52,0.004215144255902725,43718170.0,661.1971,3.6672027e-11,213077.90415310653,1834.2789,594.9768474292191,0.01,23723.98,-1.0061285138363019e-13,0.010000003,213077.90415310653,100
1.0,4935965.5,1.0,156133.47,,-2.569322532508522e-13,,180.81,0.0018199613215563826,243776600.0,1561.3347,,1770497.2299094999,3201.8325,1797.9701564157167,0.01,54946.223,-2.569322532508522e-13,0.010000002,1770497.2299094999,100
1.0,296792.7,1.0,10735.375,,-3.9335645851679146e-13,,197.63,0.007826940834824261,1152483.2,107.35375,1.9181934e-09,1872423.450366381,3033.4282,1966.5095103791784,0.01,12776.384,-3.9335645851679146e-13,0.0100000035,1872423.450366381,100
0.99999666,578782.7,1.0000067122417713,19204.682,,1.0913936421275138e-13,,190.61,0.02291527758647524,3688199.0,192.04745,0.0025496623,1886058.6955876169,3103.6086,1895.917572612334,0.01,4363.901,1.0913936421275138e-13,0.009999935,1886058.6955876169,100
0.9996802,130136.8,1.0006399177406045,4778.9053,,-9.322320693172514e-14,,163.36,0.0955072868608928,228377.92,47.80434,10.190749,1724495.1130585477,2914.6177,1623.5778322930375,0.01,1047.0405,-9.322320693172514e-14,0.009993542,1724495.1130585477,100
0.25976017,286.67993,8.443072928811302,39.38919,1.1792554e-10,9.777068044058978e-14,7.776844e-13,189.52,6.574695320855422,25.186306,1.5163677,6657.78,1598149.1970138778,863.3126,1884.991900501532,0.01,15.20983,9.777068044058978e-14,0.0010953564,1598149.1970138778,100
0.029550968,-162.57082,83.22127337027601,2.9827323,0.19944611,5.456968210637569e-14,0.0019759822,192.36,70.23665979059304,0.20747936,1.0093518,1718.0355,2253254.370302722,145.9979,1913.5481297775339,0.01,1.4237579,5.456968210637569e-14,2.0365249e-05,2253254.370302722,100
0.010000078,-255.2785,99.99998855590744,1.0000076,0.9999833,-1.5916157281026246e-14,0.009999835,197.68,100.0,1.4068029e-11,0.9999998,1436.7615,2085132.3104035638,0.0004348755,1966.8180677163255,0.01,1.0,-1.5916157281026246e-14,1.4044163e-15,2085132.3104035638,100
0.01,-256.44037,100.0,1.0,1.0,4.069988790433854e-13,0.01,196.29,100.0,,1.0,1392.1367,1957620.877227581,-1.9073486e-06,1953.0189361940688,0.009999998,1.0,4.069988790433854e-13,3.5044917e-18,1957620.877227581,100
0.06526837,-39.38983,38.025535861682,8.380623,0.0039389394,-1.77351466845721e-13,3.0676496e-05,202.79,33.490414403060264,2.714247,1.2840253,2786.6697,1956023.1959077406,307.06943,2017.9993037982763,0.010000003,2.985929,-1.77351466845721e-13,0.00016462745,1956023.1959077406,100
0.39875057,1634.7185,6.05828868489879,68.97948,0.1679906,6.593836587853729e-14,0.0009711055,205.48,16.18768886197912,46.87167,1.7298903,6718.739,2103830.0449581905,1302.2988,2045.0368445373713,0.01,6.177534,6.593836587853729e-14,0.001566294,2103830.0449581905,100
0.28621858,574.5066,7.108543925947605,34.92026,1.14439805e-10,8.412825991399586e-14,9.379884e-13,224.71,7.488667827915244,19.64804,1.2200557,3671.4153,2455136.552983581,1167.2689,2237.298009753307,0.01,13.35351,8.412825991399586e-14,0.0013199575,2455136.552983581,100
0.01,-247.08008,100.0,1.0,1.0,-7.048583938740194e-14,0.01,207.43,100.0,,1.0,1413.1277,2017100.7848971772,1.1920929e-06,2064.0777182310003,0.009999998,1.0,-7.048583938740194e-14,3.5044917e-18,2017100.7848971772,100
0.01,-235.21309,100.0,1.0,1.0,-3.6834535421803596e-13,0.01,221.46,100.0,,1.0,1586.5435,2542545.813480491,7.6293945e-06,2205.237091426912,0.009999998,1.0,-3.6834535421803596e-13,3.5044917e-18,2542545.813480491,100
0.01,-228.08546,100.0,1.0,1.0,-2.660272002685815e-13,0.01,229.92,100.0,,1.0,1592.9294,2563054.5191136985,1.5258789e-05,2289.9273186292917,0.009999998,1.0,-2.660272002685815e-13,3.5044917e-18,2563054.5191136985,100
0.01,-256.04376,100.0,1.0,1.0,-3.092281986027956e-13,0.01,196.79,100.0,,1.0,1353.4998,1850466.2423094,6.198883e-06,1957.7009539204464,0.009999998,1.0,-3.092281986027956e-13,3.5044917e-18,1850466.2423094,100
0.01,-240.92657,100.0,1.0,1.0,4.774847184307873e-14,0.01,214.72,100.0,,1.0,1512.2498,2309999.471898509,,2137.2946014139593,0.009999998,1.0,4.774847184307873e-14,3.5044917e-18,2309999.471898509,100
0.01,-242.94661,100.0,1.0,1.0,1.3869794202037155e-13,0.01,212.29,100.0,,1.0,1463.2816,2162821.1952012647,2.861023e-05,2113.3102359429977,0.009999998,1.0,1.3869794202037155e-13,3.5044917e-18,2162821.1952012647,100
0.01,-241.9618,100.0,1.0,1.0,-4.25188773078844e-13,0.01,213.46,100.0,,1.0,1509.6631,2302103.423386667,7.6293945e-06,2125.01836034748,0.009999998,1.0,-4.25188773078844e-13,3.5044917e-18,2302103.423386667,100
0.01,-228.92793,100.0,1.0,1.0,6.139089236967266e-14,0.01,228.94,100.0,,1.0,1565.4532,2475397.7887040703,-1.8119812e-05,2279.891157127284,0.009999998,1.0,6.139089236967266e-14,3.5044917e-18,2475397.7887040703,100
0.01,-258.37408,100.0,1.0,1.0,1.341504685115069e-13,0.01,194.0,100.0,,1.0,1376.589,1914138.8484657162,-9.536743e-06,1929.698877307946,0.009999998,1.0,1.341504685115069e-13,3.5044917e-18,1914138.8484657162,100
0.01,-245.34639,100.0,1.0,1.0,2.0008883439004421e-13,0.01,209.46,100.0,,1.0,1367.0026,1887571.9362920772,-3.8146973e-06,2084.800996685029,0.009999998,1.0,2.0008883439004421e-13,3.5044917e-18,1887571.9362920772,100
0.01,-245.12012,100.0,1.0,1.0,-4.3655745685100554e-13,0.01,209.71,100.0,,1.0,1512.9652,2312185.6319071427,-2.4795532e-05,2087.524449020578,0.009999998,1.0,-4.3655745685100554e-13,3.5044917e-18,2312185.6319071427,100
0.01,-265.59293,100.0,1.0,1.0,1.9326762412674725e-13,0.01,185.45,100.0,,1.0,1249.4785,1576966.3935269145,-1.6212463e-05,1844.2072860497601,0.009999998,1.0,1.9326762412674725e-13,3.5044917e-18,1576966.3935269145,100
0.01,-260.0154,100.0,1.0,1.0,1.8189894035458565e-14,0.01,192.08,100.0,,1.0,1223.8087,1512836.1847408381,-4.7683716e-06,1910.4811786581665,0.009999998,1.0,1.8189894035458565e-14,3.5044917e-18,1512836.1847408381,100
0.01,-232.60455,100.0,1.0,1.0,2.2737367544323206e-13,0.01,224.58,100.0,,1.0,1529.348,2362530.745925534,1.1444092e-05,2236.209760194704,0.009999998,1.0,2.2737367544323206e-13,3.5044917e-18,2362530.745925534,100
0.01,-232.52261,100.0,1.0,1.0,-2.2509993868879974e-13,0.01,224.67,100.0,,1.0,1546.4144,2415553.2295722277,-3.8146973e-06,2237.2061118434945,0.009999998,1.0,-2.2509993868879974e-13,3.5044917e-18,2415553.2295722277,100
0.01,-275.01266,100.0,1.0,1.0,1.7053025658242404e-13,0.01,174.25,100.0,,1.0,1335.1323,1800584.1807425742,,1732.3459068949724,0.009999998,1.0,1.7053025658242404e-13,3.5044917e-18,1800584.1807425742,100
0.01,-242.25609,100.0,1.0,1.0,1.1823431123048067e-13,0.01,213.13,100.0,,1.0,1524.0775,2346275.1460557804,1.9073486e-06,2121.510053405242,0.009999998,1.0,1.1823431123048067e-13,3.5044917e-18,2346275.1460557804,100
0.01,-260.96973,100.0,1.0,1.0,1.7962520360015334e-13,0.01,190.93,100.0,,1.0,1396.6967,1970466.3420263464,,1899.1137102587882,0.009999998,1.0,1.7962520360015334e-13,3.5044917e-18,1970466.3420263464,100
0.01,-262.35266,100.0,1.0,1.0,1.0231815394945443e-13,0.01,189.25,100.0,,1.0,1468.3695,2177887.803569377,-5.722046e-06,1882.770125674139,0.009999998,1.0,1.0231815394945443e-13,3.5044917e-18,2177887.803569377,100
0.01,-268.2776,100.0,1.0,1.0,2.7284841053187846e-14,0.01,182.22,100.0,,1.0,1436.1525,2083367.5425717721,-2.2888184e-05,1812.2672303702773,0.009999998,1.0,2.7284841053187846e-14,3.5044917e-18,2083367.5425717721,100
0.01,-256.64392,100.0,1.0,1.0,3.240074875066057e-13,0.01,196.06,100.0,,1.0,1309.4794,1732057.0343110159,1.1444092e-05,1950.600485115765,0.009999998,1.0,3.240074875066057e-13,3.5044917e-18,1732057.0343110159,100
0.01,-236.58052,100.0,1.0,1.0,2.0463630789890885e-14,0.01,219.89,100.0,,1.0,1461.5199,2157616.76545445,-1.7166138e-05,2188.9903048114834,0.009999998,1.0,2.0463630789890885e-14,3.5044917e-18,2157616.76545445,100
