Bound,ESSRenyi,MinNormIw,VarVanillaIw,AvgNormIw,VanillaAvgRet,J,AvgVanillaIw,VarNormIw,AvgRet,ESSClassic,BatchSize,eRenyi2,MinVanillaIw,VarRet,MaxNormIw,AvgEpLen,VarDiscRet,VarJ,MaxVanillaIw,AvgDiscRet
2216.8682,19.905812560065495,4.1149275e-25,4.8476844,0.009999999,-2654.305220661724,2608.2952,1.3073615,0.00028362402,4.956746124662459e-13,26.261349713607185,100,5.0236583,5.3796975e-23,5688470.842681565,0.055255238,200.0,5688470.842681565,121.99887,7.223857,4.956746124662459e-13
1.7322445,52.89842561026473,4.89941e-09,0.90633,0.01,-11.04118860609056,4.221093,1.0686349,7.936474e-05,-1.4921397450962103e-15,56.00010331219731,100,1.8904154,5.235681e-07,490.41399611364017,0.02405559,200.0,490.41399611364017,8.648615,2.5706644,-1.4921397450962103e-15
4.2126985,1.712022309372745,,18.492186,0.01,-8.664100464420137,7.436806,0.8602338,0.0024989373,1.1901590823981679e-15,3.88508257673731,100,58.410454,,57.09477639826478,0.34128857,200.0,57.09477639826478,4.858338,29.358795,1.1901590823981679e-15
0.11872518,nan,0.0044548763,4.2281778e-22,0.01,-9.269714732264541,1.8352364,8.22593e-12,0.00062486064,-4.618527782440651e-16,13.915714653271676,100,nan,3.6645504e-12,57.966332415812026,0.25230616,200.0,57.966332415812026,15.526959,2.075453e-10,-4.618527782440651e-16
914.2948,19.05613282679376,,3.6014628,0.01,-4888.107040272842,1096.9663,0.9411161,0.00040662353,3.637978807091713e-14,19.898230273039314,100,5.2476544,,938713.6945532303,0.07848276,200.0,938713.6945532303,407.46143,7.3861394,3.637978807091713e-14
88.661934,0.521116277886273,,0.23079115,0.010000002,-3847.99965629377,189.97498,0.08260909,0.0033819193,-3.774403012357652e-13,2.9001467560277367,100,191.89575,,42085.024037028146,0.5146555,200.0,42085.024037028146,358.25348,4.251522,-3.774403012357652e-13
108.4497,1.6828642176424957,,190.54474,0.009999999,-3830.8924045122317,208.63028,2.4139695,0.0032698924,3.228706191293895e-13,2.996529946084898,100,59.4225,,42516.99822570505,0.34809002,200.0,42516.99822570505,82.12605,84.02787,3.228706191293895e-13
-16.375656,47.083192125800224,0.0071556238,0.20311588,0.010000002,-3858.090984522498,5.0998983,0.92609346,2.3682866e-05,-5.32054400537163e-13,81.00705213952612,100,2.1239002,0.66267765,52818.8029134127,0.039670736,200.0,52818.8029134127,220.1698,3.6738808,-5.32054400537163e-13
32.409378,10.764914691282879,1.0488291e-16,5.3143845,0.01,-3876.265016425532,102.99043,0.6726053,0.001174715,,7.917857719248819,100,9.289437,7.05448e-15,55764.908347358214,0.24755648,200.0,55764.908347358214,385.2138,16.65078,
-16.046932,51.34612523078221,0.0058820173,0.16133848,0.01,-3851.2091228891964,3.2942429,0.8739965,2.1121201e-05,1.014086592476815e-12,82.70615395918252,100,1.9475666,0.51408625,43740.167626917675,0.029206412,200.0,43740.167626917675,212.20744,2.5526302,1.014086592476815e-12
46.47162,4.425730025808767,,26.507069,0.01,-3838.363941423672,128.48262,1.1300122,0.002075848,5.138645065017044e-13,4.64017957166205,100,22.595142,,44122.07328809834,0.2833334,200.0,44122.07328809834,471.59796,32.017017,5.138645065017044e-13
35.82393,4.7977450790290664e-20,,,0.01,-3822.0342443652503,219.35153,4.192981e-37,0.010000003,-6.821210263296962e-13,inf,100,2.0843125e+21,,47618.94024227294,1.0,200.0,47618.94024227294,,4.192981e-35,-6.821210263296962e-13
104.43592,6.578849212097956,,12.125101,0.01,-3844.612452554197,183.0387,0.86120695,0.0016348212,-6.366462912410498e-14,5.819120730960203,100,15.200227,,50828.825404625204,0.2493059,200.0,50828.825404625204,184.25648,21.470398,-6.366462912410498e-14
35.784462,6.841016768246934,,51.91241,0.009999999,-3820.295230675237,78.11484,2.8924644,0.0006204906,1.0004441719502211e-13,14.000002950203134,100,14.61771,,35465.75625902683,0.07142857,200.0,35465.75625902683,365.32275,20.660458,1.0004441719502211e-13
-18.009396,100.0,0.01,,0.009999998,-3837.8054173154756,-7.1525574e-07,1.0,3.5044917e-18,6.45741238258779e-13,100.0,100,1.0,1.0,45853.78952848211,0.01,200.0,45853.78952848211,213.06161,1.0,6.45741238258779e-13
-17.175644,100.0,0.01,,0.009999998,-3846.2492442859807,-1.847744e-06,1.0,3.5044917e-18,-4.865796654485166e-13,100.0,100,1.0,1.0,41706.424997536335,0.01,200.0,41706.424997536335,203.19785,1.0,-4.865796654485166e-13
-17.917082,100.0,0.01,,0.009999998,-3858.1085906702297,-4.7683716e-07,1.0,3.5044917e-18,-6.09361450187862e-13,100.0,100,1.0,1.0,45384.907946639265,0.01,200.0,45384.907946639265,211.96948,1.0,-6.09361450187862e-13
-19.392988,100.0,0.01,,0.009999998,-3842.6862203293804,-7.1525574e-07,1.0,3.5044917e-18,-3.54702933691442e-13,100.0,100,1.0,1.0,53169.973643901394,0.01,200.0,53169.973643901394,229.43033,1.0,-3.54702933691442e-13
-18.303148,100.0,0.01,,0.009999998,-3844.6234632547666,1.9073486e-06,1.0,3.5044917e-18,2.1373125491663812e-13,100.0,100,1.0,1.0,47361.84380611389,0.01,200.0,47361.84380611389,216.5369,1.0,2.1373125491663812e-13
-17.299572,100.0,0.01,,0.009999998,-3826.3811557906347,-9.536743e-07,1.0,3.5044917e-18,6.912159733474255e-13,100.0,100,1.0,1.0,42310.44548887923,0.01,200.0,42310.44548887923,204.66397,1.0,6.912159733474255e-13
-18.02452,100.0,0.01,,0.009999998,-3869.2274548801324,-1.3113022e-06,1.0,3.5044917e-18,1.6825651982799172e-13,100.0,100,1.0,1.0,45930.826904681875,0.01,200.0,45930.826904681875,213.24052,1.0,1.6825651982799172e-13
-17.325203,100.0,0.01,,0.009999998,-3821.1690917076194,-1.4305115e-06,1.0,3.5044917e-18,6.366462912410497e-13,100.0,100,1.0,1.0,42435.91843808479,0.01,200.0,42435.91843808479,204.96721,1.0,6.366462912410497e-13
-17.838352,100.0,0.01,,0.009999998,-3808.3532395213697,2.861023e-06,1.0,3.5044917e-18,-5.502442945726216e-13,100.0,100,1.0,1.0,44986.94579666173,0.01,200.0,44986.94579666173,211.03809,1.0,-5.502442945726216e-13
-16.154427,76.30232340471437,3.1423036e-17,0.028278217,0.010000003,-3819.5855483318815,1.6132007,1.6647967,1.0203039e-06,4.729372449219227e-13,99.00000704321147,100,1.3105761,5.231297e-15,44184.609752537835,0.010101011,200.0,44184.609752537835,210.63724,1.681613,4.729372449219227e-13
-17.956593,100.0,0.01,,0.009999998,-3836.60024677294,4.7683716e-07,1.0,3.5044917e-18,1.6825651982799172e-13,100.0,100,1.0,1.0,45585.30166566154,0.01,200.0,45585.30166566154,212.43692,1.0,1.6825651982799172e-13
-18.31643,100.0,0.01,,0.009999998,-3856.1929608366427,-9.536743e-07,1.0,3.5044917e-18,-1.0004441719502211e-13,100.0,100,1.0,1.0,47430.59513861528,0.01,200.0,47430.59513861528,216.69398,1.0,-1.0004441719502211e-13
-16.706701,100.0,0.01,,0.009999998,-3837.971559271248,4.7683716e-07,1.0,3.5044917e-18,-8.185452315956354e-14,100.0,100,1.0,1.0,39460.11878250213,0.01,200.0,39460.11878250213,197.65,1.0,-8.185452315956354e-14
