VarJ,MinVanillaIw,AvgDiscRet,AvgRet,VarDiscRet,BatchSize,VarRet,VanillaAvgRet,MaxNormIw,MaxVanillaIw,eRenyi2,VarNormIw,MinNormIw,ESSRenyi,VarVanillaIw,J,AvgEpLen,ESSClassic,AvgNormIw,AvgVanillaIw,Bound
466.36606,4.8074486e-32,116.11656713830943,116.11656713830943,5068.280106981779,100,5068.280106981779,116.11656713830943,0.8518196,92.57675,26.753542,0.0072567775,4.4234417e-34,3.7378228348345686,85.714134,458.412,12.62,1.3728326084524753,0.01,1.0868118,236.48215
3341.2163,6.0579563e-15,359.46141977454266,359.46141977454266,290999.0002143841,100,290999.0002143841,359.46141977454266,0.9230984,69.49752,21.908432,0.008512644,8.046459e-17,4.5644526257651705,48.25108,4657.135,36.95,1.1726745795552516,0.0100000035,0.7528723,2687.5115
1541.9752,7.158829e-21,1362.677979810304,1362.677979810304,2768069.4351710877,100,2768069.4351710877,1362.677979810304,0.15641503,25.89788,10.379773,0.0009980183,4.323707e-23,9.6341219265267,27.35962,4630.3926,137.16,9.190853617445807,0.01,1.6557156,3274.64
250.91367,0.0031362062,4460.334705526018,4460.334705526018,1490437.2334884682,100,1490437.2334884682,4460.334705526018,0.027450982,2.6846347,1.6206497,6.896507e-05,3.20684e-05,61.70364902671903,0.65960485,4925.539,446.25,59.4263837450317,0.01,0.977974,4389.827
167.96019,0.2321436,4929.359580048031,4929.359580048031,246385.09474608957,100,246385.09474608957,4929.359580048031,0.017166406,1.6690905,1.0839239,9.632647e-06,0.0023875705,92.25739619623094,0.091063984,4976.895,492.97,91.29392495592325,0.01,0.97230047,4538.782
175.3584,0.52173984,4966.300155759276,4966.300155759276,112924.12916146149,100,112924.12916146149,4966.300155759276,0.01291474,1.2911334,1.0303744,2.6400353e-06,0.0052187745,97.05209994160867,0.026386434,4982.377,496.65,97.45293958340831,0.01,0.9997363,4555.223
98.00391,0.13367881,4925.571584023129,4925.571584023129,184794.38765936735,100,184794.38765936735,4925.571584023129,0.015225504,1.4336493,1.0769073,1.0832288e-05,0.0014196828,92.85850520818977,0.096042335,4984.242,492.6,90.31468824554952,0.01,0.9416104,4547.55
129.22769,0.2351089,4927.976786286259,4927.976786286259,251240.45227302343,100,251240.45227302343,4927.976786286259,0.015457179,1.4886849,1.0831268,1.0351136e-05,0.0024411615,92.32529518730396,0.09601369,4979.527,492.85,90.70488993423147,0.010000002,0.9631026,4541.575
0.10316464,0.9988808,4999.9120786580925,4999.9120786580925,0.01075725157085309,100,0.01075725157085309,4999.9120786580925,0.010005636,1.0005263,1.0,9.433916e-12,0.009989181,100.0,9.432953e-08,4999.9126,500.0,99.9999771109664,0.01,0.9999627,4579.102
0.17489585,1.0,4999.89273700974,4999.89273700974,0.030892110141453707,100,0.030892110141453707,4999.89273700974,0.01,1.0,1.0,3.5044917e-18,0.01,100.0,,4999.893,500.0,100.0,0.009999998,1.0,4579.0825
62.16191,0.222704,4972.01628573662,4972.01628573662,77867.69899789427,100,77867.69899789427,4972.01628573662,0.011880353,1.1912043,1.0278113,3.3535791e-06,0.0022211152,97.29412498814067,0.03371494,4993.723,497.22,96.78665139031727,0.01,1.0026674,4567.101
0.10463158,0.99617296,4999.905275608027,4999.905275608027,0.011079927066860758,100,0.011079927066860758,4999.905275608027,0.010016068,1.0015347,1.0000007,1.28992e-10,0.009962446,99.99992847447743,1.2897272e-06,4999.906,500.0,99.99987792101626,0.01,0.99992806,4579.095
0.213305,0.9973573,4999.896005420205,4999.896005420205,0.04610230950226658,100,0.04610230950226658,4999.896005420205,0.010007133,1.0007474,1.0000001,3.014602e-11,0.009973233,99.99998807907247,3.0148033e-07,4999.8965,500.0,99.9999694834719,0.01,1.0000342,4579.086
