VarVanillaIw,VarJ,eRenyi2,MaxVanillaIw,ESSClassic,MinVanillaIw,J,VarNormIw,BatchSize,ESSRenyi,MaxNormIw,AvgEpLen,AvgDiscRet,VarDiscRet,Bound,AvgNormIw,AvgVanillaIw,AvgRet,MinNormIw,VarRet
494.60355,1253.3848,18.639019,222.5151,1.385000363510113,4.0848033e-07,887.60175,0.0071921367,100,5.365089221337151,0.84851557,8.98,79.74702847706696,12414.200999294342,513.4893,0.010000003,2.6224046,79.74702847706696,1.5576557e-09,12414.200999294342
33.081825,839.6893,25.466997,57.527317,1.1427731685190363,,1338.6682,0.008738025,100,3.9266506146887954,0.9349449,16.74,157.31870971232868,45535.12527020493,735.7026,0.01,0.61530167,157.31870971232868,,45535.12527020493
28.420368,2485.633,17.108383,39.485382,4.813472248433416,,4538.1797,0.0019974771,100,5.845087695045107,0.33102626,90.5,895.7090835472189,1901535.6635271355,2797.6147,0.01,1.1928172,895.7090835472189,,1901535.6635271355
1.2846764,402.60263,2.0280278,4.2245913,49.08443147425555,0.00037039557,4887.0986,0.00010477833,100,49.30898942120215,0.03815255,386.13,3857.9058708140383,3313422.34235169,4287.827,0.010000002,1.1072893,3857.9058708140383,3.3450658e-06,3313422.34235169
0.40710005,150.8744,1.3999898,2.2196743,68.86878082218303,0.008821986,4958.0913,4.5660283e-05,100,71.42908962781398,0.02350758,462.41,4622.556902311916,1190933.5646203372,4460.1836,0.01,0.94423765,4622.556902311916,9.342971e-05,1190933.5646203372
0.13077272,167.372,1.1216834,2.0786996,88.72819495584844,0.14671528,4968.0244,1.2832103e-05,100,89.15171931954579,0.02059122,487.96,4878.959503546849,393233.95406957506,4522.3457,0.009999999,1.0095078,4878.959503546849,0.0014533349,393233.95406957506
0.049377214,131.41878,1.0434756,1.3279161,95.20285292286259,0.2764157,4981.2964,5.0897775e-06,100,95.83357514667598,0.013482073,495.44,4954.056841464648,126126.81668152807,4551.4355,0.01,0.98494947,4954.056841464648,0.0028063948,126126.81668152807
5.6927536e-07,0.17375013,1.0000004,1.0011505,99.99993896636643,0.9979403,4999.897,5.692441e-11,100,99.99996423722592,0.0100112595,500.0,4999.896611819189,0.030582114772294396,4579.0864,0.010000002,1.0000244,4999.896611819189,0.009979159,0.030582114772294396
6.6108754e-07,0.35823718,1.0000023,1.0009903,99.99992751719132,0.99744576,4999.873,6.611552e-11,100,99.99977350286287,0.0100104,500.0,4999.87242626877,0.13023053357246725,4579.062,0.01,0.99995035,4999.87242626877,0.009974953,0.13023053357246725
0.020908905,86.88083,1.0216595,1.1871597,98.00975911295059,0.42133233,4991.228,2.051182e-06,100,97.8799694433136,0.011758329,497.93,4979.1112469812815,43263.64684857703,4565.885,0.01,1.009633,4979.1112469812815,0.0041731237,43263.64684857703
1.1955321e-06,0.07011907,1.000001,1.0023499,99.99988175365546,0.9963486,4999.927,1.1953331e-10,100,99.99990463265931,0.010022721,500.0,4999.926183461173,0.004969462352402285,4579.116,0.01,1.0000775,4999.926183461173,0.009962714,0.004969462352402285
0.03768221,53.256645,1.0267067,1.1862926,96.25872909223584,0.18369967,4994.589,3.9259535e-06,100,97.3987999033978,0.012108664,497.18,4971.573966432739,80136.80014758254,4568.1963,0.01,0.97970563,4971.573966432739,0.0018750496,80136.80014758254
0.038812704,87.07453,1.0308232,1.3126922,96.1884833157391,0.23659736,4987.598,4.002589e-06,100,97.00984321810645,0.013330499,496.66,4966.275839410375,68545.39030710158,4560.3516,0.01,0.98472846,4966.275839410375,0.002402666,68545.39030710158
2.8925615e-07,0.10646592,1.0000002,1.0015626,99.9999771122237,0.9987455,4999.9106,2.8924396e-11,100,99.99997615814777,0.0100154495,500.0,4999.91042700689,0.011465206249964742,4579.1,0.01,1.0000176,4999.91042700689,0.009987279,0.011465206249964742
3.2306523e-06,0.09670165,1.000003,1.0019767,99.99967192723086,0.992127,4999.921,3.2308328e-10,100,99.9997019776643,0.01002006,500.0,4999.919788977769,0.00948841167434467,4579.11,0.010000002,0.9999707,4999.919788977769,0.009921561,0.00948841167434467
