AvgEpLen,AvgDiscRet,VarJ,AvgVanillaIw,Bound,BatchSize,VarVanillaIw,MinVanillaIw,ESSRenyi,VarDiscRet,VarNormIw,J,VarRet,ESSClassic,MinNormIw,MaxVanillaIw,MaxNormIw,eRenyi2,AvgNormIw,AvgRet
8.17,71.65136129678241,62.091526,0.9937559,-348.03522,100,0.006461324,0.7607976,99.45001771784442,3435.9942763385857,6.5427776e-07,73.93736,3435.9942763385857,99.35643446916797,0.00765578,1.1515846,0.011588205,1.0055302,0.01,71.65136129678241
9.09,80.85225142277775,83.11475,1.0068759,-337.93964,100,0.013510919,0.7708967,98.99634797455738,5842.63762164039,1.3327017e-06,84.9987,5842.63762164039,98.6978030024755,0.0076563223,1.411025,0.014013892,1.0101383,0.01,80.85225142277775
9.13,81.24752796050065,74.47929,1.0073535,-338.2972,100,0.006399718,0.85593235,99.38522584804831,4939.425169955736,6.306625e-07,83.81289,4939.425169955736,99.37953001898866,0.008496841,1.2172292,0.012083435,1.0061858,0.01,81.24752796050065
10.0,89.94314703922724,76.19917,1.0080739,-329.1643,100,0.010423147,0.77642393,99.19655197532043,5251.805916058301,1.0256853e-06,93.34701,5251.805916058301,98.99479336064468,0.007702054,1.3586439,0.0134776225,1.0080996,0.009999999,89.94314703922724
9.66,86.54974304465291,97.044106,0.98744583,-331.2018,100,0.018320668,0.64654934,98.42108264260929,7669.047245832914,1.8789478e-06,92.970695,7669.047245832914,98.17380772151988,0.006547694,1.4206876,0.014387499,1.0160425,0.01,86.54974304465291
8.99,79.84262762927361,69.913956,1.0033303,-339.46585,100,0.0068639894,0.8284194,99.26577288979375,4265.665063740807,6.818499e-07,82.898094,4265.665063740807,99.32949151072854,0.008256696,1.2514492,0.012472953,1.0073966,0.01,79.84262762927361
12.14,111.3405475287407,259.257,1.0213022,-299.9345,100,0.0927756,0.5109856,94.59117091277473,23757.956870601338,8.894575e-06,132.74005,23757.956870601338,91.90699561947471,0.005003275,2.1868937,0.021412795,1.0571811,0.010000002,111.3405475287407
11.37,103.63708437154978,110.05307,0.98525953,-314.89774,100,0.011514069,0.7475311,98.78004651086661,9538.580735052148,1.186117e-06,108.50341,9538.580735052148,98.83938242775814,0.0075871493,1.2184201,0.0123664895,1.0123502,0.01,103.63708437154978
14.42,134.13158125580662,178.09763,1.0022482,-279.85742,100,0.04557289,0.5024529,96.3653659855143,23039.9416238937,4.536867e-06,148.81558,23039.9416238937,95.70155925029468,0.0050132587,2.0127099,0.02008195,1.0377172,0.01,134.13158125580662
12.18,111.73352565312325,112.85144,0.9885881,-305.96655,100,0.015212409,0.67912924,98.43368253166975,10199.140629109725,1.5565652e-06,118.17888,10199.140629109725,98.48238695457304,0.0068696886,1.288917,0.013037957,1.0159124,0.010000002,111.73352565312325
10.9,98.92739213221299,93.319084,0.9734669,-318.5062,100,0.017408706,0.6627895,98.28028988006643,7001.0043348610325,1.8370636e-06,105.96981,7001.0043348610325,98.21382440104631,0.0068085473,1.3510504,0.013878751,1.017498,0.01,98.92739213221299
15.75,147.41895579714517,163.76294,1.0106279,-269.1798,100,0.01748268,0.64755607,97.6537215792447,21937.198827857515,1.7116914e-06,156.65607,21937.198827857515,98.33366901221193,0.0064074635,1.298704,0.012850468,1.0240265,0.010000002,147.41895579714517
16.64,156.31069007830095,252.6899,1.0315764,-244.24767,100,0.17678359,0.32814687,88.89898720998649,29316.883184736085,1.661266e-05,202.06401,29316.883184736085,85.87632110316913,0.0031810235,2.517476,0.024404166,1.1248722,0.01,156.31069007830095
20.45,194.40571912694463,3433.8906,1.153557,26.499512,100,45.43683,1.4841223e-19,12.5611036630423,71645.75160368672,0.0034145229,1213.8333,71645.75160368672,2.8732521264389006,1.2865618e-21,67.12178,0.581868,7.961084,0.010000002,194.40571912694463
39.58,385.74676050209416,3288.6108,0.9301787,2064.7341,100,73.686646,,2.624496225855008,293991.40851667954,0.008516399,4662.2827,293991.40851667954,1.1721633310725676,,85.883064,0.9232964,38.10255,0.01,385.74676050209416
129.42,1285.346461352841,1081.1147,1.0747815,3362.75,100,13.166212,,8.856252119941027,2634282.5145927486,0.0011397782,4776.79,2634282.5145927486,8.140799888286395,,18.91169,0.17595845,11.291458,0.01,1285.346461352841
418.58,4182.850433276131,416.02795,0.84291303,4321.224,100,0.71864665,1.3279664e-07,53.575174802843854,2327546.9464940056,0.000101146245,4896.1406,2327546.9464940056,49.96632298553769,1.5754489e-09,3.5148828,0.041699234,1.8665361,0.01,4182.850433276131
491.17,4911.209013740088,130.41734,1.0106943,4536.469,100,0.10041622,0.12491253,90.7257784974075,319814.89996462833,9.830242e-06,4978.2646,319814.89996462833,91.13115591888639,0.0012359081,1.4341884,0.014190131,1.1022226,0.01,4911.209013740088
497.49,4974.704031964091,98.49163,1.0162729,4563.621,100,0.020948378,0.39657238,97.36873903041554,63552.21319608433,2.0282885e-06,4990.0796,63552.21319608433,98.0315456409174,0.0039022234,1.2051661,0.011858686,1.0270237,0.01,4974.704031964091
486.5,4864.540510166356,49.45165,0.9903611,4552.7363,100,0.0965457,0.058030613,92.01660259354371,602420.3428497557,9.843415e-06,4991.422,602420.3428497557,91.12035577167597,0.00058595405,1.2999728,0.01312625,1.0867604,0.009999999,4864.540510166356
500.0,4999.883095482808,0.17661133,1.000089,4579.073,100,4.3228665e-06,0.98831385,99.99992847447743,0.03203675368420805,4.3221235e-10,4999.884,0.03203675368420805,99.99959186498032,0.009882258,1.0016019,0.010015127,1.0000007,0.009999998,4999.883095482808
499.74,4997.171800595502,24.755737,1.0034136,4576.4805,100,0.00048260318,0.91732347,99.94503897848037,739.3810120661404,4.7932545e-08,4997.4067,739.3810120661404,99.95256381496378,0.009142028,1.0642396,0.010606191,1.0005499,0.010000002,4997.171800595502
497.69,4976.671370845295,60.79765,1.0122097,4568.033,100,0.028575193,0.26438272,97.67308528403366,53907.50118018768,2.7889987e-06,4993.8267,53907.50118018768,97.31307232410116,0.0026119365,1.2067561,0.011921998,1.0238235,0.010000002,4976.671370845295
490.47,4904.369156412509,37.412395,0.9825589,4563.7305,100,0.056281596,0.03851057,95.30905082905933,451679.2513909654,5.8297405e-06,4994.7725,451679.2513909654,94.54347402745556,0.00039194158,1.2341218,0.012560283,1.0492183,0.010000002,4904.369156412509
497.06,4970.372225054282,62.046642,0.9723721,4566.9097,100,0.039171364,0.20381358,97.21692114723878,87083.09156859394,4.1428934e-06,4993.701,87083.09156859394,96.06012057630913,0.002096045,1.2184306,0.012530497,1.0286275,0.01,4970.372225054282
500.0,4999.907615429171,0.1143893,1.0,4579.097,100,,1.0,100.0,0.01321868270196377,3.5044917e-18,4999.9077,0.01321868270196377,100.0,0.01,1.0,0.01,1.0,0.009999998,4999.907615429171
