ESSRenyi,MaxNormIw,VarVanillaIw,AvgNormIw,BatchSize,ESSClassic,VanillaAvgRet,VarDiscRet,J,AvgEpLen,VarRet,MinVanillaIw,AvgDiscRet,VarNormIw,MaxVanillaIw,AvgRet,Bound,AvgVanillaIw,MinNormIw,eRenyi2,VarJ
0.0008861548550070657,1.0,3732347400.0,0.01,100,1.0,79.74702847706696,12414.200999294342,949.86584,8.98,12414.200999294342,,-1.0587086762825493e-14,0.010000003,610929.44,-1.0587086762825493e-14,5799862.0,6109.2944,,112847.09,3.4522571e-07
0.000156137212211062,1.0,260057840.0,0.01,100,1.0,681.2390414561621,297081.97106332093,2297.815,69.15,297081.97106332093,,2.2737367544323207e-14,0.010000003,161263.06,2.2737367544323207e-14,3668841.0,1612.6306,,640462.3,0.00081189355
7.921853293812527e-05,1.0,9108148000.0,0.01,100,1.0,2785.5285797189927,2737530.558038656,2214.438,279.4,2737530.558038656,,5.229594535194337e-13,0.010000003,954366.1,5.229594535194337e-13,20977504.0,9543.661,,1262330.9,
0.00746427498855575,0.9999997,10387775.0,0.01,100,1.000000605994663,3250.452060023528,2634011.351478711,1749.5415,325.78,2634011.351478711,,-3.8198777474462985e-13,0.009999997,32230.074,-3.8198777474462985e-13,548079.8,322.30084,,13397.148,2.8132501e-06
0.00023727049362717406,1.0,34334684.0,0.01,100,1.0,3037.3048719662324,2610852.129703399,1962.2821,304.57,2610852.129703399,,5.866240826435387e-13,0.010000002,58595.805,5.866240826435387e-13,1061592.2,585.95807,,421459.9,7.579353e-10
0.0004967262249171689,1.0,2618327000.0,0.01,100,1.0,3513.654578976193,2787421.3020440643,1486.2671,352.04,2787421.3020440643,,-4.1382008930668236e-13,0.010000002,511695.94,-4.1382008930668236e-13,7542166.0,5116.9595,,201318.14,
34.38020604333002,0.0653894,1.1509398,0.01,100,44.176244076771475,3070.2798366575507,2404464.7683017002,285.12357,307.85,2404464.7683017002,0.0012429709,-3.228706191293895e-13,0.00012764243,6.2092066,-3.228706191293895e-13,48.32959,0.9495738,1.3089777e-05,2.9086504,2180.7563
100.0,0.01,,0.009999998,100,100.0,3464.8434049398593,2621228.936278794,3.8146973e-06,347.16,2621228.936278794,1.0,1.77351466845721e-13,3.5044917e-18,1.0,1.77351466845721e-13,-136.16454,1.0,0.01,1.0,1610.9055
100.0,0.01,,0.009999998,100,100.0,3449.116674405169,2518884.854272812,1.9073486e-06,345.64,2518884.854272812,1.0,-6.639311322942376e-13,3.5044917e-18,1.0,-6.639311322942376e-13,-133.47987,1.0,0.01,1.0,1579.144
100.0,0.01,,0.009999998,100,100.0,3062.547289771633,2664278.454618197,-1.2874603e-05,307.11,2664278.454618197,1.0,-2.1827872842550277e-13,3.5044917e-18,1.0,-2.1827872842550277e-13,-137.27814,1.0,0.01,1.0,1624.0798
100.0,0.01,,0.009999998,100,100.0,3110.006658196499,3110514.292688723,-5.722046e-06,311.75,3110514.292688723,1.0,4.570210876408964e-13,3.5044917e-18,1.0,4.570210876408964e-13,-148.32954,1.0,0.01,1.0,1754.8246
100.0,0.01,,0.009999998,100,100.0,3179.2144765155886,2867671.2907037237,-5.722046e-06,318.67,2867671.2907037237,1.0,1.6825651982799172e-13,3.5044917e-18,1.0,1.6825651982799172e-13,-142.4217,1.0,0.01,1.0,1684.9315
100.0,0.01,,0.009999998,100,100.0,3546.7907914225216,2276103.5210326836,,355.39,2276103.5210326836,1.0,-5.138645065017044e-13,3.5044917e-18,1.0,-5.138645065017044e-13,-126.88422,1.0,0.01,1.0,1501.1138
100.0,0.01,,0.009999998,100,100.0,3356.11431964163,2692126.6756556286,1.5258789e-05,336.35,2692126.6756556286,1.0,5.593392415903509e-13,3.5044917e-18,1.0,5.593392415903509e-13,-137.99371,1.0,0.01,1.0,1632.5457
100.0,0.01,,0.009999998,100,100.0,3186.5398724439788,2509625.946380308,-3.8146973e-06,319.51,2509625.946380308,1.0,-4.729372449219227e-13,3.5044917e-18,1.0,-4.729372449219227e-13,-133.2343,1.0,0.01,1.0,1576.239
